feature,total
f001_EXT_SOURCES_mean,3.6352908536734514
f002_ORGANIZATION_TYPE,3.5535645908148923
f702_prev_y_mean,1.145181966447719
f702_prev_y_max,0.7385797009099504
f703_bureau_y_max,0.6585139946431927
nejumi,0.6467448030602558
f001_EXT_SOURCES_sum,0.47024574997868773
f703_bureau_y_q75,0.33554385906428325
f002_OCCUPATION_TYPE,0.29220651791764496
f001_CODE_GENDER,0.2838408274080539
f398_y_pred,0.28209489348739486
f001_EXT_SOURCE_2,0.26969544008521035
f025_next_TARGET,0.2620146837293329
f002_NAME_EDUCATION_TYPE,0.23582007881223568
f001_EXT_SOURCE_3,0.22965558880539294
f001_EXT_SOURCES_prod,0.192112040519431
f703_bureau_y_var,0.18989073071317936
f001_EXT_SOURCE_1,0.18925257678904367
f405_AMT_BALANCE-d-AMT_CREDIT_LIMIT_ACTUAL_max,0.17263642421792985
f001_EXT_SOURCES_2-3,0.16594387724783527
f002_NAME_FAMILY_STATUS,0.16044040373418594
f702_prev_y_q75,0.16036187026305168
f001_OWN_CAR_AGE,0.15600477534373297
f001_REGION_POPULATION_RELATIVE,0.13877571389806267
f505_Active_AMT_CREDIT_SUM_DEBT-d-AMT_CREDIT_SUM_max,0.1384225091477902
f155_prevapp_future_payment_max-d-credit,0.13722561511210088
f708_1,0.1370879262788042
f101_approved_AMT_GOODS_PRICE-d-total_debt_mean,0.13276548354766968
f016_EXT_SOURCE_3,0.13224787962840323
f011_EXT_SOURCE_1,0.13176346232791197
f001_REGION_RATING_CLIENT_W_CITY,0.12402162661068218
f702_prev_y_min,0.12315684983153814
f001_DAYS_ID_PUBLISH-m-DAYS_BIRTH,0.12182783342419444
f505_Active_AMT_CREDIT_SUM_DEBT-d-AMT_CREDIT_SUM_mean,0.12151028428865546
f108_PRODUCT_COMBINATION,0.11737406713855161
f501_AMT_CREDIT_SUM_DEBT-d-AMT_CREDIT_SUM_max,0.11479658355497854
f708_2,0.11457715614389971
f702_prev_y_q25,0.11323753895204938
f001_DEF_30_CNT_SOCIAL_CIRCLE,0.10362757853148159
f013_EXT_SOURCE_3,0.10231058573243407
f012_EXT_SOURCE_2,0.09917793654393506
f014_EXT_SOURCE_1,0.09283271762176548
f201_MONTHS_BALANCE_max-d-min,0.09191334461661471
f509_AMT_CREDIT_SUM_DEBT-d-AMT_CREDIT_SUM,0.08995922318369352
f109_NAME_GOODS_CATEGORY,0.08925862904597018
f025_DAYS_BIRTH_diff_r,0.08406642532314167
f708_4,0.08398335855575799
f001_AMT_GOODS_PRICE-m-AMT_CREDIT,0.08011198965347409
f001_AMT_CREDIT-d-AMT_ANNUITY,0.0788676366612333
f205_CNT_INSTALMENT_FUTURE_pctchange_min,0.07806738483124735
f001_EXT_SOURCES_1-2,0.07597260004888581
f001_maxwell_feature_1,0.07227340133570392
f001_DAYS_EMPLOYED-m-DAYS_BIRTH,0.07050316554833336
f001_FLAG_WORK_PHONE,0.06999556892508085
f708_3,0.06983776640253697
f101_approved_cnt_unpaid_std,0.06974861909057833
f702_prev_y_var,0.06834554989753787
f502_AMT_CREDIT_SUM_DEBT-d-AMT_CREDIT_SUM_max,0.0680872667427721
f509_AMT_CREDIT_MAX_OVERDUE,0.06666969513923171
f105_prevapp_future_payment_20m,0.06662011980916234
f703_bureau_y_mean,0.06652939989784346
f105_prevapp_future_payment_19m,0.06540825890397042
f108_NAME_GOODS_CATEGORY,0.06516484709371964
f201_CNT_INSTALMENT_FUTURE-d-CNT_INSTALMENT_mean,0.06250078946525334
f105_prevapp_future_payment_1vs6,0.06162416961075043
f001_EXT_SOURCES_std,0.06032250702895335
f702_prev_y_median,0.05994680408154643
f502_DAYS_CREDIT_ENDDATE-d-app_DAYS_BIRTH_mean,0.05922052568596448
f109_PRODUCT_COMBINATION,0.05779748426596355
f501_AMT_CREDIT_SUM-m-AMT_CREDIT_SUM_DEBT_max-d-min,0.05761042969078954
f501_AMT_CREDIT_SUM_DEBT-d-AMT_CREDIT_SUM_std,0.0573413906022094
f101_approved_AMT_CREDIT-d-total_debt_mean,0.05699423209922473
f001_DEF_60_CNT_SOCIAL_CIRCLE,0.056514631214466426
f707_18,0.056490500539814456
f707_6,0.05579419878640113
f305_notdelay_con_AMT_PAYMENT_sum,0.05518276829934382
f301_delay_days_weighted_delay_mean,0.05433116190563134
f707_25,0.053781004094737225
f302_delay_days_weighted_delay_mean,0.05324583253890691
f707_24,0.05204234430626072
f510_AMT_CREDIT_SUM-d-app_AMT_ANNUITY,0.051966530690364464
f405_AMT_RECEIVABLE_PRINCIPAL_pctchange_max,0.05115528501897433
f405_AMT_DRAWINGS_ATM_CURRENT_sum,0.049926217552092846
f501_AMT_CREDIT_SUM-m-AMT_CREDIT_SUM_DEBT_max,0.04902979196740335
f501_CREDIT_TYPE_Mortgage_mean,0.04877956027693234
f501_AMT_CREDIT_SUM-m-AMT_CREDIT_SUM_DEBT_mean,0.04860635530082243
f301_days_weighted_delay_sum,0.048368625593473914
f301_NUM_INSTALMENT_ratio_std-d-mean,0.04802232146759971
f505_Closed_DAYS_CREDIT_UPDATE_max,0.04767218304151752
f102_approved_DAYS_FIRST_DRAWING-d-app_DAYS_REGISTRATION_max,0.047423404009040944
f301_notdelay_AMT_PAYMENT_sum,0.047419418174173
f706_23,0.046302909107422706
f001_AMT_CREDIT-d-CNT_FAM_MEMBERS,0.04542759620750812
f505_Active_AMT_CREDIT_SUM-m-AMT_CREDIT_SUM_DEBT_min,0.04532000720665445
f105_amt_paid-d-unpaid_mean,0.045184650361457405
f706_4,0.044999725290738514
f401_AMT_DRAWINGS_CURRENT-d-app_AMT_ANNUITY_diff_std-d-mean,0.044802370490167456
f405_AMT_BALANCE-d-AMT_DRAWINGS_CURRENT_min,0.04471768397101829
f708_0,0.04454846587777425
f505_Active_DAYS_CREDIT-m-app_DAYS_LAST_PHONE_CHANGE_sum,0.044133541118780754
f002_NAME_INCOME_TYPE,0.04362727274297773
f707_23,0.04338604449884714
f001_FLAG_DOCUMENT_3,0.04317144133788328
f101_nyg-middle_AMT_ANNUITY-m-app_AMT_ANNUITY_max,0.043075757356513956
f706_9,0.04262409616811133
f507_Active_AMT_CREDIT_SUM-d-app_AMT_INCOME_TOTAL_sum,0.04242901626279798
f101_approved_AMT_ANNUITY-m-app_AMT_ANNUITY_mean,0.04240685402152522
f305_con_AMT_PAYMENT-d-app_AMT_ANNUITY_mean,0.042225370996975466
f706_2,0.042194840754028275
f002_WEEKDAY_APPR_PROCESS_START,0.04217703218945297
f015_EXT_SOURCE_2,0.04206404085691892
f314_days_delayed_payment_diff_max,0.041972483465845714
f001_AMT_ANNUITY-d-cnt_adults,0.04177485850540494
f509_AMT_CREDIT_SUM-m-AMT_CREDIT_SUM_DEBT,0.04138683937336954
f305_notdelay_con_AMT_PAYMENT-d-app_AMT_ANNUITY_mean,0.04129839289011592
f001_NEW_CAR_TO_BIRTH_RATIO,0.04129248021486847
f025_last_TARGET,0.0409905228695744
f308_cas_DAYS_INSTALMENT_pctchange_var,0.04081984347427032
f001_OWN_CAR_AGE-m-DAYS_EMPLOYED,0.0407431390098012
f301_delay_DAYS_ENTRY_PAYMENT_mean,0.040513586789066594
f001_TOTALAREA_MODE,0.040273150533185614
f505_Active_DAYS_CREDIT-m-app_DAYS_BIRTH_sum,0.040042218372651234
f001_OWN_CAR_AGE-m-DAYS_BIRTH,0.04000214532522449
f001_alldocs_mean,0.03987252907955087
f510_AMT_CREDIT_SUM-m-AMT_CREDIT_SUM_DEBT,0.03962311270870857
f505_Active_AMT_CREDIT_SUM-m-AMT_CREDIT_SUM_DEBT_mean,0.03960707914512612
f305_delay_cas_days_weighted_delay_mean,0.039590947975163146
f302_notdelay_NUM_INSTALMENT_ratio_max,0.03954134958373388
f707_2,0.03952148140212509
f001_OWN_CAR_AGE-d-DAYS_BIRTH,0.039446581803524686
f105_prevapp_future_payment_13m,0.039289282135746985
f301_delay_DAYS_ENTRY_PAYMENT-m-app_DAYS_LAST_PHONE_CHANGE_mean,0.03927715315373434
f302_days_weighted_delay_max-d-min,0.03923041831272968
f001_DAYS_ID_PUBLISH-m-DAYS_REGISTRATION-d-DAYS_LAST_PHONE_CHANGE-m-DAYS_ID_PUBLISH,0.039198899360602585
f510_AMT_CREDIT_SUM,0.03901132114731495
f502_AMT_CREDIT_SUM_DEBT-d-AMT_CREDIT_SUM_mean,0.038824824146696066
f510_SK_ID_BUREAU,0.038252781699849026
f105_prevapp_future_payment_28m,0.0379079095188591
f001_AMT_GOODS_PRICE-m-AMT_CREDIT-d-AMT_INCOME_TOTAL,0.037830010278174245
f302_days_weighted_delay_max,0.037713504102516116
f705_3,0.037487488080513845
f101_active_AMT_GOODS_PRICE-d-total_debt_mean,0.037484937228748544
f505_Active_DAYS_CREDIT-m-app_DAYS_LAST_PHONE_CHANGE_max-d-min,0.03745575010517904
f101_approved_DAYS_LAST_DUE-d-app_DAYS_REGISTRATION_min,0.03729410299532993
f108_NAME_TYPE_SUITE,0.03717804172066645
f001_DAYS_REGISTRATION-m-DAYS_BIRTH,0.03710874305098216
f707_1,0.03684592105847927
f201_CNT_INSTALMENT_FUTURE_pctchange_std-d-mean,0.036430707984761126
f509_DAYS_CREDIT_UPDATE-m-DAYS_CREDIT_ENDDATE,0.03619796530214353
f706_10,0.03619220361042747
f105_amt_unpaid_sum-p-app-d-income,0.03618042143021091
f025_DAYS_REGISTRATION_diff_r,0.036063087321128506
f705_2,0.0360281785670828
f501_AMT_CREDIT_SUM_DEBT-d-AMT_CREDIT_SUM_mean,0.03595847163757196
f707_15,0.035605172954545725
f402_AMT_BALANCE-d-AMT_CREDIT_LIMIT_ACTUAL_max,0.03558847804599512
f706_18,0.03558702306822782
f706_7,0.03556083644856749
f501_DAYS_ENDDATE_FACT-m-DAYS_CREDIT_ENDDATE_mean,0.035418033984333325
f507_Active_DAYS_CREDIT-m-app_DAYS_BIRTH_sum,0.03529159125847352
f101_completed_AMT_ANNUITY-d-app_AMT_ANNUITY_mean,0.03524684628180793
f308_delay_cons_days_weighted_delay_tsw3_diff_var,0.03515368814073076
f301_days_weighted_delay_max-d-min,0.035142163738867985
f109_AMT_CREDIT-d-total_debt,0.035075271710817604
f706_3,0.035058566930111536
f101_nyg-high_AMT_GOODS_PRICE-d-total_debt_mean,0.03499919227135785
f501_DAYS_ENDDATE_FACT-m-app_DAYS_ID_PUBLISH_std-d-mean,0.03491153011057777
f405_CNT_DRAWINGS_CURRENT_std,0.03489843020220921
f101_active_AMT_GOODS_PRICE-d-total_debt_min,0.03486195554007751
f501_DAYS_CREDIT_UPDATE_std-d-mean,0.034716184613053674
f303_days_weighted_delay_max,0.0347007154920869
f510_AMT_CREDIT_SUM-d-app_AMT_CREDIT,0.0346217735389631
f301_delay_DAYS_ENTRY_PAYMENT-m-app_DAYS_LAST_PHONE_CHANGE_min,0.0345551710410274
f001_DAYS_LAST_PHONE_CHANGE-m-DAYS_EMPLOYED-d-DAYS_ID_PUBLISH-m-DAYS_REGISTRATION,0.034542597712297105
f706_0,0.034337794017265555
f705_0,0.034289801565780646
f310_delay_days_weighted_delay_mean,0.03420089078805094
f706_5,0.034193859288009075
f507_Active_AMT_CREDIT_SUM_DEBT-d-AMT_CREDIT_SUM_mean,0.033944929516797145
f205_CNT_INSTALMENT_FUTURE-d-CNT_INSTALMENT_std-d-mean,0.033934644318367804
f602_Active_CURR-BUREAU_cnt_var,0.03387046993603619
f706_24,0.03385852996636447
f109_AMT_DOWN_PAYMENT,0.03378765880163214
f505_Active_AMT_CREDIT_MAX_OVERDUE_sum,0.033703812706547494
f707_9,0.03360963872732951
f401_CNT_DRAWINGS_CURRENT_diff_diff_mean,0.03360960655620494
f101_active_AMT_CREDIT-d-total_debt_mean,0.033568368677337576
f707_4,0.03350535383206475
f401_AMT_TOTAL_RECEIVABLE-m-AMT_RECEIVABLE_PRINCIPAL_diff_mean,0.033490686226057595
f305_con_NUM_INSTALMENT_ratio_std-d-mean,0.033466525573181624
f310_days_weighted_delay_max,0.03344065174866179
f707_27,0.03338943509661411
f706_20,0.0333041852164495
f101_approved_AMT_GOODS_PRICE-d-total_debt_max,0.033226924845935195
f109_SELLERPLACE_AREA,0.03315636383787804
f205_CNT_INSTALMENT_FUTURE_pctchange_mean,0.033128174034733116
f705_4,0.033110756815185986
f705_1,0.03310700363354839
f707_13,0.033023531384356465
f706_22,0.032969053792866757
f706_8,0.03256391800338247
f505_Closed_AMT_CREDIT_SUM-d-app_AMT_CREDIT_sum,0.032381545890631344
f501_AMT_CREDIT_SUM-m-AMT_CREDIT_SUM_DEBT_min,0.03232790587916099
f101_approved_AMT_CREDIT-m-app_AMT_INCOME_TOTAL_std-d-mean,0.03224755977448464
f305_notdelay_con_AMT_PAYMENT-d-app_AMT_CREDIT_mean,0.03220066536660818
f501_DAYS_CREDIT_UPDATE_diff_std-d-mean,0.03211554170659643
f509_AMT_CREDIT_SUM,0.03209759125323225
f707_17,0.03207979278195662
f001_EXT_SOURCES_1-2-3,0.03205895124444374
f401_CNT_DRAWINGS_POS_CURRENT_diff_diff_mean,0.032015497057809865
f706_17,0.03199482447615297
f501_DAYS_CREDIT_UPDATE-m-DAYS_CREDIT_ENDDATE_std-d-mean,0.03193607246398625
f501_AMT_CREDIT_SUM-m-AMT_CREDIT_SUM_DEBT_sum,0.031876394840297334
f001_AMT_ANNUITY-d-CNT_FAM_MEMBERS,0.031849557567944234
f706_16,0.031657227647932204
f332_notdelay_DAYS_ENTRY_PAYMENT-m-app_DAYS_ID_PUBLISH_std-d-mean,0.03165519710953986
