feature,split,gain
f001_EXT_SOURCES_mean,1119,496938.48217087984
f702_prev_y_mean,548,240445.6833472252
f002_ORGANIZATION_TYPE,8136,145165.70645666122
f702_prev_y_max,491,92360.07237499952
f001_EXT_SOURCES_sum,567,58350.05260384083
nejumi,1428,45485.96635913849
f702_prev_y_min,380,30512.591757774353
f001_EXT_SOURCE_3,617,22041.977775514126
f001_EXT_SOURCE_2,674,19987.530667841434
f501_AMT_CREDIT_SUM_DEBT-d-AMT_CREDIT_SUM_max,330,17372.60799717903
f505_Active_AMT_CREDIT_SUM_DEBT-d-AMT_CREDIT_SUM_max,265,16655.19593524933
f002_NAME_EDUCATION_TYPE,237,16005.893662929535
f702_prev_y_q75,288,14884.79802787304
f002_OCCUPATION_TYPE,693,14375.469495296478
f001_CODE_GENDER,352,13650.215965747833
f405_AMT_BALANCE-d-AMT_CREDIT_LIMIT_ACTUAL_max,350,13402.927111029625
f001_EXT_SOURCES_prod,333,13158.501326799393
f001_EXT_SOURCE_1,517,10771.523340463638
f405_AMT_DRAWINGS_ATM_CURRENT_sum,322,9495.685673236847
f108_PRODUCT_COMBINATION,668,9477.155549526215
f505_Active_AMT_CREDIT_SUM_DEBT-d-AMT_CREDIT_SUM_mean,248,9240.379261016846
f702_prev_y_q25,238,8485.957590341568
f310_days_weighted_delay_max,270,8021.6129286289215
f502_DAYS_CREDIT_ENDDATE-d-app_DAYS_BIRTH_mean,292,7990.609605073929
f001_PAYMENT_RATE,276,7810.455125808716
f001_OWN_CAR_AGE,224,7552.406185388565
f001_AMT_GOODS_PRICE-m-AMT_CREDIT,338,7250.178459525108
f105_prevapp_future_payment_20m,168,7205.891205191612
f302_days_weighted_delay_max,237,7186.695695400238
f001_DAYS_ID_PUBLISH-m-DAYS_BIRTH,293,6918.68474572897
f501_AMT_CREDIT_SUM_DEBT-d-AMT_CREDIT_SUM_var,241,6432.763669252396
f301_notdelay_AMT_PAYMENT_sum,266,6150.6866689920425
f202_CNT_INSTALMENT_FUTURE_pctchange_min,207,6136.108663141727
f109_NAME_GOODS_CATEGORY,419,6123.366291046143
f101_approved_cnt_unpaid_var,193,5781.22009408474
f502_AMT_CREDIT_SUM_DEBT-d-AMT_CREDIT_SUM_max,168,5672.1261348724365
f405_AMT_RECEIVABLE_PRINCIPAL_pctchange_max,246,5653.532071590424
f001_REGION_POPULATION_RELATIVE,408,5600.144808411598
f001_EXT_SOURCES_2-3,381,5375.775371178985
f001_DAYS_EMPLOYED-m-DAYS_BIRTH,288,5363.144908726215
f002_NAME_FAMILY_STATUS,233,5331.371715068817
f305_notdelay_con_AMT_PAYMENT_sum,279,5233.110817551613
f105_prevapp_future_payment_19m,178,5039.346136808395
f101_completed_AMT_APPLICATION-d-app_AMT_GOODS_PRICE_max,224,5027.9873064011335
f101_approved_AMT_GOODS_PRICE-d-total_debt_mean,215,4929.432242870331
f001_maxwell_feature_1,210,4803.541467666626
f001_REGION_RATING_CLIENT_W_CITY,194,4749.874021053314
f101_approved_AMT_ANNUITY-m-app_AMT_ANNUITY_mean,265,4664.09454202652
