feature,split,gain
f105_prevapp_future_payment_20m,168,7205.891205191612
f101_completed_AMT_APPLICATION-d-app_AMT_GOODS_PRICE_max,224,5027.9873064011335
f101_completed_AMT_ANNUITY-d-app_AMT_CREDIT_max,198,3864.6168854236603
f305_notdelay_con_AMT_PAYMENT-d-app_AMT_CREDIT_mean,164,3703.8485478162766
f502_AMT_CREDIT_SUM_max,181,3597.486326098442
f101_nyg-middle_AMT_APPLICATION-m-app_AMT_INCOME_TOTAL_min,259,3447.6633450984955
f312_days_weighted_delay_sum,182,3401.3781750798225
f505_Active_AMT_CREDIT_SUM_diff_max,208,3308.8512593507767
f305_con_AMT_PAYMENT-d-app_AMT_CREDIT_mean,152,3299.1293882131577
f105_AMT_ANNUITY_cmp_sum,211,3220.360352218151
f502_AMT_CREDIT_SUM-d-app_AMT_INCOME_TOTAL_sum,189,3214.022340774536
f501_AMT_CREDIT_SUM-d-app_AMT_CREDIT_max,195,2978.178508758545
f502_DAYS_CREDIT-m-app_DAYS_BIRTH_sum,157,2661.338317513466
f505_Active_DAYS_CREDIT-d-app_DAYS_REGISTRATION_min,180,2642.8219368457794
f503_AMT_CREDIT_SUM_DEBT-d-AMT_CREDIT_SUM_max,172,2641.093782186508
f505_Active_AMT_CREDIT_SUM-d-app_AMT_INCOME_TOTAL_sum,164,2597.806423187256
f503_AMT_CREDIT_SUM_sum,170,2590.359149515629
f501_AMT_CREDIT_SUM-d-app_AMT_ANNUITY_pctchange_max,192,2575.0094435960054
f108_AMT_ANNUITY-m-app_AMT_ANNUITY,196,2573.0704143047333
f109_past_payment_10m,215,2566.5472653210163
f309_AMT_PAYMENT-d-app_AMT_ANNUITY_mean,204,2548.4868433475494
f109_DAYS_FIRST_DUE-d-app_DAYS_EMPLOYED,193,2532.7081129550934
f502_AMT_CREDIT_SUM-d-app_AMT_ANNUITY_pctchange_min,189,2527.3190319538116
f101_nyg-middle_AMT_ANNUITY-m-app_AMT_INCOME_TOTAL_max,203,2522.9545732811093
f303_AMT_PAYMENT-d-app_AMT_INCOME_TOTAL_mean,196,2505.401292383671
f105_prevapp_future_payment_12m,143,2463.239577651024
f312_days_delayed_payment_diff_var,201,2461.5939933657646
f101_nyg-middle_AMT_GOODS_PRICE-d-total_debt_mean,142,2458.4655251801014
f502_AMT_CREDIT_SUM_sum,133,2439.095017194748
f505_Active_DAYS_CREDIT-m-app_DAYS_BIRTH_mean,136,2395.68190908432
f302_notdelay_DAYS_ENTRY_PAYMENT_mean,185,2370.2975751161575
f302_delay_DAYS_ENTRY_PAYMENT_mean,136,2343.206894636154
f502_DAYS_CREDIT_ENDDATE-d-app_DAYS_LAST_PHONE_CHANGE_max,145,2342.197066307068
f101_completed_DAYS_FIRST_DUE-d-app_DAYS_BIRTH_min,184,2324.184744298458
f103_approved_DAYS_FIRST_DUE-d-app_DAYS_REGISTRATION_min,181,2310.468229532242
f310_DAYS_ENTRY_PAYMENT-m-app_DAYS_BIRTH_var,170,2307.2507849931717
f501_AMT_CREDIT_SUM-d-app_AMT_ANNUITY_mean,162,2280.9912919402122
f301_AMT_PAYMENT_min,158,2260.0829113721848
f501_DAYS_ENDDATE_FACT-m-app_DAYS_BIRTH_min,141,2259.171667575836
f306_cas_DEP_diff_var,170,2250.4063489437103
f101_refused_DAYS_DECISION_var,129,2243.9238027334213
f108_DAYS_FIRST_DUE-m-app_DAYS_BIRTH,182,2240.3115079402924
f303_DAYS_ENTRY_PAYMENT-m-app_DAYS_EMPLOYED_max,193,2236.7101125717163
f506_DAYS_CREDIT-m-app_DAYS_BIRTH_sum,129,2222.504822254181
f101_approved_AMT_GOODS_PRICE-d-AMT_CREDIT_mean,177,2220.3305943608284
f303_AMT_PAYMENT-d-AMT_ANNUITY_min,152,2218.039720773697
f101_completed_AMT_ANNUITY-m-app_AMT_ANNUITY-d-app_AMT_INCOME_TOTAL_mean,153,2217.7955649495125
f101_nyg-high_DAYS_DECISION_mean,187,2205.3858165442944
