index,split,gain
prev_gby-SK_ID_CURR-CODE_REJECT_REASON_DAYS_FIRST_DRAWING_sum_mean,109,6311.16007900238
prev_NAME_YIELD_GROUP_high_norm,201,5193.002242565155
prev_NAME_CONTRACT_STATUS_Refused_norm,103,4070.1804361343384
prev_CODE_REJECT_REASON_XAP_norm,85,3291.532208919525
prev_gby-SK_ID_CURR-CODE_REJECT_REASON_DAYS_DECISION_min_max,113,2934.084813594818
prev_gby-SK_ID_CURR-CODE_REJECT_REASON_DAYS_FIRST_DUE_sum_std,59,2788.70814037323
prev_NAME_YIELD_GROUP_high_sum,101,2555.1193799972534
prev_gby-SK_ID_CURR-SK_ID_PREV_DAYS_FIRST_DRAWING_sum_mean,56,2374.881931781769
prev_PRODUCT_COMBINATION_Cash-X-Sell:-low_norm,95,2367.3344531059265
prev_gby-SK_ID_CURR-CODE_REJECT_REASON_DAYS_FIRST_DRAWING_sum_std,60,2309.6311688423157
prev_NAME_CLIENT_TYPE_New_sum,69,2290.842444419861
prev_NAME_CLIENT_TYPE_New_norm,79,2220.3161277770996
prev_PRODUCT_COMBINATION_Cash-X-Sell:-high_norm,148,2213.2751970291138
prev_CODE_REJECT_REASON_SCOFR_sum,46,2147.4865431785583
prev_gby-SK_ID_CURR-CODE_REJECT_REASON_DAYS_DECISION_sum_max,130,2130.0779662132263
prev_gby-SK_ID_CURR-CODE_REJECT_REASON_AMT_DOWN_PAYMENT_sum_mean,58,1904.5857286453247
prev_NAME_YIELD_GROUP_low_normal_norm,95,1869.5359854698181
prev_NAME_YIELD_GROUP_low_action_norm,68,1798.9762716293335
prev_gby-SK_ID_CURR-CODE_REJECT_REASON_DAYS_FIRST_DRAWING_sum_min,30,1632.2577152252197
prev_CODE_REJECT_REASON_SCOFR_norm,56,1581.581211566925
prev_PRODUCT_COMBINATION_Cash-X-Sell:-low_sum,59,1514.8898940086365
prev_NAME_SELLER_INDUSTRY_Connectivity_norm,124,1501.019015789032
prev_gby-SK_ID_CURR-CODE_REJECT_REASON_RATE_DOWN_PAYMENT_sum_min,49,1500.4946489334106
prev_gby-SK_ID_CURR-WEEKDAY_APPR_PROCESS_START_DAYS_DECISION_sum_max,155,1482.3157029151917
prev_gby-SK_ID_CURR-WEEKDAY_APPR_PROCESS_START_HOUR_APPR_PROCESS_START_sum_std,141,1421.747501373291
prev_gby-SK_ID_CURR-NAME_CASH_LOAN_PURPOSE_CNT_PAYMENT_mean_sum,101,1386.271496295929
prev_gby-SK_ID_CURR-WEEKDAY_APPR_PROCESS_START_DAYS_DECISION_std_mean,132,1378.1579780578613
prev_gby-SK_ID_CURR-CODE_REJECT_REASON_AMT_DOWN_PAYMENT_sum_min,42,1351.142743587494
prev_gby-SK_ID_CURR-PRODUCT_COMBINATION_DAYS_FIRST_DRAWING_sum_mean,53,1350.9634132385254
prev_gby-SK_ID_CURR-NAME_CASH_LOAN_PURPOSE_DAYS_FIRST_DRAWING_sum_mean,51,1331.0281929969788
prev_gby-SK_ID_CURR-CODE_REJECT_REASON_DAYS_DECISION_sum_std,65,1323.8223786354065
prev_gby-SK_ID_CURR-CHANNEL_TYPE_DAYS_FIRST_DUE_std_min,125,1322.941792011261
prev_gby-SK_ID_CURR-NAME_PRODUCT_TYPE_AMT_ANNUITY_mean_min,107,1304.5725293159485
prev_gby-SK_ID_CURR-NAME_PAYMENT_TYPE_AMT_CREDIT_min_std,129,1286.6371536254883
prev_gby-SK_ID_CURR-NAME_TYPE_SUITE_HOUR_APPR_PROCESS_START_mean_sum,126,1277.149389743805
prev_gby-SK_ID_CURR-NAME_YIELD_GROUP_DAYS_DECISION_std_mean,127,1275.404957294464
prev_gby-SK_ID_CURR-WEEKDAY_APPR_PROCESS_START_CNT_PAYMENT_min_std,127,1267.0711483955383
prev_gby-SK_ID_CURR-CODE_REJECT_REASON_AMT_GOODS_PRICE_sum_min,95,1258.358723640442
prev_gby-SK_ID_CURR-NAME_TYPE_SUITE_AMT_ANNUITY_mean_mean,122,1248.3829803466797
prev_gby-SK_ID_CURR-NAME_PRODUCT_TYPE_AMT_ANNUITY_std_min,122,1239.2092680931091
prev_gby-SK_ID_CURR-PRODUCT_COMBINATION_CNT_PAYMENT_mean_sum,110,1221.3790335655212
prev_gby-SK_ID_CURR-NAME_PAYMENT_TYPE_DAYS_DECISION_std_min,121,1212.132806777954
prev_gby-SK_ID_CURR-CODE_REJECT_REASON_DAYS_DECISION_sum_mean,87,1204.602777481079
prev_gby-SK_ID_CURR-NAME_CLIENT_TYPE_AMT_APPLICATION_min_std,116,1200.3759179115295
prev_gby-SK_ID_CURR-WEEKDAY_APPR_PROCESS_START_CNT_PAYMENT_std_mean,124,1189.135099887848
prev_gby-SK_ID_CURR-NAME_YIELD_GROUP_DAYS_DECISION_max_sum,96,1188.4633388519287
prev_gby-SK_ID_CURR-NAME_YIELD_GROUP_DAYS_FIRST_DUE_max_std,111,1186.207802772522
prev_gby-SK_ID_CURR-CODE_REJECT_REASON_DAYS_DECISION_max_std,72,1182.5523285865784
prev_gby-SK_ID_CURR-WEEKDAY_APPR_PROCESS_START_HOUR_APPR_PROCESS_START_mean_std,118,1180.3338346481323
prev_gby-SK_ID_CURR-PRODUCT_COMBINATION_HOUR_APPR_PROCESS_START_mean_std,119,1176.7059502601624
prev_PRODUCT_COMBINATION_Cash-X-Sell:-high_sum,67,1171.3813118934631
prev_gby-SK_ID_CURR-NAME_TYPE_SUITE_AMT_ANNUITY_min_max,118,1167.922502040863
prev_gby-SK_ID_CURR-NAME_SELLER_INDUSTRY_HOUR_APPR_PROCESS_START_mean_std,121,1162.6248774528503
prev_gby-SK_ID_CURR-NAME_CLIENT_TYPE_AMT_ANNUITY_min_std,121,1157.3353905677795
prev_gby-SK_ID_CURR-NAME_SELLER_INDUSTRY_HOUR_APPR_PROCESS_START_std_mean,119,1148.209861755371
prev_gby-SK_ID_CURR-NAME_YIELD_GROUP_DAYS_DECISION_max_min,74,1143.9987378120422
prev_gby-SK_ID_CURR-NAME_PAYMENT_TYPE_AMT_ANNUITY_min_std,117,1139.9957699775696
prev_gby-SK_ID_CURR-WEEKDAY_APPR_PROCESS_START_HOUR_APPR_PROCESS_START_min_std,117,1133.1779990196228
prev_gby-SK_ID_CURR-NAME_TYPE_SUITE_HOUR_APPR_PROCESS_START_mean_min,117,1127.6738414764404
prev_gby-SK_ID_CURR-CHANNEL_TYPE_DAYS_DECISION_std_min,113,1127.3903141021729
prev_gby-SK_ID_CURR-PRODUCT_COMBINATION_DAYS_DECISION_std_min,119,1123.2114639282227
prev_gby-SK_ID_CURR-NAME_YIELD_GROUP_DAYS_TERMINATION_mean_min,65,1121.1847472190857
prev_gby-SK_ID_CURR-NAME_CLIENT_TYPE_AMT_CREDIT_mean_std,113,1117.3936848640442
prev_gby-SK_ID_CURR-NAME_YIELD_GROUP_HOUR_APPR_PROCESS_START_std_mean,110,1113.732349395752
prev_gby-SK_ID_CURR-NAME_CLIENT_TYPE_AMT_ANNUITY_max_min,93,1112.1846179962158
prev_gby-SK_ID_CURR-NAME_CONTRACT_TYPE_DAYS_DECISION_std_min,110,1109.266007900238
prev_gby-SK_ID_CURR-CHANNEL_TYPE_HOUR_APPR_PROCESS_START_mean_std,112,1109.241159439087
prev_gby-SK_ID_CURR-NAME_PORTFOLIO_AMT_ANNUITY_max_min,93,1107.6676182746887
prev_gby-SK_ID_CURR-CODE_REJECT_REASON_RATE_DOWN_PAYMENT_sum_mean,52,1106.8463969230652
prev_gby-SK_ID_CURR-CODE_REJECT_REASON_DAYS_DECISION_min_mean,69,1105.3450961112976
prev_gby-SK_ID_CURR-CHANNEL_TYPE_DAYS_DECISION_sum_max,113,1104.9323282241821
prev_gby-SK_ID_CURR-NAME_CLIENT_TYPE_AMT_GOODS_PRICE_max_min,100,1103.0265760421753
prev_gby-SK_ID_CURR-NAME_PRODUCT_TYPE_AMT_ANNUITY_max_min,95,1101.5614829063416
prev_gby-SK_ID_CURR-NAME_TYPE_SUITE_AMT_ANNUITY_max_sum,115,1100.2710032463074
prev_gby-SK_ID_CURR-WEEKDAY_APPR_PROCESS_START_AMT_APPLICATION_min_std,108,1097.930118560791
prev_gby-SK_ID_CURR-NAME_PRODUCT_TYPE_DAYS_FIRST_DRAWING_sum_mean,41,1088.5020847320557
prev_gby-SK_ID_CURR-NAME_GOODS_CATEGORY_HOUR_APPR_PROCESS_START_min_std,111,1088.3789911270142
prev_gby-SK_ID_CURR-CHANNEL_TYPE_AMT_ANNUITY_mean_std,105,1085.1038889884949
prev_gby-SK_ID_CURR-WEEKDAY_APPR_PROCESS_START_AMT_CREDIT_min_std,110,1085.0447583198547
prev_gby-SK_ID_CURR-NAME_SELLER_INDUSTRY_AMT_CREDIT_min_std,116,1084.6687049865723
prev_gby-SK_ID_CURR-NAME_CLIENT_TYPE_AMT_ANNUITY_mean_min,99,1079.6316232681274
prev_gby-SK_ID_CURR-NAME_CONTRACT_STATUS_HOUR_APPR_PROCESS_START_mean_std,111,1076.425691127777
prev_gby-SK_ID_CURR-NAME_CLIENT_TYPE_DAYS_DECISION_sum_std,111,1067.678143978119
prev_gby-SK_ID_CURR-NAME_TYPE_SUITE_DAYS_DECISION_max_mean,105,1067.5849609375
prev_gby-SK_ID_CURR-NAME_PAYMENT_TYPE_HOUR_APPR_PROCESS_START_std_max,109,1065.4131217002869
prev_gby-SK_ID_CURR-NAME_YIELD_GROUP_DAYS_FIRST_DUE_max_min,84,1065.0476989746094
prev_gby-SK_ID_CURR-NAME_YIELD_GROUP_CNT_PAYMENT_std_mean,105,1062.1315755844116
prev_gby-SK_ID_CURR-NAME_TYPE_SUITE_DAYS_LAST_DUE_1ST_VERSION_min_max,106,1061.8136596679688
prev_gby-SK_ID_CURR-NAME_PAYMENT_TYPE_CNT_PAYMENT_std_max,93,1060.7692794799805
prev_gby-SK_ID_CURR-NAME_PAYMENT_TYPE_AMT_ANNUITY_min_mean,105,1060.5553979873657
prev_gby-SK_ID_CURR-NAME_TYPE_SUITE_AMT_ANNUITY_sum_max,99,1053.8856019973755
prev_gby-SK_ID_CURR-WEEKDAY_APPR_PROCESS_START_DAYS_DECISION_max_std,104,1052.801812171936
prev_gby-SK_ID_CURR-NAME_YIELD_GROUP_AMT_GOODS_PRICE_std_min,103,1052.146318435669
prev_gby-SK_ID_CURR-WEEKDAY_APPR_PROCESS_START_AMT_ANNUITY_sum_std,104,1048.4574608802795
