index,split,gain
ins_gby-SK_ID_CURR-SK_ID_PREV_AMT_PAYMENT_min_sum,601,11174.410228729248
ins_gby-SK_ID_CURR-SK_ID_PREV_AMT_PAYMENT_min_max,570,9821.235934734344
ins_gby-SK_ID_CURR-SK_ID_PREV_AMT_PAYMENT_min_mean,548,9470.778357028961
bureau_gby-SK_ID_CURR-CREDIT_CURRENCY_DAYS_CREDIT_mean_min,365,8223.617705345154
bureau_gby-SK_ID_CURR-CREDIT_CURRENCY_DAYS_CREDIT_mean_sum,329,7847.403878688812
bureau_gby-SK_ID_CURR_DAYS_CREDIT_mean,396,7773.304863452911
bureau_gby-SK_ID_CURR-CREDIT_TYPE_DAYS_CREDIT_max_mean,511,7357.020365715027
bureau_gby-SK_ID_CURR-CREDIT_CURRENCY_DAYS_CREDIT_mean_mean,346,7028.358090400696
bureau_gby-SK_ID_CURR_DAYS_CREDIT_max,584,6818.789125919342
ins_gby-SK_ID_CURR-NUM_INSTALMENT_NUMBER_AMT_PAYMENT_mean_min,522,6805.148414611816
ins_gby-SK_ID_CURR-NUM_INSTALMENT_VERSION_DAYS_ENTRY_PAYMENT_max_std,663,6370.0790367126465
bureau_gby-SK_ID_CURR-CREDIT_CURRENCY_DAYS_CREDIT_max_min,544,6216.24769449234
bureau_gby-SK_ID_CURR-CREDIT_TYPE_DAYS_CREDIT_mean_mean,327,6137.268301010132
bureau_gby-SK_ID_CURR-CREDIT_CURRENCY_DAYS_CREDIT_mean_max,302,5918.212860584259
ins_gby-SK_ID_CURR-NUM_INSTALMENT_NUMBER_AMT_PAYMENT_min_sum,587,5850.280251502991
bureau_gby-SK_ID_CURR-CREDIT_TYPE_DAYS_CREDIT_mean_max,395,5729.271958351135
pos_gby-SK_ID_CURR-NAME_CONTRACT_STATUS_CNT_INSTALMENT_FUTURE_mean_std,591,5371.538851737976
ins_gby-SK_ID_CURR-NUM_INSTALMENT_NUMBER_AMT_PAYMENT_min_mean,556,5347.264885425568
ins_gby-SK_ID_CURR_AMT_PAYMENT_min,447,5268.913595676422
bureau_gby-SK_ID_CURR-CREDIT_CURRENCY_DAYS_CREDIT_max_mean,504,5048.869805812836
ins_gby-SK_ID_CURR-NUM_INSTALMENT_VERSION_AMT_PAYMENT_mean_min,460,4941.2581782341
ins_gby-SK_ID_CURR-NUM_INSTALMENT_VERSION_AMT_PAYMENT_max_min,498,4927.590116024017
ins_gby-SK_ID_CURR-NUM_INSTALMENT_NUMBER_AMT_PAYMENT_std_min,536,4808.7866315841675
bureau_gby-SK_ID_CURR-CREDIT_TYPE_DAYS_CREDIT_mean_min,344,4804.401572227478
bureau_gby-SK_ID_CURR-CREDIT_ACTIVE_AMT_CREDIT_SUM_min_mean,504,4743.387884140015
bureau_gby-SK_ID_CURR-CREDIT_TYPE_AMT_CREDIT_SUM_DEBT_max_min,437,4721.499311447144
ins_gby-SK_ID_CURR-SK_ID_PREV_AMT_INSTALMENT_max_min,516,4702.8182644844055
bureau_gby-SK_ID_CURR-CREDIT_TYPE_DAYS_CREDIT_UPDATE_mean_max,504,4648.2444496154785
bureau_gby-SK_ID_CURR-CREDIT_CURRENCY_DAYS_CREDIT_max_sum,363,4644.896365642548
bureau_gby-SK_ID_CURR-CREDIT_TYPE_AMT_CREDIT_SUM_min_mean,491,4615.145954608917
bureau_gby-SK_ID_CURR-CREDIT_TYPE_DAYS_CREDIT_max_min,429,4600.945746421814
bureau_gby-SK_ID_CURR-CREDIT_TYPE_DAYS_CREDIT_ENDDATE_mean_min,393,4586.482828140259
bureau_gby-SK_ID_CURR-CREDIT_ACTIVE_DAYS_CREDIT_std_min,524,4578.671745300293
ins_gby-SK_ID_CURR-NUM_INSTALMENT_NUMBER_AMT_PAYMENT_min_max,502,4533.90823841095
bureau_gby-SK_ID_CURR_AMT_CREDIT_SUM_min,486,4531.091197490692
bureau_gby-SK_ID_CURR-CREDIT_TYPE_AMT_CREDIT_SUM_mean_min,500,4526.382330417633
bureau_gby-SK_ID_CURR-CREDIT_TYPE_DAYS_CREDIT_ENDDATE_max_min,462,4464.171483039856
bureau_gby-SK_ID_CURR-CREDIT_TYPE_DAYS_CREDIT_max_sum,461,4329.029307842255
pos_gby-SK_ID_CURR-NAME_CONTRACT_STATUS_MONTHS_BALANCE_sum_max,481,4319.418408870697
bureau_gby-SK_ID_CURR-CREDIT_TYPE_DAYS_CREDIT_min_max,458,4306.165944576263
ins_gby-SK_ID_CURR-NUM_INSTALMENT_NUMBER_DAYS_ENTRY_PAYMENT_std_min,473,4286.6864314079285
pos_gby-SK_ID_CURR-NAME_CONTRACT_STATUS_MONTHS_BALANCE_mean_std,492,4285.599501132965
bureau_gby-SK_ID_CURR-CREDIT_TYPE_DAYS_CREDIT_sum_max,464,4284.88668346405
pos_gby-SK_ID_CURR-SK_ID_PREV_CNT_INSTALMENT_FUTURE_mean_mean,442,4274.258465766907
ins_gby-SK_ID_CURR_DAYS_INSTALMENT_max,461,4259.818073749542
pos_gby-SK_ID_CURR-NAME_CONTRACT_STATUS_CNT_INSTALMENT_mean_std,459,4228.68141078949
bureau_gby-SK_ID_CURR-CREDIT_ACTIVE_DAYS_CREDIT_max_sum,446,4224.621835708618
bureau_gby-SK_ID_CURR-CREDIT_TYPE_AMT_CREDIT_SUM_min_std,470,4224.066734313965
bureau_gby-SK_ID_CURR-CREDIT_ACTIVE_DAYS_CREDIT_ENDDATE_mean_max,447,4209.828453063965
bureau_gby-SK_ID_CURR-CREDIT_ACTIVE_DAYS_CREDIT_max_mean,405,4205.918740749359
bureau_gby-SK_ID_CURR-CREDIT_ACTIVE_AMT_CREDIT_SUM_mean_min,460,4201.800067424774
ins_gby-SK_ID_CURR-SK_ID_PREV_AMT_PAYMENT_sum_min,478,4197.678406238556
bureau_gby-SK_ID_CURR-CREDIT_TYPE_AMT_CREDIT_SUM_DEBT_mean_mean,396,4194.791965007782
bureau_gby-SK_ID_CURR-CREDIT_ACTIVE_AMT_CREDIT_SUM_min_max,441,4181.37609577179
bureau_gby-SK_ID_CURR-CREDIT_ACTIVE_AMT_CREDIT_SUM_std_min,469,4138.8157386779785
ins_gby-SK_ID_CURR-NUM_INSTALMENT_NUMBER_AMT_INSTALMENT_std_min,411,4135.645042419434
ins_gby-SK_ID_CURR-SK_ID_PREV_AMT_INSTALMENT_sum_min,468,4128.816494941711
bureau_gby-SK_ID_CURR-CREDIT_ACTIVE_DAYS_CREDIT_mean_max,399,4125.953073978424
bureau_gby-SK_ID_CURR-CREDIT_TYPE_DAYS_CREDIT_UPDATE_max_std,438,4125.548840522766
bureau_gby-SK_ID_CURR-CREDIT_ACTIVE_DAYS_CREDIT_ENDDATE_min_std,478,4111.301884651184
pos_gby-SK_ID_CURR_CNT_INSTALMENT_FUTURE_mean,442,4108.4503655433655
bureau_gby-SK_ID_CURR-CREDIT_TYPE_AMT_CREDIT_SUM_std_min,464,4104.045040130615
bureau_gby-SK_ID_CURR-CREDIT_ACTIVE_DAYS_CREDIT_min_std,455,4098.757213592529
ins_gby-SK_ID_CURR-NUM_INSTALMENT_NUMBER_DAYS_ENTRY_PAYMENT_std_mean,420,4097.57895898819
bureau_gby-SK_ID_CURR-CREDIT_TYPE_DAYS_CREDIT_std_mean,455,4081.786536216736
ins_gby-SK_ID_CURR-NUM_INSTALMENT_NUMBER_AMT_INSTALMENT_min_std,449,4077.9442114830017
bureau_gby-SK_ID_CURR-CREDIT_TYPE_DAYS_CREDIT_min_mean,342,4076.3980417251587
bureau_CREDIT_ACTIVE_Closed_norm,177,4072.5490956306458
bureau_gby-SK_ID_CURR-CREDIT_ACTIVE_AMT_CREDIT_SUM_min_std,449,4065.038137435913
pos_gby-SK_ID_CURR-SK_ID_PREV_CNT_INSTALMENT_FUTURE_std_mean,454,4015.357386112213
bureau_gby-SK_ID_CURR-CREDIT_TYPE_DAYS_CREDIT_UPDATE_max_min,423,4010.041732311249
ins_gby-SK_ID_CURR-NUM_INSTALMENT_NUMBER_AMT_INSTALMENT_min_sum,442,4003.004111766815
bureau_gby-SK_ID_CURR-CREDIT_TYPE_DAYS_CREDIT_ENDDATE_max_mean,460,3995.4450159072876
bureau_gby-SK_ID_CURR-CREDIT_CURRENCY_AMT_CREDIT_SUM_min_mean,403,3979.817657470703
bureau_gby-SK_ID_CURR-CREDIT_TYPE_DAYS_CREDIT_ENDDATE_std_mean,445,3954.258275985718
ins_gby-SK_ID_CURR-NUM_INSTALMENT_NUMBER_DAYS_ENTRY_PAYMENT_std_std,446,3949.0865454673767
bureau_gby-SK_ID_CURR-CREDIT_TYPE_DAYS_CREDIT_std_max,431,3927.699050426483
ins_gby-SK_ID_CURR_DAYS_ENTRY_PAYMENT_max,431,3889.541009902954
bureau_gby-SK_ID_CURR-CREDIT_ACTIVE_DAYS_CREDIT_UPDATE_std_min,436,3887.6543312072754
bureau_gby-SK_ID_CURR_DAYS_CREDIT_UPDATE_max,452,3884.228325843811
pos_gby-SK_ID_CURR-NAME_CONTRACT_STATUS_MONTHS_BALANCE_sum_std,437,3876.764286518097
ins_gby-SK_ID_CURR-NUM_INSTALMENT_VERSION_AMT_PAYMENT_min_mean,409,3873.5100569725037
bureau_gby-SK_ID_CURR-CREDIT_ACTIVE_DAYS_CREDIT_UPDATE_mean_max,420,3862.708483695984
bureau_gby-SK_ID_CURR-CREDIT_TYPE_AMT_CREDIT_SUM_min_max,420,3860.036620616913
bureau_gby-SK_ID_CURR-CREDIT_TYPE_DAYS_CREDIT_UPDATE_std_min,417,3859.2314372062683
bureau_gby-SK_ID_CURR-CREDIT_ACTIVE_DAYS_CREDIT_mean_min,360,3852.883936405182
bureau_gby-SK_ID_CURR-CREDIT_CURRENCY_AMT_CREDIT_SUM_min_max,405,3847.887526512146
ins_gby-SK_ID_CURR-NUM_INSTALMENT_VERSION_AMT_INSTALMENT_mean_min,430,3839.1706552505493
pos_gby-SK_ID_CURR-SK_ID_PREV_MONTHS_BALANCE_sum_max,429,3836.0731983184814
ins_gby-SK_ID_CURR-SK_ID_PREV_AMT_PAYMENT_mean_min,411,3832.4084877967834
ins_gby-SK_ID_CURR-SK_ID_PREV_AMT_PAYMENT_std_min,404,3808.2348041534424
pos_gby-SK_ID_CURR-SK_ID_PREV_CNT_INSTALMENT_FUTURE_mean_min,422,3785.203182697296
ins_gby-SK_ID_CURR-NUM_INSTALMENT_NUMBER_AMT_INSTALMENT_min_max,423,3784.165629386902
ins_gby-SK_ID_CURR-NUM_INSTALMENT_NUMBER_AMT_PAYMENT_std_std,411,3783.589807033539
ins_gby-SK_ID_CURR-NUM_INSTALMENT_VERSION_DAYS_INSTALMENT_min_max,415,3782.2895045280457
pos_gby-SK_ID_CURR-NAME_CONTRACT_STATUS_MONTHS_BALANCE_max_mean,428,3765.160155773163
bureau_CREDIT_ACTIVE_Active_norm,263,3761.359881401062
ins_gby-SK_ID_CURR-SK_ID_PREV_AMT_INSTALMENT_mean_min,414,3757.659885406494
bureau_gby-SK_ID_CURR-CREDIT_TYPE_DAYS_CREDIT_UPDATE_max_sum,398,3752.9420704841614
bureau_gby-SK_ID_CURR-CREDIT_TYPE_DAYS_CREDIT_ENDDATE_mean_std,424,3744.7859621047974
bureau_gby-SK_ID_CURR-CREDIT_TYPE_AMT_CREDIT_SUM_sum_std,416,3741.321135520935
bureau_gby-SK_ID_CURR-CREDIT_TYPE_DAYS_CREDIT_UPDATE_max_mean,401,3740.0244612693787
bureau_gby-SK_ID_CURR-CREDIT_ACTIVE_DAYS_CREDIT_sum_max,414,3736.8308086395264
bureau_gby-SK_ID_CURR-CREDIT_TYPE_DAYS_CREDIT_mean_sum,395,3735.800591468811
ins_gby-SK_ID_CURR-SK_ID_PREV_AMT_INSTALMENT_min_std,418,3730.4643211364746
bureau_gby-SK_ID_CURR-CREDIT_ACTIVE_AMT_CREDIT_SUM_mean_mean,390,3725.367033481598
ins_gby-SK_ID_CURR-NUM_INSTALMENT_VERSION_AMT_PAYMENT_sum_max,396,3723.333574771881
bureau_gby-SK_ID_CURR-CREDIT_ACTIVE_AMT_CREDIT_SUM_sum_min,422,3717.960139274597
ins_gby-SK_ID_CURR-NUM_INSTALMENT_NUMBER_DAYS_ENTRY_PAYMENT_std_max-min,416,3708.0658764839172
bureau_gby-SK_ID_CURR-CREDIT_TYPE_AMT_CREDIT_SUM_max_min,414,3698.2944922447205
bureau_gby-SK_ID_CURR-CREDIT_TYPE_AMT_CREDIT_SUM_min_sum,389,3694.5040135383606
pos_NAME_CONTRACT_STATUS_Active_norm,411,3694.4546456336975
ins_gby-SK_ID_CURR-SK_ID_PREV_DAYS_ENTRY_PAYMENT_std_min,420,3665.5625524520874
ins_gby-SK_ID_CURR-NUM_INSTALMENT_VERSION_DAYS_INSTALMENT_max_sum,411,3664.1366543769836
ins_gby-SK_ID_CURR-NUM_INSTALMENT_NUMBER_AMT_PAYMENT_min_std,412,3658.014712333679
bureau_gby-SK_ID_CURR-CREDIT_TYPE_AMT_CREDIT_SUM_DEBT_std_mean,396,3651.096610069275
bureau_gby-SK_ID_CURR-CREDIT_ACTIVE_AMT_CREDIT_SUM_max_min,406,3638.9653339385986
bureau_gby-SK_ID_CURR-CREDIT_TYPE_DAYS_CREDIT_std_min,386,3636.364221096039
bureau_gby-SK_ID_CURR-CREDIT_TYPE_DAYS_CREDIT_mean_std,411,3627.1827268600464
bureau_gby-SK_ID_CURR-CREDIT_TYPE_DAYS_CREDIT_min_std,404,3621.3407611846924
ins_gby-SK_ID_CURR-NUM_INSTALMENT_NUMBER_AMT_PAYMENT_sum_min,363,3619.381658554077
pos_gby-SK_ID_CURR-NAME_CONTRACT_STATUS_CNT_INSTALMENT_FUTURE_std_std,381,3614.697557449341
pos_gby-SK_ID_CURR-NAME_CONTRACT_STATUS_MONTHS_BALANCE_mean_max,399,3611.2217354774475
bureau_gby-SK_ID_CURR-CREDIT_ACTIVE_DAYS_CREDIT_ENDDATE_min_max,405,3608.170624732971
ins_gby-SK_ID_CURR-NUM_INSTALMENT_NUMBER_DAYS_INSTALMENT_std_mean,369,3608.14976978302
bureau_gby-SK_ID_CURR-CREDIT_ACTIVE_DAYS_CREDIT_UPDATE_std_mean,403,3600.885982990265
bureau_gby-SK_ID_CURR-CREDIT_ACTIVE_DAYS_CREDIT_max_std,393,3596.540515422821
ins_gby-SK_ID_CURR-NUM_INSTALMENT_VERSION_AMT_PAYMENT_min_max,379,3593.7013263702393
bureau_gby-SK_ID_CURR_DAYS_CREDIT_ENDDATE_max,405,3582.4048175811768
bureau_gby-SK_ID_CURR-CREDIT_ACTIVE_AMT_CREDIT_SUM_DEBT_mean_std,403,3581.31196641922
bureau_gby-SK_ID_CURR-CREDIT_ACTIVE_AMT_CREDIT_SUM_DEBT_min_max,392,3567.4939517974854
pos_gby-SK_ID_CURR-SK_ID_PREV_MONTHS_BALANCE_min_std,404,3564.1641778945923
pos_gby-SK_ID_CURR-SK_ID_PREV_CNT_INSTALMENT_FUTURE_mean_std,360,3554.450885772705
ins_gby-SK_ID_CURR-NUM_INSTALMENT_VERSION_DAYS_ENTRY_PAYMENT_min_std,393,3554.269139289856
bureau_gby-SK_ID_CURR-CREDIT_ACTIVE_DAYS_CREDIT_ENDDATE_std_min,399,3551.9182963371277
bureau_gby-SK_ID_CURR-CREDIT_TYPE_DAYS_CREDIT_ENDDATE_max_std,390,3549.65833234787
pos_gby-SK_ID_CURR-SK_ID_PREV_CNT_INSTALMENT_FUTURE_mean_max,366,3543.5036940574646
bureau_gby-SK_ID_CURR-CREDIT_ACTIVE_DAYS_CREDIT_ENDDATE_mean_std,392,3539.6815609931946
bureau_gby-SK_ID_CURR-CREDIT_ACTIVE_AMT_CREDIT_SUM_min_sum,383,3537.75027179718
bureau_gby-SK_ID_CURR-CREDIT_ACTIVE_DAYS_ENDDATE_FACT_max_mean,379,3536.0298709869385
ins_gby-SK_ID_CURR-NUM_INSTALMENT_NUMBER_AMT_INSTALMENT_max_min,383,3530.00430393219
ins_gby-SK_ID_CURR-NUM_INSTALMENT_NUMBER_AMT_INSTALMENT_sum_min,366,3528.5578289031982
ins_gby-SK_ID_CURR-SK_ID_PREV_AMT_PAYMENT_min_std,390,3525.044849872589
ins_gby-SK_ID_CURR-NUM_INSTALMENT_VERSION_DAYS_ENTRY_PAYMENT_max_sum,393,3517.778548717499
bureau_gby-SK_ID_CURR_AMT_CREDIT_SUM_mean,373,3515.61155462265
ins_gby-SK_ID_CURR-SK_ID_PREV_AMT_PAYMENT_mean_std,396,3514.545382976532
bureau_gby-SK_ID_CURR-CREDIT_TYPE_AMT_CREDIT_SUM_DEBT_std_max,385,3511.1952147483826
ins_gby-SK_ID_CURR-NUM_INSTALMENT_NUMBER_DAYS_ENTRY_PAYMENT_sum_max,383,3503.287492275238
bureau_gby-SK_ID_CURR-CREDIT_TYPE_AMT_CREDIT_SUM_DEBT_mean_min,341,3494.350085735321
bureau_gby-SK_ID_CURR-CREDIT_TYPE_DAYS_CREDIT_ENDDATE_min_max,396,3491.4542627334595
ins_gby-SK_ID_CURR-NUM_INSTALMENT_NUMBER_DAYS_ENTRY_PAYMENT_max_std,387,3487.9153113365173
bureau_gby-SK_ID_CURR-CREDIT_ACTIVE_AMT_CREDIT_SUM_sum_std,399,3486.740128517151
ins_gby-SK_ID_CURR-SK_ID_PREV_AMT_PAYMENT_max_min,391,3486.527044773102
bureau_gby-SK_ID_CURR-CREDIT_ACTIVE_DAYS_CREDIT_sum_std,373,3464.2918105125427
bureau_gby-SK_ID_CURR-CREDIT_TYPE_AMT_CREDIT_SUM_max_std,381,3460.513286113739
bureau_gby-SK_ID_CURR-CREDIT_ACTIVE_DAYS_CREDIT_mean_std,379,3459.8315868377686
pos_gby-SK_ID_CURR-SK_ID_PREV_CNT_INSTALMENT_FUTURE_std_min,395,3458.579887866974
ins_gby-SK_ID_CURR-NUM_INSTALMENT_VERSION_DAYS_INSTALMENT_max_mean,389,3448.0869455337524
bureau_gby-SK_ID_CURR-CREDIT_TYPE_AMT_CREDIT_SUM_mean_max,364,3445.7320070266724
ins_gby-SK_ID_CURR-NUM_INSTALMENT_VERSION_AMT_PAYMENT_sum_min,378,3440.6862626075745
pos_gby-SK_ID_CURR-NAME_CONTRACT_STATUS_MONTHS_BALANCE_mean_max-min,388,3435.3617811203003
pos_gby-SK_ID_CURR-SK_ID_PREV_CNT_INSTALMENT_FUTURE_std_std,385,3434.6662549972534
pos_gby-SK_ID_CURR-NAME_CONTRACT_STATUS_MONTHS_BALANCE_std_std,373,3412.390022754669
ins_gby-SK_ID_CURR-NUM_INSTALMENT_NUMBER_AMT_PAYMENT_max_min,341,3411.1198029518127
bureau_gby-SK_ID_CURR-CREDIT_ACTIVE_AMT_CREDIT_SUM_std_mean,370,3409.2337646484375
ins_gby-SK_ID_CURR-NUM_INSTALMENT_NUMBER_DAYS_INSTALMENT_std_min,335,3405.512855529785
pos_gby-SK_ID_CURR-SK_ID_PREV_MONTHS_BALANCE_sum_mean,375,3404.050423145294
pos_gby-SK_ID_CURR-NAME_CONTRACT_STATUS_CNT_INSTALMENT_std_std,375,3397.0918703079224
bureau_gby-SK_ID_CURR-CREDIT_ACTIVE_DAYS_CREDIT_ENDDATE_std_max,373,3387.709990501404
ins_gby-SK_ID_CURR-NUM_INSTALMENT_VERSION_AMT_PAYMENT_min_sum,360,3385.068635225296
pos_gby-SK_ID_CURR-SK_ID_PREV_size_std,374,3383.9836192131042
ins_gby-SK_ID_CURR-NUM_INSTALMENT_NUMBER_AMT_INSTALMENT_std_std,366,3378.3688802719116
bureau_gby-SK_ID_CURR-CREDIT_ACTIVE_DAYS_CREDIT_std_max,390,3373.6128721237183
bureau_gby-SK_ID_CURR-CREDIT_ACTIVE_DAYS_CREDIT_mean_mean,279,3369.9528131484985
pos_gby-SK_ID_CURR-SK_ID_PREV_MONTHS_BALANCE_std_std,384,3349.3222212791443
ins_gby-SK_ID_CURR-NUM_INSTALMENT_NUMBER_AMT_INSTALMENT_mean_min,344,3344.555061340332
ins_gby-SK_ID_CURR-NUM_INSTALMENT_VERSION_DAYS_ENTRY_PAYMENT_mean_std,373,3343.7089109420776
ins_gby-SK_ID_CURR-NUM_INSTALMENT_NUMBER_AMT_INSTALMENT_std_max,309,3340.340023994446
bureau_gby-SK_ID_CURR-CREDIT_ACTIVE_DAYS_CREDIT_std_mean,364,3336.9094309806824
ins_gby-SK_ID_CURR-NUM_INSTALMENT_VERSION_DAYS_INSTALMENT_min_std,388,3331.754162788391
bureau_gby-SK_ID_CURR-CREDIT_CURRENCY_DAYS_CREDIT_ENDDATE_max_min,367,3329.677315711975
pos_gby-SK_ID_CURR-SK_ID_PREV_CNT_INSTALMENT_FUTURE_min_mean,371,3328.896146774292
ins_gby-SK_ID_CURR-NUM_INSTALMENT_NUMBER_DAYS_INSTALMENT_min_max,371,3322.5444316864014
pos_gby-SK_ID_CURR-NAME_CONTRACT_STATUS_CNT_INSTALMENT_FUTURE_sum_std,357,3316.4245347976685
pos_gby-SK_ID_CURR-SK_ID_PREV_CNT_INSTALMENT_std_std,349,3309.746115207672
ins_gby-SK_ID_CURR-NUM_INSTALMENT_NUMBER_AMT_PAYMENT_std_max-min,364,3302.469428062439
ins_gby-SK_ID_CURR-SK_ID_PREV_DAYS_ENTRY_PAYMENT_min_max,371,3300.377031803131
bureau_gby-SK_ID_CURR_DAYS_CREDIT_ENDDATE_std,363,3294.7453985214233
bureau_gby-SK_ID_CURR-CREDIT_TYPE_AMT_CREDIT_SUM_mean_mean,357,3294.6807918548584
ins_gby-SK_ID_CURR-NUM_INSTALMENT_NUMBER_DAYS_ENTRY_PAYMENT_std_max,366,3294.4078211784363
bureau_gby-SK_ID_CURR_AMT_CREDIT_SUM_DEBT_mean,342,3293.9488911628723
bureau_gby-SK_ID_CURR-CREDIT_TYPE_DAYS_CREDIT_ENDDATE_std_min,369,3289.703812599182
bureau_gby-SK_ID_CURR_DAYS_CREDIT_std,357,3274.2996315956116
