index,split,gain
bureau_DAYS_CREDIT-currency_1_mean,484,12534.051939964294
bureau_DAYS_CREDIT_UPDATE-currency_1_mean,481,9317.709487915039
bureau_DAYS_CREDIT_ENDDATE-Consumer_credit_mean,511,8783.501504898071
bureau_DAYS_CREDIT-Active_mean,582,8178.969297409058
bureau_AMT_CREDIT_SUM_DEBT-Credit_card_mean,412,7911.400057315826
bureau_AMT_CREDIT_SUM_DEBT-Credit_card_sum,407,7728.42196559906
bureau_DAYS_CREDIT_ENDDATE-Consumer_credit_sum,450,7058.7206745147705
bureau_AMT_CREDIT_SUM-Closed_mean,451,6494.563951015472
prev_DAYS_DECISION-high_mean,223,6336.379849433899
bureau_AMT_CREDIT_SUM-currency_1_mean,556,6322.379099845886
bureau_DAYS_CREDIT-Closed_mean,421,6220.241282939911
bureau_DAYS_CREDIT-Credit_card_mean,412,6099.41251707077
bureau_AMT_CREDIT_SUM-Closed_sum,465,6096.794981956482
bureau_DAYS_CREDIT-Consumer_credit_mean,374,5866.6579003334045
bureau_DAYS_CREDIT_ENDDATE-currency_1_mean,454,5620.1525592803955
bureau_DAYS_CREDIT_ENDDATE-Active_sum,495,5479.669475078583
bureau_AMT_CREDIT_SUM_DEBT-currency_1_mean,420,5367.971868515015
bureau_AMT_CREDIT_SUM_DEBT-Active_sum,488,5186.17226934433
bureau_DAYS_CREDIT_UPDATE-Credit_card_mean,479,5080.1779980659485
bureau_AMT_CREDIT_SUM_DEBT-currency_1_sum,437,5037.117661476135
bureau_DAYS_CREDIT_UPDATE-Consumer_credit_mean,432,4909.461024284363
bureau_DAYS_CREDIT_ENDDATE-currency_1_sum,366,4854.705173492432
bureau_DAYS_ENDDATE_FACT-Closed_mean,371,4819.433351516724
bureau_AMT_CREDIT_MAX_OVERDUE-Active_mean,241,4727.746222019196
bureau_AMT_CREDIT_MAX_OVERDUE-currency_1_sum,300,4664.660443305969
bureau_AMT_CREDIT_MAX_OVERDUE-Consumer_credit_mean,363,4659.599207401276
bureau_AMT_CREDIT_MAX_OVERDUE-currency_1_mean,330,4646.64186000824
bureau_AMT_CREDIT_SUM_DEBT-Active_mean,470,4614.542192459106
prev_CNT_PAYMENT-high_mean,257,4510.389142036438
prev_DAYS_LAST_DUE_1ST_VERSION-high_mean,243,4453.8685665130615
bureau_AMT_CREDIT_SUM_DEBT-Consumer_credit_mean,455,4439.8202252388
bureau_AMT_CREDIT_SUM-Active_mean,421,4407.420978546143
bureau_DAYS_CREDIT-Active_sum,447,4402.486243247986
bureau_DAYS_CREDIT_ENDDATE-Closed_mean,427,4349.1326212883
bureau_AMT_CREDIT_SUM-Consumer_credit_mean,441,4292.814895153046
bureau_AMT_CREDIT_MAX_OVERDUE-Active_sum,171,4283.301947116852
prev_AMT_ANNUITY-New_sum,415,4246.744559764862
prev_AMT_DOWN_PAYMENT-New_sum,313,4197.415747642517
prev_DAYS_LAST_DUE_1ST_VERSION-middle_mean,427,4159.7855043411255
bureau_AMT_CREDIT_SUM-Credit_card_sum,415,4149.316764354706
bureau_DAYS_CREDIT-Credit_card_sum,422,4148.873923778534
bureau_DAYS_CREDIT-currency_1_sum,420,4146.076192378998
prev_DAYS_DECISION-Refused_mean,185,4084.097143650055
bureau_DAYS_CREDIT-Consumer_credit_sum,399,4043.799032688141
bureau_AMT_CREDIT_SUM-Active_sum,413,4026.50031042099
bureau_DAYS_CREDIT_UPDATE-Active_mean,408,4007.482172012329
bureau_DAYS_CREDIT_UPDATE-Closed_mean,387,3975.7956318855286
prev_AMT_ANNUITY-Cash_through_the_bank_mean,415,3934.9558334350586
bureau_AMT_CREDIT_SUM-Credit_card_mean,398,3863.410966873169
bureau_DAYS_CREDIT_UPDATE-Consumer_credit_sum,393,3845.2279052734375
prev_AMT_ANNUITY-Unaccompanied_sum,393,3843.548367023468
bureau_DAYS_CREDIT-Closed_sum,348,3834.546724796295
bureau_AMT_CREDIT_MAX_OVERDUE-Consumer_credit_sum,287,3826.5386748313904
prev_AMT_ANNUITY-Approved_sum,309,3804.899076461792
bureau_AMT_CREDIT_SUM-currency_1_std,394,3796.617111682892
bureau_DAYS_ENDDATE_FACT-Consumer_credit_mean,352,3774.617326259613
prev_DAYS_DECISION-Cash_through_the_bank_mean,391,3756.3028049468994
bureau_DAYS_ENDDATE_FACT-currency_1_mean,330,3725.431968688965
bureau_AMT_CREDIT_SUM-currency_1_sum,373,3722.552275657654
prev_DAYS_LAST_DUE_1ST_VERSION-Cash_X-Sell:_low_mean,164,3681.333695411682
prev_AMT_ANNUITY-New_mean,343,3616.0031394958496
bureau_DAYS_CREDIT_ENDDATE-Closed_sum,370,3613.720850467682
prev_DAYS_LAST_DUE_1ST_VERSION-middle_sum,350,3596.4889187812805
bureau_DAYS_CREDIT_UPDATE-Active_sum,370,3575.24382352829
prev_AMT_APPLICATION-New_mean,341,3498.954601287842
prev_CNT_PAYMENT-Cash_through_the_bank_mean,337,3452.4417209625244
bureau_DAYS_CREDIT_ENDDATE-Credit_card_mean,358,3439.506920337677
bureau_AMT_CREDIT_SUM_DEBT-Credit_card_std,277,3418.833543777466
bureau_AMT_CREDIT_SUM-Consumer_credit_sum,357,3418.6761198043823
prev_HOUR_APPR_PROCESS_START-Consumer_loans_mean,341,3415.249185562134
prev_AMT_GOODS_PRICE-New_mean,319,3409.6958265304565
prev_DAYS_TERMINATION-Cash_through_the_bank_mean,344,3403.2097687721252
prev_AMT_ANNUITY-Consumer_loans_mean,336,3385.587652206421
prev_AMT_ANNUITY-POS_mean,344,3380.8711681365967
bureau_DAYS_CREDIT-Consumer_credit_std,328,3374.367331504822
bureau_AMT_CREDIT_SUM-Consumer_credit_std,335,3358.893268585205
prev_DAYS_FIRST_DUE-New_sum,292,3334.1490516662598
prev_DAYS_LAST_DUE_1ST_VERSION-New_mean,288,3253.208866596222
prev_RATE_DOWN_PAYMENT-New_sum,297,3227.1452498435974
bureau_AMT_CREDIT_SUM_DEBT-Consumer_credit_sum,341,3197.84760761261
prev_HOUR_APPR_PROCESS_START-Cash_through_the_bank_sum,330,3192.824185371399
prev_HOUR_APPR_PROCESS_START-Country-wide_mean,347,3154.179353237152
bureau_DAYS_ENDDATE_FACT-Consumer_credit_sum,311,3144.2059288024902
prev_DAYS_TERMINATION-high_mean,268,3132.3247027397156
bureau_DAYS_CREDIT_UPDATE-Closed_sum,316,3120.233257293701
prev_DAYS_FIRST_DUE-Cash_through_the_bank_mean,336,3116.791531562805
bureau_DAYS_CREDIT_ENDDATE-Active_mean,282,3105.2323780059814
bureau_DAYS_CREDIT_ENDDATE-Consumer_credit_std,316,3102.2888708114624
prev_DAYS_LAST_DUE_1ST_VERSION-high_sum,201,3096.927248954773
prev_CNT_PAYMENT-Repeater_mean,316,3093.9602785110474
prev_HOUR_APPR_PROCESS_START-XAP_mean,325,3091.7578949928284
prev_CNT_PAYMENT-high_sum,245,3075.344603061676
bureau_DAYS_CREDIT-currency_1_std,282,3025.0134630203247
prev_DAYS_LAST_DUE-Cash_through_the_bank_mean,310,3024.9645018577576
prev_DAYS_DECISION-Unaccompanied_mean,306,3024.1024208068848
prev_AMT_APPLICATION-New_sum,307,3004.967960357666
prev_DAYS_TERMINATION-Cash_through_the_bank_sum,316,3001.45196723938
prev_HOUR_APPR_PROCESS_START-New_mean,271,2996.3950519561768
bureau_DAYS_CREDIT_UPDATE-currency_1_std,302,2981.7018842697144
prev_AMT_DOWN_PAYMENT-Approved_sum,181,2977.1159954071045
prev_HOUR_APPR_PROCESS_START-Approved_mean,316,2972.404984474182
prev_AMT_ANNUITY-POS_sum,289,2967.054876804352
prev_DAYS_TERMINATION-New_mean,265,2961.802451610565
bureau_AMT_CREDIT_SUM_LIMIT-Credit_card_mean,272,2950.441207885742
prev_AMT_CREDIT-New_sum,306,2944.3876733779907
bureau_DAYS_CREDIT_ENDDATE-Active_std,300,2938.511260032654
bureau_DAYS_CREDIT-Closed_std,260,2928.40305185318
prev_AMT_DOWN_PAYMENT-New_mean,298,2920.866656780243
