index,split,gain
bureau_DAYS_CREDIT-currency_1_mean,566,13140.211656093597
pos_SK_DPD_bin,258,10369.685565948486
bureau_DAYS_CREDIT-Consumer_credit_mean,571,9475.637409687042
bureau_DAYS_CREDIT-Active_mean,686,9436.465485572815
bureau_AMT_CREDIT_SUM_DEBT-Credit_card_mean,434,8330.413883209229
bureau_DAYS_CREDIT_ENDDATE-Consumer_credit_sum,518,8001.930476665497
bureau_AMT_CREDIT_SUM_DEBT-Credit_card_sum,423,7864.581142902374
bureau_DAYS_CREDIT_ENDDATE-Consumer_credit_mean,487,7565.985449790955
bureau_DAYS_CREDIT-Credit_card_mean,555,7363.840069770813
bureau_AMT_CREDIT_SUM-Closed_sum,568,7343.608530521393
bureau_DAYS_CREDIT_UPDATE-currency_1_mean,409,7082.462902069092
bureau_DAYS_ENDDATE_FACT-Closed_mean,499,6336.035848140717
bureau_DAYS_CREDIT_ENDDATE-currency_1_sum,535,6196.179778575897
bureau_AMT_CREDIT_SUM_DEBT-currency_1_mean,469,6193.016486644745
bureau_AMT_CREDIT_SUM-Consumer_credit_mean,622,6184.119743347168
bureau_DAYS_CREDIT_ENDDATE-currency_1_mean,504,5899.768731594086
prev_DAYS_DECISION-Refused_mean,256,5600.560822963715
bureau_AMT_CREDIT_SUM-currency_1_sum,554,5565.47483253479
bureau_DAYS_CREDIT-Closed_mean,402,5560.8399777412415
bureau_DAYS_CREDIT_UPDATE-Consumer_credit_mean,522,5532.1949343681335
bureau_DAYS_CREDIT_ENDDATE-Active_mean,514,5506.687775611877
prev_DAYS_LAST_DUE_1ST_VERSION-high_mean,337,5498.032296180725
bureau_AMT_CREDIT_MAX_OVERDUE-Consumer_credit_mean,415,5317.758662700653
bureau_DAYS_CREDIT_UPDATE-Active_mean,557,5281.0387806892395
bureau_AMT_CREDIT_MAX_OVERDUE-currency_1_mean,355,5125.045671463013
bureau_DAYS_CREDIT-Active_sum,511,5056.646923542023
prev_DAYS_LAST_DUE_1ST_VERSION-high_sum,277,5007.287291049957
