index,split,gain
bureau_CREDIT_ACTIVE-CREDIT_CURRENCY_Closed-currency-1_norm,8974,20824.282619046004
bureau_CREDIT_ACTIVE-CREDIT_CURRENCY_Active-currency-1_norm,8058,17247.258179184628
bureau_CREDIT_ACTIVE-CREDIT_TYPE_Active-Consumer-credit_norm,10725,16103.253553951952
bureau_CREDIT_ACTIVE-CREDIT_TYPE_Closed-Consumer-credit_norm,9835,15447.835325179296
bureau_CREDIT_ACTIVE-CREDIT_TYPE_Active-Credit-card_norm,10502,15409.789680081502
bureau_CREDIT_CURRENCY-CREDIT_TYPE_currency-1-Consumer-credit_norm,10848,14446.04856856526
bureau_CREDIT_CURRENCY-CREDIT_TYPE_currency-1-Credit-card_norm,11347,12863.629660886134
bureau_CREDIT_ACTIVE-CREDIT_CURRENCY_Closed-currency-1_sum,7930,10701.850941813018
bureau_CREDIT_ACTIVE-CREDIT_TYPE_Closed-Consumer-credit_sum,8267,10281.475769633455
bureau_CREDIT_ACTIVE-CREDIT_TYPE_Closed-Credit-card_norm,9650,9780.587332527788
bureau_CREDIT_CURRENCY-CREDIT_TYPE_currency-1-Credit-card_sum,7670,9650.628151129094
bureau_CREDIT_ACTIVE-CREDIT_CURRENCY_Active-currency-1_sum,4675,9381.31195342763
bureau_CREDIT_CURRENCY-CREDIT_TYPE_currency-1-Consumer-credit_sum,8016,9002.061482930541
bureau_CREDIT_ACTIVE-CREDIT_TYPE_Active-Credit-card_sum,2957,5134.691210925761
bureau_CREDIT_ACTIVE-CREDIT_TYPE_Active-Consumer-credit_sum,2795,5042.77126960763
bureau_CREDIT_CURRENCY-CREDIT_TYPE_currency-1-Car-loan_norm,4462,4566.627231561194
bureau_CREDIT_CURRENCY-CREDIT_TYPE_currency-1-Microloan_norm,1331,4557.393871713019
bureau_CREDIT_ACTIVE-CREDIT_TYPE_Closed-Credit-card_sum,4001,4369.501946218441
bureau_CREDIT_CURRENCY-CREDIT_TYPE_currency-1-Microloan_sum,836,4062.8357470863157
bureau_CREDIT_ACTIVE-CREDIT_TYPE_Active-Mortgage_norm,2776,3784.054443193578
bureau_CREDIT_CURRENCY-CREDIT_TYPE_currency-1-Mortgage_norm,3504,3775.659805058385
bureau_CREDIT_ACTIVE-CREDIT_TYPE_Active-Microloan_norm,977,3747.474877182138
bureau_CREDIT_ACTIVE-CREDIT_TYPE_Active-Microloan_sum,319,3345.5792424489846
bureau_CREDIT_ACTIVE-CREDIT_CURRENCY_Sold-currency-1_norm,2279,3202.7645673774264
bureau_CREDIT_ACTIVE-CREDIT_TYPE_Active-Car-loan_norm,2962,3144.000073663599
bureau_CREDIT_ACTIVE-CREDIT_TYPE_Closed-Car-loan_norm,2951,3020.03959788232
bureau_CREDIT_ACTIVE-CREDIT_TYPE_Closed-Microloan_norm,1333,2995.364228591683
bureau_CREDIT_ACTIVE-CREDIT_TYPE_Closed-Microloan_sum,710,2247.6263634773786
bureau_CREDIT_ACTIVE-CREDIT_TYPE_Sold-Consumer-credit_norm,931,1842.179688468908
bureau_CREDIT_ACTIVE-CREDIT_TYPE_Closed-Car-loan_sum,1076,1550.0355581021263
bureau_CREDIT_ACTIVE-CREDIT_TYPE_Closed-Mortgage_norm,1333,1271.1892963057016
bureau_CREDIT_ACTIVE-CREDIT_TYPE_Sold-Credit-card_norm,1176,1235.7555478809627
bureau_CREDIT_CURRENCY-CREDIT_TYPE_currency-1-Car-loan_sum,1168,1229.2858948716746
bureau_CREDIT_CURRENCY-CREDIT_TYPE_currency-1-Mortgage_sum,633,1193.1769481268818
bureau_CREDIT_ACTIVE-CREDIT_CURRENCY_Sold-currency-1_sum,717,995.7874106444069
bureau_CREDIT_ACTIVE-CREDIT_TYPE_Sold-Consumer-credit_sum,434,946.3374925067183
