feature,split,gain
f001_EXT_SOURCES_mean,561,256440.92960643768
f001_EXT_SOURCES_sum,283,57479.12432253361
f001_ORGANIZATION_TYPE,1722,44286.851749658585
f001_EXT_SOURCE_3,341,34539.54737818241
f001_EXT_SOURCE_2,283,21311.86311483383
f001_AMT_GOODS_PRICE-d-AMT_CREDIT,283,14897.6212682724
f001_EXT_SOURCES_prod,152,12777.007650375366
f101_approved_AMT_GOODS_PRICE-d-total_debt_mean,166,9905.266765117645
f001_OCCUPATION_TYPE,215,9286.967354774475
f001_AMT_GOODS_PRICE-d-AMT_ANNUITY,187,8698.285397291183
f001_AMT_CREDIT-d-AMT_ANNUITY,248,8607.619771957397
f001_CODE_GENDER,189,8110.454900979996
f001_NAME_EDUCATION_TYPE,128,7816.437801361084
f001_DAYS_EMPLOYED,103,7397.2414474487305
f001_PAYMENT_RATE,208,7323.434778690338
f001_maxwell_feature_1,99,5334.010028362274
f105_prevapp_future_payment_13m,125,5317.8789935112
f101_approved_AMT_CREDIT-d-total_debt_mean,86,4668.614657998085
f101_approved_AMT_GOODS_PRICE-d-total_debt_max,92,4607.847822189331
f001_EXT_SOURCE_1,151,4487.192452073097
f001_AMT_GOODS_PRICE-m-AMT_CREDIT,136,4269.301273941994
f001_EXT_SOURCES_2-3,102,4196.084110498428
f105_prevapp_future_payment_12m,80,3850.729500770569
f001_AMT_GOODS_PRICE,86,3763.539942741394
f105_approved_ratio,52,3399.455496788025
f101_approved_cnt_unpaid_var,60,3245.488405227661
f101_approved_DAYS_FIRST_DRAWING-d-app_DAYS_BIRTH_min,76,3108.7437996268272
f001_DAYS_EMPLOYED-m-DAYS_BIRTH,92,3030.569564342499
f101_refused_AMT_GOODS_PRICE-d-total_debt_min,57,2986.4315037727356
f001_AMT_GOODS_PRICE-m-AMT_CREDIT-d-AMT_INCOME_TOTAL,99,2890.5873601436615
f001_NAME_FAMILY_STATUS,99,2763.8533363342285
f001_DEF_30_CNT_SOCIAL_CIRCLE,94,2727.889828443527
f001_DAYS_ID_PUBLISH-m-DAYS_BIRTH,103,2659.2963695526123
