feature,split,gain
f001_EXT_SOURCES_mean,1177,276833.6887962818
f001_EXT_SOURCES_sum,729,67975.24608564377
f001_ORGANIZATION_TYPE,2122,47306.90275144577
f001_EXT_SOURCE_3,617,33619.01667332649
f001_EXT_SOURCE_2,445,22346.99875020981
f001_goods_price-d-credit,602,18108.596138954163
f101_approved_AMT_GOODS_PRICE-d-total_debt_mean,378,12008.102828860283
f001_credit-d-annuity,400,11546.531211674213
f001_OCCUPATION_TYPE,340,11365.957559585571
f001_EXT_SOURCES_prod,211,11355.122719287872
f001_CODE_GENDER,326,10624.886099338531
f001_PAYMENT_RATE,346,10215.455858945847
f105_approved_ratio,344,9812.2575776577
f001_goods_price-d-annuity,337,9749.432436943054
f001_NAME_EDUCATION_TYPE,180,9280.671890258789
f105_future_vs_past_max-d-income,280,8530.100653648376
f106_NAME_CONTRACT_STATUS-Approved_appref,272,7494.638138949871
f105_prevapp_future_payment_13m,239,6914.408509969711
f001_maxwell_feature_1,169,6213.356063008308
f101_approved_AMT_CREDIT-d-total_debt_mean,228,5808.699234724045
f001_DAYS_EMPLOYED-d-DAYS_BIRTH,242,5625.226362645626
f001_DAYS_LAST_PHONE_CHANGE-m-DAYS_EMPLOYED,115,5364.304671704769
f105_prevapp_future_payment_12m,180,5285.682368755341
f001_goods_price-m-credit,225,4886.147008776665
f001_AMT_GOODS_PRICE,158,4715.021098613739
f101_approved_AMT_GOODS_PRICE-d-total_debt_max,177,4703.507117211819
f001_EXT_SOURCE_1,237,4599.494129657745
f108_PRODUCT_COMBINATION,247,4579.791189193726
f001_OWN_CAR_AGE-m-DAYS_EMPLOYED,147,4103.215860366821
f001_EXT_SOURCES_2-3,151,3840.484233379364
f001_DAYS_ID_PUBLISH-m-DAYS_BIRTH,168,3709.8151938915253
f105_past_payment_sum_max-d-annuity,136,3690.023556470871
f001_age_finish_payment,108,3615.074294567108
f101_refused_AMT_GOODS_PRICE-d-total_debt_mean,120,3595.668906211853
f001_NAME_FAMILY_STATUS,130,3472.4813838005066
f001_goods_price-m-credit-d-income,191,3282.776042819023
f001_DEF_30_CNT_SOCIAL_CIRCLE,123,3243.3690147399902
f001_OWN_CAR_AGE,103,3198.2633838653564
f106_CODE_REJECT_REASON-XAP,192,3149.1840435266495
f001_OWN_CAR_AGE-d-DAYS_BIRTH,121,2949.2916231155396
f001_EXT_SOURCES_std,120,2593.016798734665
f001_DAYS_EMPLOYED-m-DAYS_BIRTH,130,2560.005169391632
f001_FLAG_WORK_PHONE,106,2542.549135684967
f001_DAYS_BIRTH,101,2533.6976613998413
f105_future_vs_past_max,82,2382.320948958397
f001_alldocs_kurt,77,2342.690715789795
f001_REGION_RATING_CLIENT_W_CITY,89,2336.1918938159943
f101_approved_DAYS_FIRST_DRAWING-d-app_DAYS_BIRTH_min,92,2261.7608313560486
f101_active_AMT_CREDIT-d-total_debt_mean,92,2207.2845064401627
f101_active_AMT_GOODS_PRICE-d-total_debt_min,104,2205.491741299629
f001_EXT_SOURCES_1-2,101,2039.7923474311829
f001_DAYS_ID_PUBLISH,106,2032.1566441059113
f001_building_score_mode_mean,88,2016.8710559606552
f101_active_AMT_GOODS_PRICE-d-total_debt_mean,88,1998.859984278679
f001_REGION_POPULATION_RELATIVE,116,1941.0259228348732
f105_prevapp_future_payment_1vs6,69,1925.7574326992035
f101_active_AMT_CREDIT-d-total_debt_min,89,1897.8257884979248
f101_refused_AMT_GOODS_PRICE-d-total_debt_max,63,1854.5740470290184
f001_annuity-d-cnt_adults,106,1770.3848832249641
f001_DAYS_EMPLOYED_PERC,72,1741.9979537725449
f101_completed_DAYS_LAST_DUE-d-app_DAYS_EMPLOYED_min,59,1733.6557807922363
f101_approved_DAYS_LAST_DUE-d-app_DAYS_EMPLOYED_min,63,1706.0570368766785
f101_approved_AMT_ANNUITY-d-app_AMT_ANNUITY_max,91,1702.1335837841034
f108_app_AMT_GOODS_PRICE,62,1689.127642005682
f101_approved_AMT_ANNUITY-m-app_AMT_ANNUITY-d-app_AMT_INCOME_TOTAL_mean,89,1663.6937549114227
f106_NAME_CONTRACT_STATUS-Refused_appref,72,1662.0292991399765
f108_app_DAYS_BIRTH,68,1656.2204866409302
f101_approved_AMT_CREDIT-d-total_debt_var,74,1566.3657445907593
f101_approved_amt_paid_sum,71,1565.48579788208
f101_refused_AMT_CREDIT-d-total_debt_mean,52,1507.8570294380188
f001_DAYS_EMPLOYED,69,1474.202706336975
f001_FLAG_DOCUMENT_3,53,1459.5427031517029
f106_NAME_CONTRACT_STATUS-Refused,87,1455.3281741142273
f101_approved_NAME_CLIENT_TYPE_New_mean,59,1387.2752799987793
f101_completed_DAYS_FIRST_DRAWING-d-app_DAYS_BIRTH_min,64,1366.511957168579
f001_alldocs_std,55,1321.8636655807495
f101_approved_AMT_ANNUITY-d-app_AMT_ANNUITY_mean,71,1296.2654741853476
f105_DAYS_DECISION_max-m-DAYS_BIRTH,43,1287.6856184005737
f001_NAME_INCOME_TYPE,42,1262.1258039474487
f001_DEF_60_CNT_SOCIAL_CIRCLE,56,1257.86554813385
f106_NAME_CONTRACT_TYPE-Cash-loans_ref,50,1221.7611451148987
f101_approved_DAYS_FIRST_DUE-m-app_DAYS_BIRTH_max,38,1219.1407713890076
f101_approved_DAYS_LAST_DUE-d-app_DAYS_REGISTRATION_min,49,1210.5664200782776
f101_approved_AMT_CREDIT-d-total_debt_min,67,1209.1905088424683
f108_app_DAYS_ID_PUBLISH,57,1209.0407786369324
f001_REG_CITY_NOT_LIVE_CITY,52,1164.9032921791077
f108_AMT_CREDIT-d-total_debt,68,1161.1028008460999
f001_DAYS_ID_PUBLISH-d-DAYS_BIRTH,76,1155.9632133245468
f101_approved_AMT_GOODS_PRICE-d-total_debt_min,80,1154.6881380081177
f106_NAME_YIELD_GROUP-high_app,52,1151.7011165618896
f105_past_payment_sum_max-d-credit,62,1144.6817026138306
f101_approved_DAYS_FIRST_DRAWING-d-app_DAYS_BIRTH_max,57,1136.0107512027025
f101_approved_AMT_ANNUITY-m-app_AMT_ANNUITY_mean,58,1129.328327178955
f101_completed_DAYS_FIRST_DRAWING-d-app_DAYS_BIRTH_max,54,1113.8690023422241
f101_approved_DAYS_LAST_DUE-d-app_DAYS_ID_PUBLISH_min,53,1073.4164500236511
f106_NAME_CONTRACT_STATUS-Approved,66,1065.8358430862427
f101_approved_AMT_DOWN_PAYMENT_max,58,1031.8259255886078
f101_approved_cnt_unpaid_var,42,1025.8093419075012
f001_alldocs_skew,32,1018.6978483200073
f108_AMT_GOODS_PRICE-d-total_debt,68,1018.3677552342415
f001_EXT_SOURCES_2-1-3,45,1004.9086615070701
f001_building_score_medi_sum,42,996.1877994537354
f101_approved_AMT_GOODS_PRICE-d-app_AMT_ANNUITY_max,43,978.748295545578
f101_approved_DAYS_FIRST_DRAWING-d-app_DAYS_BIRTH_mean,42,947.4840979576111
f001_building_score_mode_sum,53,944.2911394238472
f001_OWN_CAR_AGE-m-DAYS_BIRTH,50,933.5293402671814
f101_completed_DAYS_TERMINATION-d-app_DAYS_EMPLOYED_min,36,921.0349460840225
f101_approved_DAYS_LAST_DUE-d-app_DAYS_BIRTH_min,53,908.435619354248
f101_approved_DAYS_FIRST_DUE-d-app_DAYS_EMPLOYED_min,65,903.1114816665649
f101_approved_AMT_ANNUITY-m-app_AMT_ANNUITY-d-app_AMT_INCOME_TOTAL_max,52,902.768301486969
f101_completed_amt_paid_sum,52,900.8112236261368
f108_NAME_GOODS_CATEGORY,50,899.9867959022522
f101_approved_AMT_GOODS_PRICE-d-AMT_CREDIT_mean,54,896.4084992408752
f101_approved_AMT_ANNUITY-m-app_AMT_GOODS_PRICE_min,40,894.1245675086975
f106_NAME_YIELD_GROUP-high_appref,52,893.9089760780334
f001_DAYS_LAST_PHONE_CHANGE-m-DAYS_BIRTH,49,891.0941733121872
f001_AMT_REQ_CREDIT_BUREAU_DAY,36,886.7443835735321
f101_approved_AMT_ANNUITY-m-app_AMT_ANNUITY_max,51,886.5379729270935
f101_approved_cnt_paid_ratio_var,38,870.4792604446411
f001_AMT_ANNUITY,48,867.8951690196991
f001_NEW_CAR_TO_BIRTH_RATIO,42,857.092945098877
f101_completed_AMT_ANNUITY-d-app_AMT_ANNUITY_mean,60,848.7044472694397
f101_completed_DAYS_FIRST_DRAWING-d-app_DAYS_BIRTH_mean,38,845.4946789741516
f101_approved_AMT_GOODS_PRICE-d-AMT_CREDIT_max,44,839.860107421875
f105_prevapp_future_payment_19m,44,825.2485661506653
f105_DAYS_LAST_DUE_1ST_VERSION_act_mean,41,797.7737307548523
f101_completed_AMT_ANNUITY-d-app_AMT_ANNUITY_max,54,790.286917924881
f001_building_score_avg_sum,42,788.7748503684998
f105_amt_paid-d-unpaid_mean,37,783.0731711387634
f101_approved_AMT_CREDIT-d-total_debt_max,52,778.3049303293228
f106_NAME_YIELD_GROUP-high_ref,42,771.2798906564713
f001_DAYS_REGISTRATION-m-DAYS_BIRTH-d-DAYS_LAST_PHONE_CHANGE-m-DAYS_ID_PUBLISH,55,768.7705315351486
f101_active_AMT_GOODS_PRICE-d-total_debt_max,46,767.3475890159607
f001_DAYS_ID_PUBLISH-m-DAYS_REGISTRATION-d-DAYS_LAST_PHONE_CHANGE-m-DAYS_ID_PUBLISH,55,753.983648955822
f101_approved_AMT_ANNUITY-m-app_AMT_ANNUITY-d-app_AMT_INCOME_TOTAL_min,51,749.0007319450378
f103_approved_AMT_CREDIT-d-total_debt_min,44,747.8550701141357
f001_AMT_REQ_CREDIT_BUREAU_QRT,38,743.2206873893738
f001_NEW_ANNUITY_TO_INCOME_RATIO,50,741.1327031850815
f101_refused_DAYS_FIRST_DRAWING-d-app_DAYS_BIRTH_min,27,740.9124817848206
f001_goods_price-d-CNT_CHILDREN,46,734.3020300865173
f105_prevapp_future_payment_21m,32,729.176920413971
f105_past_payment_sum_max-d-income,44,722.8526926040649
f001_DAYS_ID_PUBLISH-m-DAYS_EMPLOYED-d-DAYS_LAST_PHONE_CHANGE-m-DAYS_EMPLOYED,59,721.9303157329559
f106_NAME_GOODS_CATEGORY-XNA_ref,34,716.8656897544861
f001_AMT_ANNUITY-d-CNT_FAM_MEMBERS,51,715.4824194908142
f001_DAYS_ID_PUBLISH-m-DAYS_BIRTH-d-DAYS_LAST_PHONE_CHANGE-m-DAYS_ID_PUBLISH,51,705.847653388977
f101_completed_amt_paid_mean,47,705.5751485824585
f101_completed_AMT_ANNUITY-m-app_AMT_ANNUITY-d-app_AMT_INCOME_TOTAL_max,47,705.3308341503143
f001_DAYS_LAST_PHONE_CHANGE,40,703.3097456097603
f001_DAYS_REGISTRATION-m-DAYS_BIRTH,46,697.5918179452419
f101_approved_DAYS_LAST_DUE_1ST_VERSION-d-app_DAYS_ID_PUBLISH_min,37,697.2326657772064
f107_same_conttype_refused_cnt,31,691.1489357948303
f101_refused_DAYS_LAST_DUE-d-app_DAYS_REGISTRATION_min,28,688.4711012840271
f001_EXT_SOURCES_1-3,35,685.152110427618
f001_AMT_REQ_CREDIT_BUREAU_YEAR,43,674.7156887054443
f001_DAYS_REGISTRATION-m-DAYS_EMPLOYED-d-DAYS_LAST_PHONE_CHANGE-m-DAYS_EMPLOYED,58,672.3134325742722
f101_approved_HOUR_APPR_PROCESS_START_mean,49,662.1959199607372
f101_approved_HOUR_APPR_PROCESS_START_max,42,650.1792480945587
f101_approved_DAYS_TERMINATION-d-app_DAYS_BIRTH_min,35,647.9413442611694
f105_prevapp_future_payment_1vs5,27,642.8788685798645
