index,split,gain
EXT_SOURCE_3,289,22878.45264482498
EXT_SOURCE_2,203,13919.328336715698
EXT_SOURCE_1,422,13486.88349699974
AMT_GOODS_PRICE,382,5053.277316331863
DAYS_EMPLOYED,284,4855.821217060089
DAYS_BIRTH,267,4599.303371667862
OCCUPATION_TYPE,30,3563.0560698509216
DAYS_LAST_PHONE_CHANGE,258,2921.1070380210876
DAYS_ID_PUBLISH,268,2588.0281352996826
pos_gby-SK_ID_CURR-SK_ID_PREV_MONTHS_BALANCE_mean_max-min,205,2553.5905475616455
DAYS_REGISTRATION,309,2308.9495553970337
AMT_CREDIT,213,2200.413011074066
pos_gby-SK_ID_CURR-NAME_CONTRACT_STATUS_MONTHS_BALANCE_std_min,202,2089.695859670639
AMT_ANNUITY,249,2005.9951634407043
REGION_RATING_CLIENT_W_CITY,72,1973.3944308757782
ORGANIZATION_TYPE,43,1854.262059211731
pos_gby-SK_ID_CURR_MONTHS_BALANCE_std,157,1838.4589331150055
pos_gby-SK_ID_CURR-SK_ID_PREV_MONTHS_BALANCE_mean_sum,196,1685.97971701622
pos_gby-SK_ID_CURR_MONTHS_BALANCE_max-min,125,1615.5396103858948
pos_gby-SK_ID_CURR-NAME_CONTRACT_STATUS_MONTHS_BALANCE_std_max,147,1498.0656142234802
pos_gby-SK_ID_CURR-SK_ID_PREV_CNT_INSTALMENT_std_max,206,1487.071362733841
REGION_POPULATION_RELATIVE,183,1481.9080612659454
LIVINGAREA_AVG,175,1480.8707370758057
pos_gby-SK_ID_CURR-NAME_CONTRACT_STATUS_MONTHS_BALANCE_std_mean,119,1470.9002192020416
pos_gby-SK_ID_CURR-NAME_CONTRACT_STATUS_MONTHS_BALANCE_std_std,220,1412.758290529251
pos_gby-SK_ID_CURR-NAME_CONTRACT_STATUS_MONTHS_BALANCE_min_sum,168,1393.792043209076
pos_gby-SK_ID_CURR-SK_ID_PREV_CNT_INSTALMENT_FUTURE_mean_mean,167,1347.7832708358765
CODE_GENDER,39,1316.662458896637
pos_gby-SK_ID_CURR-SK_ID_PREV_MONTHS_BALANCE_max_sum,146,1309.7714745998383
pos_gby-SK_ID_CURR-NAME_CONTRACT_STATUS_MONTHS_BALANCE_mean_mean,190,1287.023910999298
pos_gby-SK_ID_CURR-SK_ID_PREV_CNT_INSTALMENT_FUTURE_std_mean,179,1286.4056429862976
pos_gby-SK_ID_CURR-SK_ID_PREV_CNT_INSTALMENT_mean_std,182,1279.601365327835
