feature,split,gain
f001_AMT_CREDIT-d-AMT_ANNUITY,3601.0,633386.3879898699
f001_EXT_SOURCES_std,1225.4,306137.6725103945
f001_PAYMENT_RATE,3474.8,297253.03778781084
f001_AMT_GOODS_PRICE-d-AMT_CREDIT,4581.4,289932.25226834265
f001_AMT_GOODS_PRICE-m-AMT_CREDIT,2686.0,164796.62591214007
f002_ORGANIZATION_TYPE,16239.8,141078.25360746385
f001_AMT_GOODS_PRICE-d-AMT_ANNUITY,3149.2,117310.51715305261
f505_Active_DAYS_CREDIT_UPDATE_min,1934.2,99983.83858128265
f505_Closed_DAYS_CREDIT_UPDATE_max,2145.8,73611.87981813103
f001_EXT_SOURCE_3,998.2,43357.34803595543
f001_EXT_SOURCE_1,833.0,40524.88495793492
f001_EXT_SOURCES_2-3,717.0,36355.49111871123
f310_DAYS_ENTRY_PAYMENT-m-app_DAYS_BIRTH_var,1344.4,35798.935240632294
f105_DAYS_DECISION_max,1792.4,34760.55156812035
f304_notdelay_DAYS_ENTRY_PAYMENT-m-app_DAYS_BIRTH_var,1139.8,32601.7124995172
f108_PRODUCT_COMBINATION,2444.8,31482.38049904108
f310_notdelay_DBD_mean,547.8,28480.1876434803
f001_alldocs_kurt,249.4,27767.173479032517
f505_Active_DAYS_CREDIT_ENDDATE_min,874.8,26422.757894332706
f001_AMT_GOODS_PRICE-m-AMT_CREDIT-d-AMT_INCOME_TOTAL,400.2,25532.21608631313
f501_DAYS_CREDIT_max,763.2,25277.970551222563
f505_Active_DAYS_CREDIT_ENDDATE-m-DAYS_CREDIT_min,1002.0,22623.44194868803
f501_DAYS_CREDIT_UPDATE-m-DAYS_CREDIT_ENDDATE_max,982.6,22499.660656940192
f501_DAYS_ENDDATE_FACT-d-app_DAYS_LAST_PHONE_CHANGE_min,806.2,20104.661834090948
f105_prevapp_future_payment_19m,799.4,19964.642436717822
f001_AMT_GOODS_PRICE-d-CNT_CHILDREN,801.8,18263.869077212177
f505_Active_DAYS_CREDIT_UPDATE-m-DAYS_CREDIT_ENDDATE_max,843.8,18202.554662185536
f501_DAYS_CREDIT_min,972.6,17150.826096895336
f303_DAYS_ENTRY_PAYMENT_mean,1053.6,16651.15586329475
f001_AMT_CREDIT-d-cnt_adults,864.0,16447.74029570371
f101_approved_NAME_TYPE_SUITE_Unaccompanied_mean,710.8,16047.60365626216
f001_EXT_SOURCES_1-2,598.0,13132.817612844705
f308_cons_DAYS_INSTALMENT_pctchange_min,996.2,12423.042923399062
f108_AMT_ANNUITY-m-app_AMT_GOODS_PRICE,894.8,12100.041551181674
f505_Closed_DAYS_CREDIT_UPDATE-m-DAYS_CREDIT_ENDDATE_mean,760.0,11870.795998162032
f505_Active_AMT_CREDIT_SUM_DEBT-d-AMT_CREDIT_SUM_min,510.2,11439.105647301674
f102_approved_AMT_CREDIT-d-total_debt_max,963.2,11125.863855904341
f303_days_weighted_delay_sum,543.4,10621.758517318964
f505_Active_AMT_CREDIT_SUM_DEBT-p-AMT_CREDIT_SUM_LIMIT_min,697.8,10348.793796798587
f001_AMT_ANNUITY-d-cnt_adults,680.0,10298.79664828442
f001_EXT_SOURCES_prod,330.6,9780.665313088894
f702_prev_y_mean,311.6,9600.076013836264
f308_cons_AMT_INSTALMENT_pctchange_max,815.8,9127.73639883101
f001_AMT_ANNUITY-d-CNT_CHILDREN,604.2,9112.375141978264
f109_NAME_GOODS_CATEGORY,1276.4,9105.181554412842
f105_prevapp_future_payment_12m,660.8,9002.681552371383
f202_CNT_INSTALMENT_FUTURE_pctchange_min,373.8,8910.452796675265
f002_OCCUPATION_TYPE,1300.8,8728.312161374091
f702_prev_y_max,485.2,8702.682061867416
f103_completed_DAYS_DECISION_max,701.8,8702.597102105618
f505_Active_DAYS_CREDIT_UPDATE_max,795.6,8616.828204371035
f002_WEEKDAY_APPR_PROCESS_START,556.8,8285.702493977547
f108_AMT_CREDIT-d-total_debt,633.0,8274.347332559526
f505_Active_DAYS_CREDIT_UPDATE_mean,651.2,8269.713406196237
f201_MONTHS_BALANCE_max,653.6,8226.598272252082
f105_prevapp_future_payment_13m,545.0,7915.100515233726
f109_PRODUCT_COMBINATION,855.6,7909.001525855065
f108_NAME_GOODS_CATEGORY,905.4,7673.621463251114
f101_approved_AMT_ANNUITY-m-app_AMT_ANNUITY_mean,517.8,7600.64140660977
f501_DAYS_ENDDATE_FACT-m-DAYS_CREDIT_ENDDATE_max,647.2,7397.463201320917
f505_Active_DAYS_CREDIT_UPDATE_sum,526.0,7366.849453282356
f106_NAME_PAYMENT_TYPE-Cash-through-the-bank,610.6,7231.322253668308
f505_Active_DAYS_CREDIT_UPDATE_var,570.0,7126.674593061209
f505_Active_AMT_CREDIT_MAX_OVERDUE_mean,325.0,7124.417946326733
f106_CODE_REJECT_REASON-XAP,599.8,7074.455598503351
f405_AMT_BALANCE-d-AMT_CREDIT_LIMIT_ACTUAL_max,352.0,6903.392902320624
f201_MONTHS_BALANCE_mean,748.0,6888.198290461301
f109_DAYS_LAST_DUE_1ST_VERSION-m-app_DAYS_BIRTH,710.6,6884.120387428999
f308_cons_DAYS_INSTALMENT_pctchange_max,675.2,6850.980059859156
f308_cas_DAYS_INSTALMENT_pctchange_var,503.8,6754.203642052412
f502_DAYS_CREDIT_UPDATE_mean,550.8,6621.297954963147
f702_prev_y_var,821.0,6609.890506274998
f105_prevapp_future_payment_max-d-credit,693.4,6595.756648808718
f202_CNT_INSTALMENT_FUTURE_pctchange_var,492.0,6577.466165399552
f505_Active_DAYS_CREDIT_UPDATE-m-DAYS_CREDIT_min,691.0,6539.520911049843
f001_AMT_ANNUITY-d-AMT_INCOME_TOTAL,590.0,6531.676540568471
f702_prev_y_min,511.6,6501.393180820346
f108_AMT_ANNUITY,654.0,6460.981552830711
f001_DAYS_ID_PUBLISH-m-DAYS_BIRTH,527.6,6361.551143012941
f108_AMT_ANNUITY-m-app_AMT_INCOME_TOTAL,599.6,6278.4892428711055
f106_NAME_PRODUCT_TYPE-XNA,517.0,6229.05318440795
f303_notdelay_DBD_mean,624.8,6208.83325782977
f109_DAYS_FIRST_DUE-m-app_DAYS_LAST_PHONE_CHANGE,557.2,6188.674883770943
f503_DAYS_CREDIT_max,751.4,6187.56619617939
f505_Active_DAYS_CREDIT_ENDDATE-d-app_DAYS_EMPLOYED_max,495.6,6121.408110690117
f505_Active_AMT_CREDIT_SUM-d-app_AMT_ANNUITY_min,450.4,6079.935212725401
f505_Active_AMT_CREDIT_SUM-d-app_AMT_INCOME_TOTAL_min,454.6,6070.813434818387
f310_days_weighted_delay_max,384.8,6002.40927221775
f203_CNT_INSTALMENT_FUTURE_pctchange_mean,752.4,5990.886698142439
f501_DAYS_CREDIT_UPDATE_diff_mean,553.8,5944.412627093494
f101_approved_DAYS_LAST_DUE_1ST_VERSION-d-app_DAYS_LAST_PHONE_CHANGE_min,545.4,5937.584676691889
f109_days_trm-m-fdue,680.8,5910.432824347168
f301_AMT_PAYMENT-d-AMT_ANNUITY_mean,421.0,5827.711340467632
f109_DAYS_FIRST_DUE-d-app_DAYS_LAST_PHONE_CHANGE,708.4,5817.902527507395
f501_DAYS_CREDIT_UPDATE_var,600.0,5800.421720247716
f501_DAYS_ENDDATE_FACT-m-DAYS_CREDIT_ENDDATE_mean,627.2,5717.317858250439
f109_days_trm-m-ldue1,595.2,5711.137018582225
f101_approved_cnt_paid_var,655.4,5669.182122588158
f301_notdelay_DAYS_ENTRY_PAYMENT_max,513.8,5622.9092640638355
f301_delay_DAYS_ENTRY_PAYMENT_max,682.8,5596.664031349867
f001_EXT_SOURCE_2,748.6,5570.114708268642
f101_nyg-middle_AMT_CREDIT-d-total_debt_min,668.6,5488.52219617255
f001_maxwell_feature_1,335.8,5361.413171200455
f501_AMT_CREDIT_SUM_DEBT-p-AMT_CREDIT_SUM_LIMIT_diff_min,467.0,5342.583090955019
f505_Closed_DAYS_CREDIT_UPDATE-m-DAYS_CREDIT_min,463.6,5289.969723773002
f501_AMT_CREDIT_SUM_DEBT-p-AMT_CREDIT_SUM_LIMIT_mean,584.0,5277.352810367942
f105_amt_unpaid_sum-p-app-d-income,481.0,5235.6393527269365
f001_EXT_SOURCES_sum,500.8,5171.873264393211
f106_NAME_CONTRACT_STATUS-Approved,493.6,5109.990423750877
f502_DAYS_CREDIT_ENDDATE-d-app_DAYS_BIRTH_mean,523.8,5063.033534346241
f101_completed_AMT_ANNUITY_mean,529.6,5032.094307638705
f201_CNT_INSTALMENT_FUTURE_pctchange_var,584.8,4907.295206034183
f501_AMT_CREDIT_SUM_DEBT-p-AMT_CREDIT_SUM_LIMIT_diff_max,489.4,4892.796546550095
f505_Active_DAYS_CREDIT_UPDATE-m-DAYS_CREDIT_mean,516.0,4832.148835206707
f001_OWN_CAR_AGE,328.2,4807.8972823143
f501_DAYS_CREDIT_UPDATE-m-DAYS_CREDIT_max,533.6,4769.282520893216
f501_DAYS_CREDIT_UPDATE_mean,576.0,4766.550809644163
f109_AMT_CREDIT-d-total_debt,672.0,4708.100321955234
f301_notdelay_AMT_PAYMENT_sum,507.2,4637.457525849342
f001_alldocs_mean,102.2,4613.357829523086
f310_days_weighted_delay_mean,477.2,4586.213298355043
f501_DAYS_CREDIT-d-app_DAYS_LAST_PHONE_CHANGE_max,468.8,4575.5389875978235
f505_Active_AMT_CREDIT_SUM_DEBT-p-AMT_CREDIT_SUM_LIMIT_diff_min,401.2,4562.034919302166
f303_days_weighted_delay_mean,567.2,4543.664805173874
f001_EXT_SOURCES_mean,541.0,4534.053563880921
f502_AMT_CREDIT_SUM-d-app_AMT_INCOME_TOTAL_sum,376.0,4521.396936273575
f501_DAYS_CREDIT_ENDDATE-m-app_DAYS_BIRTH_mean,564.4,4508.977351758629
f301_DPD_mean,253.0,4491.940221858024
f108_AMT_ANNUITY-d-app_AMT_INCOME_TOTAL,505.2,4466.491005069018
f201_CNT_INSTALMENT-m-CNT_INSTALMENT_FUTURE_var,512.4,4461.588769762218
f501_DAYS_CREDIT_UPDATE_max,500.2,4433.561767143756
f505_Active_DAYS_CREDIT_ENDDATE-d-app_DAYS_REGISTRATION_max,362.6,4406.104365412891
f001_REGION_POPULATION_RELATIVE,706.6,4388.289961595275
f501_CREDIT_TYPE_Consumer-credit_mean,401.8,4375.488729397766
f501_DAYS_CREDIT_UPDATE_pctchange_var,500.8,4336.121229298413
f702_prev_y_q25,443.2,4327.75401266769
f101_approved_DAYS_DECISION_var,520.6,4325.559560623765
f505_Active_DAYS_CREDIT_UPDATE_diff_max,532.4,4253.944278468191
f108_AMT_GOODS_PRICE-d-AMT_CREDIT,563.0,4215.2484129235145
f505_Closed_DAYS_CREDIT_UPDATE_pctchange_max,511.2,4213.603281477093
f308_cons_DAYS_INSTALMENT_pctchange_mean,532.6,4145.158441069815
f101_completed_DAYS_LAST_DUE_1ST_VERSION-d-app_DAYS_EMPLOYED_min,510.4,4143.833878900111
f701_all_credit-prevact_min,486.0,4141.359152293206
f505_Active_DAYS_CREDIT-m-app_DAYS_ID_PUBLISH_min,479.0,4135.088108530641
f109_amt_paid,651.0,4110.857397814095
f308_cons_days_weighted_delay_pctchange_var,496.6,4066.383259537071
f305_notdelay_con_AMT_PAYMENT_sum,424.8,4063.15652397722
f501_DAYS_CREDIT_UPDATE_diff_max,468.2,4050.3361545294524
f202_CNT_INSTALMENT_FUTURE_pctchange_mean,428.6,3994.97708440125
f501_DAYS_CREDIT_ENDDATE-m-app_DAYS_LAST_PHONE_CHANGE_mean,464.2,3990.8670388590544
f001_DAYS_ID_PUBLISH-d-DAYS_EMPLOYED,430.2,3971.210207441077
f303_DBD_sum,538.0,3953.4002347096803
f505_Closed_DAYS_CREDIT-d-app_DAYS_BIRTH_min,506.8,3950.8991003632545
f201_CNT_INSTALMENT-m-CNT_INSTALMENT_FUTURE_mean,408.8,3940.226380804926
f202_CNT_INSTALMENT_FUTURE-d-CNT_INSTALMENT_mean,376.0,3930.4940896332264
f501_AMT_CREDIT_SUM-d-app_AMT_ANNUITY_pctchange_mean,527.8,3895.42060078457
f501_DAYS_CREDIT_UPDATE_pctchange_mean,441.6,3851.8516626372934
f501_DAYS_CREDIT_UPDATE-m-DAYS_CREDIT_min,524.2,3815.6540235051884
f305_con_DAYS_ENTRY_PAYMENT-m-app_DAYS_LAST_PHONE_CHANGE_min,466.2,3807.2651910029354
f105_amt_paid_sum-d-total_debt_sum,398.8,3792.9946076199412
f310_notdelay_NUM_INSTALMENT_ratio_max,329.6,3789.6792416751387
f301_amt_delta_mean,340.0,3789.3539628505705
f501_AMT_CREDIT_SUM-d-debt-p-AMT_CREDIT_SUM_DEBT-p-AMT_CREDIT_SUM_LIMIT_max,410.2,3785.7122500151395
f101_approved_amt_unpaid_var,310.2,3756.5974210280924
f502_AMT_CREDIT_SUM_min,322.4,3729.0914248108866
f505_Active_AMT_CREDIT_MAX_OVERDUE_max,252.4,3721.908289051056
f101_approved_HOUR_APPR_PROCESS_START_mean,599.0,3681.8679706543685
f505_Closed_DAYS_CREDIT_UPDATE-m-DAYS_CREDIT_mean,475.0,3670.6691233962774
f101_completed_AMT_CREDIT-d-total_debt_max,499.4,3667.8950160980226
f108_AMT_CREDIT-m-app_AMT_INCOME_TOTAL_pctchange,390.0,3604.9270864114164
f108_AMT_GOODS_PRICE-d-total_debt,383.6,3597.1483508065344
f101_approved_DAYS_FIRST_DUE-d-app_DAYS_LAST_PHONE_CHANGE_min,546.6,3584.4430383503436
f101_nyg-high_amt_paid_sum,435.0,3583.430246639252
f702_prev_y_q75,379.8,3579.671057866514
f501_DAYS_CREDIT-d-app_DAYS_LAST_PHONE_CHANGE_mean,418.4,3563.452036742866
f301_delay_DAYS_ENTRY_PAYMENT-m-app_DAYS_BIRTH_min,327.8,3544.3580464482307
f505_Active_DAYS_CREDIT_ENDDATE-m-app_DAYS_ID_PUBLISH_min,473.4,3543.719114166498
f101_approved_DAYS_FIRST_DUE-d-app_DAYS_ID_PUBLISH_min,520.2,3520.7100100256503
f109_AMT_GOODS_PRICE-d-AMT_CREDIT,454.0,3518.3892185479403
f105_AMT_ANNUITY_cmp_sum,494.6,3481.869704055041
f505_Closed_AMT_CREDIT_SUM-m-AMT_CREDIT_SUM_DEBT_mean,467.2,3474.699478456378
f001_EXT_SOURCES_1-3,455.4,3470.8372506380083
f101_approved_DAYS_LAST_DUE-d-app_DAYS_BIRTH_min,429.2,3431.9624782562255
f301_delay_DAYS_ENTRY_PAYMENT_mean,411.0,3419.4566067777573
f101_approved_DAYS_TERMINATION-d-app_DAYS_BIRTH_min,480.6,3399.6493360340596
f201_CNT_INSTALMENT_FUTURE-d-CNT_INSTALMENT_mean,507.0,3394.4647112071516
f501_AMT_CREDIT_MAX_OVERDUE_var,327.0,3378.968186199665
f101_completed_AMT_CREDIT-d-total_debt_min,455.2,3341.553080427647
f501_AMT_CREDIT_SUM-m-AMT_CREDIT_SUM_DEBT_sum,335.0,3336.1893699899315
f505_Active_DAYS_CREDIT_ENDDATE-m-app_DAYS_LAST_PHONE_CHANGE_min,446.6,3322.4586207419634
f308_cons_days_delayed_payment_pctchange_var,429.4,3318.197469058633
f302_DAYS_ENTRY_PAYMENT_mean,397.2,3301.6853809184395
f501_AMT_CREDIT_SUM-d-app_AMT_ANNUITY_pctchange_var,459.4,3287.5710315853357
f501_DAYS_ENDDATE_FACT-m-DAYS_CREDIT_max,514.8,3282.741941535473
f001_DAYS_EMPLOYED-m-DAYS_BIRTH-d-DAYS_LAST_PHONE_CHANGE-m-DAYS_ID_PUBLISH,394.0,3279.5319327026605
f108_AMT_ANNUITY-m-app_AMT_GOODS_PRICE-d-app_AMT_INCOME_TOTAL,469.8,3266.4890035271646
f101_nyg-middle_AMT_CREDIT-d-total_debt_max,501.2,3253.588641677424
f202_CNT_INSTALMENT_FUTURE-d-CNT_INSTALMENT_var,431.4,3245.3618198364975
f505_Closed_AMT_CREDIT_SUM-m-AMT_CREDIT_SUM_DEBT_min,488.6,3219.916248267889
f302_DAYS_ENTRY_PAYMENT_sum,462.6,3219.1919482275844
f101_nyg-middle_AMT_ANNUITY-m-app_AMT_ANNUITY_max,523.2,3203.4189527630806
f101_approved_AMT_ANNUITY-m-app_AMT_ANNUITY_max,416.8,3197.2386008411645
f501_AMT_CREDIT_SUM_diff_mean,506.4,3195.784237640898
f504_DAYS_CREDIT_UPDATE_diff_max,477.6,3192.3085796415808
f001_AMT_ANNUITY-d-CNT_FAM_MEMBERS,410.8,3188.864729577303
f301_notdelay_AMT_PAYMENT-d-AMT_ANNUITY_mean,407.0,3163.4553213059903
f001_DAYS_EMPLOYED-m-DAYS_BIRTH,495.6,3161.4520791403947
f501_DAYS_CREDIT-d-app_DAYS_LAST_PHONE_CHANGE_var,401.4,3148.3129928290846
f308_cons_DAYS_INSTALMENT_pctchange_var,452.8,3127.2380118608476
f702_prev_y_median,408.8,3122.428063050937
f001_building_score_mode_std,558.8,3121.4939566254616
f001_DAYS_EMPLOYED-m-DAYS_BIRTH-d-DAYS_ID_PUBLISH-m-DAYS_BIRTH,341.6,3094.247110196948
f101_completed_AMT_GOODS_PRICE-d-AMT_CREDIT_min,458.0,3070.8531333878636
f101_approved_DAYS_FIRST_DUE-d-app_DAYS_LAST_PHONE_CHANGE_var,450.8,3062.396827194095
f101_nyg-middle_AMT_GOODS_PRICE-d-AMT_CREDIT_min,483.4,3060.203290322423
f101_completed_HOUR_APPR_PROCESS_START_mean,496.4,3058.903498455882
f101_approved_AMT_GOODS_PRICE-d-AMT_CREDIT_var,480.0,3050.549124073982
f109_SELLERPLACE_AREA,519.2,3041.1690134473147
f001_EXT_SOURCES_1-2-3,394.6,3039.928767685592
f301_notdelay_DBD_mean,369.4,3024.6545235700905
f301_delay_DAYS_ENTRY_PAYMENT-m-app_DAYS_ID_PUBLISH_max,381.4,3017.408734244108
f501_AMT_CREDIT_MAX_OVERDUE_mean,309.2,3016.890885487199
f001_AMT_CREDIT-d-CNT_FAM_MEMBERS,408.8,2991.87400810048
f001_DAYS_LAST_PHONE_CHANGE-m-DAYS_EMPLOYED-d-DAYS_ID_PUBLISH-m-DAYS_REGISTRATION,530.0,2991.719413790107
f310_DAYS_ENTRY_PAYMENT_mean,385.8,2981.246779968217
f101_approved_DAYS_LAST_DUE_1ST_VERSION-m-app_DAYS_LAST_PHONE_CHANGE_mean,377.6,2958.651017448306
f505_Closed_DAYS_CREDIT_ENDDATE-d-app_DAYS_LAST_PHONE_CHANGE_var,386.6,2943.7208864450454
f101_approved_DAYS_LAST_DUE_1ST_VERSION-d-app_DAYS_LAST_PHONE_CHANGE_mean,453.0,2933.1045177280903
f109_DAYS_FIRST_DUE-d-app_DAYS_REGISTRATION,504.2,2919.599641357362
f101_approved_HOUR_APPR_PROCESS_START_var,512.2,2911.703981811553
f302_notdelay_NUM_INSTALMENT_ratio_mean,286.6,2911.206158856489
f101_approved_DAYS_LAST_DUE-d-app_DAYS_ID_PUBLISH_min,483.4,2906.8719534039496
f501_DAYS_CREDIT_UPDATE-m-DAYS_CREDIT_ENDDATE_mean,412.4,2894.0862243443726
f101_approved_AMT_ANNUITY-m-app_AMT_ANNUITY-d-app_AMT_INCOME_TOTAL_max,360.8,2893.9814098119737
f305_con_AMT_PAYMENT-d-app_AMT_ANNUITY_max,485.6,2890.905118697882
f201_CNT_INSTALMENT_FUTURE-d-CNT_INSTALMENT_var,421.6,2879.7617540690117
f109_AMT_ANNUITY-d-app_AMT_INCOME_TOTAL,483.0,2878.1023674577473
f302_notdelay_days_weighted_delay_sum,243.0,2877.3456647142766
f501_DAYS_CREDIT_ENDDATE-d-app_DAYS_ID_PUBLISH_var,468.6,2863.0698432803156
f302_notdelay_DAYS_ENTRY_PAYMENT_mean,389.2,2859.1934421896935
f501_AMT_CREDIT_SUM-d-debt-p-AMT_CREDIT_SUM_DEBT-p-AMT_CREDIT_SUM_LIMIT_mean,372.6,2853.876275539398
f101_completed_DAYS_LAST_DUE_1ST_VERSION-d-app_DAYS_LAST_PHONE_CHANGE_min,475.4,2849.2344320476054
f109_AMT_GOODS_PRICE-d-total_debt,461.0,2823.7467258393763
f310_notdelay_DAYS_ENTRY_PAYMENT_mean,380.6,2812.095463985205
f001_DAYS_LAST_PHONE_CHANGE-d-DAYS_EMPLOYED,388.0,2804.1738069802523
f501_DAYS_CREDIT_UPDATE-m-DAYS_CREDIT_mean,425.8,2792.5285345576704
f102_approved_AMT_GOODS_PRICE-d-total_debt_max,352.2,2791.472524094582
f308_cons_days_weighted_delay_tsw3_diff_mean,470.6,2789.3678869582714
f302_DAYS_ENTRY_PAYMENT-m-app_DAYS_BIRTH_var,420.2,2784.506895762682
