feature,split,gain
f105_DAYS_DECISION_max-m-DAYS_BIRTH,2435,79125.12818050385
f105_approved_ratio,523,44857.44586992264
f101_approved_AMT_ANNUITY-m-app_AMT_GOODS_PRICE_min,1103,32696.375527381897
f105_future_vs_past_max,1024,26850.455074310303
f105_prevapp_future_payment_max-d-credit,1613,26123.636489391327
f105_DAYS_DECISION_min-m-DAYS_BIRTH,1640,23322.377899169922
f105_prevapp_future_payment_13m,913,22104.919620513916
f105_prevapp_future_payment_12m,848,19459.373970985413
f101_approved_AMT_GOODS_PRICE-d-total_debt_min,1072,18215.72663974762
f105_DAYS_DECISION_max,1293,15698.116955757141
f101_approved_HOUR_APPR_PROCESS_START_mean,1135,15022.66417837143
f101_approved_AMT_GOODS_PRICE-d-AMT_CREDIT_mean,882,14533.472919940948
f101_approved_AMT_GOODS_PRICE-d-total_debt_mean,877,14359.05553483963
f101_approved_HOUR_APPR_PROCESS_START_max,669,12758.79098367691
f101_approved_NAME_CLIENT_TYPE_New_mean,516,12705.238560199738
f106_NAME_CONTRACT_STATUS-Approved_appref,505,11851.727005004883
f101_approved_AMT_CREDIT-d-total_debt_min,769,11831.69041967392
f105_prevapp_future_payment_21m,663,11217.159052848816
f101_active_AMT_GOODS_PRICE-d-total_debt_mean,354,10895.278232574463
f101_approved_DAYS_DECISION_mean,886,10790.049401283264
f105_DAYS_DECISION_ref_max,716,10540.065637588501
f105_prevapp_future_payment_max-d-income,874,10481.985327720642
f101_approved_AMT_GOODS_PRICE-d-total_debt_max,673,10390.468453884125
f101_approved_DAYS_DECISION_max,831,10319.597825050354
f105_DAYS_DECISION_min,648,10227.912276744843
f101_active_AMT_GOODS_PRICE-d-total_debt_min,318,10049.840818881989
f105_past_payment_sum_max-d-annuity,589,9800.064147472382
f101_approved_AMT_GOODS_PRICE-d-AMT_CREDIT_max,556,9699.582297801971
f106_NAME_CONTRACT_STATUS-Refused_appref,364,9404.221734523773
f105_prevapp_future_payment_23m,488,9392.279038906097
f101_completed_HOUR_APPR_PROCESS_START_mean,761,9364.791058063507
f106_NAME_YIELD_GROUP-high_appref,565,9071.232791423798
f101_completed_AMT_GOODS_PRICE-d-total_debt_max,583,9005.347969055176
f101_approved_AMT_ANNUITY-m-app_AMT_ANNUITY-d-app_AMT_INCOME_TOTAL_mean,506,8704.028370857239
f101_completed_DAYS_DECISION_mean,660,8567.935660362244
f101_approved_AMT_ANNUITY-m-app_AMT_ANNUITY-d-app_AMT_INCOME_TOTAL_max,538,8310.725451469421
f106_NAME_CONTRACT_STATUS-Approved,667,8215.201100349426
f101_approved_DAYS_DECISION_min,610,7933.744184017181
f101_active_AMT_CREDIT-d-total_debt_min,319,7850.580877780914
f105_prevapp_future_payment_19m,550,7791.488422393799
f105_prevapp_future_payment_14m,515,7664.377925872803
