feature,split,gain,total
f001_EXT_SOURCES_mean,0.1984420385529443,1.0,1.1984420385529444
f002_ORGANIZATION_TYPE,1.0,0.18197838075437864,1.1819783807543787
f702_prev_y_mean,0.07732593961799136,0.32496333741685896,0.4022892770348503
f702_prev_y_max,0.06473901945251298,0.1721928447311527,0.23693186418366569
f703_bureau_y_max,0.10100343279640876,0.11707660696221793,0.2180800397586267
f001_EXT_SOURCES_sum,0.08040665434380777,0.06870325648395582,0.1491099108277636
f703_bureau_y_q75,0.04858727224716134,0.06582059626703626,0.1144078685141976
f001_CODE_GENDER,0.07235278584631634,0.027604137261393664,0.09995692310771001
f398_y_pred,0.06746765249537892,0.03141898815908845,0.09888664065446737
f002_OCCUPATION_TYPE,0.07085643869377695,0.020024507495024393,0.09088094618880134
f001_EXT_SOURCE_2,0.068127805650911,0.0214666644828033,0.0895944701337143
f708_1,0.06011794736378839,0.019387917311533588,0.07950586467532197
f002_NAME_EDUCATION_TYPE,0.04713493530499076,0.032079029077095166,0.07921396438208592
f001_EXT_SOURCE_3,0.05870962063198663,0.015561137283290095,0.07427075791527672
f001_EXT_SOURCE_1,0.05157996655224012,0.012595486987323146,0.06417545353956326
f703_bureau_y_var,0.044274271631018394,0.017933656389935118,0.06220792802095351
f001_EXT_SOURCES_prod,0.04537452689023854,0.013598675011160289,0.05897320190139883
f405_AMT_BALANCE-d-AMT_CREDIT_LIMIT_ACTUAL_max,0.03732065839274712,0.017886944075885106,0.055207602468632225
f001_EXT_SOURCES_2-3,0.04726696593609717,0.007567958037528024,0.054834923973625195
f002_NAME_FAMILY_STATUS,0.04286594489921662,0.009569898102036541,0.05243584300125316
f708_2,0.043746149106592726,0.008446510304586166,0.05219265941117889
f001_OWN_CAR_AGE,0.03908106680749934,0.012579726967056894,0.051660793774556235
f702_prev_y_q75,0.03071912683742628,0.019725190284963712,0.05044431712238999
f505_Active_AMT_CREDIT_SUM_DEBT-d-AMT_CREDIT_SUM_max,0.03203943314849045,0.016603384735754467,0.04864281788424492
f001_REGION_POPULATION_RELATIVE,0.04260188363700379,0.0059383984578705,0.04854028209487429
f011_EXT_SOURCE_1,0.03353578030102984,0.010165155849560072,0.04370093615058991
f101_approved_AMT_GOODS_PRICE-d-total_debt_mean,0.03071912683742628,0.01091097331360947,0.04163010015103575
f001_REGION_RATING_CLIENT_W_CITY,0.03353578030102984,0.00807914689436823,0.04161492719539807
f708_3,0.035824311240207726,0.004874756675146359,0.04069906791535408
f702_prev_y_min,0.024557697385793505,0.015719430031125196,0.040277127416918704
f108_PRODUCT_COMBINATION,0.033579790511398644,0.004814318861163392,0.03839410937256203
f105_prevapp_future_payment_19m,0.02675820790423378,0.011084677580664564,0.03784288548489834
f505_Active_AMT_CREDIT_SUM_DEBT-d-AMT_CREDIT_SUM_mean,0.02794648358419153,0.00980685308647692,0.03775333667066845
f016_EXT_SOURCE_3,0.021873074553296363,0.0157300342521094,0.037603108805405766
f013_EXT_SOURCE_3,0.018308247513423113,0.018391461334356943,0.03669970884778005
f001_DAYS_ID_PUBLISH-m-DAYS_BIRTH,0.028606636739723613,0.0076452471728654155,0.03625188391258903
f501_AMT_CREDIT_SUM_DEBT-d-AMT_CREDIT_SUM_max,0.023369421705835752,0.012637264632390666,0.036006686338226415
f702_prev_y_q25,0.025833993486488863,0.010057591117504096,0.03589158460399296
f001_DEF_30_CNT_SOCIAL_CIRCLE,0.026626177273127365,0.007099669731771558,0.033725847004898925
f012_EXT_SOURCE_2,0.024733738227268726,0.008481256226326004,0.03321499445359473
f014_EXT_SOURCE_1,0.024249625913211864,0.007392610263548017,0.03164223617675988
f201_MONTHS_BALANCE_max-d-min,0.024953789279112754,0.006146842638229977,0.031100631917342733
f109_NAME_GOODS_CATEGORY,0.026274095590176922,0.0038268397818549227,0.030100935372031845
f001_PAYMENT_RATE,0.024029574861367836,0.0045537802722450645,0.0285833551336129
f509_AMT_CREDIT_SUM_DEBT-d-AMT_CREDIT_SUM,0.02191708476366517,0.006194551679560094,0.028111636443225264
f001_AMT_GOODS_PRICE-m-AMT_CREDIT,0.02319338086436053,0.004845533377512102,0.02803891424187263
f708_4,0.020112666138544143,0.00745755202661879,0.027570218165162932
f205_CNT_INSTALMENT_FUTURE_pctchange_min,0.020772819294076227,0.0064597587648060235,0.02723257805888225
f702_prev_y_var,0.023281401285098143,0.0027662332239424604,0.026047634509040605
f001_EXT_SOURCES_1-2,0.019804594665962502,0.004349969161568887,0.024154563827531388
f001_DAYS_EMPLOYED-m-DAYS_BIRTH,0.019364492562274446,0.0037289327422478646,0.02309342530452231
f001_EXT_SOURCES_std,0.019980635507437727,0.0026670211148657435,0.02264765662230347
f101_approved_cnt_unpaid_std,0.01535956341871314,0.007216917494479014,0.022576480913192153
f001_FLAG_WORK_PHONE,0.01923246193116803,0.003274529872131001,0.022506991803299032
f702_prev_y_median,0.01883637003784878,0.003656411733355454,0.022492781771204236
f001_maxwell_feature_1,0.01835225772379192,0.0034789071108817346,0.021831164834673653
f109_PRODUCT_COMBINATION,0.018572308775635947,0.002616865967838273,0.02118917474347422
f302_delay_days_weighted_delay_mean,0.016723879940146114,0.004301458368275313,0.02102533830842143
f105_prevapp_future_payment_1vs6,0.017824135199366254,0.003103717043096381,0.020927852242462634
f707_6,0.01707596162309656,0.0034755639700640053,0.020551525593160567
f502_DAYS_CREDIT_ENDDATE-d-app_DAYS_BIRTH_mean,0.015623624680925974,0.004903449277124547,0.02052707395805052
f201_CNT_INSTALMENT_FUTURE-d-CNT_INSTALMENT_mean,0.01707596162309656,0.0034284130894986133,0.020504374712595176
f502_AMT_CREDIT_SUM_DEBT-d-AMT_CREDIT_SUM_max,0.013951236686911363,0.006397610872784199,0.020348847559695564
f001_alldocs_mean,0.017428043306047004,0.0029195117455297357,0.02034755505157674
f509_AMT_CREDIT_MAX_OVERDUE,0.016943930991990142,0.0033247981370620955,0.020268729129052237
f501_AMT_CREDIT_SUM-m-AMT_CREDIT_SUM_DEBT_max-d-min,0.01645981867793328,0.0035314844598040482,0.019991303137737327
f501_AMT_CREDIT_SUM_DEBT-d-AMT_CREDIT_SUM_std,0.015271542997975531,0.004152299822108857,0.019423842820084386
f001_DEF_60_CNT_SOCIAL_CIRCLE,0.01575565531203239,0.0035640525446348358,0.019319707856667225
f707_18,0.016547839098670893,0.0019606501808802817,0.018508489279551173
f102_approved_DAYS_FIRST_DRAWING-d-app_DAYS_REGISTRATION_max,0.015139512366869114,0.0031307264930650934,0.01827023885993421
f305_notdelay_con_AMT_PAYMENT_sum,0.013863216266173753,0.004396835828832635,0.018260052095006387
f706_4,0.015711645101663587,0.0024522601636968967,0.018163905265360485
f703_bureau_y_mean,0.012278848692896752,0.005074735614614609,0.017353584307511362
f301_notdelay_AMT_PAYMENT_sum,0.013203063110641669,0.00413926702153938,0.017342330132181047
f108_NAME_GOODS_CATEGORY,0.015139512366869114,0.0020334965938571354,0.01717300896072625
f001_FLAG_DOCUMENT_3,0.014743420473549864,0.0023441494290222277,0.01708756990257209
f101_approved_AMT_CREDIT-d-total_debt_mean,0.013071032479535252,0.003920700051887544,0.016991732531422797
f305_con_AMT_PAYMENT-d-app_AMT_ANNUITY_mean,0.012850981427691224,0.004085188724392899,0.016936170152084123
f510_AMT_CREDIT_SUM-d-app_AMT_ANNUITY,0.014831440894287473,0.002096655305881922,0.016928096200169395
f501_CREDIT_TYPE_Mortgage_mean,0.013687175424698531,0.0031669214311260503,0.01685409685582458
f706_20,0.014743420473549864,0.0020878548702114885,0.016831275343761352
f707_25,0.014831440894287473,0.0019716626988547257,0.0168031035931422
f001_AMT_CREDIT-d-AMT_ANNUITY,0.014171287738755391,0.002608397812148784,0.016779685550904175
f405_AMT_RECEIVABLE_PRINCIPAL_pctchange_max,0.012806971217322419,0.00374249499137535,0.01654946620869777
f301_delay_days_weighted_delay_mean,0.013247073321010473,0.003083545558807791,0.016330618879818265
f707_24,0.01447935921133703,0.0017355840729628466,0.016214943284299878
f001_DAYS_ID_PUBLISH-m-DAYS_REGISTRATION-d-DAYS_LAST_PHONE_CHANGE-m-DAYS_ID_PUBLISH,0.01447935921133703,0.0017210625736105948,0.016200421784947624
f105_prevapp_future_payment_13m,0.012806971217322419,0.0033433204139146555,0.016150291631237074
f706_11,0.014259308159493002,0.001697023563122126,0.015956331722615128
f002_NAME_INCOME_TYPE,0.012939001848428836,0.0027335001240580315,0.015672501972486867
f101_nyg-middle_AMT_ANNUITY-m-app_AMT_ANNUITY_max,0.013687175424698531,0.00198268109252152,0.01566985651722005
f305_notdelay_con_AMT_PAYMENT-d-app_AMT_ANNUITY_mean,0.01210280785142153,0.00346869020100905,0.01557149805243058
f405_AMT_DRAWINGS_ATM_CURRENT_sum,0.012278848692896752,0.0032509604250582948,0.015529809117955047
f314_days_delayed_payment_diff_max,0.013731185635067335,0.0017683464886865642,0.0154995321237539
f001_AMT_ANNUITY-d-cnt_adults,0.013511134583223307,0.0019279839965772407,0.015439118579800548
f305_delay_cas_days_weighted_delay_mean,0.012674940586216002,0.0027455263766211174,0.01542046696283712
f705_3,0.013731185635067335,0.001665382266885386,0.01539656790195272
f308_cas_DAYS_INSTALMENT_pctchange_var,0.013511134583223307,0.0018818770153399347,0.015393011598563242
f401_AMT_DRAWINGS_CURRENT-d-app_AMT_ANNUITY_diff_std-d-mean,0.013643165214329725,0.001730836196406027,0.015374001410735751
f505_Closed_DAYS_CREDIT_UPDATE_max,0.013291083531379281,0.0020242644315782597,0.01531534796295754
f501_AMT_CREDIT_SUM-m-AMT_CREDIT_SUM_DEBT_max,0.01249889974474078,0.0025133350949691144,0.015012234839709895
f301_delay_DAYS_ENTRY_PAYMENT-m-app_DAYS_LAST_PHONE_CHANGE_mean,0.012278848692896752,0.0027329535545865076,0.01501180224748326
f501_AMT_CREDIT_SUM-m-AMT_CREDIT_SUM_DEBT_mean,0.012586920165478391,0.0024113065987144268,0.014998226764192818
