feature,total,total_diff
f001_EXT_SOURCES_mean,22593.0,1.0
f002_ORGANIZATION_TYPE,22593.0,1.0
f702_prev_y_mean,22590.0,0.0
f702_prev_y_max,22588.0,0.0
f703_bureau_y_max,22586.0,0.0
f001_EXT_SOURCES_sum,22584.0,0.0
f703_bureau_y_q75,22582.0,0.0
f001_CODE_GENDER,22580.0,0.0
f398_y_pred,22578.0,0.0
f002_OCCUPATION_TYPE,22576.0,0.0
f001_EXT_SOURCE_2,22574.0,0.0
f002_NAME_EDUCATION_TYPE,22571.0,1.0
f708_1,22570.0,2.0
f001_EXT_SOURCE_3,22569.0,1.0
f001_EXT_SOURCE_1,22566.0,0.0
f001_EXT_SOURCES_prod,22562.0,0.0
f703_bureau_y_var,22562.0,2.0
f405_AMT_BALANCE-d-AMT_CREDIT_LIMIT_ACTUAL_max,22559.0,1.0
f702_prev_y_q75,22557.0,7.0
f708_2,22555.0,1.0
f002_NAME_FAMILY_STATUS,22554.0,2.0
f001_EXT_SOURCES_2-3,22554.0,4.0
f001_OWN_CAR_AGE,22553.0,1.0
f001_REGION_POPULATION_RELATIVE,22547.0,1.0
f505_Active_AMT_CREDIT_SUM_DEBT-d-AMT_CREDIT_SUM_max,22547.0,1.0
f011_EXT_SOURCE_1,22544.0,0.0
f101_approved_AMT_GOODS_PRICE-d-total_debt_mean,22540.0,2.0
f702_prev_y_min,22539.0,3.0
f708_3,22539.0,1.0
f001_REGION_RATING_CLIENT_W_CITY,22537.0,3.0
f108_PRODUCT_COMBINATION,22535.0,1.0
f016_EXT_SOURCE_3,22530.0,2.0
f013_EXT_SOURCE_3,22527.0,1.0
f702_prev_y_q25,22525.0,5.0
f505_Active_AMT_CREDIT_SUM_DEBT-d-AMT_CREDIT_SUM_mean,22525.0,5.0
f001_DAYS_ID_PUBLISH-m-DAYS_BIRTH,22524.0,0.0
f105_prevapp_future_payment_19m,22523.0,9.0
f501_AMT_CREDIT_SUM_DEBT-d-AMT_CREDIT_SUM_max,22522.0,0.0
f001_DEF_30_CNT_SOCIAL_CIRCLE,22517.0,1.0
f001_PAYMENT_RATE,22517.0,9.0
f012_EXT_SOURCE_2,22517.0,1.0
f201_MONTHS_BALANCE_max-d-min,22512.0,0.0
f014_EXT_SOURCE_1,22512.0,2.0
f109_NAME_GOODS_CATEGORY,22509.0,1.0
f001_AMT_GOODS_PRICE-m-AMT_CREDIT,22505.0,1.0
f708_4,22503.0,1.0
f509_AMT_CREDIT_SUM_DEBT-d-AMT_CREDIT_SUM,22501.0,5.0
f702_prev_y_var,22499.0,1.0
f001_EXT_SOURCES_1-2,22499.0,3.0
f205_CNT_INSTALMENT_FUTURE_pctchange_min,22499.0,1.0
f702_prev_y_median,22490.0,4.0
f001_DAYS_EMPLOYED-m-DAYS_BIRTH,22489.0,5.0
f001_FLAG_WORK_PHONE,22489.0,1.0
f001_maxwell_feature_1,22488.0,4.0
f001_EXT_SOURCES_std,22486.0,6.0
f101_approved_cnt_unpaid_std,22484.0,6.0
f109_PRODUCT_COMBINATION,22484.0,2.0
f201_CNT_INSTALMENT_FUTURE-d-CNT_INSTALMENT_mean,22480.0,8.0
f509_AMT_CREDIT_MAX_OVERDUE,22474.0,8.0
f502_AMT_CREDIT_SUM_DEBT-d-AMT_CREDIT_SUM_max,22473.0,3.0
f707_6,22469.0,7.0
f105_prevapp_future_payment_1vs6,22469.0,9.0
f001_alldocs_mean,22468.0,0.0
f707_18,22464.0,6.0
f502_DAYS_CREDIT_ENDDATE-d-app_DAYS_BIRTH_mean,22464.0,10.0
f305_notdelay_con_AMT_PAYMENT_sum,22463.0,9.0
f108_NAME_GOODS_CATEGORY,22460.0,14.0
f501_AMT_CREDIT_SUM-m-AMT_CREDIT_SUM_DEBT_max-d-min,22457.0,7.0
f001_DEF_60_CNT_SOCIAL_CIRCLE,22456.0,4.0
f302_delay_days_weighted_delay_mean,22455.0,25.0
f706_4,22455.0,3.0
f703_bureau_y_mean,22453.0,3.0
f501_AMT_CREDIT_SUM_DEBT-d-AMT_CREDIT_SUM_std,22453.0,9.0
f510_AMT_CREDIT_SUM-d-app_AMT_ANNUITY,22451.0,13.0
f001_AMT_CREDIT-d-AMT_ANNUITY,22448.0,18.0
f001_FLAG_DOCUMENT_3,22439.0,5.0
f101_approved_AMT_CREDIT-d-total_debt_mean,22439.0,3.0
f301_delay_days_weighted_delay_mean,22437.0,11.0
f706_20,22436.0,2.0
f102_approved_DAYS_FIRST_DRAWING-d-app_DAYS_REGISTRATION_max,22435.0,21.0
f405_AMT_RECEIVABLE_PRINCIPAL_pctchange_max,22435.0,7.0
f301_notdelay_AMT_PAYMENT_sum,22434.0,14.0
f707_24,22432.0,8.0
f405_AMT_DRAWINGS_ATM_CURRENT_sum,22428.0,18.0
f707_25,22428.0,4.0
f501_CREDIT_TYPE_Mortgage_mean,22427.0,9.0
f105_prevapp_future_payment_13m,22423.0,3.0
f314_days_delayed_payment_diff_max,22418.0,10.0
