feature,split,gain
f001_EXT_SOURCES_mean,620,230636.10312001407
f702_prev_y_mean,318,88397.27240753174
f702_prev_y_max,258,52707.826771736145
f002_ORGANIZATION_TYPE,1614,38861.653020858765
f001_EXT_SOURCES_sum,262,19046.8969540596
f702_prev_y_min,230,18818.494119644165
f013_EXT_SOURCE_3,88,8408.740281760693
f501_AMT_CREDIT_SUM_DEBT-d-AMT_CREDIT_SUM_max,168,7823.170621871948
f505_Active_AMT_CREDIT_SUM_DEBT-d-AMT_CREDIT_SUM_max,144,7426.486021995544
f002_NAME_EDUCATION_TYPE,132,7187.2829875946045
f702_prev_y_q25,102,6962.712197303772
f001_CODE_GENDER,174,6434.5004806518555
f702_prev_y_q75,79,6125.63373708725
f001_EXT_SOURCE_2,191,5865.296273231506
f002_OCCUPATION_TYPE,184,5777.0414390563965
f001_EXT_SOURCE_3,137,5467.8874254226685
f011_EXT_SOURCE_1,119,4757.838348865509
f001_EXT_SOURCES_prod,119,4236.99091219902
f505_Active_AMT_CREDIT_SUM_DEBT-d-AMT_CREDIT_SUM_mean,102,4072.789113998413
f001_OWN_CAR_AGE,83,2856.0527992248535
f502_AMT_CREDIT_SUM_DEBT-d-AMT_CREDIT_SUM_max,73,2828.3004121780396
f001_EXT_SOURCE_1,90,2740.4122018814087
f501_AMT_CREDIT_SUM_DEBT-d-AMT_CREDIT_SUM_var,82,2555.5499725341797
f012_EXT_SOURCE_2,66,2283.37149143219
f402_AMT_BALANCE-d-AMT_CREDIT_LIMIT_ACTUAL_max,64,2249.6287031173706
f002_NAME_FAMILY_STATUS,82,2209.3967151641846
f001_AMT_GOODS_PRICE-m-AMT_CREDIT,85,2157.1258025169373
f501_AMT_CREDIT_SUM_DEBT-d-AMT_CREDIT_SUM_mean,57,2036.541603088379
f001_DEF_30_CNT_SOCIAL_CIRCLE,68,1967.3451948165894
f505_Active_AMT_CREDIT_SUM-m-AMT_CREDIT_SUM_DEBT_min,53,1801.8220891952515
f702_prev_y_median,26,1786.1388664245605
f101_approved_cnt_unpaid_var,45,1597.4218139648438
f001_EXT_SOURCES_2-3,71,1532.3302254676819
f505_Active_AMT_CREDIT_MAX_OVERDUE_max,57,1501.4272928237915
f001_DAYS_ID_PUBLISH-m-DAYS_BIRTH,47,1379.857738494873
f502_DAYS_CREDIT_ENDDATE-d-app_DAYS_BIRTH_mean,43,1349.1871929168701
f101_approved_AMT_GOODS_PRICE-d-total_debt_mean,46,1308.7160787582397
f105_prevapp_future_payment_13m,38,1288.5342497825623
f501_AMT_CREDIT_SUM-m-AMT_CREDIT_SUM_DEBT_mean,44,1283.7846021652222
f001_REGION_RATING_CLIENT_W_CITY,46,1251.4837055206299
f501_AMT_CREDIT_SUM-m-AMT_CREDIT_SUM_DEBT_max,50,1214.5496969223022
f001_DAYS_EMPLOYED-m-DAYS_BIRTH,49,1190.5396718978882
f001_maxwell_feature_1,41,1161.3389120101929
f502_AMT_CREDIT_SUM_DEBT-d-AMT_CREDIT_SUM_sum,32,1128.1711950302124
f302_delayed_money_0_var,32,1108.0296897888184
f108_PRODUCT_COMBINATION,57,1083.1398000717163
f502_AMT_CREDIT_SUM_DEBT-d-AMT_CREDIT_SUM_mean,36,1076.307783126831
f001_PAYMENT_RATE,44,1063.9706707000732
f402_CNT_DRAWINGS_ATM_CURRENT_mean,29,1051.270390033722
f505_Active_DAYS_CREDIT-m-app_DAYS_LAST_PHONE_CHANGE_sum,46,1034.8153884410858
f302_delay_days_weighted_delay_mean,38,1028.6233415603638
f302_days_weighted_delay_sum,41,1023.2623610496521
f301_delay_DAYS_ENTRY_PAYMENT-m-app_DAYS_LAST_PHONE_CHANGE_min,37,978.9639229774475
f501_AMT_CREDIT_SUM_DEBT-d-AMT_CREDIT_SUM_sum,31,954.5013518333435
f001_DEF_60_CNT_SOCIAL_CIRCLE,37,945.9574947357178
f505_Active_DAYS_CREDIT-m-app_DAYS_BIRTH_sum,37,942.9162874221802
f001_AMT_CREDIT-d-AMT_ANNUITY,42,900.9869060516357
f101_active_AMT_GOODS_PRICE-d-total_debt_min,28,894.3473167419434
f302_not-delayed_money_5_min,22,883.828803062439
