feature,split,gain
f001_EXT_SOURCES_mean,380,73467.40696763992
f702_prev_y_mean,156,22947.21840953827
f702_prev_y_max,167,19208.646911144257
f002_ORGANIZATION_TYPE,961,18773.840499401093
f001_EXT_SOURCES_sum,188,8009.203143596649
f702_prev_y_min,147,7275.666249990463
f702_prev_y_q25,89,6748.254622459412
f013_EXT_SOURCE_3,95,3811.8799052238464
f702_prev_y_q75,52,2695.7673692703247
f501_AMT_CREDIT_SUM_DEBT-d-AMT_CREDIT_SUM_max,76,2689.699365735054
f002_NAME_EDUCATION_TYPE,76,2499.034803390503
f001_CODE_GENDER,104,2465.329694747925
f001_EXT_SOURCE_2,103,2440.3394351005554
f505_Active_AMT_CREDIT_SUM_DEBT-d-AMT_CREDIT_SUM_max,65,2136.189022541046
f002_OCCUPATION_TYPE,89,1973.290560245514
f011_EXT_SOURCE_1,74,1942.876178264618
f501_AMT_CREDIT_SUM_DEBT-d-AMT_CREDIT_SUM_mean,48,1341.2633859291673
f502_AMT_CREDIT_SUM_DEBT-d-AMT_CREDIT_SUM_max,40,1261.215612411499
f402_AMT_BALANCE-d-AMT_CREDIT_LIMIT_ACTUAL_max,38,1143.5803985595703
f501_AMT_CREDIT_SUM_DEBT-d-AMT_CREDIT_SUM_var,48,1123.6591811180115
f002_NAME_FAMILY_STATUS,54,1049.2108039855957
f505_Active_AMT_CREDIT_SUM-m-AMT_CREDIT_SUM_DEBT_min,39,999.5430002212524
f001_EXT_SOURCE_3,41,975.0566558837891
f012_EXT_SOURCE_2,40,973.868035107851
f001_DEF_30_CNT_SOCIAL_CIRCLE,41,961.9756031036377
f001_EXT_SOURCE_1,45,959.5438990592957
f001_EXT_SOURCES_prod,36,854.4783964157104
f001_DEF_60_CNT_SOCIAL_CIRCLE,41,844.6759901046753
f001_OWN_CAR_AGE,35,804.9327983856201
f502_AMT_CREDIT_SUM_DEBT-d-AMT_CREDIT_SUM_sum,31,725.1164946556091
f501_AMT_CREDIT_SUM-m-AMT_CREDIT_SUM_DEBT_mean,36,715.2494029998779
f001_EXT_SOURCES_std,42,706.2005286216736
f505_Active_AMT_CREDIT_SUM-m-AMT_CREDIT_SUM_DEBT_mean,30,635.4403171539307
f501_AMT_CREDIT_SUM-m-AMT_CREDIT_SUM_DEBT_min,24,631.2978646978736
f001_EXT_SOURCES_2-3,44,628.6998773887753
f505_Active_AMT_CREDIT_SUM_DEBT-d-AMT_CREDIT_SUM_mean,26,604.4860782623291
f302_notdelay_NUM_INSTALMENT_ratio_var,21,603.1629066467285
f001_AMT_GOODS_PRICE-m-AMT_CREDIT,31,597.3383960723877
f501_AMT_CREDIT_MAX_OVERDUE_mean,34,594.471978187561
f501_AMT_CREDIT_SUM_DEBT-p-AMT_CREDIT_SUM_LIMIT_var,28,544.395131111145
f302_not-delayed_money_5_min,19,535.664999961853
f001_OWN_CAR_AGE-m-DAYS_EMPLOYED,25,514.0499114990234
f501_AMT_CREDIT_MAX_OVERDUE_max,26,501.8661208152771
f101_approved_AMT_CREDIT-d-total_debt_mean,19,495.14316034317017
f502_AMT_CREDIT_SUM-m-AMT_CREDIT_SUM_DEBT_min,17,479.7316007614136
f301_delay_DAYS_ENTRY_PAYMENT_mean,26,477.76700365543365
f201_CNT_INSTALMENT_FUTURE-d-CNT_INSTALMENT_mean,29,474.61596155166626
f101_approved_AMT_DOWN_PAYMENT_var,23,471.25030994415283
f101_active_AMT_CREDIT-d-total_debt_mean,14,467.0622024536133
f108_PRODUCT_COMBINATION,29,456.51284742355347
f402_CNT_DRAWINGS_ATM_CURRENT_var,18,455.3809838294983
f502_AMT_CREDIT_SUM-d-debt-p-AMT_CREDIT_SUM_DEBT-p-AMT_CREDIT_SUM_LIMIT_var,22,454.14240169525146
f101_approved_AMT_GOODS_PRICE-d-total_debt_mean,22,438.6150960922241
f501_AMT_CREDIT_SUM_DEBT-d-AMT_CREDIT_SUM_sum,15,428.0231990814209
f102_refused_DAYS_DECISION_max,19,427.92749881744385
f702_prev_y_median,20,407.4346089363098
f101_approved_cnt_unpaid_var,20,406.12395548820496
f502_AMT_CREDIT_SUM-m-AMT_CREDIT_SUM_DEBT_mean,20,405.2862958908081
f001_maxwell_feature_1,21,402.8932981491089
f202_CNT_INSTALMENT_FUTURE_pct_change_mean,22,401.3043999671936
f001_AMT_CREDIT-d-AMT_ANNUITY,22,399.4123077392578
f001_REGION_POPULATION_RELATIVE,26,399.22495889663696
f001_TOTALAREA_MODE,19,396.57874631881714
f202_CNT_INSTALMENT_FUTURE_pct_change_var,21,379.3482856750488
f505_Active_AMT_CREDIT_SUM-m-AMT_CREDIT_SUM_DEBT_sum,24,378.85221004486084
f001_AMT_GOODS_PRICE-d-AMT_CREDIT,26,377.95680141448975
f302_AMT_PAYMENT-d-app_AMT_ANNUITY_min,15,377.1801447868347
f101_approved_AMT_CREDIT-d-total_debt_var,21,370.91245144605637
f101_completed_AMT_ANNUITY-m-app_AMT_ANNUITY-d-app_AMT_INCOME_TOTAL_max,19,368.4732999801636
f505_Active_DAYS_CREDIT-d-app_DAYS_ID_PUBLISH_min,20,366.5565490722656
f001_DAYS_ID_PUBLISH-m-DAYS_BIRTH,17,364.89899826049805
f505_Active_DAYS_CREDIT-m-app_DAYS_REGISTRATION_sum,18,360.9639005661011
f001_AMT_GOODS_PRICE-m-AMT_CREDIT-d-AMT_INCOME_TOTAL,23,360.6125078201294
f302_notdelay_days_weighted_delay_sum,20,357.4141983985901
f001_AMT_ANNUITY-d-cnt_adults,19,354.03929805755615
f101_approved_AMT_GOODS_PRICE-d-total_debt_max,15,349.9650733470917
f505_Active_DAYS_CREDIT-m-app_DAYS_ID_PUBLISH_sum,18,344.92864871025085
f505_Active_DAYS_CREDIT_UPDATE-m-DAYS_CREDIT_min,17,344.4362745285034
f302_days_weighted_delay_sum,18,341.7257490158081
f501_DAYS_CREDIT-d-app_DAYS_BIRTH_min,16,340.96116161346436
f301_NUM_INSTALMENT_ratio_var,21,334.41265392303467
f001_AMT_ANNUITY-d-CNT_FAM_MEMBERS,21,328.7817597389221
f109_AMT_ANNUITY-m-app_AMT_ANNUITY-d-app_AMT_INCOME_TOTAL,22,322.1782720088959
f109_NAME_GOODS_CATEGORY,19,322.05960178375244
f302_notdelay_AMT_PAYMENT-d-AMT_ANNUITY_min,13,321.3002986907959
f503_DAYS_CREDIT_ENDDATE-d-app_DAYS_EMPLOYED_max,19,317.4178433418274
f305_con_AMT_PAYMENT-d-app_AMT_ANNUITY_mean,15,317.09839725494385
f101_completed_AMT_DOWN_PAYMENT_mean,20,316.883442401886
f001_NEW_CAR_TO_EMPLOY_RATIO,15,315.063702583313
f101_nyg-high_AMT_CREDIT-d-total_debt_max,18,314.1224408149719
f101_approved_AMT_CREDIT-d-total_debt_max,17,311.3758339881897
f101_approved_NAME_TYPE_SUITE_Unaccompanied_mean,20,310.2636594772339
f101_approved_AMT_ANNUITY-m-app_AMT_ANNUITY_mean,19,308.14278972148895
f001_YEARS_BEGINEXPLUATATION_MODE,18,306.9612319469452
f105_prevapp_future_payment_13m,15,305.8270082473755
f105_prevapp_future_payment_1vs6,14,305.59019660949707
f305_notdelay_con_AMT_PAYMENT-d-app_AMT_ANNUITY_mean,17,298.276987336576
f001_DAYS_EMPLOYED-m-DAYS_BIRTH,18,296.3557405471802
f501_DAYS_CREDIT_max,16,296.0731496810913
f001_REGION_RATING_CLIENT_W_CITY,16,294.60725116729736
f501_DAYS_CREDIT-d-app_DAYS_ID_PUBLISH_min,12,293.3421993255615
f101_completed_AMT_ANNUITY-m-app_AMT_ANNUITY-d-app_AMT_INCOME_TOTAL_mean,16,291.03775548934937
f301_notdelay_NUM_INSTALMENT_ratio_mean,14,290.6273183822632
f101_approved_AMT_DOWN_PAYMENT_max,17,290.4074032306671
f501_DAYS_CREDIT-d-app_DAYS_LAST_PHONE_CHANGE_mean,19,289.2377020120621
f306_cons_DEP_diff_mean,22,287.11933157546446
f301_AMT_PAYMENT-d-AMT_ANNUITY_mean,19,282.0577702522278
f109_DAYS_LAST_DUE_1ST_VERSION-m-app_DAYS_BIRTH,13,280.1467959880829
f101_approved_DAYS_LAST_DUE-d-app_DAYS_ID_PUBLISH_min,16,280.08169984817505
f101_nyg-high_DAYS_LAST_DUE_1ST_VERSION-d-app_DAYS_EMPLOYED_var,16,279.54300022125244
f501_DAYS_CREDIT_ENDDATE-d-app_DAYS_LAST_PHONE_CHANGE_var,17,278.9295997619629
f101_approved_APP_CREDIT_PERC_mean,14,278.2168245315552
f301_delay_DAYS_ENTRY_PAYMENT-m-app_DAYS_LAST_PHONE_CHANGE_min,15,277.32135796546936
f702_prev_y_var,15,276.6090815067291
f505_Active_DAYS_CREDIT-m-app_DAYS_LAST_PHONE_CHANGE_max,13,270.37773609161377
f305_con_DBD_mean,17,267.99499130249023
f001_APARTMENTS_MODE,16,267.5591993331909
f502_CREDIT_TYPE_Microloan_mean,11,266.6839027404785
f505_Active_DAYS_CREDIT-m-app_DAYS_BIRTH_sum,14,266.5031681060791
f305_delay_cas_delayed_money_ratio_5_var,12,265.56510066986084
f302_NUM_INSTALMENT_ratio_var,15,264.6548042297363
f001_DAYS_REGISTRATION-m-DAYS_EMPLOYED-d-DAYS_ID_PUBLISH-m-DAYS_EMPLOYED,16,263.69599056243896
f302_delay_DAYS_ENTRY_PAYMENT_mean,17,262.22687911987305
f001_DAYS_REGISTRATION-m-DAYS_BIRTH-d-DAYS_ID_PUBLISH-m-DAYS_EMPLOYED,20,262.22098365426064
f101_completed_AMT_CREDIT-d-total_debt_max,15,261.69841957092285
f101_approved_CNT_PAYMENT_mean,10,261.5480031967163
f301_delay_DAYS_ENTRY_PAYMENT-m-app_DAYS_LAST_PHONE_CHANGE_mean,11,261.29680156707764
f505_Active_DAYS_CREDIT-m-app_DAYS_LAST_PHONE_CHANGE_sum,14,259.1721682548523
f101_completed_AMT_DOWN_PAYMENT_var,14,258.83974027633667
f505_Active_DAYS_CREDIT-d-app_DAYS_LAST_PHONE_CHANGE_min,15,258.1598300933838
f101_completed_DAYS_DECISION_max,13,256.7632179260254
f001_AMT_GOODS_PRICE-d-AMT_ANNUITY,18,256.5366177558899
