feature,weight,gain,cover,total
f001_EXT_SOURCES_mean,1.0,0.9839998859324044,0.08908206276896463,2.073081948701369
f002_ORGANIZATION_TYPE,0.16201117318435754,0.552675699512709,1.0,1.7146868726970665
f702_prev_y_mean,0.4090626939788951,1.0,0.11179795875018456,1.5208606527290796
f702_prev_y_max,0.36561142147734327,0.8316030645769287,0.0844220663403447,1.2816365523946167
f002_OCCUPATION_TYPE,0.06207324643078833,0.472959176458902,0.5223250226312054,1.0573574455208958
f001_EXT_SOURCES_sum,0.4351334574798262,0.33002805878952446,0.04960994817668518,0.8147714644460358
nejumi,0.6076970825574177,0.1379530982592721,0.05496512387440077,0.8006153046910905
f703_bureau_y_max,0.39664804469273746,0.30822834696663837,0.0531519691388064,0.7580283607981823
f702_prev_y_q75,0.07759155803848541,0.6017351894978388,0.056804903544116166,0.7361316510804403
f002_NAME_EDUCATION_TYPE,0.22036002482929856,0.36972726583486587,0.09319052022908411,0.6832778108932486
f702_prev_y_q25,0.12290502793296089,0.41368417669665325,0.06820037367106292,0.604789578300677
f002_NAME_INCOME_TYPE,0.06083178150217256,0.3108142400693196,0.21121522253927066,0.5828612441107628
f703_bureau_y_q75,0.13531967721911856,0.3854092329436656,0.05265539508235309,0.5733843052451372
f001_EXT_SOURCE_2,0.3507138423339541,0.14455962886743456,0.04785035455246881,0.5431238257538574
f702_prev_y_min,0.2048417132216015,0.281537301177867,0.045295436593978465,0.531674450993447
f002_NAME_FAMILY_STATUS,0.11483550589695841,0.23997133743982374,0.16602240770032164,0.5208292510371038
f001_CODE_GENDER,0.260707635009311,0.15087266309207015,0.05262367541184272,0.46420397351322384
f001_EXT_SOURCE_3,0.25822470515207946,0.16469917705250495,0.03694014077367039,0.4598640229782548
f703_bureau_y_var,0.2309124767225326,0.13148696885914218,0.037219420201549315,0.39961886578322414
f398_y_pred,0.22594661700806953,0.13782365657399745,0.029770415866534866,0.3935406894486019
f001_EXT_SOURCES_prod,0.19925512104283055,0.14504304681387256,0.04474198640605217,0.38904015426275523
f002_WALLSMATERIAL_MODE,0.014276846679081317,0.20999889234832855,0.11756727901489814,0.341843018042308
f001_EXT_SOURCE_1,0.1818746120422098,0.10865369926321437,0.04143260285097369,0.33196091415639783
f105_prevapp_future_payment_19m,0.0633147113594041,0.17553061374351284,0.0627040014650059,0.3015493265679229
f001_DEF_30_CNT_SOCIAL_CIRCLE,0.06455617628801986,0.13629909846746888,0.10001155725916408,0.3008668320146528
f001_OWN_CAR_AGE,0.09559279950341402,0.14087897933480764,0.06346844123851765,0.2999402200767393
f505_Active_AMT_CREDIT_SUM_DEBT-d-AMT_CREDIT_SUM_max,0.11483550589695841,0.1558764824627813,0.028417856263958888,0.29912984462369857
f001_AMT_CREDIT-d-AMT_ANNUITY,0.08193668528864059,0.13622023861754368,0.0776646492060701,0.2958215731122544
f001_REGION_RATING_CLIENT_W_CITY,0.08441961514587212,0.11355521379683728,0.09372480594161836,0.29169963488432776
f405_AMT_BALANCE-d-AMT_CREDIT_LIMIT_ACTUAL_max,0.07883302296710118,0.15648763169259702,0.04452429803158809,0.2798449526912863
f501_AMT_CREDIT_SUM_DEBT-d-AMT_CREDIT_SUM_max,0.09869646182495345,0.15098277997431506,0.030066074979392742,0.27974531677866127
f109_PRODUCT_COMBINATION,0.0012414649286157666,0.13577023488444329,0.13570108438100023,0.2727127841940593
f105_prevapp_future_payment_20m,0.05772811918063315,0.1733594189203384,0.03215393894116312,0.2632414770421347
f002_WEEKDAY_APPR_PROCESS_START,0.004345127250155183,0.1284960688412963,0.12919684810520912,0.2620380441966606
