feature,split,gain
f105_DAYS_DECISION_max-m-DAYS_BIRTH,975,64468.47698891163
f105_approved_ratio,357,41232.15669155121
f105_future_vs_past_max,537,28173.841879606247
f101_approved_AMT_ANNUITY-m-app_AMT_GOODS_PRICE_min,460,25819.171761512756
f105_prevapp_future_payment_13m,436,19956.54625749588
f201_MONTHS_BALANCE_min,281,14740.856186389923
f105_prevapp_future_payment_12m,336,14521.55074763298
f302_not-delayed_money_ratio_0_min,92,14081.897323608398
f302_not-delayed_money_ratio_5_min,109,14010.865270614624
f302_not-delayed_money_5_min,226,13974.432143688202
f301_not-delayed_money_ratio_0_mean,146,13944.479747533798
f402_AMT_BALANCE-d-AMT_CREDIT_LIMIT_ACTUAL_max,259,11643.68728351593
f106_NAME_CONTRACT_STATUS-Approved_appref,201,10623.13603836298
f101_approved_AMT_GOODS_PRICE-d-AMT_CREDIT_mean,210,10421.327725887299
f101_approved_AMT_GOODS_PRICE-d-total_debt_min,355,10145.581382274628
f302_not-delayed_money_ratio_0_mean,118,10142.987382888794
f101_approved_NAME_CLIENT_TYPE_New_mean,153,8399.373475074768
f101_active_AMT_GOODS_PRICE-d-total_debt_min,226,8340.171939373016
f101_approved_HOUR_APPR_PROCESS_START_max,197,8242.066651821136
f105_prevapp_future_payment_max-d-credit,371,7910.41340649128
f101_approved_AMT_GOODS_PRICE-d-total_debt_mean,244,7651.612452030182
f201_CNT_INSTALMENT_ratio_mean,302,7644.638785541058
f101_approved_HOUR_APPR_PROCESS_START_mean,266,7510.330275177956
f105_prevapp_future_payment_23m,192,7055.022853851318
f101_approved_AMT_ANNUITY-m-app_AMT_ANNUITY_mean,124,6919.27276134491
f301_AMT_PAYMENT_sum,184,6879.984290599823
f105_DAYS_DECISION_min-m-DAYS_BIRTH,283,6766.075137376785
f106_NAME_CONTRACT_STATUS-Refused_appref,179,6402.366576194763
f101_approved_AMT_ANNUITY-m-app_AMT_ANNUITY-d-app_AMT_INCOME_TOTAL_mean,189,6330.718819260597
f105_DAYS_DECISION_max,285,6214.818443775177
f101_approved_AMT_GOODS_PRICE-d-total_debt_max,141,6161.578619718552
f101_active_AMT_GOODS_PRICE-d-total_debt_mean,164,5974.602714061737
f101_active_AMT_CREDIT-d-total_debt_min,170,5573.737711191177
f105_prevapp_future_payment_21m,140,5387.938017964363
f106_NAME_CONTRACT_TYPE-Cash-loans_ref,120,5056.072840809822
f301_DAYS_ENTRY_PAYMENT_sum,154,4994.026360400021
f302_not-delayed_money_10_min,120,4990.476327419281
f303_not-delayed_money_ratio_10_min,156,4988.211514472961
f101_approved_AMT_CREDIT-d-total_debt_min,171,4928.246810913086
f101_approved_HOUR_APPR_PROCESS_START_min,162,4761.784720420837
f106_NAME_CONTRACT_STATUS-Approved,205,4730.798057317734
f106_CODE_REJECT_REASON-SCOFR_appref,52,4660.149612426758
f301_days_weighted_delay_sum,180,4587.36092543602
f105_prevapp_future_payment_19m,195,4442.942955613136
f302_days_weighted_delay_sum,201,4171.874523639679
f106_NAME_YIELD_GROUP-high_app,124,4158.045087814331
f106_NAME_YIELD_GROUP-low_action_appref,118,4114.948651313782
f402_AMT_BALANCE-d-AMT_CREDIT_LIMIT_ACTUAL_sum,58,4062.103350162506
f401_CNT_DRAWINGS_CURRENT_var,133,3936.2200407981873
f303_not-delayed_money_ratio_10_mean,112,3930.5542335510254
f101_approved_AMT_ANNUITY-m-app_AMT_ANNUITY-d-app_AMT_INCOME_TOTAL_max,103,3926.297661304474
f105_past_payment_4m_sum,72,3889.3565368652344
f105_past_payment_sum_max-d-annuity,139,3785.131844520569
f301_not-delayed_money_ratio_5_mean,93,3750.70932328701
f301_not-delayed_money_5_min,84,3746.5710957050323
f105_DAYS_DECISION_ref_max,138,3710.364803791046
f105_past_payment_3m_sum,75,3701.1109046936035
f101_approved_amt_paid_sum,84,3565.1516556739807
f106_NAME_PAYMENT_TYPE-XNA_ref,91,3340.74214553833
f301_not-delayed_day_0_mean,149,3218.6610174179077
f301_amt_delta_mean,136,3140.388802051544
f101_completed_AMT_ANNUITY-m-app_AMT_GOODS_PRICE_min,89,3117.3189992904663
f101_approved_AMT_GOODS_PRICE-d-AMT_CREDIT_max,72,3080.1890931129456
f301_DAYS_ENTRY_PAYMENT_mean,148,3051.5748682022095
f105_prevapp_future_payment_1vs6,109,3042.0428330898285
f107_same_conttype_refused_cnt,91,3020.917152404785
f106_NAME_YIELD_GROUP-high_appref,117,2946.5391416549683
f101_refused_AMT_ANNUITY-m-app_AMT_GOODS_PRICE_min,44,2889.203882217407
f201_MONTHS_BALANCE_max,135,2882.357765197754
f302_days_weighted_delay_max,151,2862.0779299736023
f101_active_AMT_CREDIT-d-total_debt_mean,110,2835.8559584617615
f101_approved_NAME_YIELD_GROUP_high_mean,83,2764.4733448028564
f201_NAME_CONTRACT_STATUS_Active_sum,73,2759.901960849762
f101_approved_AMT_DOWN_PAYMENT_max,111,2684.9719364643097
f105_prevapp_future_payment_28m,105,2666.818503379822
f106_NAME_YIELD_GROUP-high,99,2666.441520214081
f301_NUM_INSTALMENT_ratio_var,93,2633.171854496002
