feature,split,gain
f001_EXT_SOURCES_mean,645,159439.14764913917
f702_prev_y_mean,267,59150.84471401479
f002_ORGANIZATION_TYPE,2317,37711.30282020569
f702_prev_y_max,302,32163.831288814545
f001_EXT_SOURCES_sum,235,12271.678114533424
f702_prev_y_min,170,8363.617686152458
f702_prev_y_q25,116,8209.079374790192
f702_prev_y_q75,82,6630.73952293396
f002_NAME_EDUCATION_TYPE,153,6017.477585315704
f001_EXT_SOURCE_2,254,5352.3228969573975
f002_OCCUPATION_TYPE,261,5307.832051753998
f001_EXT_SOURCE_3,176,4800.750806808472
f001_CODE_GENDER,166,3806.39425945282
f001_EXT_SOURCES_prod,133,3426.8116216659546
f501_AMT_CREDIT_SUM_DEBT-d-AMT_CREDIT_SUM_var,124,3372.65360724926
f502_AMT_CREDIT_SUM_DEBT-d-AMT_CREDIT_SUM_max,98,3199.738998889923
f505_Active_AMT_CREDIT_SUM_DEBT-d-AMT_CREDIT_SUM_max,102,3165.981829881668
f501_AMT_CREDIT_SUM_DEBT-d-AMT_CREDIT_SUM_max,78,2604.251152038574
f001_EXT_SOURCE_1,127,2483.405494451523
f001_alldocs_kurt,77,2166.1019892692566
f001_AMT_GOODS_PRICE-m-AMT_CREDIT-d-AMT_INCOME_TOTAL,123,1667.8132092803717
f101_approved_cnt_unpaid_var,45,1653.9696102142334
f001_REGION_POPULATION_RELATIVE,152,1562.1194772720337
f109_NAME_GOODS_CATEGORY,123,1507.20241689682
f001_DAYS_ID_PUBLISH-m-DAYS_BIRTH,99,1503.9282925128937
f001_maxwell_feature_1,74,1451.5067496299744
f501_AMT_CREDIT_SUM-m-AMT_CREDIT_SUM_DEBT_mean,84,1425.2264034748077
f108_PRODUCT_COMBINATION,115,1422.5925288200378
f505_Active_AMT_CREDIT_SUM-m-AMT_CREDIT_SUM_DEBT_mean,76,1382.1456251740456
f502_AMT_CREDIT_MAX_OVERDUE_max,64,1351.884301662445
f001_AMT_GOODS_PRICE-d-AMT_ANNUITY,92,1297.0761771202087
f001_OWN_CAR_AGE,70,1274.1739377975464
f001_EXT_SOURCES_1-2,91,1266.7886743545532
f101_approved_amt_unpaid_var,37,1238.4068031311035
f001_AMT_GOODS_PRICE-m-AMT_CREDIT,80,1230.4873790740967
f702_prev_y_var,87,1229.857312142849
f002_NAME_FAMILY_STATUS,86,1228.6372385025024
f702_prev_y_median,61,1146.9613499641418
f302_DPD_mean,43,1113.9538135528564
f501_AMT_CREDIT_MAX_OVERDUE_max,66,1053.043351650238
f502_AMT_CREDIT_SUM-m-AMT_CREDIT_SUM_DEBT_mean,52,1037.8045756816864
f502_AMT_CREDIT_SUM_DEBT-d-AMT_CREDIT_SUM_mean,51,1023.3150610923767
f301_amt_delta_mean,59,1021.2183330059052
f001_AMT_ANNUITY-d-cnt_adults,66,995.3957757279277
f103_completed_DAYS_DECISION_max,75,991.8830246925354
f310_delay_days_weighted_delay_mean,62,972.3885283470154
f202_CNT_INSTALMENT_FUTURE_pctchange_min,37,969.7013201713562
f501_AMT_CREDIT_MAX_OVERDUE_mean,57,947.7224278450012
f101_nyg-middle_AMT_CREDIT-d-total_debt_mean,47,945.0223293304443
f202_CNT_INSTALMENT_FUTURE-d-CNT_INSTALMENT_mean,55,886.7131309509277
f002_WEEKDAY_APPR_PROCESS_START,72,866.4307975769043
f001_PAYMENT_RATE,78,864.0309201478958
f501_AMT_CREDIT_SUM_DEBT-d-app_AMT_INCOME_TOTAL_var,42,851.4241681098938
f001_DAYS_EMPLOYED-m-DAYS_BIRTH,59,823.1787103414536
f101_approved_AMT_ANNUITY-m-app_AMT_ANNUITY_mean,49,820.0530290603638
f001_FLAG_DOCUMENT_3,51,817.3751072883606
f501_CREDIT_TYPE_Mortgage_mean,50,814.0796051025391
f101_completed_AMT_DOWN_PAYMENT_var,56,798.2973389625549
f301_days_weighted_delay_sum,39,760.5077967643738
f405_AMT_BALANCE-d-AMT_CREDIT_LIMIT_ACTUAL_max,33,749.2008981704712
f502_AMT_CREDIT_MAX_OVERDUE_sum,30,746.167197227478
f109_WEEKDAY_APPR_PROCESS_START,67,734.0016202926636
f305_notdelay_con_AMT_PAYMENT_sum,45,733.1017355918884
f505_Active_DAYS_CREDIT_ENDDATE-m-DAYS_CREDIT_min,56,723.783280134201
f505_Closed_DAYS_CREDIT_UPDATE_max,53,715.0297255516052
f308_cons_NUM_INSTALMENT_ratio_diff_var,61,712.1027503013611
f001_EXT_SOURCES_2-3,66,710.0479989051819
f308_cas_DAYS_INSTALMENT_pctchange_var,61,701.424530506134
f501_DAYS_CREDIT_max,39,699.9682393074036
f105_prevapp_future_payment_13m,44,696.6103382110596
f305_notdelay_cas_NUM_INSTALMENT_ratio_var,37,690.1484136581421
f502_CREDIT_TYPE_Microloan_mean,46,689.9122786521912
f301_delay_DAYS_ENTRY_PAYMENT-m-app_DAYS_LAST_PHONE_CHANGE_mean,42,681.772127866745
f001_EXT_SOURCES_std,55,675.490391254425
f301_delay_DAYS_ENTRY_PAYMENT-m-app_DAYS_BIRTH_var,48,674.4623103141785
f106_CODE_REJECT_REASON-XAP,46,673.799684047699
f301_notdelay_amt_delta_mean,39,672.9239749908447
f310_notdelay_NUM_INSTALMENT_ratio_max,26,672.4834537506104
f502_DAYS_CREDIT_UPDATE-m-DAYS_CREDIT_sum,34,670.6450886726379
f105_AMT_ANNUITY_cmp_sum,45,666.651819229126
f502_DAYS_CREDIT_ENDDATE-d-app_DAYS_BIRTH_mean,37,659.6931319236755
f501_DAYS_CREDIT_UPDATE-m-DAYS_CREDIT_min,48,655.744466304779
f101_completed_AMT_ANNUITY_max,32,653.9813823699951
f501_AMT_CREDIT_SUM-m-AMT_CREDIT_SUM_DEBT_min,43,653.590569972992
f202_CNT_INSTALMENT_FUTURE_pctchange_var,45,647.5860805511475
f301_delay_DAYS_ENTRY_PAYMENT-m-app_DAYS_LAST_PHONE_CHANGE_min,38,639.3704304695129
f102_refused_AMT_ANNUITY-d-app_AMT_INCOME_TOTAL_min,48,638.7757496833801
f502_AMT_CREDIT_SUM_DEBT-d-AMT_CREDIT_SUM_min,36,634.2464504241943
f501_DAYS_CREDIT_UPDATE-m-DAYS_CREDIT_ENDDATE_mean,43,627.3190240859985
f101_completed_AMT_ANNUITY-m-app_AMT_ANNUITY_max,30,623.9812154769897
f504_DAYS_CREDIT-d-app_DAYS_BIRTH_var,56,609.6110196113586
f301_days_weighted_delay_mean,42,606.5146245956421
f302_delay_AMT_PAYMENT-d-app_AMT_INCOME_TOTAL_min,43,605.2195386886597
f302_days_weighted_delay_max,26,604.7416025698185
f502_AMT_CREDIT_SUM_DEBT-d-AMT_CREDIT_SUM_sum,29,603.6709182262421
f301_DPD_mean,31,600.1699857711792
