feature,split,gain
f501_AMT_CREDIT_SUM_DEBT-d-AMT_CREDIT_SUM_max,383,78360.08880019188
f501_DAYS_CREDIT_mean,983,42345.990839242935
f501_AMT_CREDIT_SUM_DEBT-d-AMT_CREDIT_SUM_mean,266,37588.07518148422
f501_AMT_CREDIT_MAX_OVERDUE_sum,1207,25011.08723692596
f501_AMT_CREDIT_SUM-m-AMT_CREDIT_SUM_DEBT_mean,447,16027.165292322636
f505_Active_AMT_CREDIT_SUM-m-AMT_CREDIT_SUM_DEBT_min,293,15883.006419181824
f501_AMT_CREDIT_SUM-m-AMT_CREDIT_SUM_DEBT_sum,336,14849.03329217434
f505_Active_AMT_CREDIT_MAX_OVERDUE_sum,617,12845.53750872612
f501_credit-d-annuity_mean,429,6691.114967048168
f502_credit-d-annuity_min,254,6651.993766784668
f505_Active_AMT_CREDIT_SUM-m-AMT_CREDIT_SUM_DEBT_mean,226,6398.699427723885
f502_AMT_CREDIT_SUM-m-AMT_CREDIT_SUM_DEBT-d-AMT_CREDIT_SUM_LIMIT_min,63,6245.074474334717
f505_Active_AMT_CREDIT_SUM_DEBT-d-AMT_CREDIT_SUM_mean,258,6076.5557742118835
f501_AMT_CREDIT_SUM_DEBT-d-AMT_CREDIT_SUM_var,246,5881.077583312988
f505_Active_credit-d-annuity_min,242,5388.214549541473
f502_AMT_CREDIT_SUM_min,208,5293.599446773529
f501_DAYS_CREDIT_min,246,5110.922359704971
f505_Closed_credit-d-annuity_sum,347,4661.105724692345
f501_AMT_CREDIT_SUM_DEBT-d-AMT_CREDIT_SUM_sum,206,4564.360674202442
f505_Closed_credit-d-annuity_mean,289,4026.139526605606
f501_credit-d-annuity_min,266,3995.947038114071
f501_CREDIT_TYPE_Microloan_mean,182,3950.885632753372
f501_AMT_CREDIT_SUM-m-AMT_CREDIT_SUM_DEBT_max,201,3923.597644045949
f501_AMT_CREDIT_SUM-m-AMT_CREDIT_SUM_DEBT_min,253,3905.6198217868805
f502_AMT_CREDIT_MAX_OVERDUE_sum,192,3719.2894971370697
f501_AMT_CREDIT_SUM_mean,223,3576.315219640732
f502_DAYS_CREDIT_UPDATE-m-DAYS_CREDIT_ENDDATE_sum,205,3559.6675186157227
f501_AMT_CREDIT_MAX_OVERDUE_max,203,3352.395304426551
f505_Active_credit-d-annuity_mean,166,3307.7823350429535
f502_DAYS_CREDIT_UPDATE-m-DAYS_CREDIT_ENDDATE_mean,224,3303.754371404648
f501_AMT_CREDIT_MAX_OVERDUE_mean,199,3287.0804493427277
f502_DAYS_CREDIT_UPDATE-m-DAYS_CREDIT_ENDDATE_min,206,3258.388589501381
f502_CREDIT_TYPE_Consumer-credit_mean,90,3178.473526239395
f505_Closed_AMT_CREDIT_MAX_OVERDUE_mean,146,3116.2583466768265
f501_DAYS_CREDIT_UPDATE-m-DAYS_CREDIT_mean,211,3095.973559498787
f501_DAYS_CREDIT_UPDATE_mean,185,3066.7825153116137
f505_Active_DAYS_CREDIT_ENDDATE-m-DAYS_CREDIT_min,196,3012.1832065582275
f501_CREDIT_ACTIVE_Sold_mean,196,2879.6084911823273
f501_AMT_CREDIT_SUM_OVERDUE-d-income_mean,105,2817.093028664589
f501_DAYS_CREDIT_var,205,2811.4922201633453
f505_Active_AMT_CREDIT_SUM-m-AMT_CREDIT_SUM_DEBT-d-AMT_CREDIT_SUM_LIMIT_min,116,2733.2942700386047
f501_AMT_CREDIT_SUM_min,182,2730.4595382213593
f502_AMT_CREDIT_SUM-m-AMT_CREDIT_SUM_DEBT_sum,180,2719.779872717336
f501_credit-d-annuity_sum,187,2714.3254684209824
f505_Active_credit-d-income_sum,151,2711.7042206525803
f501_AMT_CREDIT_SUM-m-AMT_CREDIT_SUM_DEBT-d-AMT_CREDIT_SUM_LIMIT_min,85,2647.8076276779175
f501_DAYS_ENDDATE_FACT-m-DAYS_CREDIT_ENDDATE_sum,207,2645.8220216035843
f505_Active_DAYS_CREDIT_UPDATE_var,202,2606.594223499298
f502_DAYS_CREDIT_sum,194,2523.334509372711
f503_DAYS_CREDIT_UPDATE-m-DAYS_CREDIT_ENDDATE_max,198,2510.846671104431
f502_DAYS_CREDIT_ENDDATE-m-DAYS_CREDIT_min,157,2503.4441800117493
f502_AMT_CREDIT_SUM_DEBT-d-AMT_CREDIT_SUM_sum,120,2400.014347553253
f501_AMT_CREDIT_SUM_sum,148,2393.6029563248158
f502_AMT_CREDIT_SUM-d-debt-p-AMT_CREDIT_SUM_DEBT-p-AMT_CREDIT_SUM_LIMIT_var,163,2346.7658319473267
f505_Active_CREDIT_TYPE_Consumer-credit_mean,138,2278.586054444313
f501_CREDIT_ACTIVE_Closed_mean,96,2276.887841939926
f505_Active_AMT_CREDIT_SUM_DEBT-d-AMT_CREDIT_SUM_var,172,2236.0460243821144
f501_DAYS_CREDIT_ENDDATE-m-DAYS_CREDIT_min,171,2214.5824568271637
f501_DAYS_ENDDATE_FACT-m-DAYS_CREDIT_ENDDATE_min,153,2186.279836654663
f505_Active_AMT_CREDIT_SUM_DEBT-d-AMT_CREDIT_SUM_max,147,2172.855062097311
f501_CREDIT_ACTIVE_Active_sum,114,2141.097126841545
f505_Active_AMT_CREDIT_SUM-d-debt-p-AMT_CREDIT_SUM_DEBT-p-AMT_CREDIT_SUM_LIMIT_sum,168,2110.0320501327515
f505_Closed_DAYS_ENDDATE_FACT-m-DAYS_CREDIT_ENDDATE_min,111,2094.154841899872
f503_DAYS_CREDIT_sum,154,2067.737030506134
f505_Active_DAYS_CREDIT_ENDDATE_min,145,2048.7891315817833
f501_AMT_CREDIT_SUM_OVERDUE_mean,82,2025.0393753051758
f501_AMT_CREDIT_SUM_max,146,2022.470046043396
f505_Active_DAYS_CREDIT_ENDDATE_mean,124,1946.8248991966248
f503_AMT_CREDIT_SUM-m-AMT_CREDIT_SUM_DEBT_min,114,1946.7517726421356
f501_DAYS_CREDIT_UPDATE-m-DAYS_CREDIT_ENDDATE_mean,144,1935.8066231012344
f505_Active_DAYS_CREDIT_UPDATE-m-DAYS_CREDIT_ENDDATE_max,155,1923.3686498627067
f502_AMT_CREDIT_SUM-m-AMT_CREDIT_SUM_DEBT_min,77,1899.0973786711693
f502_DAYS_CREDIT_UPDATE_var,135,1898.2132036685944
f502_DAYS_CREDIT_UPDATE-m-DAYS_CREDIT_ENDDATE_max,144,1867.490439414978
