feature,split,gain
META_FEATURE_GEOM,867,728787.9256448746
META_FEATURE_APP,1291,464681.85214805603
META_FEATURE_PREV,549,38987.95793056488
f001_ORGANIZATION_TYPE,1608,33806.37078380585
META_FEATURE_MIN,64,15157.117614746094
META_FEATURE_BUR,287,12040.912230014801
f001_EXT_SOURCES_2-3,193,4953.70747089386
f001_EXT_SOURCE_2,165,4589.448668599129
f001_AMT_GOODS_PRICE-m-AMT_CREDIT,134,3701.249104499817
f302_delay_DAYS_ENTRY_PAYMENT_mean,89,2761.0090177059174
f001_OCCUPATION_TYPE,125,2465.851405143738
f001_EXT_SOURCES_mean,53,2427.7300724983215
f502_AMT_CREDIT_SUM_DEBT-d-AMT_CREDIT_SUM_max,48,2167.116596221924
CNT_INSTALMENT_FUTURE_pc_max_prev,84,2079.964301109314
f302_notdelay_NUM_INSTALMENT_ratio_max,48,1973.3553066253662
f302_days_weighted_delay_sum,67,1925.0871982574463
f302_delayed_money_ratio_0_var,53,1914.036961555481
f101_approved_AMT_ANNUITY-m-app_AMT_ANNUITY_mean,70,1866.8522129058838
f302_delay_days_weighted_delay_mean,55,1844.7890071868896
f001_EXT_SOURCE_3,71,1813.8312220573425
f001_CODE_GENDER,64,1643.5729913711548
AMT_CREDIT_SUM_DEBT_BY_AMT_CREDIT_SUM_12M_max_bu,40,1535.6171035766602
f105_amt_unpaid_sum-p-app,44,1373.02454996109
f108_app_DAYS_BIRTH,25,1369.8786029815674
f302_delay_DAYS_ENTRY_PAYMENT_max,44,1368.8002862930298
PERIOD_36M_mean_prev,54,1358.0023596286774
f505_Active_AMT_CREDIT_SUM_DEBT-p-AMT_CREDIT_SUM_LIMIT_mean,44,1353.6120719909668
f305_con_AMT_PAYMENT-d-app_AMT_ANNUITY_mean,42,1324.1895933151245
f505_Active_AMT_CREDIT_SUM_DEBT-d-AMT_CREDIT_SUM_max,43,1295.2420129776
f101_completed_AMT_ANNUITY-d-app_AMT_ANNUITY_mean,42,1278.9324026107788
f402_AMT_BALANCE-d-app_AMT_INCOME_TOTAL_var,53,1249.832896232605
AMT_CREDIT_SUM_DEBT_BY_AMT_CREDIT_SUM_max_bu,30,1244.6859998703003
f108_PRODUCT_COMBINATION,69,1231.663896560669
f105_prevapp_future_payment_1vs6,52,1159.2941961288452
f302_notdelay_NUM_INSTALMENT_ratio_mean,34,1148.9952983856201
f505_Active_AMT_CREDIT_SUM_DEBT-d-AMT_CREDIT_SUM_mean,41,1142.0742044448853
f305_notdelay_con_AMT_PAYMENT-d-app_AMT_CREDIT_mean,29,1138.9892082214355
f305_notdelay_con_AMT_PAYMENT-d-app_AMT_ANNUITY_mean,41,1080.8972873687744
f305_delay_cas_DAYS_ENTRY_PAYMENT_mean,48,1065.2405977249146
f505_Active_DAYS_CREDIT-d-app_DAYS_REGISTRATION_min,41,1062.630853176117
f301_delay_DAYS_ENTRY_PAYMENT_mean,49,1062.1611309051514
f302_days_weighted_delay_max,25,1059.1754961013794
AMT_CREDIT_SUM_DEBT_BY_AMT_CREDIT_SUM_24M_max_bu,28,1042.278699874878
DAYS_CREDIT_ENDDATE_REST_RATIO_24M_mean_bu,37,1016.5697021484375
f501_DAYS_CREDIT-m-app_DAYS_BIRTH_max,34,1006.1141004562378
f505_Closed_DAYS_CREDIT_ENDDATE-m-app_DAYS_BIRTH_max,40,998.9795989990234
DAYS_CREDIT_ENDDATE_REST_RATIO_12M_mean_bu,28,981.0506330728531
f305_delay_rev_DAYS_ENTRY_PAYMENT_max,37,969.8687982559204
AMT_DEBT_36M_mean_prev,35,953.298095703125
f001_EXT_SOURCE_1,52,951.3377513885498
f505_Closed_DAYS_CREDIT_ENDDATE-m-app_DAYS_BIRTH_mean,38,947.7976961135864
FLAG_DOC_PATTERN,44,924.1962985992432
f402_CNT_DRAWINGS_ATM_CURRENT_var,34,920.1882934570312
f302_notdelay_days_weighted_delay_sum,37,901.5269975662231
f505_Active_DAYS_CREDIT-d-app_DAYS_ID_PUBLISH_min,37,899.4376993179321
DAYS_CREDIT_MEAN_SPAN_bu,30,891.7210922241211
f101_approved_amt_unpaid_mean,16,878.0295009613037
f301_delay_DAYS_ENTRY_PAYMENT-m-app_DAYS_BIRTH_max,20,876.1304130554199
f101_approved_DAYS_LAST_DUE_1ST_VERSION-m-app_DAYS_BIRTH_max,24,864.370701789856
f302_delay_days_weighted_delay_max,19,863.4157991409302
f001_DAYS_EMPLOYED-m-DAYS_BIRTH,42,857.3938822746277
f305_delay_cas_delayed_money_10_var,33,842.0047016143799
f402_AMT_BALANCE-d-AMT_CREDIT_LIMIT_ACTUAL_max,38,829.5254955291748
f109_PRODUCT_COMBINATION,45,828.2840967178345
f302_not-delayed_money_ratio_0_mean,34,827.8058986663818
AMT_DEBT_BY_INCOME_36M_mean_prev,29,816.540301322937
CREDIT_TYPE_Microloan_12M_ratio_bu,25,811.1635971069336
f202_CNT_INSTALMENT_ratio_mean,30,810.5175542831421
