feature,split,gain,total
f001_EXT_SOURCES_mean,0.41024540731118947,1.0,1.4102454073111894
f702_prev_y_mean,0.11756587493041382,0.28881002607997186,0.4063759010103857
f702_prev_y_max,0.1703817962516237,0.25153509522751477,0.42191689147913847
f002_ORGANIZATION_TYPE,1.0,0.21477547463578556,1.2147754746357855
f703_bureau_y_max,0.17059055483392097,0.14333644456174094,0.31392699939566193
f001_EXT_SOURCES_sum,0.15426099461866766,0.09660765353811737,0.250868648156785
f702_prev_y_min,0.1385809055483392,0.07814024162847312,0.21672114717681235
f703_bureau_y_q75,0.061038689923919094,0.06295244456518224,0.12399113448910135
f398_y_pred,0.1328168491371312,0.046356776371392704,0.17917362550852392
f002_NAME_EDUCATION_TYPE,0.10595657821488216,0.045888752350444637,0.15184533056532679
f001_EXT_SOURCE_3,0.11115234737428095,0.045345763793221694,0.15649811116750265
f702_prev_y_q25,0.05172573761365745,0.04403380290895643,0.09575954052261387
f001_CODE_GENDER,0.12648450547411397,0.035842361591983576,0.16232686706609756
f001_EXT_SOURCE_1,0.12501159769901654,0.030390498304367575,0.15540209600338412
f002_OCCUPATION_TYPE,0.12117275932455003,0.02841415631917896,0.149586915643729
f405_AMT_BALANCE-d-AMT_CREDIT_LIMIT_ACTUAL_max,0.08030246799035072,0.02747492676634831,0.10777739475669904
f509_AMT_CREDIT_SUM_DEBT-d-AMT_CREDIT_SUM,0.07844683614770831,0.025865836187602735,0.10431267233531105
f703_bureau_y_var,0.07159259602894787,0.024678286472241254,0.09627088250118912
f001_EXT_SOURCE_2,0.11911996659862684,0.024672947609888668,0.1437929142085155
f703_bureau_y_mean,0.03801725737613658,0.02195615883598388,0.05997341621212046
f001_EXT_SOURCES_prod,0.07456160697717573,0.020334091358458643,0.09489569833563438
f001_maxwell_feature_1,0.06986453887548712,0.020282140740086052,0.09014667961557317
f001_DAYS_ID_PUBLISH-m-DAYS_BIRTH,0.07698552607162738,0.01896984036536239,0.09595536643698978
f505_Active_AMT_CREDIT_SUM_DEBT-d-AMT_CREDIT_SUM_max,0.05068194470217109,0.018845828373060116,0.06952777307523121
f001_DEF_30_CNT_SOCIAL_CIRCLE,0.07657960660604936,0.017104821345129608,0.09368442795117897
f502_AMT_CREDIT_SUM_DEBT-d-AMT_CREDIT_SUM_max,0.038562349229912786,0.015590250004792645,0.05415259923470543
