feature,split,gain,total
f002_ORGANIZATION_TYPE,1.0,0.2520404009337119,40.0
f001_EXT_SOURCES_mean,0.1388650874816883,1.0,80.0
f702_prev_y_mean,0.051798004367174334,0.31285573709198683,120.0
f702_prev_y_max,0.047707233477984466,0.17517030640858308,160.0
f703_bureau_y_max,0.07128444677851792,0.12125391148272327,209.0
nejumi,0.12637165206335169,0.06247701183610576,231.0
f001_EXT_SOURCES_sum,0.059095055142485975,0.06986685742022583,280.0
f002_OCCUPATION_TYPE,0.06876917548854307,0.02406706386616421,340.0
f703_bureau_y_q75,0.0322286409242931,0.05961771899683025,340.0
f398_y_pred,0.050001382017192286,0.03273332258583818,400.0
f001_EXT_SOURCE_2,0.053705188092539866,0.023232311380332032,443.0
f001_EXT_SOURCE_3,0.050720030957185115,0.018443530475369885,496.0
f001_CODE_GENDER,0.045357804251084884,0.025497410333380755,501.0
f108_PRODUCT_COMBINATION,0.04989082064180878,0.010081109827494408,580.0
f002_NAME_EDUCATION_TYPE,0.030432018574311062,0.031807571369554415,589.0
f001_EXT_SOURCE_1,0.044390392216479176,0.014265409094508463,635.0
f703_bureau_y_var,0.03546256115426076,0.018802047201477524,707.0
f001_EXT_SOURCES_prod,0.038281876226540265,0.015402826198793266,748.0
f001_REGION_POPULATION_RELATIVE,0.04115647198651151,0.008204012474365707,791.0
f001_EXT_SOURCES_2-3,0.043229497774952316,0.009818242065037352,795.0
f702_prev_y_q75,0.026534730092042345,0.022325435951730768,800.0
f405_AMT_BALANCE-d-AMT_CREDIT_LIMIT_ACTUAL_max,0.030404378230465188,0.02008267452568716,835.0
f708_1,0.033168412615052933,0.009969192438274042,934.0
f002_NAME_FAMILY_STATUS,0.031123027170458,0.01016101404712454,1022.0
f001_OWN_CAR_AGE,0.026755852842809368,0.012861418545316687,1031.0
f011_EXT_SOURCE_1,0.029906852041239395,0.01092264416414111,1044.0
f109_NAME_GOODS_CATEGORY,0.03294728986428591,0.0067281002167194435,1057.0
f505_Active_AMT_CREDIT_SUM_DEBT-d-AMT_CREDIT_SUM_max,0.023439011581304074,0.015889382233235445,1186.0
f016_EXT_SOURCE_3,0.02053677547748694,0.01967009678325457,1196.0
f001_DAYS_ID_PUBLISH-m-DAYS_BIRTH,0.02717045800049753,0.00939567191007912,1227.0
f708_2,0.028801238287404295,0.006865310404561434,1249.0
f101_approved_AMT_GOODS_PRICE-d-total_debt_mean,0.02465518671052268,0.012515715401160041,1266.0
f702_prev_y_q25,0.02520799358744023,0.012105302124468226,1363.0
f702_prev_y_min,0.018214986594433238,0.013490609023050146,1382.0
f505_Active_AMT_CREDIT_SUM_DEBT-d-AMT_CREDIT_SUM_mean,0.022195196108239588,0.010308600009401243,1400.0
f013_EXT_SOURCE_3,0.014400619143702147,0.016293876036989757,1437.0
f001_REGION_RATING_CLIENT_W_CITY,0.0251250725559026,0.008689257962855837,1492.0
f501_AMT_CREDIT_SUM_DEBT-d-AMT_CREDIT_SUM_max,0.017938583155974464,0.013270108150471329,1516.0
f702_prev_y_var,0.026313607341275327,0.004736047885527468,1533.0
f105_prevapp_future_payment_19m,0.01932060034826833,0.010451156709149598,1652.0
f014_EXT_SOURCE_1,0.02086845960363747,0.009020015363413706,1656.0
f201_MONTHS_BALANCE_max-d-min,0.02191879266978081,0.007211455433394501,1717.0
f001_EXT_SOURCES_std,0.02501451118051909,0.004514219520538321,1733.0
f001_PAYMENT_RATE,0.016528925619834708,0.007151894926182401,1790.0
f012_EXT_SOURCE_2,0.021061942010558613,0.0089326185715011,1806.0
f001_AMT_CREDIT-d-AMT_ANNUITY,0.021421266480555017,0.01342468216883627,1828.0
f109_PRODUCT_COMBINATION,0.022001713701318443,0.004519600687263666,1929.0
f001_AMT_GOODS_PRICE-m-AMT_CREDIT,0.021587108543630284,0.006548187855330496,1930.0
f708_4,0.022139915420547832,0.00647945435966485,1941.0
f001_EXT_SOURCES_1-2,0.02023273169518229,0.005783099686093028,1947.0
f001_DAYS_EMPLOYED-m-DAYS_BIRTH,0.02208463473285608,0.005689296366249478,1974.0
f001_DEF_30_CNT_SOCIAL_CIRCLE,0.018850714502888416,0.007422249020917151,2057.0
f105_prevapp_future_payment_20m,0.015976118742917163,0.011502532890559535,2062.0
f108_NAME_GOODS_CATEGORY,0.02042621410210343,0.00394210141997836,2107.0
f509_AMT_CREDIT_SUM_DEBT-d-AMT_CREDIT_SUM,0.018905995190580168,0.006886944994252136,2129.0
f708_3,0.021117222698250362,0.003812248783293932,2169.0
f707_18,0.018961275878271927,0.003069429911529288,2289.0
f707_24,0.01893363553442605,0.0032528195512911344,2360.0
f205_CNT_INSTALMENT_FUTURE_pctchange_min,0.015423311865999613,0.007159670692650327,2389.0
f001_maxwell_feature_1,0.017579258685978056,0.004602652278716906,2449.0
f201_CNT_INSTALMENT_FUTURE-d-CNT_INSTALMENT_mean,0.017634539373669808,0.004649232326419659,2483.0
f702_prev_y_median,0.016363083556759448,0.004332098082132889,2537.0
f101_approved_cnt_unpaid_std,0.012852759888333013,0.00812910236009473,2568.0
f707_25,0.017662179717515686,0.0033899039137897965,2586.0
f706_2,0.017302855247519282,0.0030018954023027745,2598.0
f501_AMT_CREDIT_SUM-m-AMT_CREDIT_SUM_DEBT_max-d-min,0.015865557367533655,0.004478326652054079,2697.0
f706_4,0.01658420630752647,0.0033188176134757922,2772.0
f502_DAYS_CREDIT_ENDDATE-d-app_DAYS_BIRTH_mean,0.014428259487548025,0.006202527986537242,2808.0
f707_6,0.017054092152906382,0.0038715680843542533,2837.0
f501_AMT_CREDIT_SUM_DEBT-d-AMT_CREDIT_SUM_std,0.015340390834461981,0.005261722350945535,2890.0
f405_AMT_DRAWINGS_ATM_CURRENT_sum,0.014732303269852675,0.006107923754230451,2918.0
f305_notdelay_con_AMT_PAYMENT_sum,0.01462174189446917,0.00547848942667794,3016.0
