feature,split,gain,total
f002_ORGANIZATION_TYPE,1.0,0.2460763597573397,50.0
f001_EXT_SOURCES_mean,0.13896654082250207,1.0,100.0
f702_prev_y_mean,0.054036139370010665,0.3109068448285388,150.0
f702_prev_y_max,0.05141358540591948,0.18071101121813413,200.0
f703_bureau_y_max,0.07634225770195106,0.12154715572994693,250.0
f001_EXT_SOURCES_sum,0.06060693391740395,0.06955100903677806,300.0
f703_bureau_y_q75,0.036715755497276584,0.06297311518112822,365.0
f002_OCCUPATION_TYPE,0.06905098129629095,0.02354524005026649,385.0
f398_y_pred,0.051038934839620735,0.03319651859616901,450.0
f001_EXT_SOURCE_2,0.05141358540591948,0.02106952659240553,524.0
f001_CODE_GENDER,0.048675754344505606,0.027316696257309904,543.0
f708_1,0.05112539266261276,0.02034611587405269,603.0
f001_EXT_SOURCE_3,0.05057782645032998,0.01736441169133729,635.0
f002_NAME_EDUCATION_TYPE,0.03239286434767573,0.032357111734993026,739.0
f108_PRODUCT_COMBINATION,0.048502838698521566,0.009500270134360776,740.0
f001_EXT_SOURCE_1,0.04417994754892072,0.01432915811447959,782.0
f703_bureau_y_var,0.03590881581601775,0.018800250565327543,905.0
f708_2,0.043545923513645925,0.01115621996652191,960.0
f001_EXT_SOURCES_2-3,0.044381682469235434,0.009625782595135137,976.0
f702_prev_y_q75,0.02671546730453327,0.02772236191405551,986.0
f001_EXT_SOURCES_prod,0.037637972275858085,0.014766619003733009,997.0
f001_REGION_POPULATION_RELATIVE,0.04095218882388541,0.00785788170800922,1058.0
f405_AMT_BALANCE-d-AMT_CREDIT_LIMIT_ACTUAL_max,0.031297731923110174,0.02068133243658564,1112.0
f708_3,0.036542839851292544,0.007122583673324774,1207.0
f002_NAME_FAMILY_STATUS,0.033142165480273204,0.010315044203621195,1293.0
f001_OWN_CAR_AGE,0.029597394737600508,0.013386966290234557,1313.0
f011_EXT_SOURCE_1,0.030577250064843367,0.00988546586852229,1427.0
f016_EXT_SOURCE_3,0.02037522695178535,0.019021343773387687,1429.0
f702_prev_y_min,0.021672094296665608,0.01686842322205184,1495.0
f505_Active_AMT_CREDIT_SUM_DEBT-d-AMT_CREDIT_SUM_max,0.02348770857949797,0.01604204274463028,1526.0
f101_approved_AMT_GOODS_PRICE-d-total_debt_mean,0.025043949393354283,0.012282131544516905,1552.0
f702_prev_y_q25,0.022334937606271067,0.011621510017501115,1579.0
f109_NAME_GOODS_CATEGORY,0.02870399723334966,0.005645044086988335,1605.0
f001_DAYS_ID_PUBLISH-m-DAYS_BIRTH,0.02582206980028243,0.009032220819481357,1685.0
f013_EXT_SOURCE_3,0.015101299749272313,0.017301807907409338,1749.0
f702_prev_y_var,0.025072768667684948,0.00419465461387166,1867.0
f001_REGION_RATING_CLIENT_W_CITY,0.02383353987146604,0.008239161265621192,1884.0
f505_Active_AMT_CREDIT_SUM_DEBT-d-AMT_CREDIT_SUM_mean,0.021239805181705526,0.009919636787432034,1922.0
f501_AMT_CREDIT_SUM_DEBT-d-AMT_CREDIT_SUM_max,0.017723853713363498,0.012898992405840113,1969.0
f014_EXT_SOURCE_1,0.018847805412259718,0.008509089192031359,1981.0
f201_MONTHS_BALANCE_max-d-min,0.02354534712815931,0.0071953350670794685,1990.0
f012_EXT_SOURCE_2,0.02380472059713536,0.010674048840294471,2068.0
f001_EXT_SOURCES_1-2,0.020634600420761404,0.005568983607734663,2182.0
f109_PRODUCT_COMBINATION,0.020404046226116024,0.004017523513553304,2224.0
f105_prevapp_future_payment_20m,0.01945301017320384,0.006768398076353669,2334.0
f001_DEF_30_CNT_SOCIAL_CIRCLE,0.020259949854462663,0.007862817142165593,2360.0
f001_AMT_GOODS_PRICE-m-AMT_CREDIT-d-AMT_INCOME_TOTAL,0.019827660739502574,0.00455457236725978,2400.0
f707_18,0.020922793164068133,0.003472663597718802,2415.0
f108_NAME_GOODS_CATEGORY,0.02037522695178535,0.0038169082358822924,2449.0
f509_AMT_CREDIT_SUM_DEBT-d-AMT_CREDIT_SUM,0.019280094527219804,0.006792466462956155,2452.0
f708_4,0.02057696187210006,0.006174658951959043,2473.0
f001_DAYS_EMPLOYED-m-DAYS_BIRTH,0.0199141185624946,0.0052441666109982205,2548.0
f706_4,0.021383901553358887,0.004541225414232854,2601.0
f205_CNT_INSTALMENT_FUTURE_pctchange_min,0.017291564598403412,0.0075739461478689565,2732.0
f101_approved_cnt_unpaid_std,0.014467275713997519,0.009480962445147798,2761.0
f707_6,0.019107178881235767,0.0050899955574072115,2774.0
f707_24,0.020058214934147958,0.0034060786978802877,2774.0
f707_25,0.018127323553992908,0.0032701236216474477,2917.0
f001_maxwell_feature_1,0.017695034439032822,0.004425501445833297,3022.0
f702_prev_y_median,0.01809850427966224,0.005056609620427891,3026.0
f201_CNT_INSTALMENT_FUTURE-d-CNT_INSTALMENT_mean,0.01717628750108072,0.004424508480453588,3060.0
f706_23,0.017147468226750052,0.003727667918185485,3102.0
f706_2,0.01665754056312862,0.002896208555998785,3121.0
f706_11,0.017262745324072737,0.0029468975760326968,3178.0
f501_AMT_CREDIT_SUM-m-AMT_CREDIT_SUM_DEBT_max-d-min,0.01582178160753912,0.0043117891524552775,3441.0
f405_AMT_DRAWINGS_ATM_CURRENT_sum,0.015591227412893744,0.006137359891002888,3443.0
f707_2,0.016369347819821897,0.004293460819502788,3443.0
