feature,split,gain,total
f002_ORGANIZATION_TYPE,1.0,0.2562175704990741,50.0
f001_EXT_SOURCES_mean,0.13385998365567967,1.0,100.0
f702_prev_y_mean,0.051974938708798685,0.312717868987168,150.0
f702_prev_y_max,0.05115772269136475,0.1801533197861864,200.0
f703_bureau_y_max,0.06850994279487879,0.12126942868437655,250.0
f001_EXT_SOURCES_sum,0.06104603650231545,0.07121869002245071,300.0
f703_bureau_y_q75,0.034786161808771456,0.06496200286716021,364.0
f002_OCCUPATION_TYPE,0.07177880686461455,0.025511548837953826,386.0
f398_y_pred,0.050177063470444025,0.033722390396030616,454.0
f001_EXT_SOURCE_2,0.05241078725143013,0.02320616584417525,516.0
f001_CODE_GENDER,0.04707164260419505,0.02746761715973733,533.0
f001_EXT_SOURCE_3,0.050803595750476715,0.017760783925181347,614.0
f708_1,0.04930536638518115,0.020890472930340083,637.0
f108_PRODUCT_COMBINATION,0.050313266140016334,0.010308929057314068,724.0
f002_NAME_EDUCATION_TYPE,0.03116317079814764,0.032050369592390736,736.0
f001_EXT_SOURCE_1,0.042631435576137286,0.014919837826015072,797.0
f703_bureau_y_var,0.03546717515663307,0.019884891164767073,889.0
f702_prev_y_q75,0.027349496050122584,0.02521747806075041,951.0
f001_EXT_SOURCES_prod,0.034377553800054486,0.014047049235534972,967.0
f001_REGION_POPULATION_RELATIVE,0.04361209479705802,0.008632849833446315,985.0
f001_EXT_SOURCES_2-3,0.039090166167256885,0.00954151468192959,1030.0
f405_AMT_BALANCE-d-AMT_CREDIT_LIMIT_ACTUAL_max,0.02901116861890493,0.02037848847997957,1081.0
f708_2,0.03849087442113865,0.010408083935762737,1091.0
f708_3,0.035603377826205394,0.006923181871274015,1276.0
f001_OWN_CAR_AGE,0.0271860528466358,0.013560510895793286,1281.0
f002_NAME_FAMILY_STATUS,0.03140833560337783,0.010233905394867055,1302.0
f011_EXT_SOURCE_1,0.02901116861890493,0.010376687567384756,1408.0
f109_NAME_GOODS_CATEGORY,0.031762462544265874,0.006554977574877787,1444.0
f016_EXT_SOURCE_3,0.01972214655407246,0.019350902070126418,1483.0
f505_Active_AMT_CREDIT_SUM_DEBT-d-AMT_CREDIT_SUM_max,0.02092073004630891,0.01503182603148414,1535.0
f702_prev_y_min,0.020784527376736587,0.015217181281292728,1542.0
f702_prev_y_q25,0.024761645328248438,0.014378734907022775,1578.0
f101_approved_AMT_GOODS_PRICE-d-total_debt_mean,0.02394442931081449,0.01247349896992049,1619.0
f001_DAYS_ID_PUBLISH-m-DAYS_BIRTH,0.027158812312721332,0.009506773799462416,1684.0
f013_EXT_SOURCE_3,0.013293380550258785,0.01723345517390906,1765.0
f105_prevapp_future_payment_19m,0.021029692181966767,0.01191405615851213,1857.0
f001_REGION_RATING_CLIENT_W_CITY,0.023780986107327703,0.008438310769433046,1891.0
f702_prev_y_var,0.026886406973576683,0.004665051535102504,1912.0
f505_Active_AMT_CREDIT_SUM_DEBT-d-AMT_CREDIT_SUM_mean,0.021193135385453556,0.009987723669979331,2024.0
f014_EXT_SOURCE_1,0.01909561427403977,0.00919183247145106,2051.0
f501_AMT_CREDIT_SUM_DEBT-d-AMT_CREDIT_SUM_max,0.01713429583219831,0.013394848254774487,2075.0
f201_MONTHS_BALANCE_max-d-min,0.022527921547262332,0.0075240729145318735,2082.0
f001_EXT_SOURCES_std,0.024788885862162897,0.004637855531435278,2129.0
f708_4,0.019340779079269958,0.008426733961998136,2262.0
f109_PRODUCT_COMBINATION,0.023154453827295016,0.0049084274783009725,2331.0
f001_EXT_SOURCES_1-2,0.02029419776627622,0.005695341505419897,2344.0
f001_AMT_GOODS_PRICE-m-AMT_CREDIT,0.020947970580223373,0.00620085914424685,2444.0
f012_EXT_SOURCE_2,0.02040315990193408,0.008617499260489948,2450.0
f001_DEF_30_CNT_SOCIAL_CIRCLE,0.01890493053663852,0.007653262259769409,2478.0
f001_PAYMENT_RATE,0.018387360392263692,0.004854366518861976,2508.0
f108_NAME_GOODS_CATEGORY,0.019585943884500138,0.003823811729552417,2532.0
f001_DAYS_EMPLOYED-m-DAYS_BIRTH,0.02004903296104604,0.005251097158450625,2541.0
f707_18,0.02195587033505857,0.0037674619142264655,2586.0
f509_AMT_CREDIT_SUM_DEBT-d-AMT_CREDIT_SUM,0.018959411604467447,0.006691473639709406,2599.0
f205_CNT_INSTALMENT_FUTURE_pctchange_min,0.016126396077363117,0.007332424120291047,2841.0
f101_approved_cnt_unpaid_std,0.013919912830291476,0.00953812141576153,2843.0
f001_maxwell_feature_1,0.018414600926178155,0.004654899601398083,2899.0
f707_24,0.020539362571506403,0.003690707419997953,2936.0
f706_4,0.01754290384091528,0.0038314410644899547,2974.0
f702_prev_y_median,0.015962952873876328,0.004830051026714535,2996.0
f707_25,0.017079814764369382,0.003289139095774049,3049.0
f201_CNT_INSTALMENT_FUTURE-d-CNT_INSTALMENT_mean,0.017379460637428498,0.004484339326183035,3082.0
f707_6,0.017270498501770638,0.004466598816182749,3109.0
f706_2,0.017161536366112774,0.003154851368008984,3226.0
f501_AMT_CREDIT_SUM-m-AMT_CREDIT_SUM_DEBT_max-d-min,0.01476436938163988,0.0044992003558131976,3475.0
f501_AMT_CREDIT_SUM_DEBT-d-AMT_CREDIT_SUM_std,0.014328520839008447,0.0049985204840413905,3515.0
f001_AMT_CREDIT-d-AMT_ANNUITY,0.018033233451375648,0.00482687734468704,3515.0
f502_DAYS_CREDIT_ENDDATE-d-app_DAYS_BIRTH_mean,0.01280305093979842,0.005728630522312441,3561.0
f405_AMT_DRAWINGS_ATM_CURRENT_sum,0.014464723508580768,0.005745449173362158,3614.0
f706_23,0.014846090983383275,0.003266658183323028,3660.0
f706_11,0.01653500408608009,0.0028749733076224317,3661.0
f305_notdelay_con_AMT_PAYMENT_sum,0.014383001906837375,0.005768788634443136,3707.0
f510_SK_ID_BUREAU,0.0163715608825933,0.002955771298233627,3738.0
f502_AMT_CREDIT_SUM_DEBT-d-AMT_CREDIT_SUM_max,0.011795151184963227,0.007004856302787479,3870.0
f706_3,0.015990193407790794,0.002895786337766052,3935.0
f301_notdelay_AMT_PAYMENT_sum,0.012884772541541814,0.005338471343938094,4061.0
f705_3,0.015227458458185782,0.00280321206143085,4077.0
f510_AMT_CREDIT_SUM-m-AMT_CREDIT_SUM_DEBT,0.016044674475619726,0.0029380177944440164,4096.0
f707_9,0.01435576137292291,0.0024053165165953024,4204.0
f101_approved_AMT_CREDIT-d-total_debt_mean,0.012939253609370744,0.005362468029147968,4422.0
f305_con_NUM_INSTALMENT_ratio_std-d-mean,0.015281939526014709,0.0026595191719901816,4519.0
f706_18,0.014709888313810954,0.0025720491334420394,4542.0
f001_DAYS_LAST_PHONE_CHANGE-m-DAYS_EMPLOYED-d-DAYS_ID_PUBLISH-m-DAYS_REGISTRATION,0.015227458458185782,0.0026272900734066397,4544.0
f001_DAYS_REGISTRATION-m-DAYS_BIRTH,0.01476436938163988,0.0028356499171380656,4578.0
f706_0,0.013266140016344323,0.0025505123551321104,4587.0
f105_prevapp_future_payment_1vs6,0.014301280305093981,0.003630754897936649,4605.0
f708_0,0.014628166712067556,0.002685915542867853,4634.0
f505_Closed_DAYS_CREDIT_UPDATE_max,0.013538545355488969,0.002758810728014452,4661.0
f001_AMT_ANNUITY-d-cnt_adults,0.014818850449468809,0.0029988531006899157,4687.0
f509_AMT_CREDIT_SUM-m-AMT_CREDIT_SUM_DEBT,0.014192318169436119,0.00288366264116672,4732.0
f001_DAYS_ID_PUBLISH-m-DAYS_REGISTRATION-d-DAYS_LAST_PHONE_CHANGE-m-DAYS_ID_PUBLISH,0.014219558703350588,0.002515220829558119,4759.0
f001_FLAG_WORK_PHONE,0.014437482974666302,0.0036423475248568726,4764.0
f101_nyg-middle_AMT_ANNUITY-m-app_AMT_ANNUITY_max,0.014491964042495234,0.003014553221935174,4811.0
f509_AMT_CREDIT_MAX_OVERDUE,0.014219558703350588,0.004007269350765877,4890.0
