feature,split,gain
f001_EXT_SOURCES_mean,337.7142857142857,214029.67090956654
Bra_EXT_SOURCE_MEAN,367.2857142857143,157761.037521771
f702_prev_y_mean,411.7142857142857,155281.8178113264
Bra_EXT_SOURCE_MEAN_interest_rate_ratio,340.85714285714283,131870.00030169316
f002_ORGANIZATION_TYPE,4742.0,91982.75699424744
f702_prev_y_max,330.57142857142856,78579.15109410456
f702_prev_y_min,233.28571428571428,26087.936415731907
Bra_total_interest_owed,442.42857142857144,21657.486829432524
f001_EXT_SOURCES_sum,303.14285714285717,21513.723093565022
Bra_EXT_SOURCE_PROD_RM_NA,235.0,14541.631342006582
Bra_DAYS_BIRTH___EXT_SOURCE_1_ratio,297.14285714285717,12747.9885749306
nejumi,428.2857142857143,11487.91845149121
f702_prev_y_q75,168.42857142857142,10957.189261655722
f501_AMT_CREDIT_SUM_DEBT-d-AMT_CREDIT_SUM_max,180.42857142857142,10539.574712736267
f505_Active_AMT_CREDIT_SUM_DEBT-d-AMT_CREDIT_SUM_max,146.42857142857142,10113.005702074084
Bra_bur_AMT_CREDIT_SUM___bur_AMT_CREDIT_SUM_DEBT_ratio_bur_num_summ_median,178.57142857142858,9117.145386099815
Bra_total_interest_owed_AMT_INCOME_TOTAL_ratio,188.85714285714286,8763.619064143726
Bra_ORGANIZATION_TYPE_int,452.0,8685.804315703255
Bra_DAYS_BIRTH___EXT_SOURCE_3_ratio,178.42857142857142,8228.033939659595
f702_prev_y_q25,124.42857142857143,7308.51805605899
f405_AMT_BALANCE-d-AMT_CREDIT_LIMIT_ACTUAL_max,158.71428571428572,6953.373574393137
Bra_NAME_FAMILY_STATUS__CODE_GENDER__DAYS_BIRTH__group_agg_sum,212.42857142857142,6570.270786046982
Bra_CNT_PAYMENT_pred,185.71428571428572,5899.295826656477
Bra_OWN_CAR_AGE___EXT_SOURCE_2_ratio,128.85714285714286,5819.645074503763
Bra_NAME_EDUCATION_TYPE__CODE_GENDER__EXT_SOURCE_2__group_agg_mean,92.28571428571429,5303.990920203073
f509_AMT_CREDIT_SUM_DEBT-d-AMT_CREDIT_SUM,134.57142857142858,4851.186540124671
Bra_NAME_EDUCATION_TYPE__WALLSMATERIAL_MODE__AMT_ANNUITY__group_agg_mean,67.42857142857143,4682.771030766623
f505_Active_AMT_CREDIT_SUM_DEBT-d-AMT_CREDIT_SUM_mean,112.71428571428571,4348.8024612132995
f502_DAYS_CREDIT_ENDDATE-d-app_DAYS_BIRTH_mean,143.42857142857142,4305.600057738168
f001_DAYS_ID_PUBLISH-m-DAYS_BIRTH,168.0,4266.518033776964
Bra_total_interest_owed_AMT_INCOME_TOTAL_ratio2,175.71428571428572,4262.340380758047
f202_CNT_INSTALMENT_FUTURE_pctchange_min,116.57142857142857,4135.916763288634
f302_days_weighted_delay_max,98.85714285714286,3860.07471876485
f101_approved_cnt_unpaid_var,75.57142857142857,3541.8308733701706
Bra_total_interest_owed_log,60.42857142857143,3487.239614043917
f001_AMT_CREDIT-d-AMT_ANNUITY,100.28571428571429,3400.8486674342835
Bra_papp_min_SK_ID_CURR_PRODUCT_COMBINATION_int,212.71428571428572,3324.961198602404
Bra_bur_char_num_CREDIT_TYPE__DAYS_CREDIT_ENDDATE_Consumer_credit_sum_sum,114.42857142857143,3203.7576403724297
f001_EXT_SOURCE_2,131.42857142857142,3192.2842209573305
f305_notdelay_con_AMT_PAYMENT_sum,94.14285714285714,3190.8457224241324
f310_days_weighted_delay_max,92.14285714285714,3165.474165269307
f405_AMT_DRAWINGS_ATM_CURRENT_sum,102.71428571428571,3151.2547951425827
f105_prevapp_future_payment_19m,76.57142857142857,3142.455638504454
Bra_OCCUPATION_TYPE__CODE_GENDER__EXT_SOURCE_2__group_agg_mean,46.142857142857146,3100.8170117310115
f001_DAYS_EMPLOYED-m-DAYS_BIRTH,124.0,3076.4315373216355
Bra_life_total_payments_remaining,153.42857142857142,3064.7268042968853
Bra_EXT_SOURCE_3_interest_rate_ratio,103.85714285714286,3048.38637707276
Bra_bur_char_num_CREDIT_TYPE__bur_DAYS_CREDIT_ENDDATE___bur_DAYS_CREDIT_UPDATE_ratio_Consumer_credit_sum_sum,109.85714285714286,2947.326072667326
f101_approved_AMT_GOODS_PRICE-d-total_debt_mean,88.28571428571429,2894.5266858935356
