index,split,gain
EXT_SOURCE_2,247,28183.978346824646
EXT_SOURCE_3,181,21278.57465362549
ORGANIZATION_TYPE,319,7935.394190788269
EXT_SOURCE_1,202,7636.103219985962
EXT_SOURCE_3-rank_in-region,82,7427.075788497925
ins_gby-SK_ID_CURR-SK_ID_PREV_AMT_PAYMENT_min_mean,75,2638.486596107483
ins_gby-SK_ID_CURR-SK_ID_PREV_AMT_PAYMENT_min_sum,62,2533.449604034424
OCCUPATION_TYPE,55,2531.928207397461
NAME_EDUCATION_TYPE,38,1988.0566959381104
DAYS_LAST_PHONE_CHANGE-DAYS_EMPLOYED,57,1981.5469007492065
CODE_GENDER,55,1891.1529998779297
EXT_SOURCE_1-by-AMT_INCOME_TOTAL,70,1795.7653970718384
AMT_GOODS_PRICE,51,1722.549207687378
OWN_CAR_AGE,61,1696.648009300232
AMT_ANNUITY,69,1657.9328956604004
DAYS_BIRTH,54,1513.8822011947632
EXT_SOURCE_1-rank_in-region,62,1392.5841979980469
bureau_DAYS_CREDIT_ENDDATE-Active-Consumer-credit_mean,50,1333.4557933807373
AMT_CREDIT,46,1316.0012979507446
bureau_DAYS_CREDIT_ENDDATE-Active-Consumer-credit_sum,50,1239.8179941177368
AMT_ANNUITY-by-AMT_INCOME_TOTAL,53,1153.380497932434
DAYS_EMPLOYED,38,1114.93710231781
AMT_INCOME_TOTAL-AMT_CREDIT,41,1094.201298713684
AMT_ANNUITY-rank_in-region,47,1086.0255041122437
prev_NAME_YIELD_GROUP_CNT_PAYMENT-high_mean,37,1055.2943105697632
DAYS_ID_PUBLISH-DAYS_BIRTH,36,970.2248125076294
prev_NAME_YIELD_GROUP_DAYS_DECISION-high_mean,28,932.8237991333008
ins_gby-SK_ID_CURR-SK_ID_PREV_AMT_PAYMENT_min_max,24,830.3479022979736
DAYS_LAST_PHONE_CHANGE,35,739.2581062316895
DAYS_ID_PUBLISH,37,738.971001625061
bureau_CREDIT_TYPE_AMT_CREDIT_SUM_DEBT-Credit-card_mean,29,709.3307991027832
prev_NAME_CONTRACT_STATUS_Refused_norm,27,706.7502012252808
NAME_FAMILY_STATUS,27,672.25550365448
prev_PRODUCT_COMBINATION_DAYS_LAST_DUE_1ST_VERSION-Cash-X-Sell:-low_mean,18,641.9980945587158
DAYS_EMPLOYED-DAYS_BIRTH,31,640.3133974075317
FLAG_DOCUMENT_3,19,615.0189990997314
bureau_active_gby-SK_ID_CURR_DAYS_CREDIT_max,29,604.0297021865845
pos_gby-SK_ID_CURR-SK_ID_PREV_CNT_INSTALMENT_FUTURE_min_mean,24,595.9682941436768
AMT_CREDIT-rank_in-region,28,582.3920001983643
DAYS_LAST_PHONE_CHANGE-DAYS_BIRTH,28,580.1499090194702
DAYS_ID_PUBLISH-DAYS_EMPLOYED,28,578.7330989837646
ins_gby-SK_ID_CURR-NUM_INSTALMENT_VERSION_DAYS_ENTRY_PAYMENT_max_std,29,574.4823036193848
bureau_gby-SK_ID_CURR-CREDIT_TYPE_DAYS_CREDIT_ENDDATE_max_min,25,562.5061988830566
DEF_30_CNT_SOCIAL_CIRCLE,24,552.4558954238892
ins_gby-SK_ID_CURR-NUM_INSTALMENT_NUMBER_AMT_PAYMENT_min_sum,28,548.1263971328735
prev_gby-SK_ID_CURR-CODE_REJECT_REASON_AMT_DOWN_PAYMENT_sum_mean,15,497.9758987426758
bureau_gby-SK_ID_CURR-CREDIT_TYPE_DAYS_CREDIT_mean_mean,15,491.6168975830078
pos_gby-SK_ID_CURR-SK_ID_PREV_CNT_INSTALMENT_FUTURE_min_std,21,490.69730281829834
prev_gby-SK_ID_CURR-CODE_REJECT_REASON_DAYS_FIRST_DRAWING_sum_mean,13,480.2972021102905
ins_gby-SK_ID_CURR_AMT_PAYMENT_min,22,478.6112003326416
cre_gby-SK_ID_CURR-SK_ID_PREV_CNT_DRAWINGS_ATM_CURRENT_mean_max,15,472.9920988082886
AMT_GOODS_PRICE-rank_in-region,23,471.0194969177246
prev_NAME_YIELD_GROUP_CNT_PAYMENT-middle_mean,19,461.321702003479
prev_NAME_YIELD_GROUP_DAYS_LAST_DUE_1ST_VERSION-high_mean,17,433.38969898223877
pos_SK_DPD_over1_min-ts,19,432.0016984939575
AMT_CREDIT-by-AMT_INCOME_TOTAL,21,412.7286024093628
bureau_CREDIT_TYPE_AMT_CREDIT_SUM_DEBT-Credit-card_sum,18,411.4669990539551
bureau_AMT_CREDIT_SUM_DEBT-Active-Credit-card_sum,20,383.59299755096436
prev_NAME_YIELD_GROUP_DAYS_LAST_DUE_1ST_VERSION-high_sum,16,382.8908996582031
pos_gby-SK_ID_CURR-SK_ID_PREV_CNT_INSTALMENT_FUTURE_mean_std,13,382.191198348999
TOTALAREA_MODE,19,380.7447052001953
bureau_gby-SK_ID_CURR-CREDIT_CURRENCY_DAYS_CREDIT_mean_min,8,378.6417980194092
bureau_gby-SK_ID_CURR-CREDIT_TYPE_DAYS_CREDIT_ENDDATE_mean_min,11,367.49640560150146
bureau_CREDIT_ACTIVE_Closed_norm,7,364.3881034851074
bureau_DAYS_CREDIT_ENDDATE-currency-1-Consumer-credit_sum,17,359.1361970901489
bureau_CREDIT_TYPE_DAYS_CREDIT_ENDDATE-Consumer-credit_sum,18,351.56039905548096
ins_gby-SK_ID_CURR-NUM_INSTALMENT_VERSION_AMT_PAYMENT_mean_min,16,346.16569995880127
prev_gby-SK_ID_CURR-CODE_REJECT_REASON_AMT_DOWN_PAYMENT_sum_min,13,345.62019634246826
AMT_INCOME_TOTAL-AMT_GOODS_PRICE,17,340.33090019226074
DEF_60_CNT_SOCIAL_CIRCLE,17,339.0691976547241
bureau_active_gby-SK_ID_CURR-CREDIT_TYPE_DAYS_CREDIT_ENDDATE_max_min,16,331.30460357666016
DAYS_REGISTRATION,18,329.9212989807129
REGION_POPULATION_RELATIVE,18,329.22590255737305
bureau_AMT_CREDIT_SUM_DEBT-Active-Credit-card_mean,16,328.7282962799072
bureau_gby-SK_ID_CURR_DAYS_CREDIT_mean,9,320.59119033813477
prev_NAME_YIELD_GROUP_DAYS_LAST_DUE_1ST_VERSION-middle_sum,15,317.72469902038574
bureau_CREDIT_TYPE_DAYS_CREDIT_ENDDATE-Consumer-credit_mean,16,316.21969985961914
cre_gby-SK_ID_CURR-NAME_CONTRACT_STATUS_CNT_DRAWINGS_ATM_CURRENT_mean_min,14,313.3567991256714
bureau_gby-SK_ID_CURR-CREDIT_TYPE_DAYS_CREDIT_mean_max,13,303.8488025665283
cre_gby-SK_ID_CURR-SK_ID_PREV_CNT_DRAWINGS_ATM_CURRENT_mean_sum,12,303.62720108032227
REGION_RATING_CLIENT,13,302.42019844055176
