index,split,gain
EXT_SOURCE_2,239,27887.82332134247
EXT_SOURCE_3,253,26066.537521362305
EXT_SOURCE_1,221,7984.730379104614
EXT_SOURCE_3-rank_in-region,85,6497.797046661377
ORGANIZATION_TYPE,271,6345.620614051819
OCCUPATION_TYPE,75,2790.269310951233
DAYS_LAST_PHONE_CHANGE-DAYS_EMPLOYED,82,2713.658498764038
DAYS_BIRTH,72,2188.430895805359
CODE_GENDER,68,2157.412600517273
EXT_SOURCE_1-by-AMT_INCOME_TOTAL,96,2095.3179988861084
AMT_GOODS_PRICE,73,2051.8496980667114
NAME_EDUCATION_TYPE,36,1832.611198425293
AMT_ANNUITY,78,1774.2419862747192
AMT_CREDIT,69,1755.9258012771606
EXT_SOURCE_1-rank_in-region,73,1733.443307876587
OWN_CAR_AGE,64,1621.6654996871948
prev_gby-SK_ID_CURR-CODE_REJECT_REASON_DAYS_FIRST_DRAWING_sum_mean,29,1469.0102033615112
DAYS_ID_PUBLISH,73,1420.8126096725464
prev_NAME_YIELD_GROUP_CNT_PAYMENT-high_mean,50,1346.2406015396118
AMT_ANNUITY-by-AMT_INCOME_TOTAL,60,1134.3942012786865
DAYS_EMPLOYED,44,1079.088412284851
AMT_ANNUITY-rank_in-region,51,1038.4781942367554
DAYS_LAST_PHONE_CHANGE,49,957.7152996063232
prev_PRODUCT_COMBINATION_DAYS_LAST_DUE_1ST_VERSION-Cash-X-Sell:-low_mean,34,955.3093042373657
AMT_INCOME_TOTAL-AMT_CREDIT,43,907.3256950378418
DAYS_EMPLOYED-DAYS_BIRTH,46,890.4080963134766
DAYS_ID_PUBLISH-DAYS_BIRTH,41,807.6879968643188
DAYS_ID_PUBLISH-DAYS_EMPLOYED,38,720.9218940734863
AMT_CREDIT-by-AMT_INCOME_TOTAL,38,699.496901512146
AMT_CREDIT-rank_in-region,35,695.5286989212036
FLAG_DOCUMENT_3,20,686.4979047775269
prev_NAME_YIELD_GROUP_DAYS_DECISION-high_mean,24,671.2662038803101
prev_NAME_YIELD_GROUP_CNT_PAYMENT-middle_mean,31,625.3612003326416
AMT_GOODS_PRICE-rank_in-region,32,618.7457036972046
DEF_30_CNT_SOCIAL_CIRCLE,25,612.1146020889282
DAYS_LAST_PHONE_CHANGE-DAYS_BIRTH,33,604.6781005859375
prev_NAME_YIELD_GROUP_DAYS_LAST_DUE_1ST_VERSION-high_mean,23,591.2673015594482
DAYS_REGISTRATION,35,570.4813976287842
NAME_FAMILY_STATUS,23,569.7621030807495
prev_gby-SK_ID_CURR-CODE_REJECT_REASON_AMT_DOWN_PAYMENT_sum_mean,12,556.6920032501221
AMT_INCOME_TOTAL-AMT_GOODS_PRICE,29,533.9469003677368
prev_NAME_YIELD_GROUP_CNT_PAYMENT-high_sum,28,502.5407943725586
DAYS_REGISTRATION-DAYS_EMPLOYED,26,490.1036014556885
prev_NAME_CONTRACT_STATUS_Refused_norm,17,458.2762050628662
REGION_POPULATION_RELATIVE,22,422.9708995819092
AMT_GOODS_PRICE-by-AMT_INCOME_TOTAL,23,420.4312000274658
DEF_60_CNT_SOCIAL_CIRCLE,19,415.513201713562
REGION_RATING_CLIENT,18,412.47369956970215
TOTALAREA_MODE,20,394.2656993865967
DAYS_REGISTRATION-DAYS_BIRTH,22,394.1704978942871
prev_NAME_CLIENT_TYPE_AMT_ANNUITY-New_sum,19,385.3209981918335
prev_NAME_YIELD_GROUP_DAYS_LAST_DUE_1ST_VERSION-low_normal_mean,19,364.39340019226074
prev_NAME_PAYMENT_TYPE_CNT_PAYMENT-Cash-through-the-bank_mean,14,356.11780166625977
prev_gby-SK_ID_CURR-CODE_REJECT_REASON_DAYS_FIRST_DUE_sum_std,9,350.54830169677734
prev_gby-SK_ID_CURR-NAME_PAYMENT_TYPE_DAYS_LAST_DUE_1ST_VERSION_max_min,18,348.78230571746826
NAME_CONTRACT_TYPE,15,344.0971965789795
prev_PRODUCT_COMBINATION_CNT_PAYMENT-Cash-X-Sell:-low_mean,14,336.0740966796875
AMT_INCOME_TOTAL-rank_in-region,19,330.86079692840576
YEARS_BEGINEXPLUATATION_AVG,18,330.55759716033936
prev_NAME_CLIENT_TYPE_AMT_ANNUITY-New_mean,12,327.0345993041992
AMT_REQ_CREDIT_BUREAU_QRT,16,317.7538013458252
REG_CITY_NOT_LIVE_CITY,14,314.61440086364746
prev_gby-SK_ID_CURR-NAME_CASH_LOAN_PURPOSE_CNT_PAYMENT_mean_sum,14,307.14730072021484
prev_NAME_YIELD_GROUP_DAYS_LAST_DUE_1ST_VERSION-middle_mean,15,304.1047010421753
AMT_INCOME_TOTAL-AMT_ANNUITY,16,302.772198677063
FLAG_OWN_CAR,14,302.5460023880005
DAYS_LAST_PHONE_CHANGE-DAYS_ID_PUBLISH,17,298.14289951324463
BASEMENTAREA_MODE,15,294.2682981491089
prev_NAME_CONTRACT_TYPE_DAYS_LAST_DUE_1ST_VERSION-Cash-loans_mean,15,289.8172998428345
REGION_RATING_CLIENT_W_CITY,13,282.20040130615234
prev_NAME_YIELD_GROUP_DAYS_LAST_DUE_1ST_VERSION-middle_sum,14,276.86880016326904
prev_gby-SK_ID_CURR-NAME_PRODUCT_TYPE_DAYS_FIRST_DRAWING_sum_mean,11,273.7078981399536
DAYS_LAST_PHONE_CHANGE-DAYS_REGISTRATION,15,273.2476005554199
YEARS_BEGINEXPLUATATION_MODE,16,273.13769817352295
prev_gby-SK_ID_CURR-CODE_REJECT_REASON_DAYS_FIRST_DRAWING_sum_std,8,272.551100730896
prev_gby-SK_ID_CURR-WEEKDAY_APPR_PROCESS_START_CNT_PAYMENT_min_std,13,260.7929992675781
prev_CHANNEL_TYPE_DAYS_DECISION-AP+-(Cash-loan)_mean,15,255.44869804382324
prev_NAME_CLIENT_TYPE_AMT_DOWN_PAYMENT-New_sum,12,251.08489799499512
prev_PRODUCT_COMBINATION_DAYS_LAST_DUE_1ST_VERSION-Cash-X-Sell:-middle_sum,14,250.87110233306885
prev_gby-SK_ID_CURR-CODE_REJECT_REASON_RATE_DOWN_PAYMENT_sum_mean,10,250.4429006576538
prev_NAME_CONTRACT_TYPE_AMT_ANNUITY-Consumer-loans_mean,15,249.95849990844727
prev_NAME_YIELD_GROUP_RATE_DOWN_PAYMENT-high_sum,12,243.8843994140625
prev_PRODUCT_COMBINATION_DAYS_LAST_DUE_1ST_VERSION-Cash-X-Sell:-high_sum,13,243.87870121002197
prev_gby-SK_ID_CURR-CODE_REJECT_REASON_CNT_PAYMENT_mean_sum,9,238.1844997406006
LIVINGAREA_MODE,12,238.12290000915527
prev_NAME_CASH_LOAN_PURPOSE_DAYS_LAST_DUE_1ST_VERSION-XNA_mean,12,237.24619960784912
prev_NAME_CASH_LOAN_PURPOSE_DAYS_LAST_DUE_1ST_VERSION-XNA_sum,12,235.46410179138184
prev_NAME_CLIENT_TYPE_AMT_GOODS_PRICE-New_sum,12,233.8249969482422
DAYS_ID_PUBLISH-DAYS_REGISTRATION,12,229.55249881744385
YEARS_BEGINEXPLUATATION_MEDI,13,229.4306001663208
prev_NAME_YIELD_GROUP_DAYS_LAST_DUE_1ST_VERSION-high_sum,12,229.3474998474121
prev_NAME_TYPE_SUITE_DAYS_DECISION-Unaccompanied_sum,12,224.51600074768066
prev_NAME_PAYMENT_TYPE_AMT_ANNUITY-Cash-through-the-bank_mean,13,223.11520099639893
prev_NAME_CONTRACT_TYPE_AMT_ANNUITY-Consumer-loans_sum,11,223.07050132751465
prev_PRODUCT_COMBINATION_CNT_PAYMENT-Cash-X-Sell:-middle_mean,10,222.32330131530762
FLOORSMAX_AVG,11,221.15989780426025
prev_gby-SK_ID_CURR-NAME_YIELD_GROUP_HOUR_APPR_PROCESS_START_mean_std,11,214.20309734344482
prev_WEEKDAY_APPR_PROCESS_START_AMT_APPLICATION-FRIDAY_mean,12,213.98809814453125
LANDAREA_AVG,13,213.77430152893066
prev_gby-SK_ID_CURR-NAME_PAYMENT_TYPE_DAYS_DECISION_mean_std,11,213.27069854736328
prev_gby-SK_ID_CURR-CHANNEL_TYPE_DAYS_FIRST_DUE_max_std,12,212.78179931640625
prev_NAME_CONTRACT_TYPE_DAYS_DECISION-Revolving-loans_mean,11,212.58560276031494
prev_NAME_SELLER_INDUSTRY_AMT_ANNUITY-Consumer-electronics_sum,11,212.48749828338623
prev_gby-SK_ID_CURR-NAME_GOODS_CATEGORY_HOUR_APPR_PROCESS_START_min_std,13,212.2251033782959
LIVINGAREA_AVG,12,211.6279993057251
prev_WEEKDAY_APPR_PROCESS_START_AMT_CREDIT-WEDNESDAY_mean,12,210.71700286865234
prev_NAME_YIELD_GROUP_AMT_ANNUITY-high_mean,13,210.56270217895508
