index,split,gain
EXT_SOURCE_3,701.2,29509.986056423186
EXT_SOURCE_2,657.4,26465.004382991792
EXT_SOURCE_1,693.2,12567.696529197692
ORGANIZATION_TYPE,602.0,9295.600008964539
DAYS_BIRTH,509.4,7175.2347876548765
DAYS_EMPLOYED,449.4,6029.039425373077
AMT_CREDIT,430.8,5571.34281129837
AMT_GOODS_PRICE,390.2,5306.70482788086
AMT_ANNUITY,412.8,5192.196126651764
DAYS_ID_PUBLISH,417.2,4911.481848239899
OCCUPATION_TYPE,230.8,4011.6240292549132
DAYS_REGISTRATION,342.6,3927.738699245453
DAYS_LAST_PHONE_CHANGE,311.2,3610.5908363342287
OWN_CAR_AGE,284.2,3559.854212474823
SK_ID_CURR,306.0,3426.059972000122
prev_AMT_ANNUITY_min,288.0,3331.9875790596006
REGION_POPULATION_RELATIVE,292.4,3306.8384614944457
prev_AMT_GOODS_PRICE_min,263.0,3037.0321556091308
prev_DAYS_DECISION_std,253.0,3036.188067817688
prev_DAYS_LAST_DUE_1ST_VERSION_max,239.6,3005.9792264938355
prev_DAYS_DECISION_max,261.6,2993.9356015205385
prev_DAYS_FIRST_DUE_std,256.2,2989.910635948181
prev_AMT_ANNUITY_std,261.8,2979.8809423446655
prev_DAYS_LAST_DUE_1ST_VERSION_sum,248.4,2938.2723925590517
AMT_INCOME_TOTAL,251.0,2837.62286901474
prev_AMT_ANNUITY_mean,237.4,2774.934306716919
prev_AMT_DOWN_PAYMENT_sum,197.0,2691.3834654808043
prev_RATE_DOWN_PAYMENT_max,221.4,2575.965499973297
prev_DAYS_FIRST_DUE_max,222.4,2567.806084823608
prev_AMT_DOWN_PAYMENT_mean,223.8,2566.973198223114
prev_DAYS_LAST_DUE_std,213.8,2496.2141180992126
prev_AMT_DOWN_PAYMENT_max,207.2,2467.964555835724
prev_AMT_DOWN_PAYMENT_std,204.0,2405.032197761536
prev_AMT_ANNUITY_max,200.0,2379.1555970191957
prev_RATE_DOWN_PAYMENT_mean,202.0,2331.141396141052
