feature,split,gain
f001_EXT_SOURCES_mean,1253.6666666666667,521274.9390100737
f702_prev_y_mean,507.3333333333333,193279.34870882626
f002_ORGANIZATION_TYPE,10688.666666666666,175472.4328633944
f702_prev_y_max,607.3333333333334,118969.53906861942
f703_bureau_y_max,532.3333333333334,50396.186245431505
nejumi,1574.6666666666667,40921.04779044166
f001_EXT_SOURCES_sum,543.0,38929.686285833515
f702_prev_y_min,373.3333333333333,26819.141329248745
f001_EXT_SOURCE_2,775.6666666666666,22599.574513653915
f703_bureau_y_q75,267.0,21320.78747234245
f001_EXT_SOURCE_3,699.3333333333334,20974.230151206255
f398_y_pred,465.6666666666667,16798.033746620018
f002_NAME_EDUCATION_TYPE,236.66666666666666,16305.854178746542
f002_OCCUPATION_TYPE,867.0,16279.882587591806
f703_bureau_y_var,434.3333333333333,14864.394142746925
f001_CODE_GENDER,367.6666666666667,14223.528324127197
f001_EXT_SOURCE_1,618.0,12806.294403553009
f108_PRODUCT_COMBINATION,842.6666666666666,11048.262017726898
f001_EXT_SOURCES_prod,354.0,10112.425616165003
f702_prev_y_q25,222.66666666666666,10107.262654711803
f505_Active_AMT_CREDIT_SUM_DEBT-d-AMT_CREDIT_SUM_max,259.0,9877.73350383838
f405_AMT_BALANCE-d-AMT_CREDIT_LIMIT_ACTUAL_max,266.6666666666667,9250.355257113775
f501_AMT_CREDIT_SUM_DEBT-d-AMT_CREDIT_SUM_max,195.33333333333334,8740.497501055399
f001_AMT_CREDIT-d-AMT_ANNUITY,280.3333333333333,8677.740608433882
f001_OWN_CAR_AGE,249.33333333333334,7514.15093433857
f505_Active_AMT_CREDIT_SUM_DEBT-d-AMT_CREDIT_SUM_mean,262.6666666666667,7235.287419299285
f001_DAYS_ID_PUBLISH-m-DAYS_BIRTH,311.0,6818.280475884676
f001_REGION_POPULATION_RELATIVE,538.3333333333334,6672.645720690489
f109_NAME_GOODS_CATEGORY,500.6666666666667,6644.880809942882
f702_prev_y_q75,199.0,6576.764590377609
f105_prevapp_future_payment_19m,228.0,6534.38151648144
f001_EXT_SOURCES_2-3,448.0,6132.7152255227165
f105_prevapp_future_payment_20m,177.66666666666666,6073.64269900322
f001_AMT_GOODS_PRICE-m-AMT_CREDIT,360.6666666666667,5895.509289850791
f002_NAME_FAMILY_STATUS,242.0,5358.4756328264875
f001_PAYMENT_RATE,246.66666666666666,5347.365269035101
f502_DAYS_CREDIT_ENDDATE-d-app_DAYS_BIRTH_mean,224.33333333333334,5222.27014418443
f001_REGION_RATING_CLIENT_W_CITY,219.66666666666666,5140.654742240906
f205_CNT_INSTALMENT_FUTURE_pctchange_min,193.0,5100.4038680791855
f101_approved_AMT_GOODS_PRICE-d-total_debt_mean,218.33333333333334,5074.179459104936
f101_approved_cnt_unpaid_std,146.66666666666666,4948.1080892880755
f109_PRODUCT_COMBINATION,363.0,4921.045258204143
f001_EXT_SOURCES_std,393.3333333333333,4722.721897363663
f702_prev_y_var,391.6666666666667,4630.636517255567
