index,split,gain
app_001_EXT_SOURCE_3,5528,288165.7060189247
app_001_EXT_SOURCE_2,5056,257529.3622455597
app_001_ORGANIZATION_TYPE,8485,117281.91270256042
app_001_EXT_SOURCE_1,5331,104947.3949751854
app_001_DAYS_EMPLOYED,2643,45681.353368759155
app_001_PAYMENT_RATE,2414,38092.57278728485
app_001_goods_price-dby-annuity,2530,36883.94512081146
app_001_goods_price-dby-credit,1958,33669.09674739838
app_001_credit-dby-annuity,1866,30417.89152765274
app_001_AMT_ANNUITY,2353,29684.848963737488
app_001_OCCUPATION_TYPE,1735,29256.77198123932
app_001_DAYS_ID_PUBLISH,2414,28212.396194934845
app_001_goods_price-m-credit,1822,25240.82824611664
app_001_DAYS_EMPLOYED-m-DAYS_BIRTH,2193,25233.51589012146
app_001_DAYS_LAST_PHONE_CHANGE-m-DAYS_EMPLOYED,1994,24722.260191440582
app_001_DAYS_ID_PUBLISH-m-DAYS_BIRTH,2041,24530.104468345642
app_001_OWN_CAR_AGE,1706,23807.22851705551
app_001_DAYS_ID_PUBLISH-m-DAYS_EMPLOYED,2125,23408.04275035858
app_001_goods_price-m-credit-dby-income,1721,21919.924631118774
app_001_DAYS_LAST_PHONE_CHANGE,1882,21572.797667503357
app_001_DAYS_REGISTRATION-m-DAYS_EMPLOYED,1928,21119.334437847137
prev_101_amt_unpaid_sum-p-app,1612,21006.961544036865
app_001_DAYS_REGISTRATION-m-DAYS_BIRTH,1864,20303.50968313217
app_001_age_finish_payment,1424,20116.50004673004
app_001_DAYS_LAST_PHONE_CHANGE-m-DAYS_ID_PUBLISH,1796,19460.595243930817
app_001_DAYS_REGISTRATION,1748,19416.993505001068
app_001_REGION_POPULATION_RELATIVE,1746,19330.847643375397
app_001_CODE_GENDER,828,18823.50057077408
app_001_DAYS_BIRTH,1416,18446.67162322998
app_001_DAYS_ID_PUBLISH-m-DAYS_REGISTRATION,1678,18220.023914813995
pos_201_SK_DPD_DEF_mean,1256,18023.960668087006
app_001_DAYS_EMPLOYED_PERC,1544,17456.56200170517
app_001_AMT_GOODS_PRICE,1290,17078.143280506134
app_001_annuity-dby-income,1492,16946.906625270844
app_001_DAYS_LAST_PHONE_CHANGE-m-DAYS_REGISTRATION,1458,15867.091779232025
app_001_DAYS_LAST_PHONE_CHANGE-m-DAYS_BIRTH,1406,15817.481979370117
prev_101_amt_unpaid_sum-p-app-dby-income,1309,15398.025794506073
app_001_INCOME_PER_PERSON,1370,14983.528052806854
prev_101_AMT_ANNUITY_cmp_sum,1189,14925.486991882324
prev_101_DAYS_DECISION_ref_max,1143,14798.410482406616
prev_103_approved_AMT_DOWN_PAYMENT_max,1060,14661.827350139618
prev_102_NAME_CONTRACT_STATUS-Approved_appref,909,14616.61218547821
prev_103_approved_APP_CREDIT_PERC_var,1281,14417.308366298676
prev_103_approved_APP_CREDIT_PERC_mean,1218,14051.544116973877
prev_101_total_debt_sum-p-app-dby-income,1233,13904.645269870758
prev_101_amt_paid_sum,963,13811.2673330307
app_001_NAME_EDUCATION_TYPE,325,13799.530502319336
pos_201_MONTHS_BALANCE_mean,1221,13768.578122138977
app_001_AMT_CREDIT,1193,13761.864093780518
pos_202_MONTHS_BALANCE_mean,1138,13748.535478115082
prev_101_AMT_ANNUITY_cmp_min,1147,12659.095516204834
app_001_income_per_adult,1130,12620.84883928299
pos_201_MONTHS_BALANCE_size,1044,12530.570504188538
app_001_income-dby-annuity,1068,12214.814098358154
pos_201_MONTHS_BALANCE_max,960,12116.127522945404
prev_101_amt_paid_sum-dby-amt_unpaid_sum,857,11973.310286998749
pos_201_MONTHS_BALANCE_min,978,11958.43592596054
prev_101_AMT_ANNUITY_cmp_mean,1013,11943.954901695251
prev_103_approved_APP_CREDIT_PERC_max,925,11866.724651813507
prev_103_approved_AMT_ANNUITY_mean,999,11803.105558872223
pos_202_MONTHS_BALANCE_size,1000,11696.31742143631
prev_103_completed_APP_CREDIT_PERC_var,1041,11489.978250980377
prev_103_approved_HOUR_APPR_PROCESS_START_mean,1006,11449.688083648682
prev_103_completed_DAYS_DECISION_mean,966,11185.224611759186
app_001_AMT_INCOME_TOTAL,1037,11156.325183868408
prev_101_amt_paid_min,931,11098.024085521698
app_001_goods_price-dby-income,995,11096.478193283081
prev_101_total_debt_sum-p-app,995,10915.023342132568
app_001_annuity-by-CNT_CHILDREN,989,10880.213710308075
prev_103_completed_DAYS_DECISION_max,932,10638.608575344086
app_001_TOTALAREA_MODE,929,10558.6917552948
prev_103_completed_HOUR_APPR_PROCESS_START_mean,927,10507.125838756561
prev_103_approved_DAYS_DECISION_mean,924,10412.549836158752
prev_103_approved_AMT_ANNUITY_min,926,10366.18471622467
prev_101_AMT_ANNUITY_cmp_max,883,10318.643452644348
prev_101_DAYS_DECISION_app_max,897,10253.796431541443
prev_103_approved_CNT_PAYMENT_mean,841,10188.344729423523
prev_101_amt_paid_sum-dby-total_debt_sum,815,10166.755372047424
prev_103_approved_AMT_ANNUITY_max,858,10135.576462745667
prev_103_completed_APP_CREDIT_PERC_mean,904,10011.085524082184
prev_103_approved_APP_CREDIT_PERC_min,875,9990.264808654785
prev_101_DAYS_DECISION_ref_min,860,9891.688164710999
prev_102_NAME_CONTRACT_STATUS-Approved,825,9470.046041965485
pos_203_MONTHS_BALANCE_mean,849,9441.89787530899
pos_202_SK_DPD_mean,619,9371.126375198364
prev_103_completed_APP_CREDIT_PERC_max,830,9351.348705768585
prev_102_CODE_REJECT_REASON-XAP,771,9164.360113620758
prev_103_completed_APP_CREDIT_PERC_min,821,9073.634874343872
prev_101_amt_paid_mean,756,9008.21371793747
prev_103_active_APP_CREDIT_PERC_min,667,8937.101432800293
prev_101_DAYS_LAST_DUE_1ST_VERSION_act_min,783,8900.132888793945
app_001_YEARS_BEGINEXPLUATATION_AVG,792,8842.770185470581
prev_102_NAME_PAYMENT_TYPE-Cash_through_the_bank,794,8822.172086238861
prev_103_completed_AMT_DOWN_PAYMENT_max,725,8764.583028793335
app_001_HOUR_APPR_PROCESS_START,823,8700.955741405487
prev_102_NAME_YIELD_GROUP-high,741,8692.350922107697
prev_102_NAME_PRODUCT_TYPE-XNA,777,8658.601955413818
prev_103_approved_AMT_DOWN_PAYMENT_mean,751,8577.481105327606
prev_103_completed_AMT_APPLICATION_mean,746,8417.697921276093
prev_101_DAYS_LAST_DUE_1ST_VERSION_act_max,651,8398.451522827148
app_001_credit-dby-income,740,8390.844118595123
prev_101_DAYS_LAST_DUE_1ST_VERSION_act_mean,645,8390.268016338348
prev_103_approved_RATE_DOWN_PAYMENT_max,713,8371.449248790741
prev_101_cnt_paid_mean,744,8285.589403629303
prev_101_amt_paid_max,719,8271.81128501892
pos_202_SK_DPD_DEF_mean,524,8267.902797222137
app_001_income-by-CNT_CHILDREN,757,8180.089839458466
app_001_credit-by-CNT_CHILDREN,768,8140.1118631362915
