feature,split,gain
f001_EXT_SOURCES_mean,964,523165.0895791054
f702_prev_y_mean,495,232587.7857351303
f002_ORGANIZATION_TYPE,4953,101832.01627540588
f702_prev_y_max,361,85157.49510860443
f001_EXT_SOURCES_sum,436,45940.52726787329
nejumi,990,39922.51056456566
f702_prev_y_min,251,29940.014624595642
f001_EXT_SOURCE_3,396,18406.22100698948
f501_AMT_CREDIT_SUM_DEBT-d-AMT_CREDIT_SUM_max,245,16665.94390833378
f002_NAME_EDUCATION_TYPE,206,16057.261646270752
f001_EXT_SOURCE_2,450,15911.502538442612
f505_Active_AMT_CREDIT_SUM_DEBT-d-AMT_CREDIT_SUM_max,195,14642.024926185608
f702_prev_y_q75,189,13285.527242660522
f001_CODE_GENDER,304,13175.27163887024
f001_EXT_SOURCES_prod,226,10400.969850182533
f002_OCCUPATION_TYPE,356,10346.447684288025
f001_EXT_SOURCE_1,322,8747.540635228157
f505_Active_AMT_CREDIT_SUM_DEBT-d-AMT_CREDIT_SUM_mean,177,8586.129501283169
f001_OWN_CAR_AGE,166,6750.9060299396515
f405_AMT_BALANCE-d-AMT_CREDIT_LIMIT_ACTUAL_max,138,6565.299728393555
f702_prev_y_q25,149,5710.803265571594
f001_AMT_GOODS_PRICE-m-AMT_CREDIT,209,5582.531965017319
f105_prevapp_future_payment_20m,75,5450.639988064766
f001_AMT_CREDIT-d-AMT_ANNUITY,124,5429.698454380035
f001_PAYMENT_RATE,142,5032.956961631775
f002_NAME_FAMILY_STATUS,183,5000.307715892792
f001_DAYS_ID_PUBLISH-m-DAYS_BIRTH,151,4646.827093601227
f501_AMT_CREDIT_SUM_DEBT-d-AMT_CREDIT_SUM_var,110,4621.147198200226
f502_AMT_CREDIT_SUM_DEBT-d-AMT_CREDIT_SUM_max,84,4470.538514614105
f105_prevapp_future_payment_19m,96,4253.045224428177
f502_DAYS_CREDIT_ENDDATE-d-app_DAYS_BIRTH_mean,97,4145.259596824646
f202_CNT_INSTALMENT_FUTURE_pctchange_min,106,4071.1015791893005
f001_REGION_RATING_CLIENT_W_CITY,148,3986.678060054779
f001_DEF_30_CNT_SOCIAL_CIRCLE,122,3832.3129959106445
f302_days_weighted_delay_max,91,3812.922540664673
f101_approved_cnt_unpaid_var,65,3667.615622520447
f101_approved_AMT_GOODS_PRICE-d-total_debt_mean,89,3291.698281288147
f001_REGION_POPULATION_RELATIVE,197,3234.0303592681885
f001_EXT_SOURCES_2-3,182,3167.1300146579742
f505_Active_AMT_CREDIT_SUM-m-AMT_CREDIT_SUM_DEBT_min,107,3042.996006011963
f501_AMT_CREDIT_SUM_DEBT-d-AMT_CREDIT_SUM_mean,85,2935.8045468330383
f108_PRODUCT_COMBINATION,183,2926.36865568161
f310_days_weighted_delay_max,65,2781.3797855377197
f001_maxwell_feature_1,105,2668.8732738494873
f001_DAYS_EMPLOYED-m-DAYS_BIRTH,111,2625.0480427742004
f109_NAME_GOODS_CATEGORY,148,2470.027331352234
f301_delay_DAYS_ENTRY_PAYMENT-m-app_DAYS_LAST_PHONE_CHANGE_mean,76,2459.2474403381348
f501_CREDIT_TYPE_Mortgage_mean,70,2403.61860370636
f501_AMT_CREDIT_SUM-m-AMT_CREDIT_SUM_DEBT_min,81,2377.7974944114685
f101_active_AMT_GOODS_PRICE-d-total_debt_min,58,2358.7350410819054
f505_Active_AMT_CREDIT_MAX_OVERDUE_max,73,2349.654895544052
f301_delay_DAYS_ENTRY_PAYMENT-m-app_DAYS_LAST_PHONE_CHANGE_min,82,2264.993869304657
f501_AMT_CREDIT_SUM-m-AMT_CREDIT_SUM_DEBT_mean,85,2252.8990144729614
f101_approved_AMT_CREDIT-d-total_debt_mean,63,2224.8787298202515
f501_AMT_CREDIT_SUM-m-AMT_CREDIT_SUM_DEBT_max,86,2189.943368911743
f502_AMT_CREDIT_SUM_DEBT-d-AMT_CREDIT_SUM_mean,70,2133.7708535194397
f301_notdelay_AMT_PAYMENT_sum,68,2081.559411048889
f501_AMT_CREDIT_MAX_OVERDUE_max,95,2052.9650540351868
f505_Active_AMT_CREDIT_SUM-m-AMT_CREDIT_SUM_DEBT_mean,75,2017.6535511016846
f001_DEF_60_CNT_SOCIAL_CIRCLE,75,2000.0474653244019
f105_prevapp_future_payment_13m,63,1989.1743988990784
f305_notdelay_con_AMT_PAYMENT-d-app_AMT_ANNUITY_mean,64,1965.7080557346344
f702_prev_y_var,146,1952.890525445342
f001_FLAG_WORK_PHONE,98,1942.2195754051208
f001_NEW_CAR_TO_BIRTH_RATIO,72,1938.275672197342
f201_CNT_INSTALMENT_FUTURE-d-CNT_INSTALMENT_mean,96,1921.294886469841
f001_EXT_SOURCES_1-2,78,1918.2517755031586
f505_Active_DAYS_CREDIT-m-app_DAYS_LAST_PHONE_CHANGE_sum,68,1890.952525138855
f505_Active_AMT_CREDIT_SUM_DEBT-d-AMT_CREDIT_SUM_sum,52,1867.909140586853
