feature,split,gain,total
f002_ORGANIZATION_TYPE,1.0,0.368156701589855,1.368156701589855
f001_EXT_SOURCES_mean,0.12097041626668996,1.0,1.12097041626669
f702_prev_y_mean,0.06033685312854525,0.49254589259440784,0.552882745722953
nejumi,0.16310323762981063,0.09440026859366031,0.25750350622347096
f702_prev_y_max,0.05880094249061873,0.18744800162295994,0.24624894411357867
f001_EXT_SOURCES_sum,0.06337376734444541,0.12148548749109286,0.18485925483553828
f002_OCCUPATION_TYPE,0.09320185007417751,0.03749710205622716,0.13069895213040467
f001_EXT_SOURCE_3,0.07571341303778689,0.04984384696531593,0.12555726000310283
f108_PRODUCT_COMBINATION,0.09641329958984204,0.028131448472488742,0.12454474806233079
f001_EXT_SOURCE_2,0.07710969543590192,0.043641194620652024,0.12075089005655394
f702_prev_y_min,0.04380836024085871,0.06341513629845355,0.10722349653931226
f001_EXT_SOURCE_1,0.058451871891089975,0.024241256364127297,0.08269312825521727
f109_NAME_GOODS_CATEGORY,0.05546731826511912,0.016286418671182773,0.0717537369363019
f001_REGION_POPULATION_RELATIVE,0.05534514355528406,0.014785660233970679,0.07013080378925474
f505_Active_AMT_CREDIT_SUM_DEBT-d-AMT_CREDIT_SUM_max,0.032725368705820754,0.036433428136267265,0.06915879684208802
f001_EXT_SOURCES_2-3,0.05295400994851209,0.015245526285688614,0.0681995362342007
f702_prev_y_q75,0.03558774762195654,0.029561074004268356,0.0651488216262249
f001_CODE_GENDER,0.035849550571603106,0.02791118481424561,0.06376073538584871
f405_AMT_BALANCE-d-AMT_CREDIT_LIMIT_ACTUAL_max,0.03530849114233354,0.026517688805762767,0.061826179948096305
f001_EXT_SOURCES_prod,0.033563138144689766,0.02525328567504688,0.058816423819736646
f501_AMT_CREDIT_SUM_DEBT-d-AMT_CREDIT_SUM_max,0.029321930360415395,0.029225615946539604,0.058547546306954995
f702_prev_y_var,0.046269307967536435,0.011851383889019058,0.058120691856555495
f001_DAYS_EMPLOYED-m-DAYS_BIRTH,0.042115367833144256,0.015049085669468007,0.05716445350261226
f105_prevapp_future_payment_19m,0.034226372283794396,0.022645719774230473,0.05687209205802487
f001_AMT_GOODS_PRICE-m-AMT_CREDIT,0.03916572126712628,0.01665488825702746,0.05582060952415374
f001_DAYS_ID_PUBLISH-m-DAYS_BIRTH,0.03909590714722053,0.01667556260097542,0.05577146974819595
f505_Active_AMT_CREDIT_SUM_DEBT-d-AMT_CREDIT_SUM_mean,0.03452308229339384,0.021110149062287847,0.055633231355681684
f002_NAME_EDUCATION_TYPE,0.02279431014922768,0.03253305771783117,0.055327367867058844
f702_prev_y_q25,0.03403438345405359,0.020222418868814745,0.054256802322868336
f021_last_TARGET,0.029164848590627457,0.02494426685228849,0.054109115442915946
