feature,split,gain,total
f002_ORGANIZATION_TYPE,1.0,0.34393503793530406,1.343935037935304
f001_EXT_SOURCES_mean,0.12362780067181495,1.0,1.123627800671815
f702_prev_y_mean,0.05938982581293071,0.4032138672247402,0.4626036930376709
nejumi,0.1620840114970392,0.08865969917295906,0.25074371066999823
f702_prev_y_max,0.05719084392423036,0.18759357627215112,0.24478442019638147
f001_EXT_SOURCES_sum,0.06250649305675797,0.08284475988353097,0.14535125294028894
f002_OCCUPATION_TYPE,0.0944350174879662,0.03539504325997268,0.1298300607479389
f108_PRODUCT_COMBINATION,0.09481594348443398,0.025591570313736007,0.12040751379816998
f001_EXT_SOURCE_3,0.07502510648613084,0.04309307692232462,0.11811818340845545
f001_EXT_SOURCE_2,0.07511168057623716,0.03721273574639422,0.11232441632263138
f702_prev_y_min,0.04713093465387679,0.06302541585311423,0.11015635050699102
f001_EXT_SOURCE_1,0.05765834401080445,0.02324819101381146,0.08090653502461591
f109_NAME_GOODS_CATEGORY,0.05606538075284829,0.01521297127253289,0.07127835202538119
f001_REGION_POPULATION_RELATIVE,0.054922602763444954,0.01378746423279166,0.06871006699623661
f001_EXT_SOURCES_2-3,0.05287945423693597,0.013887686232704751,0.06676714046964072
f702_prev_y_q75,0.03516639540118434,0.030684776252636332,0.06585117165382068
f501_AMT_CREDIT_SUM_DEBT-d-AMT_CREDIT_SUM_max,0.03260380233403747,0.0316692770790567,0.06427307941309418
f001_CODE_GENDER,0.036534266024864086,0.025968844367952663,0.06250311039281675
f505_Active_AMT_CREDIT_SUM_DEBT-d-AMT_CREDIT_SUM_max,0.03021435744710323,0.02880904885641131,0.05902340630351454
f405_AMT_BALANCE-d-AMT_CREDIT_LIMIT_ACTUAL_max,0.03450843231637636,0.024159958780574652,0.05866839109695102
f702_prev_y_var,0.044741489766942553,0.010336396518328024,0.05507788628527058
f001_DAYS_ID_PUBLISH-m-DAYS_BIRTH,0.03930463690826609,0.015555255850248351,0.05485989275851444
f702_prev_y_q25,0.03262111715205873,0.022172308505264034,0.054793425657322765
f001_DAYS_EMPLOYED-m-DAYS_BIRTH,0.040707137167988364,0.01373703396537059,0.054444171133358955
f001_EXT_SOURCES_prod,0.03336565432697303,0.020988406627520204,0.05435406095449323
f505_Active_AMT_CREDIT_SUM_DEBT-d-AMT_CREDIT_SUM_mean,0.03454306195241888,0.01955652697088873,0.054099588923307615
f001_AMT_GOODS_PRICE-m-AMT_CREDIT,0.03812722928282024,0.014957240959659873,0.053084470242480114
f105_prevapp_future_payment_19m,0.03281158015029262,0.020139071672321412,0.052950651822614034
f002_NAME_EDUCATION_TYPE,0.022440004155556328,0.03018900518355279,0.05262900933910912
f750_y_pred,0.04051667416975448,0.01084893540580448,0.051365609575558954
f023_next_TARGET,0.029625653634380307,0.021645512317805912,0.05127116595218622
f305_notdelay_con_AMT_PAYMENT_sum,0.03708834020154449,0.012761655225650906,0.04984999542719539
f405_AMT_DRAWINGS_ATM_CURRENT_sum,0.031547598434740455,0.017936673264744536,0.049484271699484994
f105_prevapp_future_payment_13m,0.03466426567856772,0.014135453408691686,0.048799719087259406
f001_PAYMENT_RATE,0.03269037642414379,0.01580334179115763,0.04849371821530142
f108_NAME_GOODS_CATEGORY,0.03767704401426741,0.010008755092432745,0.04768579910670016
f502_DAYS_CREDIT_ENDDATE-d-app_DAYS_BIRTH_mean,0.0316168577068255,0.01569999308703573,0.047316850793861234
f109_PRODUCT_COMBINATION,0.03708834020154449,0.010192736103170508,0.047281076304714995
f301_notdelay_AMT_PAYMENT_sum,0.03293278387644146,0.012800971201786571,0.045733755078228036
f507_Active_AMT_CREDIT_SUM-d-app_AMT_INCOME_TOTAL_sum,0.03341759878103682,0.012199108825488993,0.04561670760652581
f001_EXT_SOURCES_std,0.036534266024864086,0.009061427621394169,0.045595693646258255
f510_AMT_CREDIT_SUM-m-AMT_CREDIT_SUM_DEBT,0.035737784395886,0.008385844912637648,0.04412362930852365
f314_AMT_PAYMENT-d-AMT_ANNUITY_mean,0.03459500640648267,0.008938349640565224,0.043533356047047896
f501_AMT_CREDIT_SUM-d-app_AMT_ANNUITY_pctchange_mean,0.03468158049658898,0.008715258720803122,0.043396839217392104
f109_DAYS_LAST_DUE_1ST_VERSION-m-app_DAYS_BIRTH,0.03179000588703813,0.01122630137070958,0.04301630725774771
f308_cons_days_delayed_payment_pctchange_var,0.03469889531461025,0.008170451786904176,0.042869347101514424
f302_notdelay_AMT_PAYMENT-d-app_AMT_ANNUITY_min,0.03012778335699692,0.012563198263593539,0.04269098162059046
f509_AMT_CREDIT_SUM_DEBT-d-AMT_CREDIT_SUM,0.028430931190913188,0.014034678949325256,0.04246561014023845
f109_DAYS_FIRST_DUE-d-app_DAYS_ID_PUBLISH,0.03475083976867403,0.0076433336728477875,0.04239417344152182
f101_nyg-middle_AMT_CREDIT-d-total_debt_min,0.03253454306195242,0.009599532485796541,0.042134075547748964
f108_AMT_ANNUITY,0.0344391730442913,0.007600959756615316,0.04204013280090662
f101_approved_AMT_ANNUITY-m-app_AMT_ANNUITY_mean,0.032188246701527166,0.00972042031945857,0.04190866702098574
f505_Closed_DAYS_ENDDATE_FACT_max,0.03265574678810126,0.009129237202005907,0.04178498399010716
f501_AMT_CREDIT_SUM_DEBT-d-AMT_CREDIT_SUM_var,0.02886380164144475,0.012657700098526525,0.041521501739971274
f001_AMT_CREDIT-d-CNT_FAM_MEMBERS,0.033071302420611556,0.008362557583752159,0.041433860004363714
f306_cons_DEP_diff_var,0.03353880250718565,0.007786552514978412,0.041325355022164056
f101_completed_AMT_APPLICATION-d-app_AMT_CREDIT_max,0.029210098001870004,0.011985218510388543,0.04119531651225855
f201_CNT_INSTALMENT_FUTURE-d-CNT_INSTALMENT_mean,0.031859265159123185,0.009270848773667965,0.041130113932791146
f101_nyg-low_normal_AMT_ANNUITY-d-app_AMT_ANNUITY_min,0.03256917269799495,0.008392661938023894,0.04096183463601884
f501_DAYS_CREDIT-d-app_DAYS_LAST_PHONE_CHANGE_max,0.03255185787997368,0.00811589477018271,0.04066775265015639
f505_Closed_DAYS_CREDIT_UPDATE_max,0.03211898742944212,0.00852023444792427,0.04063922187736639
