feature,total
f001_EXT_SOURCES_mean,2.4029112860268995
f002_ORGANIZATION_TYPE,2.39116409014068
f702_prev_y_mean,0.7659610563300197
f702_prev_y_max,0.4887819837032593
f703_bureau_y_max,0.4455549475993755
nejumi,0.42302321465921094
f001_EXT_SOURCES_sum,0.30371455159808336
f703_bureau_y_q75,0.21385022748602794
f398_y_pred,0.20896783929349574
f002_OCCUPATION_TYPE,0.19421766964738807
f001_CODE_GENDER,0.18429190566921444
f001_EXT_SOURCE_2,0.17380580551693176
f001_EXT_SOURCE_3,0.1541796117380937
f002_NAME_EDUCATION_TYPE,0.1520903173821886
f703_bureau_y_var,0.1278632450990166
f405_AMT_BALANCE-d-AMT_CREDIT_LIMIT_ACTUAL_max,0.12669627547532256
f001_EXT_SOURCES_prod,0.1228370563945315
f001_EXT_SOURCE_1,0.11556110925176125
f001_EXT_SOURCES_2-3,0.11376382011881148
f702_prev_y_q75,0.10116910887540156
f002_NAME_FAMILY_STATUS,0.10008321464869964
f001_OWN_CAR_AGE,0.0992105436837577
f505_Active_AMT_CREDIT_SUM_DEBT-d-AMT_CREDIT_SUM_max,0.09245252385116236
f011_EXT_SOURCE_1,0.09214154058368328
f708_1,0.08993899605114203
f001_REGION_POPULATION_RELATIVE,0.0885028412273561
f016_EXT_SOURCE_3,0.08787198420539785
f101_approved_AMT_GOODS_PRICE-d-total_debt_mean,0.08572838990553408
f505_Active_AMT_CREDIT_SUM_DEBT-d-AMT_CREDIT_SUM_mean,0.08453993582793247
f108_PRODUCT_COMBINATION,0.0842572863942566
f001_REGION_RATING_CLIENT_W_CITY,0.08132547359246739
f702_prev_y_min,0.08005568038812888
f001_DAYS_ID_PUBLISH-m-DAYS_BIRTH,0.0786289704392093
f501_AMT_CREDIT_SUM_DEBT-d-AMT_CREDIT_SUM_max,0.07810338523052714
f708_2,0.07701449307853234
f013_EXT_SOURCE_3,0.07605244839513331
f702_prev_y_q25,0.07537737786056897
f109_NAME_GOODS_CATEGORY,0.06710965409996603
f001_DEF_30_CNT_SOCIAL_CIRCLE,0.06495166459070242
f012_EXT_SOURCE_2,0.06387541190442253
f014_EXT_SOURCE_1,0.06296691754511027
f201_MONTHS_BALANCE_max-d-min,0.06287455780207879
f405_AMT_DRAWINGS_ATM_CURRENT_sum,0.06163282479119438
f405_CNT_DRAWINGS_CURRENT_std,0.06083297371668234
f509_AMT_CREDIT_SUM_DEBT-d-AMT_CREDIT_SUM,0.057097714953488136
f001_AMT_GOODS_PRICE-m-AMT_CREDIT,0.05603594391538396
f702_prev_y_var,0.0548818636398925
f708_4,0.05485340630188696
f001_DAYS_EMPLOYED-m-DAYS_BIRTH,0.054317050824937686
f001_AMT_CREDIT-d-AMT_ANNUITY,0.05389790554516194
f405_AMT_RECEIVABLE_PRINCIPAL_pctchange_max,0.05137548488803
f001_EXT_SOURCES_1-2,0.05024246068237995
f502_AMT_CREDIT_SUM_DEBT-d-AMT_CREDIT_SUM_max,0.04874508127278411
f502_DAYS_CREDIT_ENDDATE-d-app_DAYS_BIRTH_mean,0.04792143398955204
f205_CNT_INSTALMENT_FUTURE_pctchange_min,0.0478137449103607
f001_EXT_SOURCES_std,0.04716122905450186
f001_FLAG_WORK_PHONE,0.04580499278307343
f001_maxwell_feature_1,0.04540869257619451
f501_AMT_CREDIT_SUM-m-AMT_CREDIT_SUM_DEBT_max-d-min,0.04498941734470087
f509_AMT_CREDIT_MAX_OVERDUE,0.04474690152058125
f105_prevapp_future_payment_20m,0.04447930649348799
f708_3,0.0442325372984877
f406_AMT_BALANCE-d-app_AMT_INCOME_TOTAL_std,0.044144539652965914
f201_CNT_INSTALMENT_FUTURE-d-CNT_INSTALMENT_mean,0.0441279141198328
f406_CNT_DRAWINGS_ATM_CURRENT_diff_std,0.04406355566693018
f101_approved_cnt_unpaid_std,0.04380535225561052
f501_AMT_CREDIT_SUM_DEBT-d-AMT_CREDIT_SUM_std,0.043787916471140935
f505_Closed_DAYS_CREDIT_UPDATE_max,0.041886312507162585
f405_AMT_BALANCE-d-AMT_DRAWINGS_CURRENT_min,0.04181257315146203
f507_Active_AMT_CREDIT_SUM-d-app_AMT_INCOME_TOTAL_sum,0.04082444499181349
f702_prev_y_median,0.040196384224086716
f505_Closed_DAYS_ENDDATE_FACT_max,0.04014448498019027
f401_AMT_TOTAL_RECEIVABLE-m-AMT_RECEIVABLE_PRINCIPAL_diff_mean,0.03987428442829126
f703_bureau_y_mean,0.039797152241987814
f105_prevapp_future_payment_19m,0.039796057641017436
f108_NAME_GOODS_CATEGORY,0.03975927427682234
f301_delay_days_weighted_delay_mean,0.03948585193175756
f707_18,0.038473337828369085
f501_CREDIT_TYPE_Mortgage_mean,0.03803609845822533
f401_AMT_DRAWINGS_CURRENT-d-app_AMT_ANNUITY_diff_std-d-mean,0.037632423433182564
f314_amt_delta_mean,0.03755265046722338
f510_AMT_CREDIT_SUM-d-app_AMT_ANNUITY,0.0373794806167676
f301_notdelay_AMT_PAYMENT_sum,0.037000721735760786
f302_delay_days_weighted_delay_mean,0.0369374135371463
f109_PRODUCT_COMBINATION,0.03691256181053639
f707_25,0.03691154070232736
f305_delay_cas_days_weighted_delay_mean,0.0368990997393071
f305_notdelay_con_AMT_PAYMENT_sum,0.036898996795242806
f001_DEF_60_CNT_SOCIAL_CIRCLE,0.03655277390783123
f105_prevapp_future_payment_1vs6,0.03628578395615088
f408_CNT_DRAWINGS_ATM_CURRENT_diff_mean,0.0362818259487963
f401_CNT_DRAWINGS_CURRENT_diff_diff_mean,0.03627576569330962
f505_Active_DAYS_CREDIT-m-app_DAYS_BIRTH_sum,0.03606232423962345
f502_AMT_CREDIT_SUM_DEBT-d-AMT_CREDIT_SUM_mean,0.03579985513248368
f501_AMT_CREDIT_SUM-m-AMT_CREDIT_SUM_DEBT_mean,0.035353188694047494
f402_AMT_BALANCE-d-AMT_CREDIT_LIMIT_ACTUAL_max,0.03529734616161824
f706_23,0.035178586078030795
f707_6,0.035100420831378584
