SK_ID_PREV,SK_ID_CURR,NAME_CONTRACT_TYPE,AMT_ANNUITY,AMT_APPLICATION,AMT_CREDIT,AMT_DOWN_PAYMENT,AMT_GOODS_PRICE,WEEKDAY_APPR_PROCESS_START,HOUR_APPR_PROCESS_START,FLAG_LAST_APPL_PER_CONTRACT,NFLAG_LAST_APPL_IN_DAY,RATE_DOWN_PAYMENT,RATE_INTEREST_PRIMARY,RATE_INTEREST_PRIVILEGED,NAME_CASH_LOAN_PURPOSE,NAME_CONTRACT_STATUS,DAYS_DECISION,NAME_PAYMENT_TYPE,CODE_REJECT_REASON,NAME_TYPE_SUITE,NAME_CLIENT_TYPE,NAME_GOODS_CATEGORY,NAME_PORTFOLIO,NAME_PRODUCT_TYPE,CHANNEL_TYPE,SELLERPLACE_AREA,NAME_SELLER_INDUSTRY,CNT_PAYMENT,NAME_YIELD_GROUP,PRODUCT_COMBINATION,DAYS_FIRST_DRAWING,DAYS_FIRST_DUE,DAYS_LAST_DUE_1ST_VERSION,DAYS_LAST_DUE,DAYS_TERMINATION,NFLAG_INSURED_ON_APPROVAL
2146795,122568,Cash loans,,0.0,0.0,,,WEDNESDAY,15,1,1,,,,XNA,Canceled,-271,XNA,XAP,,Refreshed,XNA,XNA,XNA,Credit and cash offices,-1,XNA,,XNA,Cash,,,,,,
1983065,122568,Cash loans,,0.0,0.0,,,SATURDAY,13,1,1,,,,XNA,Canceled,-317,XNA,XAP,,Refreshed,XNA,XNA,XNA,Credit and cash offices,-1,XNA,,XNA,Cash,,,,,,
1881900,122568,Consumer loans,12377.565,67941.0,61857.0,9000.0,67941.0,TUESDAY,9,1,1,0.13833239033289838,,,XAP,Approved,-2484,XNA,XAP,Unaccompanied,New,Consumer Electronics,POS,XNA,Country-wide,1079,Consumer electronics,6.0,high,POS household with interest,365243.0,-2453.0,-2303.0,-2363.0,-2360.0,1.0
2598704,166262,Consumer loans,9976.5,166081.5,166081.5,0.0,166081.5,TUESDAY,16,1,1,0.0,,,XAP,Approved,-286,Cash through the bank,XAP,,New,Homewares,POS,XNA,Stone,20,Construction,18.0,low_action,POS others without interest,365243.0,-220.0,290.0,365243.0,365243.0,0.0
2406202,223975,Cash loans,,0.0,0.0,,,SATURDAY,10,1,1,,,,XNA,Canceled,-271,XNA,XAP,,Repeater,XNA,XNA,XNA,Contact center,-1,XNA,,XNA,Cash,,,,,,
1794574,223975,Consumer loans,41704.2,451993.5,406791.0,45202.5,451993.5,WEDNESDAY,7,1,1,0.1089166809216987,,,XAP,Approved,-575,Cash through the bank,XAP,,New,Tourism,POS,XNA,Country-wide,30,Industry,12.0,middle,POS other with interest,365243.0,-544.0,-214.0,-424.0,-417.0,0.0
1179179,236579,Cash loans,,0.0,0.0,,,THURSDAY,14,1,1,,,,XNA,Canceled,-33,XNA,XAP,,Refreshed,XNA,XNA,XNA,Credit and cash offices,-1,XNA,,XNA,Cash,,,,,,
2226327,236579,Consumer loans,8957.79,67410.0,65673.0,6741.0,67410.0,WEDNESDAY,11,1,1,0.1013831830610354,,,XAP,Approved,-1854,Cash through the bank,XAP,,Repeater,Mobile,POS,XNA,Country-wide,77,Connectivity,10.0,high,POS mobile with interest,365243.0,-1814.0,-1544.0,-1544.0,-1542.0,0.0
1317488,236579,Consumer loans,6597.315,58455.0,49455.0,9000.0,58455.0,WEDNESDAY,14,1,1,0.16768143327034785,,,XAP,Approved,-2414,Cash through the bank,XAP,Unaccompanied,Repeater,Mobile,POS,XNA,Stone,77,Connectivity,10.0,high,POS mobile with interest,365243.0,-2374.0,-2104.0,-2104.0,-2102.0,0.0
1576106,236579,Cash loans,12663.0,180000.0,180000.0,0.0,180000.0,TUESDAY,15,1,1,0.0,,,XNA,Refused,-2597,Cash through the bank,SCO,Unaccompanied,Repeater,XNA,Cash,walk-in,Credit and cash offices,-1,XNA,24.0,high,Cash Street: high,,,,,,
2585999,236579,Cash loans,11080.125,157500.0,157500.0,0.0,157500.0,TUESDAY,15,1,1,0.0,,,XNA,Approved,-2597,Cash through the bank,XAP,Unaccompanied,Repeater,XNA,Cash,walk-in,Credit and cash offices,-1,XNA,24.0,high,Cash Street: high,365243.0,-2567.0,-1877.0,-1877.0,-1871.0,0.0
1363835,236579,Consumer loans,3109.185,31095.0,27985.5,3109.5,31095.0,THURSDAY,12,1,1,0.1089090909090909,,,XAP,Approved,-2861,XNA,XAP,,New,Office Appliances,POS,XNA,Stone,9,Consumer electronics,10.0,low_normal,POS household with interest,365243.0,-2826.0,-2556.0,-2556.0,-2550.0,0.0
2533192,269180,Revolving loans,22500.0,0.0,450000.0,,,TUESDAY,11,1,1,,,,XAP,Approved,-854,XNA,XAP,,Repeater,XNA,Cards,x-sell,Credit and cash offices,-1,XNA,0.0,XNA,Card X-Sell,-820.0,-793.0,365243.0,365243.0,365243.0,0.0
2399161,269180,Consumer loans,3177.405,31000.5,26500.5,4500.0,31000.5,TUESDAY,16,1,1,0.1580912917826838,,,XAP,Approved,-868,Cash through the bank,XAP,,Repeater,Photo / Cinema Equipment,POS,XNA,Country-wide,75,Connectivity,12.0,high,POS mobile with interest,365243.0,-806.0,-476.0,-776.0,-772.0,0.0
2691894,269180,Consumer loans,5634.63,49842.0,54778.5,0.0,49842.0,THURSDAY,15,1,1,0.0,,,XAP,Refused,-1048,Cash through the bank,LIMIT,Family,Repeater,Consumer Electronics,POS,XNA,Country-wide,1500,Consumer electronics,12.0,middle,POS household with interest,,,,,,
2290861,269180,Consumer loans,11480.85,94495.5,97177.5,4725.0,94495.5,SATURDAY,11,1,1,0.0504988056765491,,,XAP,Approved,-1116,Cash through the bank,XAP,Family,New,Consumer Electronics,POS,XNA,Country-wide,2112,Consumer electronics,10.0,middle,POS household with interest,365243.0,-1083.0,-813.0,-963.0,-954.0,0.0
1721196,302294,Consumer loans,8437.05,89955.0,71055.0,18900.0,89955.0,FRIDAY,7,1,1,0.22882350266042106,,,XAP,Approved,-139,Cash through the bank,XAP,,Repeater,Mobile,POS,XNA,Country-wide,25,Connectivity,12.0,high,POS mobile with interest,365243.0,-104.0,226.0,365243.0,365243.0,0.0
1399067,302294,Consumer loans,8996.04,79204.5,79204.5,0.0,79204.5,THURSDAY,9,1,1,0.0,,,XAP,Refused,-140,Cash through the bank,SCO,,Repeater,Mobile,POS,XNA,Country-wide,25,Connectivity,10.0,low_normal,POS mobile without interest,,,,,,
2143346,302294,Consumer loans,,89955.0,89955.0,0.0,89955.0,THURSDAY,9,1,1,0.0,,,XAP,Refused,-140,Cash through the bank,SCO,,Repeater,Mobile,XNA,XNA,Country-wide,25,Connectivity,,XNA,POS mobile with interest,,,,,,
2479156,302294,Consumer loans,15291.9,134635.5,134635.5,0.0,134635.5,THURSDAY,9,1,1,0.0,,,XAP,Unused offer,-140,Cash through the bank,CLIENT,,Repeater,Mobile,POS,XNA,Country-wide,25,Connectivity,10.0,low_normal,POS mobile without interest,,,,,,
1809246,302294,Cash loans,,0.0,0.0,,,WEDNESDAY,3,1,1,,,,XNA,Refused,-141,XNA,HC,,Repeater,XNA,XNA,XNA,Credit and cash offices,-1,XNA,,XNA,Cash,,,,,,
