SK_ID_CURR,TARGET,NAME_CONTRACT_TYPE,CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,CNT_CHILDREN,AMT_INCOME_TOTAL,AMT_CREDIT,AMT_ANNUITY,AMT_GOODS_PRICE,NAME_TYPE_SUITE,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,REGION_POPULATION_RELATIVE,DAYS_BIRTH,DAYS_EMPLOYED,DAYS_REGISTRATION,DAYS_ID_PUBLISH,OWN_CAR_AGE,FLAG_MOBIL,FLAG_EMP_PHONE,FLAG_WORK_PHONE,FLAG_CONT_MOBILE,FLAG_PHONE,FLAG_EMAIL,OCCUPATION_TYPE,CNT_FAM_MEMBERS,REGION_RATING_CLIENT,REGION_RATING_CLIENT_W_CITY,WEEKDAY_APPR_PROCESS_START,HOUR_APPR_PROCESS_START,REG_REGION_NOT_LIVE_REGION,REG_REGION_NOT_WORK_REGION,LIVE_REGION_NOT_WORK_REGION,REG_CITY_NOT_LIVE_CITY,REG_CITY_NOT_WORK_CITY,LIVE_CITY_NOT_WORK_CITY,ORGANIZATION_TYPE,EXT_SOURCE_1,EXT_SOURCE_2,EXT_SOURCE_3,APARTMENTS_AVG,BASEMENTAREA_AVG,YEARS_BEGINEXPLUATATION_AVG,YEARS_BUILD_AVG,COMMONAREA_AVG,ELEVATORS_AVG,ENTRANCES_AVG,FLOORSMAX_AVG,FLOORSMIN_AVG,LANDAREA_AVG,LIVINGAPARTMENTS_AVG,LIVINGAREA_AVG,NONLIVINGAPARTMENTS_AVG,NONLIVINGAREA_AVG,APARTMENTS_MODE,BASEMENTAREA_MODE,YEARS_BEGINEXPLUATATION_MODE,YEARS_BUILD_MODE,COMMONAREA_MODE,ELEVATORS_MODE,ENTRANCES_MODE,FLOORSMAX_MODE,FLOORSMIN_MODE,LANDAREA_MODE,LIVINGAPARTMENTS_MODE,LIVINGAREA_MODE,NONLIVINGAPARTMENTS_MODE,NONLIVINGAREA_MODE,APARTMENTS_MEDI,BASEMENTAREA_MEDI,YEARS_BEGINEXPLUATATION_MEDI,YEARS_BUILD_MEDI,COMMONAREA_MEDI,ELEVATORS_MEDI,ENTRANCES_MEDI,FLOORSMAX_MEDI,FLOORSMIN_MEDI,LANDAREA_MEDI,LIVINGAPARTMENTS_MEDI,LIVINGAREA_MEDI,NONLIVINGAPARTMENTS_MEDI,NONLIVINGAREA_MEDI,FONDKAPREMONT_MODE,HOUSETYPE_MODE,TOTALAREA_MODE,WALLSMATERIAL_MODE,EMERGENCYSTATE_MODE,OBS_30_CNT_SOCIAL_CIRCLE,DEF_30_CNT_SOCIAL_CIRCLE,OBS_60_CNT_SOCIAL_CIRCLE,DEF_60_CNT_SOCIAL_CIRCLE,DAYS_LAST_PHONE_CHANGE,FLAG_DOCUMENT_2,FLAG_DOCUMENT_3,FLAG_DOCUMENT_4,FLAG_DOCUMENT_5,FLAG_DOCUMENT_6,FLAG_DOCUMENT_7,FLAG_DOCUMENT_8,FLAG_DOCUMENT_9,FLAG_DOCUMENT_10,FLAG_DOCUMENT_11,FLAG_DOCUMENT_12,FLAG_DOCUMENT_13,FLAG_DOCUMENT_14,FLAG_DOCUMENT_15,FLAG_DOCUMENT_16,FLAG_DOCUMENT_17,FLAG_DOCUMENT_18,FLAG_DOCUMENT_19,FLAG_DOCUMENT_20,FLAG_DOCUMENT_21,AMT_REQ_CREDIT_BUREAU_HOUR,AMT_REQ_CREDIT_BUREAU_DAY,AMT_REQ_CREDIT_BUREAU_WEEK,AMT_REQ_CREDIT_BUREAU_MON,AMT_REQ_CREDIT_BUREAU_QRT,AMT_REQ_CREDIT_BUREAU_YEAR
296825,0,Cash loans,F,N,N,0,112500.0,225000.0,21919.5,225000.0,Unaccompanied,Pensioner,Higher education,Widow,House / apartment,0.026392,-25196,365243,-3355.0,-3352,,1,0,0,1,1,0,,1.0,2,2,MONDAY,16,0,0,0,0,0,0,XNA,0.9069898850052948,,0.6817058776720116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,0.0,-1583.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,3.0
301028,0,Cash loans,F,N,N,0,112500.0,90000.0,8766.0,90000.0,Unaccompanied,Pensioner,Higher education,Widow,House / apartment,0.026392,-25196,365243,-3355.0,-3352,,1,0,0,1,1,0,,1.0,2,2,MONDAY,16,0,0,0,0,0,0,XNA,0.9069898850052948,0.5687579768502692,0.6817058776720116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,0.0,-1583.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,3.0
149465,0,Cash loans,F,N,Y,0,90000.0,180000.0,17802.0,180000.0,Unaccompanied,Pensioner,Secondary / secondary special,Married,House / apartment,0.014519999999999996,-25024,365243,-14622.0,-4675,,1,0,0,1,0,0,,2.0,2,2,MONDAY,7,0,0,0,0,0,0,XNA,,0.2685208738513721,0.7850520263728172,,,0.9727,0.626,,0.0,0.1493,0.1525,,0.0433,,0.061,,0.0,,,0.9722,0.6341,,0.0,0.1379,0.1667,,0.0443,,0.0628,,0.0,,,0.9727,0.631,,0.0,0.1379,0.1667,,0.0441,,0.0621,,0.0,,block of flats,0.0474,"Stone, brick",No,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0
323591,0,Cash loans,F,N,Y,0,90000.0,225000.0,22252.5,225000.0,Unaccompanied,Pensioner,Secondary / secondary special,Married,House / apartment,0.014519999999999996,-25024,365243,-14622.0,-4675,,1,0,0,1,0,0,,2.0,2,2,MONDAY,7,0,0,0,0,0,0,XNA,,,0.7850520263728172,,,0.9727,0.626,,0.0,0.1493,0.1525,,0.0433,,0.061,,0.0,,,0.9722,0.6341,,0.0,0.1379,0.1667,,0.0443,,0.0628,,0.0,,,0.9727,0.631,,0.0,0.1379,0.1667,,0.0441,,0.0621,,0.0,,block of flats,0.0474,"Stone, brick",No,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0
169927,0,Cash loans,F,N,Y,0,117000.0,254700.0,24939.0,225000.0,Family,Pensioner,Secondary / secondary special,Married,House / apartment,0.030755,-24813,365243,-5557.0,-4315,,1,0,0,1,0,0,,2.0,2,2,THURSDAY,9,0,0,0,0,0,0,XNA,,,0.6848276586890367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,-651.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,4.0
299174,0,Cash loans,F,N,Y,0,117000.0,254700.0,24939.0,225000.0,Family,Pensioner,Secondary / secondary special,Married,House / apartment,0.030755,-24813,365243,-5557.0,-4315,,1,0,0,1,0,0,,2.0,2,2,THURSDAY,9,0,0,0,0,0,0,XNA,,0.5923322434520083,0.6848276586890367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,-651.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,4.0
249399,0,Cash loans,F,N,Y,0,81000.0,239850.0,23494.5,225000.0,Unaccompanied,Pensioner,Higher education,Married,House / apartment,0.007114,-24784,365243,-13626.0,-4035,,1,0,0,1,0,0,,2.0,2,2,TUESDAY,15,0,0,0,0,0,0,XNA,,0.6565075493268191,0.7366226976503176,0.0588,0.0,0.9831,0.7688,0.0089,0.0,0.1379,0.1667,0.2083,0.0628,0.0471,0.0534,0.0039,0.0884,0.0599,0.0,0.9831,0.7779,0.009000000000000001,0.0,0.1379,0.1667,0.2083,0.0643,0.0514,0.0557,0.0039,0.0935,0.0593,0.0,0.9831,0.7719,0.009000000000000001,0.0,0.1379,0.1667,0.2083,0.0639,0.0479,0.0544,0.0039,0.0902,reg oper account,block of flats,0.0636,"Stone, brick",No,1.0,0.0,1.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
252410,0,Cash loans,F,N,Y,0,81000.0,239850.0,23494.5,225000.0,Unaccompanied,Pensioner,Higher education,Married,House / apartment,0.007114,-24784,365243,-13626.0,-4035,,1,0,0,1,0,0,,2.0,2,2,TUESDAY,15,0,0,0,0,0,0,XNA,,,0.7366226976503176,0.0588,0.0,0.9831,0.7688,0.0089,0.0,0.1379,0.1667,0.2083,0.0628,0.0471,0.0534,0.0039,0.0884,0.0599,0.0,0.9831,0.7779,0.009000000000000001,0.0,0.1379,0.1667,0.2083,0.0643,0.0514,0.0557,0.0039,0.0935,0.0593,0.0,0.9831,0.7719,0.009000000000000001,0.0,0.1379,0.1667,0.2083,0.0639,0.0479,0.0544,0.0039,0.0902,reg oper account,block of flats,0.0636,"Stone, brick",No,1.0,0.0,1.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
285738,0,Cash loans,F,N,Y,0,126000.0,284400.0,16011.0,225000.0,Unaccompanied,Pensioner,Secondary / secondary special,Widow,House / apartment,0.035792000000000004,-24475,365243,-11104.0,-4514,,1,0,0,1,0,0,,1.0,2,2,THURSDAY,16,0,0,0,0,0,0,XNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0,2.0,0.0,-1672.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0
299392,0,Cash loans,F,N,Y,0,126000.0,284400.0,16011.0,225000.0,Unaccompanied,Pensioner,Secondary / secondary special,Widow,House / apartment,0.035792000000000004,-24475,365243,-11104.0,-4514,,1,0,0,1,0,0,,1.0,2,2,THURSDAY,16,0,0,0,0,0,0,XNA,,0.6242072812328338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0,2.0,0.0,-1672.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0
