SK_ID_PREV,SK_ID_CURR,NAME_CONTRACT_TYPE,AMT_ANNUITY,AMT_APPLICATION,AMT_CREDIT,AMT_DOWN_PAYMENT,AMT_GOODS_PRICE,WEEKDAY_APPR_PROCESS_START,HOUR_APPR_PROCESS_START,FLAG_LAST_APPL_PER_CONTRACT,NFLAG_LAST_APPL_IN_DAY,RATE_DOWN_PAYMENT,RATE_INTEREST_PRIMARY,RATE_INTEREST_PRIVILEGED,NAME_CASH_LOAN_PURPOSE,NAME_CONTRACT_STATUS,DAYS_DECISION,NAME_PAYMENT_TYPE,CODE_REJECT_REASON,NAME_TYPE_SUITE,NAME_CLIENT_TYPE,NAME_GOODS_CATEGORY,NAME_PORTFOLIO,NAME_PRODUCT_TYPE,CHANNEL_TYPE,SELLERPLACE_AREA,NAME_SELLER_INDUSTRY,CNT_PAYMENT,NAME_YIELD_GROUP,PRODUCT_COMBINATION,DAYS_FIRST_DRAWING,DAYS_FIRST_DUE,DAYS_LAST_DUE_1ST_VERSION,DAYS_LAST_DUE,DAYS_TERMINATION,NFLAG_INSURED_ON_APPROVAL
2816415,140172,Revolving loans,,0.0,0.0,,,MONDAY,15,1,1,,,,XAP,Canceled,-323,XNA,XAP,,Repeater,XNA,XNA,XNA,Credit and cash offices,-1,XNA,,XNA,Card Street,,,,,,
2844537,140172,Cash loans,,0.0,0.0,,,MONDAY,16,1,1,,,,XNA,Canceled,-323,XNA,XAP,,Repeater,XNA,XNA,XNA,Credit and cash offices,-1,XNA,,XNA,Cash,,,,,,
2071065,140172,Revolving loans,10125.0,202500.0,202500.0,,202500.0,MONDAY,15,1,1,,,,XAP,Approved,-323,XNA,XAP,Unaccompanied,Repeater,XNA,Cards,x-sell,Credit and cash offices,-1,XNA,0.0,XNA,Card X-Sell,365243.0,365243.0,365243.0,365243.0,365243.0,0.0
1887759,140172,Consumer loans,7936.2,94500.0,83583.0,18900.0,94500.0,TUESDAY,13,1,1,0.20085105024070507,,,XAP,Approved,-392,XNA,XAP,,Refreshed,Homewares,POS,XNA,Stone,30,Construction,12.0,low_normal,POS industry with interest,365243.0,-333.0,-3.0,-303.0,-296.0,0.0
2565884,140172,Consumer loans,13712.94,117000.0,113989.5,11700.0,117000.0,FRIDAY,11,1,1,0.10137969867302862,,,XAP,Approved,-2314,Cash through the bank,XAP,Other_B,New,Computers,POS,XNA,Stone,57,Consumer electronics,10.0,middle,POS household with interest,365243.0,-2279.0,-2009.0,-2129.0,-2123.0,0.0
1201303,144977,Consumer loans,4070.88,25605.0,32404.5,0.0,25605.0,FRIDAY,10,1,1,0.0,,,XAP,Approved,-1830,Cash through the bank,XAP,Family,Repeater,Audio/Video,POS,XNA,Country-wide,32,Connectivity,12.0,high,POS mobile with interest,365243.0,-1799.0,-1469.0,-1499.0,-1492.0,0.0
1890382,144977,Consumer loans,4324.275,22810.5,21546.0,2281.5,22810.5,FRIDAY,16,1,1,0.10428122585629664,,,XAP,Approved,-2460,Cash through the bank,XAP,Children,Repeater,Mobile,POS,XNA,Country-wide,32,Connectivity,6.0,low_normal,POS mobile with interest,365243.0,-2429.0,-2279.0,-2279.0,-2269.0,1.0
1591892,174025,Revolving loans,2250.0,45000.0,45000.0,,45000.0,THURSDAY,15,1,1,,,,XAP,Approved,-232,XNA,XAP,Unaccompanied,New,XNA,Cards,walk-in,Credit and cash offices,-1,XNA,0.0,XNA,Card Street,-232.0,-190.0,365243.0,365243.0,365243.0,0.0
1124055,174025,Revolving loans,,0.0,0.0,,,THURSDAY,15,1,1,,,,XAP,Canceled,-232,XNA,XAP,,New,XNA,XNA,XNA,Credit and cash offices,-1,XNA,,XNA,Card Street,,,,,,
1593325,278032,Revolving loans,6750.0,135000.0,135000.0,,135000.0,SATURDAY,13,1,1,,,,XAP,Approved,-178,XNA,XAP,Unaccompanied,Repeater,XNA,Cards,x-sell,AP+ (Cash loan),100,XNA,0.0,XNA,Card X-Sell,-178.0,-137.0,365243.0,365243.0,365243.0,0.0
1821662,278032,Consumer loans,4199.895,44995.5,44995.5,0.0,44995.5,FRIDAY,11,1,1,0.0,,,XAP,Approved,-326,Cash through the bank,XAP,Unaccompanied,Repeater,Consumer Electronics,POS,XNA,Stone,62,Consumer electronics,12.0,low_normal,POS household with interest,365243.0,-295.0,35.0,-175.0,-170.0,0.0
2134576,278032,Consumer loans,6155.1,31495.5,33160.5,0.0,31495.5,TUESDAY,14,1,1,0.0,,,XAP,Approved,-588,Cash through the bank,XAP,,New,Consumer Electronics,POS,XNA,Stone,62,Consumer electronics,6.0,middle,POS household with interest,365243.0,-557.0,-407.0,-407.0,-401.0,0.0
1623417,291356,Consumer loans,10332.0,157500.0,157500.0,0.0,157500.0,WEDNESDAY,11,1,1,0.0,,,XAP,Approved,-861,Cash through the bank,XAP,,New,Construction Materials,POS,XNA,Stone,30,Construction,18.0,low_normal,POS industry with interest,365243.0,-824.0,-314.0,-314.0,-297.0,0.0
2800901,341498,Consumer loans,16766.28,150475.5,166365.0,0.0,150475.5,THURSDAY,10,1,1,0.0,,,XAP,Approved,-57,XNA,XAP,"Spouse, partner",Repeater,Furniture,POS,XNA,Regional / Local,2000,Furniture,12.0,middle,POS industry with interest,365243.0,-26.0,304.0,365243.0,365243.0,0.0
2093153,341498,Cash loans,,0.0,0.0,,,FRIDAY,5,1,1,,,,XNA,Canceled,-280,XNA,XAP,,Repeater,XNA,XNA,XNA,Credit and cash offices,-1,XNA,,XNA,Cash,,,,,,
2640005,341498,Consumer loans,38690.19,348372.0,367533.0,0.0,348372.0,FRIDAY,8,1,1,0.0,,,XAP,Approved,-448,XNA,XAP,,Repeater,Furniture,POS,XNA,Regional / Local,2000,Furniture,10.0,low_action,POS industry without interest,365243.0,-415.0,-145.0,-145.0,-138.0,0.0
2463494,341498,Consumer loans,18584.01,359667.0,359667.0,0.0,359667.0,WEDNESDAY,5,1,1,0.0,,,XAP,Approved,-667,XNA,XAP,,New,Homewares,POS,XNA,Country-wide,79,Construction,24.0,low_normal,POS other with interest,365243.0,-636.0,54.0,365243.0,365243.0,0.0
1315049,391217,Consumer loans,7069.14,57586.5,51826.5,5760.0,57586.5,TUESDAY,14,1,1,0.10893462246123024,,,XAP,Approved,-1546,Cash through the bank,XAP,Family,Repeater,Mobile,POS,XNA,Regional / Local,15,Connectivity,10.0,high,POS mobile with interest,365243.0,-1508.0,-1238.0,-1238.0,365243.0,0.0
1059740,391217,Consumer loans,11720.25,104400.0,97425.0,14400.0,104400.0,TUESDAY,10,1,1,0.14024510700567036,,,XAP,Approved,-1980,XNA,XAP,,Repeater,Computers,POS,XNA,Stone,30,Consumer electronics,10.0,middle,POS household with interest,365243.0,-1947.0,-1677.0,-1677.0,-1667.0,0.0
1371023,391217,Consumer loans,11300.355,104400.0,101713.5,10440.0,104400.0,TUESDAY,10,1,1,0.10137988641379088,,,XAP,Refused,-1980,XNA,LIMIT,,Repeater,Computers,POS,XNA,Stone,30,Consumer electronics,10.0,low_normal,POS household with interest,,,,,,
2478651,397461,Cash loans,19911.15,454500.0,519313.5,,454500.0,SATURDAY,9,1,1,,,,XNA,Approved,-331,Cash through the bank,XAP,Family,Repeater,XNA,Cash,x-sell,Credit and cash offices,-1,XNA,36.0,low_normal,Cash X-Sell: low,365243.0,-301.0,749.0,365243.0,365243.0,1.0
1733516,397461,Cash loans,,0.0,0.0,,,SATURDAY,8,1,1,,,,XNA,Canceled,-331,XNA,XAP,,Repeater,XNA,XNA,XNA,Credit and cash offices,-1,XNA,,XNA,Cash,,,,,,
1073522,397461,Cash loans,,0.0,0.0,,,THURSDAY,14,1,1,,,,XNA,Canceled,-333,XNA,XAP,,Repeater,XNA,XNA,XNA,Credit and cash offices,-1,XNA,,XNA,Cash,,,,,,
