SK_ID_CURR,TARGET,NAME_CONTRACT_TYPE,CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,CNT_CHILDREN,AMT_INCOME_TOTAL,AMT_CREDIT,AMT_ANNUITY,AMT_GOODS_PRICE,NAME_TYPE_SUITE,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,REGION_POPULATION_RELATIVE,DAYS_BIRTH,DAYS_EMPLOYED,DAYS_REGISTRATION,DAYS_ID_PUBLISH,OWN_CAR_AGE,FLAG_MOBIL,FLAG_EMP_PHONE,FLAG_WORK_PHONE,FLAG_CONT_MOBILE,FLAG_PHONE,FLAG_EMAIL,OCCUPATION_TYPE,CNT_FAM_MEMBERS,REGION_RATING_CLIENT,REGION_RATING_CLIENT_W_CITY,WEEKDAY_APPR_PROCESS_START,HOUR_APPR_PROCESS_START,REG_REGION_NOT_LIVE_REGION,REG_REGION_NOT_WORK_REGION,LIVE_REGION_NOT_WORK_REGION,REG_CITY_NOT_LIVE_CITY,REG_CITY_NOT_WORK_CITY,LIVE_CITY_NOT_WORK_CITY,ORGANIZATION_TYPE,EXT_SOURCE_1,EXT_SOURCE_2,EXT_SOURCE_3,APARTMENTS_AVG,BASEMENTAREA_AVG,YEARS_BEGINEXPLUATATION_AVG,YEARS_BUILD_AVG,COMMONAREA_AVG,ELEVATORS_AVG,ENTRANCES_AVG,FLOORSMAX_AVG,FLOORSMIN_AVG,LANDAREA_AVG,LIVINGAPARTMENTS_AVG,LIVINGAREA_AVG,NONLIVINGAPARTMENTS_AVG,NONLIVINGAREA_AVG,APARTMENTS_MODE,BASEMENTAREA_MODE,YEARS_BEGINEXPLUATATION_MODE,YEARS_BUILD_MODE,COMMONAREA_MODE,ELEVATORS_MODE,ENTRANCES_MODE,FLOORSMAX_MODE,FLOORSMIN_MODE,LANDAREA_MODE,LIVINGAPARTMENTS_MODE,LIVINGAREA_MODE,NONLIVINGAPARTMENTS_MODE,NONLIVINGAREA_MODE,APARTMENTS_MEDI,BASEMENTAREA_MEDI,YEARS_BEGINEXPLUATATION_MEDI,YEARS_BUILD_MEDI,COMMONAREA_MEDI,ELEVATORS_MEDI,ENTRANCES_MEDI,FLOORSMAX_MEDI,FLOORSMIN_MEDI,LANDAREA_MEDI,LIVINGAPARTMENTS_MEDI,LIVINGAREA_MEDI,NONLIVINGAPARTMENTS_MEDI,NONLIVINGAREA_MEDI,FONDKAPREMONT_MODE,HOUSETYPE_MODE,TOTALAREA_MODE,WALLSMATERIAL_MODE,EMERGENCYSTATE_MODE,OBS_30_CNT_SOCIAL_CIRCLE,DEF_30_CNT_SOCIAL_CIRCLE,OBS_60_CNT_SOCIAL_CIRCLE,DEF_60_CNT_SOCIAL_CIRCLE,DAYS_LAST_PHONE_CHANGE,FLAG_DOCUMENT_2,FLAG_DOCUMENT_3,FLAG_DOCUMENT_4,FLAG_DOCUMENT_5,FLAG_DOCUMENT_6,FLAG_DOCUMENT_7,FLAG_DOCUMENT_8,FLAG_DOCUMENT_9,FLAG_DOCUMENT_10,FLAG_DOCUMENT_11,FLAG_DOCUMENT_12,FLAG_DOCUMENT_13,FLAG_DOCUMENT_14,FLAG_DOCUMENT_15,FLAG_DOCUMENT_16,FLAG_DOCUMENT_17,FLAG_DOCUMENT_18,FLAG_DOCUMENT_19,FLAG_DOCUMENT_20,FLAG_DOCUMENT_21,AMT_REQ_CREDIT_BUREAU_HOUR,AMT_REQ_CREDIT_BUREAU_DAY,AMT_REQ_CREDIT_BUREAU_WEEK,AMT_REQ_CREDIT_BUREAU_MON,AMT_REQ_CREDIT_BUREAU_QRT,AMT_REQ_CREDIT_BUREAU_YEAR,AMT_CREDIT-dby-AMT_INCOME_TOTAL,AMT_ANNUITY-dby-AMT_INCOME_TOTAL,AMT_GOODS_PRICE-dby-AMT_INCOME_TOTAL,AMT_CREDIT-dby-AMT_ANNUITY,AMT_GOODS_PRICE-dby-AMT_ANNUITY,AMT_GOODS_PRICE-dby-AMT_CREDIT,AMT_GOODS_PRICE-m-AMT_CREDIT,AMT_GOODS_PRICE-m-AMT_CREDIT-dby-AMT_INCOME_TOTAL,age,AMT_CREDIT-dby-AMT_ANNUITY-p-age,DAYS_EMPLOYED-m-DAYS_BIRTH,DAYS_REGISTRATION-m-DAYS_BIRTH,DAYS_ID_PUBLISH-m-DAYS_BIRTH,DAYS_LAST_PHONE_CHANGE-m-DAYS_BIRTH,DAYS_REGISTRATION-m-DAYS_EMPLOYED,DAYS_ID_PUBLISH-m-DAYS_EMPLOYED,DAYS_LAST_PHONE_CHANGE-m-DAYS_EMPLOYED,DAYS_ID_PUBLISH-m-DAYS_REGISTRATION,DAYS_LAST_PHONE_CHANGE-m-DAYS_REGISTRATION,DAYS_LAST_PHONE_CHANGE-m-DAYS_ID_PUBLISH,cnt_adults,AMT_INCOME_TOTAL-by-CNT_CHILDREN,AMT_CREDIT-by-CNT_CHILDREN,AMT_ANNUITY-by-CNT_CHILDREN,AMT_GOODS_PRICE-by-CNT_CHILDREN
100089,0,Cash loans,1,0,1,,135000.0,337761.0,15781.5,256500.0,Unaccompanied,Working,Secondary / secondary special,Civil marriage,House / apartment,0.025164,-9666,-2811.0,-4437.0,-2342,,1,1,0,1,1,0,Laborers,2.0,2,2,TUESDAY,12,0,0,0,0,0,0,Self-employed,,0.5500579930157645,0.5352762504724826,0.0722,0.0752,0.6508,0.6736,0.008,0.0,0.1379,0.1667,0.2083,0.0671,0.0664,0.0639,0.0039,0.0029,0.063,0.0653,0.0,0.6864,0.0081,0.0,0.1379,0.1667,0.2083,0.0581,0.0725,0.0555,0.0039,0.0031,0.0729,0.08,0.9762,0.6779999999999999,0.0081,0.0,0.1379,0.1667,0.2083,0.0659,0.0676,0.0701,0.0039,0.003,reg oper account,block of flats,0.0472,Panel,0,2.0,0.0,2.0,0.0,-92.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,3.0,2.501933333333333,0.1169,1.9,21.402338180781296,16.253207869974336,0.7594127208292254,-81261.0,-0.6019333333333333,26.482191780821918,47.884529961603214,6855.0,5229.0,7324,9574.0,-1626.0,469.0,2719.0,2095.0,4345.0,2250.0,2.0,,,,
108457,0,Cash loans,0,0,1,,189000.0,704844.0,28084.5,630000.0,Unaccompanied,Pensioner,Secondary / secondary special,Married,House / apartment,0.011703,-20299,,-1454.0,-3854,,1,0,0,1,1,0,,2.0,2,2,FRIDAY,11,0,0,0,0,0,0,XNA,,0.7255483837401918,0.23272477626794336,0.099,0.1073,0.9806,0.7348,0.0116,0.0,0.2069,0.1667,0.0417,0.0515,0.0807,0.0907,0.0077,0.0155,0.1008,0.1113,0.9806,0.7452,0.0117,0.0,0.2069,0.1667,0.0417,0.0527,0.0882,0.0945,0.0078,0.0164,0.0999,0.1073,0.9806,0.7383,0.0116,0.0,0.2069,0.1667,0.0417,0.0524,0.0821,0.0924,0.0078,0.0158,reg oper account,block of flats,0.0714,Panel,0,4.0,0.0,3.0,0.0,-776.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,2.0,3.7293333333333334,0.14859523809523809,3.3333333333333335,25.09726005447845,22.432302515622496,0.8938148015731141,-74844.0,-0.396,55.61369863013699,80.71095868461543,,18845.0,16445,19523.0,,,,-2400.0,678.0,3078.0,2.0,,,,
111309,0,Cash loans,0,0,1,2.0,202500.0,1024740.0,49428.0,900000.0,Unaccompanied,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,0.022625,-13142,-805.0,-7266.0,-4379,,1,1,0,1,0,0,,3.0,2,2,TUESDAY,14,0,0,0,0,0,0,Business Entity Type 3,0.5662411694677632,0.721901876830499,0.6690566947824041,0.1485,0.0877,0.9881,0.8368,0.0523,0.16,0.1379,0.3333,0.375,0.0881,0.121,0.1533,0.0,0.0,0.1513,0.091,0.9881,0.8432,0.0527,0.1611,0.1379,0.3333,0.375,0.0901,0.1322,0.1597,0.0,0.0,0.1499,0.0877,0.9881,0.8390000000000001,0.0526,0.16,0.1379,0.3333,0.375,0.0896,0.1231,0.156,0.0,0.0,not specified,block of flats,0.1491,Panel,0,0.0,0.0,0.0,0.0,-895.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,5.060444444444444,0.24408888888888888,4.444444444444445,20.7319737800437,18.20830298616169,0.8782715615668365,-124740.0,-0.616,36.00547945205479,56.73745323209849,12337.0,5876.0,8763,12247.0,-6461.0,-3574.0,-90.0,2887.0,6371.0,3484.0,1.0,101250.0,512370.0,24714.0,450000.0
116302,0,Cash loans,0,0,1,1.0,90000.0,544068.0,25492.5,382500.0,Family,Working,Higher education,Civil marriage,House / apartment,0.00733,-14371,-6594.0,-4069.0,-4348,,1,1,0,1,0,0,,3.0,2,2,THURSDAY,13,0,0,0,1,1,0,Other,,0.6824717278870323,0.8357765157975799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1.0,0.0,1.0,0.0,-290.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2.0,0.0,6.0452,0.28325,4.25,21.342277140335394,15.00441306266549,0.703037120359955,-161568.0,-1.7952,39.37260273972603,60.71487988006142,7777.0,10302.0,10023,14081.0,2525.0,2246.0,6304.0,-279.0,3779.0,4058.0,2.0,90000.0,544068.0,25492.5,382500.0
116852,0,Cash loans,0,1,1,,76500.0,270000.0,15628.5,270000.0,Unaccompanied,Pensioner,Secondary / secondary special,Married,House / apartment,0.015221,-20636,,-8569.0,-596,64.0,1,0,0,1,0,0,,2.0,2,2,WEDNESDAY,8,0,0,0,0,0,0,XNA,,0.14413141816349562,0.2940831009471255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,0.0,0.0,0.0,-545.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,3.0,3.5294117647058822,0.20429411764705882,3.5294117647058822,17.276130146847105,17.276130146847105,1.0,0.0,0.0,56.536986301369865,73.81311644821697,,12067.0,20040,20091.0,,,,7973.0,8024.0,51.0,2.0,,,,
117815,0,Cash loans,1,1,0,1.0,148500.0,787131.0,30762.0,679500.0,Unaccompanied,Working,Higher education,Married,House / apartment,0.025164,-11457,-954.0,-2603.0,-68,13.0,1,1,0,1,0,0,,3.0,2,2,TUESDAY,15,0,0,0,0,0,0,Business Entity Type 3,,0.16318703546427088,0.4418358231994413,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3.0,0.0,3.0,0.0,-753.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.0,5.300545454545454,0.20715151515151514,4.575757575757576,25.587770626097132,22.088940901111762,0.863261642598246,-107631.0,-0.7247878787878788,31.389041095890413,56.976811721987545,10503.0,8854.0,11389,10704.0,-1649.0,886.0,201.0,2535.0,1850.0,-685.0,2.0,148500.0,787131.0,30762.0,679500.0
131668,0,Cash loans,1,1,1,,315000.0,1176727.5,93100.5,1176727.5,Unaccompanied,Working,Higher education,Single / not married,House / apartment,0.010006,-9851,-932.0,-7823.0,-2143,7.0,1,1,0,1,0,0,Managers,1.0,2,2,WEDNESDAY,8,1,1,0,1,1,0,Transport: type 4,,0.35971602735132896,,0.1979,0.136,0.9861,0.8096,,0.24,0.2069,0.3333,0.375,0.0918,0.1589,0.1345,0.0116,0.0967,0.2017,0.1411,0.9861,0.8171,,0.2417,0.2069,0.3333,0.375,0.0939,0.1736,0.1401,0.0117,0.1023,0.1999,0.136,0.9861,0.8121,,0.24,0.2069,0.3333,0.375,0.0934,0.1616,0.1369,0.0116,0.0987,reg oper account,block of flats,0.1594,Block,0,0.0,0.0,0.0,0.0,-964.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,3.735642857142857,0.29555714285714285,3.735642857142857,12.639325245299435,12.639325245299435,1.0,0.0,0.0,26.98904109589041,39.628366341189846,8919.0,2028.0,7708,8887.0,-6891.0,-1211.0,-32.0,5680.0,6859.0,1179.0,1.0,,,,
135102,0,Cash loans,1,1,1,,76500.0,180000.0,17932.5,180000.0,Unaccompanied,Pensioner,Secondary / secondary special,Married,House / apartment,0.015221,-24652,,-7962.0,-3806,17.0,1,0,0,1,0,0,,2.0,2,2,SUNDAY,8,0,0,0,1,0,0,XNA,,0.5379455739604596,0.5954562029091491,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.0,2.3529411764705883,0.23441176470588235,2.3529411764705883,10.037641154328734,10.037641154328734,1.0,0.0,0.0,67.53972602739726,77.577367181726,,16690.0,20846,24652.0,,,,4156.0,7962.0,3806.0,2.0,,,,
142907,0,Cash loans,0,0,1,,112500.0,819432.0,24088.5,684000.0,Unaccompanied,Pensioner,Secondary / secondary special,Married,House / apartment,0.035792000000000004,-21433,,-4251.0,-4896,,1,0,0,1,0,0,,2.0,2,2,SUNDAY,11,0,0,0,0,0,0,XNA,,0.7439870639287135,0.4083588531230431,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1.0,0.0,1.0,0.0,-882.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,7.28384,0.21412,6.08,34.0175602465907,28.395292359424623,0.8347245409015025,-135432.0,-1.20384,58.72054794520548,92.73810819179619,,17182.0,16537,20551.0,,,,-645.0,3369.0,4014.0,2.0,,,,
144626,0,Cash loans,0,0,1,1.0,112500.0,162000.0,17577.0,162000.0,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.026392,-10982,-669.0,-6224.0,-2067,,1,1,0,1,0,0,,3.0,2,2,WEDNESDAY,12,0,0,0,0,0,0,Business Entity Type 3,,0.719710319715489,0.6706517530862718,0.2474,,0.9881,,,0.0,0.5172,0.1667,,0.0239,,0.2173,,,0.2521,,0.9881,,,0.0,0.5172,0.1667,,0.0244,,0.2264,,,0.2498,,0.9881,,,0.0,0.5172,0.1667,,0.0243,,0.2212,,,,block of flats,0.2071,Panel,0,6.0,1.0,6.0,1.0,-1097.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,6.0,1.44,0.15624,1.44,9.216589861751151,9.216589861751151,1.0,0.0,0.0,30.087671232876712,39.30426109462786,10313.0,4758.0,8915,9885.0,-5555.0,-1398.0,-428.0,4157.0,5127.0,970.0,2.0,112500.0,162000.0,17577.0,162000.0
