SK_ID_CURR,TARGET,NAME_CONTRACT_TYPE,CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,CNT_CHILDREN,AMT_INCOME_TOTAL,AMT_CREDIT,AMT_ANNUITY,AMT_GOODS_PRICE,NAME_TYPE_SUITE,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,REGION_POPULATION_RELATIVE,DAYS_BIRTH,DAYS_EMPLOYED,DAYS_REGISTRATION,DAYS_ID_PUBLISH,OWN_CAR_AGE,FLAG_MOBIL,FLAG_EMP_PHONE,FLAG_WORK_PHONE,FLAG_CONT_MOBILE,FLAG_PHONE,FLAG_EMAIL,OCCUPATION_TYPE,CNT_FAM_MEMBERS,REGION_RATING_CLIENT,REGION_RATING_CLIENT_W_CITY,WEEKDAY_APPR_PROCESS_START,HOUR_APPR_PROCESS_START,REG_REGION_NOT_LIVE_REGION,REG_REGION_NOT_WORK_REGION,LIVE_REGION_NOT_WORK_REGION,REG_CITY_NOT_LIVE_CITY,REG_CITY_NOT_WORK_CITY,LIVE_CITY_NOT_WORK_CITY,ORGANIZATION_TYPE,EXT_SOURCE_1,EXT_SOURCE_2,EXT_SOURCE_3,APARTMENTS_AVG,BASEMENTAREA_AVG,YEARS_BEGINEXPLUATATION_AVG,YEARS_BUILD_AVG,COMMONAREA_AVG,ELEVATORS_AVG,ENTRANCES_AVG,FLOORSMAX_AVG,FLOORSMIN_AVG,LANDAREA_AVG,LIVINGAPARTMENTS_AVG,LIVINGAREA_AVG,NONLIVINGAPARTMENTS_AVG,NONLIVINGAREA_AVG,APARTMENTS_MODE,BASEMENTAREA_MODE,YEARS_BEGINEXPLUATATION_MODE,YEARS_BUILD_MODE,COMMONAREA_MODE,ELEVATORS_MODE,ENTRANCES_MODE,FLOORSMAX_MODE,FLOORSMIN_MODE,LANDAREA_MODE,LIVINGAPARTMENTS_MODE,LIVINGAREA_MODE,NONLIVINGAPARTMENTS_MODE,NONLIVINGAREA_MODE,APARTMENTS_MEDI,BASEMENTAREA_MEDI,YEARS_BEGINEXPLUATATION_MEDI,YEARS_BUILD_MEDI,COMMONAREA_MEDI,ELEVATORS_MEDI,ENTRANCES_MEDI,FLOORSMAX_MEDI,FLOORSMIN_MEDI,LANDAREA_MEDI,LIVINGAPARTMENTS_MEDI,LIVINGAREA_MEDI,NONLIVINGAPARTMENTS_MEDI,NONLIVINGAREA_MEDI,FONDKAPREMONT_MODE,HOUSETYPE_MODE,TOTALAREA_MODE,WALLSMATERIAL_MODE,EMERGENCYSTATE_MODE,OBS_30_CNT_SOCIAL_CIRCLE,DEF_30_CNT_SOCIAL_CIRCLE,OBS_60_CNT_SOCIAL_CIRCLE,DEF_60_CNT_SOCIAL_CIRCLE,DAYS_LAST_PHONE_CHANGE,FLAG_DOCUMENT_2,FLAG_DOCUMENT_3,FLAG_DOCUMENT_4,FLAG_DOCUMENT_5,FLAG_DOCUMENT_6,FLAG_DOCUMENT_7,FLAG_DOCUMENT_8,FLAG_DOCUMENT_9,FLAG_DOCUMENT_10,FLAG_DOCUMENT_11,FLAG_DOCUMENT_12,FLAG_DOCUMENT_13,FLAG_DOCUMENT_14,FLAG_DOCUMENT_15,FLAG_DOCUMENT_16,FLAG_DOCUMENT_17,FLAG_DOCUMENT_18,FLAG_DOCUMENT_19,FLAG_DOCUMENT_20,FLAG_DOCUMENT_21,AMT_REQ_CREDIT_BUREAU_HOUR,AMT_REQ_CREDIT_BUREAU_DAY,AMT_REQ_CREDIT_BUREAU_WEEK,AMT_REQ_CREDIT_BUREAU_MON,AMT_REQ_CREDIT_BUREAU_QRT,AMT_REQ_CREDIT_BUREAU_YEAR
339398,0,Revolving loans,F,N,N,0,90000.0,270000.0,13500.0,270000.0,Family,Commercial associate,Secondary / secondary special,Married,House / apartment,0.030755,-19953,-363,-6155.0,-3487,,1,1,0,1,0,0,Laborers,2.0,2,2,THURSDAY,14,0,0,0,0,1,1,Business Entity Type 3,0.6583851918519543,0.4256498715752601,0.6658549219640212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,0.0,5.0,0.0,-286.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0,0.0,0.0,2.0
173114,0,Cash loans,F,N,Y,0,157500.0,171000.0,16785.0,171000.0,Unaccompanied,Pensioner,Secondary / secondary special,Widow,House / apartment,0.028663,-24796,365243,-1686.0,-3969,,1,0,0,1,0,0,,1.0,2,2,MONDAY,13,0,0,0,0,0,0,XNA,,0.6175002144866564,0.28812959991785075,0.4371,0.2712,0.9846,0.7892,0.124,0.44,0.3793,0.3333,0.375,0.2258,0.3337,0.4359,0.1042,0.1106,0.4454,0.2814,0.9846,0.7975,0.1252,0.4431,0.3793,0.3333,0.375,0.2309,0.3646,0.4541,0.1051,0.1171,0.4413,0.2712,0.9846,0.792,0.1248,0.44,0.3793,0.3333,0.375,0.2297,0.3395,0.4437,0.1048,0.1129,reg oper account,block of flats,0.3669,Panel,No,0.0,0.0,0.0,0.0,-1508.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,4.0
447286,0,Cash loans,F,N,Y,0,117000.0,119893.5,11988.0,103500.0,Unaccompanied,Pensioner,Secondary / secondary special,Married,House / apartment,0.01885,-21651,365243,-5805.0,-4893,,1,0,0,1,0,0,,2.0,2,2,THURSDAY,9,0,0,0,0,0,0,XNA,0.777712346621335,0.6469583388148467,0.7062051096536562,0.1536,0.14400000000000002,0.9881,0.8368,0.0652,0.0,0.3448,0.1667,0.2083,0.0912,0.1252,0.1414,0.0,0.0,0.1565,0.1494,0.9881,0.8432,0.0658,0.0,0.3448,0.1667,0.2083,0.0933,0.1368,0.1473,0.0,0.0,0.1551,0.14400000000000002,0.9881,0.8390000000000001,0.0656,0.0,0.3448,0.1667,0.2083,0.0928,0.1274,0.1439,0.0,0.0,,block of flats,0.1469,Panel,No,2.0,0.0,2.0,0.0,-1758.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,1.0
440727,0,Cash loans,F,N,N,1,81000.0,288873.0,16713.0,238500.0,Unaccompanied,Commercial associate,Secondary / secondary special,Married,House / apartment,0.016612000000000002,-13824,-2149,-4215.0,-3970,,1,1,0,1,0,0,,3.0,2,2,WEDNESDAY,10,0,0,0,1,0,1,Industry: type 3,0.5773910677767575,0.6038015216561751,0.6594055320683344,0.0041,0.0,0.9737,,,0.0,0.0345,0.0,,0.0,,0.0033,,0.0,0.0042,0.0,0.9737,,,0.0,0.0345,0.0,,0.0,,0.0035,,0.0,0.0042,0.0,0.9737,,,0.0,0.0345,0.0,,0.0,,0.0034,,0.0,,block of flats,0.0026,Block,No,0.0,0.0,0.0,0.0,-1221.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0
389311,0,Revolving loans,F,Y,Y,2,157500.0,337500.0,16875.0,337500.0,Unaccompanied,Working,Higher education,Married,House / apartment,0.04622,-12368,-1463,-4613.0,-1113,2.0,1,1,0,1,0,0,,4.0,1,1,TUESDAY,13,0,0,0,0,1,1,Medicine,0.4001652828719464,0.6676177991903954,0.1245194708919845,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0,2.0,0.0,-1135.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.0
183232,0,Cash loans,M,Y,Y,2,171000.0,720000.0,39060.0,720000.0,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.015221,-15360,-4622,-4037.0,-4438,13.0,1,1,0,1,0,0,Laborers,4.0,2,2,TUESDAY,9,0,0,0,0,1,1,Transport: type 2,0.4424028205466072,0.4697740500319709,0.4632753280912678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,1.0,0.0,-827.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,4.0
414832,0,Cash loans,F,N,Y,1,157500.0,678456.0,22014.0,486000.0,Unaccompanied,Working,Higher education,Civil marriage,House / apartment,0.020713,-12183,-1049,-1869.0,-4265,,1,1,0,1,0,0,Core staff,3.0,3,1,FRIDAY,12,0,0,0,0,0,0,Other,0.2779955596537884,0.6234016015280462,0.746300213050371,0.2144,0.2414,0.9747,0.6532,0.021,0.0,0.4138,0.1667,0.0,0.0776,0.1731,0.1669,0.0077,0.0946,0.2185,0.2505,0.9747,0.6668,0.0212,0.0,0.4138,0.1667,0.0,0.0794,0.1892,0.1739,0.0078,0.1001,0.2165,0.2414,0.9747,0.6578,0.0212,0.0,0.4138,0.1667,0.0,0.0789,0.1761,0.1699,0.0078,0.0965,reg oper account,block of flats,0.1633,"Stone, brick",No,0.0,0.0,0.0,0.0,-2852.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.0
231346,0,Cash loans,F,N,Y,0,135000.0,729792.0,26343.0,630000.0,Unaccompanied,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,0.0105,-15399,-615,-9277.0,-3961,,1,1,0,1,0,0,Medicine staff,1.0,3,3,MONDAY,12,0,0,0,0,0,0,Medicine,,0.6690235281325131,,0.0454,0.0654,0.9767,0.7552,0.0141,0.0,0.1034,0.125,0.125,0.0166,0.0151,0.0181,0.0,0.0115,0.0189,0.038,0.9717,0.7648,0.0142,0.0,0.069,0.0833,0.125,0.017,0.0165,0.0188,0.0,0.0,0.0458,0.0654,0.9767,0.7585,0.0142,0.0,0.1034,0.125,0.125,0.0169,0.0154,0.0184,0.0,0.0117,reg oper account,block of flats,0.0219,"Stone, brick",No,0.0,0.0,0.0,0.0,-422.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
297267,0,Cash loans,F,N,Y,0,112500.0,675000.0,26770.5,675000.0,Unaccompanied,Pensioner,Secondary / secondary special,Married,House / apartment,0.015221,-19274,365243,-5707.0,-2823,,1,0,0,1,1,0,,2.0,2,2,FRIDAY,8,0,0,0,0,0,0,XNA,,0.4007411703774158,0.31703177858344445,0.1031,0.114,0.9806,0.7348,0.0891,0.0,0.2069,0.1667,0.2083,0.0486,0.0841,0.0895,0.0,0.0,0.105,0.1183,0.9806,0.7452,0.0899,0.0,0.2069,0.1667,0.2083,0.0497,0.0918,0.0932,0.0,0.0,0.1041,0.114,0.9806,0.7383,0.0896,0.0,0.2069,0.1667,0.2083,0.0494,0.0855,0.0911,0.0,0.0,reg oper account,block of flats,0.1191,"Stone, brick",No,1.0,0.0,1.0,0.0,-603.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,5.0
189616,0,Cash loans,F,N,Y,0,207000.0,1350000.0,37255.5,1350000.0,Family,Pensioner,Secondary / secondary special,Married,House / apartment,0.026392,-21001,365243,-11549.0,-4530,,1,0,0,1,0,0,,2.0,2,2,THURSDAY,11,0,0,0,0,0,0,XNA,,0.12109600609388473,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
