feature,split,gain
f101_app_DAYS_BIRTH,2879,242577.896458596
f101_app_AMT_GOODS_PRICE,2222,204804.77386635542
f101_app_AMT_ANNUITY,2957,191960.79751940072
f101_app_DAYS_LAST_PHONE_CHANGE,2513,191839.84878929704
f101_app_AMT_CREDIT,2381,183261.51695168763
f101_app_DAYS_EMPLOYED,2281,156933.28841280192
f101_app_DAYS_ID_PUBLISH,2691,137096.5752298981
f101_AMT_GOODS_PRICE-d-total_debt,574,113144.9201542139
f101_app_DAYS_REGISTRATION,2597,109167.21238501929
f101_app_AMT_INCOME_TOTAL,1885,83278.68435851112
f101_CODE_REJECT_REASON,228,42410.482171058655
f101_AMT_CREDIT-d-total_debt,361,41988.77639272809
f101_HOUR_APPR_PROCESS_START,526,36215.177400141954
f101_PRODUCT_COMBINATION,567,32288.06224179268
f301_notdelay_AMT_PAYMENT-d-app_AMT_ANNUITY_min,106,28106.344285339117
f101_DAYS_DECISION,574,23380.334875978064
f101_AMT_ANNUITY-m-app_AMT_CREDIT-d-app_AMT_INCOME_TOTAL,687,22805.419257044792
f101_AMT_ANNUITY-m-app_AMT_GOODS_PRICE-d-app_AMT_INCOME_TOTAL,692,20635.85281407833
f301_delay_DAYS_ENTRY_PAYMENT_mean,177,19647.57331752777
f401_AMT_BALANCE-d-AMT_CREDIT_LIMIT_ACTUAL_max,166,15797.355489373207
f101_CHANNEL_TYPE,327,15016.445594787598
f101_AMT_ANNUITY-m-app_AMT_ANNUITY-d-app_AMT_INCOME_TOTAL,276,12699.742553591728
f301_notdelay_AMT_PAYMENT-d-app_AMT_CREDIT_min,100,12121.794486761093
f301_delay_DAYS_ENTRY_PAYMENT_max,178,11631.265404701233
f101_NAME_CLIENT_TYPE,279,11511.346324503422
f101_AMT_ANNUITY-m-app_AMT_CREDIT,267,9689.121690124273
f101_AMT_ANNUITY-m-app_AMT_GOODS_PRICE,265,8380.214308161288
f101_AMT_ANNUITY-d-app_AMT_CREDIT,157,7612.147685289383
f101_AMT_ANNUITY-m-app_AMT_INCOME_TOTAL,365,7445.390155479312
f101_DAYS_LAST_DUE_1ST_VERSION-m-app_DAYS_BIRTH,66,6700.299782782793
f101_NAME_GOODS_CATEGORY,328,6580.7325892448425
f301_notdelay_NUM_INSTALMENT_ratio_mean,149,5996.462654352188
f101_AMT_ANNUITY-m-app_AMT_ANNUITY,135,5965.193887472153
f101_DAYS_FIRST_DUE-d-app_DAYS_EMPLOYED,124,5727.177001833916
f301_notdelay_not-delayed_money_ratio_0_sum,126,5680.465904831886
f401_AMT_BALANCE-d-AMT_CREDIT_LIMIT_ACTUAL_mean,87,5557.955124378204
f101_SELLERPLACE_AREA,277,5419.212293788791
f301_notdelay_NUM_INSTALMENT_ratio_var,107,5413.713472366333
f301_delay_delayed_money_ratio_5_mean,52,5066.7958908081055
f101_NAME_CONTRACT_STATUS,32,4902.207220554352
f101_NAME_CASH_LOAN_PURPOSE,200,4848.980870246887
f101_APP_CREDIT_PERC,100,4673.5426614284515
f101_AMT_APPLICATION-d-app_AMT_CREDIT,148,4409.988617241383
f101_AMT_APPLICATION-m-app_AMT_CREDIT,95,4394.6791714429855
f301_notdelay_days_weighted_delay_sum,140,4373.484050631523
f401_CNT_DRAWINGS_ATM_CURRENT_mean,88,3837.484788417816
f301_delay_days_weighted_delay_max,86,3752.085638523102
f301_notdelay_DAYS_ENTRY_PAYMENT_sum,98,3687.9254801273346
f101_AMT_GOODS_PRICE-m-app_AMT_CREDIT,82,3541.1386398375034
f301_notdelay_days_weighted_delay_max,165,3459.866242468357
f301_notdelay_NUM_INSTALMENT_VERSION_nunique,85,3278.451658010483
f301_notdelay_AMT_PAYMENT_sum,102,3256.901854991913
f101_AMT_GOODS_PRICE-d-AMT_CREDIT,152,3180.027050614357
f101_DAYS_FIRST_DRAWING-d-app_DAYS_BIRTH,45,2823.869782447815
f101_AMT_CREDIT-m-app_AMT_CREDIT,88,2790.778794080019
f301_notdelay_AMT_PAYMENT_min,65,2772.0182567834854
f301_notdelay_AMT_PAYMENT-d-app_AMT_INCOME_TOTAL_min,75,2649.9423911571503
f101_NAME_SELLER_INDUSTRY,92,2522.1195163726807
f101_WEEKDAY_APPR_PROCESS_START,152,2515.0896191596985
f101_AMT_APPLICATION-d-app_AMT_ANNUITY,89,2509.779982686043
f101_AMT_APPLICATION-m-app_AMT_CREDIT-d-app_AMT_INCOME_TOTAL,105,2483.0246818363667
f101_AMT_CREDIT-m-app_AMT_CREDIT-d-app_AMT_INCOME_TOTAL,117,2474.612297296524
f101_AMT_ANNUITY-d-app_AMT_INCOME_TOTAL,134,2432.184947013855
f101_NAME_TYPE_SUITE,117,2429.1767597198486
f301_notdelay_DAYS_ENTRY_PAYMENT-m-app_DAYS_EMPLOYED_max,63,2392.569741010666
f301_notdelay_NUM_INSTALMENT_ratio_max,36,2304.215214729309
f101_DAYS_FIRST_DUE-d-app_DAYS_LAST_PHONE_CHANGE,131,2290.021415233612
f101_DAYS_LAST_DUE-d-app_DAYS_EMPLOYED,69,2211.721878528595
f101_AMT_APPLICATION-m-app_AMT_ANNUITY,62,2159.921585559845
f301_delay_days_weighted_delay_mean,67,2157.066065311432
f401_CNT_DRAWINGS_ATM_CURRENT_var,64,2037.0973057746887
f301_notdelay_DBD_sum,112,2022.5303750038147
f101_AMT_ANNUITY-d-app_AMT_ANNUITY,85,1985.4188170433044
f101_AMT_ANNUITY,84,1910.2884958535433
f101_AMT_APPLICATION,81,1782.3839601576328
f101_DAYS_LAST_DUE_1ST_VERSION-d-app_DAYS_LAST_PHONE_CHANGE,102,1735.1438699960709
f101_AMT_GOODS_PRICE-m-app_AMT_ANNUITY,59,1728.1654963493347
f301_notdelay_DAYS_ENTRY_PAYMENT_max,98,1705.118396282196
f401_CNT_DRAWINGS_CURRENT_var,72,1696.2135848999023
f101_days_trm-m-ldue1,70,1660.3094382286072
