feature,split,gain,total
f101_app_DAYS_BIRTH,0.9602289846339259,1.0,1.9602289846339258
f101_app_AMT_ANNUITY,1.0,0.7870383727147039,1.787038372714704
f101_app_DAYS_LAST_PHONE_CHANGE,0.8642663452847243,0.7898528553803487,1.6541192006650731
f101_app_AMT_CREDIT,0.8470924977402832,0.7727178130394063,1.6198103107796895
f101_app_AMT_GOODS_PRICE,0.764838806869539,0.8438373699638555,1.6086761768333946
f101_app_DAYS_ID_PUBLISH,0.9340162699608315,0.5857245824860221,1.5197408524468536
f101_app_DAYS_EMPLOYED,0.7554986441699307,0.6660517994839844,1.4215504436539153
f101_app_DAYS_REGISTRATION,0.9290448930400723,0.4853684916757537,1.414413384715826
f101_app_AMT_INCOME_TOTAL,0.6416089183489003,0.3489953935432141,0.9906043118921144
f101_AMT_GOODS_PRICE-d-total_debt,0.21768605001506477,0.45670230362468595,0.6743883536397507
f101_PRODUCT_COMBINATION,0.21542633323290147,0.13202873486430192,0.3474550680972034
f101_AMT_ANNUITY-m-app_AMT_GOODS_PRICE-d-app_AMT_INCOME_TOTAL,0.23922868333835492,0.09183088536371464,0.33105956870206954
f101_AMT_ANNUITY-m-app_AMT_CREDIT-d-app_AMT_INCOME_TOTAL,0.233805363061163,0.09651228453225795,0.33031764759342097
f101_HOUR_APPR_PROCESS_START,0.16917746309129256,0.14306985620532608,0.31224731929661864
f101_AMT_CREDIT-d-total_debt,0.12669478758662248,0.1703545442858359,0.2970493318724584
f101_DAYS_DECISION,0.1806266947875866,0.09630325203557272,0.2769299468231593
f101_CODE_REJECT_REASON,0.07532389273877674,0.16413948297562533,0.23946337571440207
f101_CHANNEL_TYPE,0.10711057547454052,0.06338930068911974,0.17049987616366025
f101_AMT_ANNUITY-m-app_AMT_INCOME_TOTAL,0.1321181078638144,0.03378987314689151,0.16590798101070592
f101_NAME_GOODS_CATEGORY,0.12684543537210002,0.028423333507951502,0.15526876888005153
f101_AMT_ANNUITY-m-app_AMT_ANNUITY-d-app_AMT_INCOME_TOTAL,0.09626393492015667,0.05800112043912587,0.15426505535928253
f101_AMT_CREDIT-d-total_debt_pctchange,0.09294968363965049,0.03966831656464055,0.13261800020429104
f101_SELLERPLACE_AREA,0.10123531184091594,0.025333096684267097,0.12656840852518303
f101_AMT_ANNUITY-m-app_AMT_GOODS_PRICE,0.09159385357035252,0.03169496234974135,0.12328881592009386
f101_AMT_ANNUITY-m-app_AMT_CREDIT,0.08601988550768304,0.03668359873560899,0.12270348424329203
f301_delay_DAYS_ENTRY_PAYMENT_mean,0.050467008134980416,0.06138431502006313,0.11185132315504354
f301_days_weighted_delay_max,0.06839409460680929,0.040188411949922946,0.10858250655673224
f301_notdelay_AMT_PAYMENT-d-app_AMT_ANNUITY_min,0.023952997890931003,0.07364641901816317,0.09759941690909417
f101_NAME_CASH_LOAN_PURPOSE,0.07396806266947877,0.020861377426519848,0.09482944009599861
f101_NAME_CLIENT_TYPE,0.06206688761675203,0.028706299697705842,0.09077318731445788
f301_delay_DAYS_ENTRY_PAYMENT_max,0.049864416993070204,0.04072440528808889,0.0905888222811591
f101_AMT_GOODS_PRICE-d-total_debt_diff,0.06357336547152757,0.022502969890212988,0.08607633536174056
f101_AMT_ANNUITY-d-app_AMT_CREDIT,0.05363061163000904,0.03170001687526854,0.08533062850527759
f101_AMT_CREDIT-d-total_debt_diff,0.0631214221150949,0.020957908665742108,0.08407933078083701
f101_DAYS_FIRST_DUE-d-app_DAYS_EMPLOYED,0.0476047002109069,0.024481085898497807,0.0720857861094047
f101_APP_CREDIT_PERC,0.04519433564326605,0.023916426234528828,0.06911076187779487
f101_WEEKDAY_APPR_PROCESS_START,0.05649291955408255,0.011822108152130827,0.06831502770621338
f101_AMT_GOODS_PRICE-d-AMT_CREDIT_diff,0.053178668273576375,0.014837171211133876,0.06801583948471025
f101_AMT_ANNUITY-m-app_AMT_ANNUITY,0.04730340463995179,0.019517732948160775,0.06682113758811256
f402_AMT_BALANCE-d-AMT_CREDIT_LIMIT_ACTUAL_-2,0.026062066887616753,0.03880383934224134,0.06486590622985809
f301_delay_days_weighted_delay_mean,0.037360650798433266,0.026338969511859708,0.06369962031029297
f301_days_weighted_delay_sum,0.0366074118710455,0.02691218907737852,0.06351960094842402
f101_AMT_GOODS_PRICE-d-AMT_CREDIT_pctchange,0.05061765592045797,0.012866782536532999,0.06348443845699098
f101_AMT_GOODS_PRICE-d-AMT_CREDIT,0.05016571256402531,0.011971333711750277,0.062137046275775584
f101_AMT_ANNUITY-d-app_AMT_INCOME_TOTAL,0.04850858692377222,0.011267073520427386,0.0597756604441996
f101_DAYS_FIRST_DUE-d-app_DAYS_LAST_PHONE_CHANGE,0.05016571256402531,0.009387530805990866,0.059553243370016176
f401_AMT_BALANCE-d-AMT_CREDIT_LIMIT_ACTUAL_max,0.023952997890931003,0.0351996446538729,0.0591526425448039
f101_AMT_CREDIT-m-app_AMT_ANNUITY-d-app_AMT_INCOME_TOTAL_pctchange,0.04670081349804158,0.009341735248419709,0.05604254874646129
f101_AMT_GOODS_PRICE-d-total_debt_pctchange,0.04188008436275987,0.014102078950740672,0.05598216331350054
f301_notdelay_NUM_INSTALMENT_ratio_mean,0.037059355227478157,0.018862268172713595,0.05592162340019175
f301_delay_days_weighted_delay_max,0.03419704730340464,0.021515792132851392,0.05571283943625603
f101_NAME_TYPE_SUITE,0.04444109671587828,0.010654470113829898,0.055095566829708176
f101_AMT_APPLICATION-m-app_AMT_CREDIT,0.034498342874359746,0.017666064062859217,0.052164406937218966
f101_AMT_CREDIT-m-app_AMT_CREDIT-d-app_AMT_INCOME_TOTAL,0.03901777643868635,0.01120958004286353,0.05022735648154988
f101_AMT_APPLICATION-d-app_AMT_CREDIT,0.034799638445314855,0.01386818238295858,0.048667820828273436
f301_AMT_PAYMENT-d-app_AMT_ANNUITY_min,0.016571256402530883,0.03156905134233709,0.04814030774486797
f101_AMT_APPLICATION-m-app_AMT_CREDIT-d-app_AMT_INCOME_TOTAL,0.035854172943657725,0.010260609539594852,0.04611478248325258
f301_DPD_mean,0.025459475745706537,0.020356457247797374,0.04581593299350391
f301_AMT_PAYMENT-d-app_AMT_CREDIT_min,0.019282916541126845,0.026151051513971017,0.04543396805509786
f101_AMT_CREDIT-m-app_AMT_INCOME_TOTAL_pctchange,0.03946971979511901,0.005916984357377156,0.04538670415249617
f101_DAYS_LAST_DUE_1ST_VERSION-m-app_DAYS_BIRTH,0.024404941247363664,0.020847423171661928,0.045252364419025595
f101_DAYS_FIRST_DUE-d-app_DAYS_ID_PUBLISH,0.035854172943657725,0.006511686960223741,0.04236585990388147
f101_AMT_ANNUITY-d-app_AMT_ANNUITY,0.032539921663151554,0.009720461998055412,0.04226038366120696
f101_AMT_APPLICATION-d-app_AMT_ANNUITY,0.029225670382645376,0.012467797200031131,0.04169346758267651
f301_notdelay_days_weighted_delay_max,0.03525158180174751,0.006295967632349896,0.04154754943409741
f101_DAYS_LAST_DUE_1ST_VERSION-d-app_DAYS_LAST_PHONE_CHANGE,0.033443808376016876,0.008091578490459855,0.04153538686647673
f101_AMT_ANNUITY,0.030581500451943355,0.01016874638983606,0.040750246841779414
f301_notdelay_NUM_INSTALMENT_ratio_var,0.025760771316661647,0.014768444684538137,0.04052921600119978
f101_AMT_ANNUITY-m-app_AMT_ANNUITY-d-app_AMT_INCOME_TOTAL_pctchange,0.03404639951792709,0.005101148842293458,0.039147548360220545
f101_AMT_APPLICATION,0.030581500451943355,0.008425837075053032,0.03900733752699639
f101_NAME_SELLER_INDUSTRY,0.028020488098824948,0.009874562688129213,0.03789505078695416
f301_notdelay_DAYS_ENTRY_PAYMENT_sum,0.028773727026212715,0.008971626922178842,0.037745353948391555
f101_AMT_CREDIT-m-app_AMT_CREDIT,0.026965953600482075,0.010605447336786627,0.0375714009372687
f301_DBD_max,0.031937330521241335,0.0055953417174147745,0.03753267223865611
f301_notdelay_DBD_mean,0.0326905694486291,0.004748338774634575,0.03743890822326368
f101_AMT_ANNUITY-d-app_AMT_ANNUITY_pctchange,0.03163603495028623,0.0056174657468936046,0.03725350069717984
f301_DBD_mean,0.03133473937933112,0.005346191750683091,0.036680931130014215
f301_notdelay_NUM_INSTALMENT_VERSION_nunique,0.023651702319975897,0.012948245028676461,0.03659994734865236
f301_days_weighted_delay_mean,0.029978909310033143,0.0057184776677967385,0.035697386977829884
f101_AMT_DOWN_PAYMENT,0.02862307924073516,0.007016853360929457,0.03563993260166462
f101_DAYS_LAST_DUE_1ST_VERSION-d-app_DAYS_EMPLOYED,0.0281711358843025,0.00708866640324202,0.03525980228754452
f101_DAYS_LAST_DUE-d-app_DAYS_ID_PUBLISH,0.029376318168122927,0.005398503268111314,0.03477482143623424
f101_AMT_APPLICATION-m-app_AMT_GOODS_PRICE-d-app_AMT_INCOME_TOTAL,0.027417896956914732,0.006576830387762106,0.03399472734467684
f101_AMT_CREDIT-m-app_AMT_INCOME_TOTAL,0.02726724917143718,0.006152180585539886,0.033419429756977065
f301_notdelay_AMT_PAYMENT_sum,0.024103645676408558,0.009297081104523739,0.0334007267809323
f101_DAYS_LAST_DUE-d-app_DAYS_EMPLOYED,0.025308827960228986,0.007679340184044613,0.0329881681442736
f101_DAYS_LAST_DUE_1ST_VERSION-m-app_DAYS_REGISTRATION,0.027568544742392287,0.0049045112350116545,0.03247305597740394
f101_AMT_CREDIT-m-app_AMT_GOODS_PRICE-d-app_AMT_INCOME_TOTAL,0.026212714673094304,0.005966881155429022,0.032179595828523325
f301_notdelay_AMT_PAYMENT-d-app_AMT_CREDIT_min,0.01777643868635131,0.01418269040326829,0.0319591290896196
f101_DAYS_FIRST_DUE-d-app_DAYS_REGISTRATION,0.026965953600482075,0.004809399465087207,0.03177535306556928
f101_DAYS_LAST_DUE_1ST_VERSION-m-app_DAYS_EMPLOYED,0.025760771316661647,0.0053435166860824985,0.031104288002744146
f101_AMT_GOODS_PRICE-m-app_AMT_CREDIT-d-app_AMT_INCOME_TOTAL,0.02244652003615547,0.008112861175832686,0.030559381211988153
f301_AMT_PAYMENT_min,0.01566736968966556,0.01478091468014457,0.030448284369810133
f101_AMT_APPLICATION-d-app_AMT_INCOME_TOTAL,0.02515818017475143,0.005276333100514876,0.030434513275266306
f101_AMT_APPLICATION-m-app_AMT_INCOME_TOTAL,0.025007532389273876,0.005375190524193777,0.030382722913467653
f402_AMT_BALANCE-d-AMT_CREDIT_LIMIT_ACTUAL_-1,0.019734859897559506,0.01063795089865793,0.030372810796217436
f301_notdelay_days_weighted_delay_mean,0.025610123531184092,0.0044238855943815976,0.03003400912556569
f301_notdelay_days_weighted_delay_sum,0.02515818017475143,0.004761308831011835,0.029919489005763265
f301_DAYS_ENTRY_PAYMENT_sum,0.023651702319975897,0.005396802451698879,0.029048504771674775
f101_DAYS_TERMINATION-d-app_DAYS_EMPLOYED,0.02289846339258813,0.005979534290814806,0.028877997683402934
f101_AMT_GOODS_PRICE-m-app_AMT_CREDIT,0.017173847544441095,0.01163807133003596,0.028811918874477056
f101_AMT_APPLICATION-m-app_AMT_INCOME_TOTAL_pctchange,0.024404941247363664,0.003950298957394634,0.028355240204758297
f101_RATE_DOWN_PAYMENT,0.023501054534498342,0.004607442457693328,0.02810849699219167
f101_DAYS_FIRST_DUE-d-app_DAYS_BIRTH,0.02244652003615547,0.005205678168699586,0.027652198204855052
f101_AMT_APPLICATION-m-app_AMT_ANNUITY,0.020488098824947273,0.0068125945636669395,0.02730069338861421
f101_AMT_ANNUITY-d-app_AMT_GOODS_PRICE_pctchange,0.022597167821633023,0.004653766596067725,0.027250934417700746
f101_DAYS_LAST_DUE_1ST_VERSION-d-app_DAYS_ID_PUBLISH,0.022145224465200362,0.005036610727131737,0.0271818351923321
f401_AMT_BALANCE-d-AMT_CREDIT_LIMIT_ACTUAL_mean,0.009038867128653209,0.018142558188204636,0.027181425316857844
f101_DAYS_TERMINATION-m-app_DAYS_REGISTRATION,0.022747815607110575,0.0041096895711703624,0.026857505178280935
f101_DAYS_FIRST_DUE-m-app_DAYS_LAST_PHONE_CHANGE,0.021994576679722808,0.0048573913083310265,0.026851967988053834
f201_CNT_INSTALMENT_FUTURE_diff_min,0.018680325399216633,0.008012267662221836,0.02669259306143847
f101_DAYS_LAST_DUE_1ST_VERSION-m-app_DAYS_ID_PUBLISH,0.022295872250677914,0.004192974818521795,0.026488847069199708
f201_CNT_INSTALMENT_FUTURE_pctchange_var,0.021843928894245256,0.003936526913896305,0.02578045580814156
f101_AMT_APPLICATION-m-app_AMT_ANNUITY-d-app_AMT_INCOME_TOTAL_pctchange,0.021391985537812595,0.004290594469259771,0.025682580007072367
f101_total_debt_pctchange,0.021843928894245256,0.0037801370819044652,0.02562406597614972
f101_AMT_CREDIT-d-app_AMT_CREDIT,0.019734859897559506,0.005828884946188326,0.02556374484374783
f101_DAYS_LAST_DUE_1ST_VERSION-d-app_DAYS_REGISTRATION,0.021542633323290147,0.003871858850283263,0.02541449217357341
f301_delay_DAYS_ENTRY_PAYMENT-m-app_DAYS_LAST_PHONE_CHANGE_max,0.017475143115396205,0.007893885816633094,0.0253690289320293
f101_AMT_CREDIT-m-app_AMT_GOODS_PRICE,0.020638746610424828,0.00443367434184699,0.02507242095227182
f101_total_debt,0.02078939439590238,0.003775801060528012,0.02456519545643039
f101_AMT_GOODS_PRICE-m-app_AMT_GOODS_PRICE-d-app_AMT_INCOME_TOTAL,0.019282916541126845,0.0051318395796776115,0.024414756120804456
f301_AMT_PAYMENT-d-AMT_ANNUITY_var,0.019885507683037058,0.004431643505375453,0.02431715118841251
f101_AMT_CREDIT-m-app_AMT_CREDIT-d-app_AMT_INCOME_TOTAL_pctchange,0.02078939439590238,0.0034788774315856513,0.02426827182748803
f101_NAME_CONTRACT_STATUS,0.0064778547755347995,0.017735831414846484,0.024213686190381285
f301_delay_DPD_mean,0.018830973184694184,0.005359961175025644,0.024190934359719828
f101_AMT_CREDIT-m-app_AMT_GOODS_PRICE-d-app_AMT_INCOME_TOTAL_pctchange,0.020940042181379934,0.003217735201485162,0.024157777382865096
f301_delay_days_weighted_delay_sum,0.0194335643266044,0.0046916175427198295,0.02412518186932423
f101_AMT_GOODS_PRICE-m-app_AMT_ANNUITY,0.01732449532991865,0.00668005007079767,0.02400454540071632
f301_notdelay_AMT_PAYMENT_min,0.017173847544441095,0.006680289250483613,0.023854136794924707
f301_NUM_INSTALMENT_ratio_mean,0.017927086471828863,0.005800308189636947,0.02372739466146581
f101_AMT_APPLICATION-m-app_AMT_GOODS_PRICE,0.019282916541126845,0.004237092742797519,0.023520009283924365
f101_DAYS_LAST_DUE-m-app_DAYS_BIRTH,0.019885507683037058,0.003628428344295197,0.023513936027332254
f101_AMT_APPLICATION-m-app_AMT_ANNUITY-d-app_AMT_INCOME_TOTAL,0.018529677613739078,0.004982552282585178,0.023512229896324257
f301_DBD_sum,0.020036155468514612,0.0034508802549983713,0.023487035723512982
f301_NUM_INSTALMENT_ratio_var,0.018830973184694184,0.004449816600179912,0.023280789784874096
f101_AMT_ANNUITY-d-app_AMT_GOODS_PRICE,0.019885507683037058,0.0033614903223955547,0.02324699800543261
f101_DAYS_TERMINATION-m-app_DAYS_BIRTH,0.020036155468514612,0.003113622284393522,0.023149777752908135
f101_DAYS_LAST_DUE-d-app_DAYS_LAST_PHONE_CHANGE,0.01958421211208195,0.003523205713747061,0.023107417825829014
f101_AMT_CREDIT-d-app_AMT_INCOME_TOTAL,0.01913226875564929,0.0038441818617623593,0.02297645061741165
f201_CNT_INSTALMENT_FUTURE-d-CNT_INSTALMENT_mean,0.017475143115396205,0.005486599213431629,0.022961742328827833
f301_notdelay_AMT_PAYMENT-d-app_AMT_INCOME_TOTAL_min,0.018379029828261523,0.00456569276715662,0.022944722595418143
f101_AMT_CREDIT-d-app_AMT_ANNUITY,0.017927086471828863,0.0047253039478319225,0.022652390419660787
f101_DAYS_LAST_DUE_1ST_VERSION-m-app_DAYS_LAST_PHONE_CHANGE,0.019282916541126845,0.003203882280403406,0.022486798821530252
f101_DAYS_LAST_DUE-d-app_DAYS_REGISTRATION,0.018529677613739078,0.003926394744871282,0.02245607235861036
f301_AMT_PAYMENT-d-app_AMT_INCOME_TOTAL_min,0.017475143115396205,0.004916060449398562,0.022391203564794765
f301_days_weighted_delay_min,0.01898162097017174,0.0031936884432175092,0.022175309413389247
f101_AMT_ANNUITY-d-app_AMT_ANNUITY_diff,0.017173847544441095,0.0049647981329653664,0.022138645677406463
f101_AMT_GOODS_PRICE-m-app_AMT_ANNUITY-d-app_AMT_INCOME_TOTAL_pctchange,0.018228382042783972,0.0037650930834286964,0.021993475126212667
f301_notdelay_DAYS_ENTRY_PAYMENT-m-app_DAYS_BIRTH_var,0.017023199758963544,0.004900718631029948,0.021923918389993493
f101_AMT_GOODS_PRICE-m-app_AMT_INCOME_TOTAL_pctchange,0.018830973184694184,0.0029851050059132105,0.021816078190607394
f101_DAYS_LAST_DUE-m-app_DAYS_EMPLOYED,0.018077734257306417,0.003215484437430825,0.021293218694737243
f301_notdelay_AMT_PAYMENT-d-AMT_ANNUITY_var,0.017927086471828863,0.003313123421598931,0.021240209893427793
f301_DAYS_ENTRY_PAYMENT-m-app_DAYS_EMPLOYED_max,0.015366074118710455,0.005714262999205477,0.02108033711791593
f101_total_debt_diff,0.017625790900873756,0.003358067582791286,0.020983858483665043
f101_AMT_ANNUITY-m-app_AMT_CREDIT-d-app_AMT_INCOME_TOTAL_pctchange,0.015064778547755347,0.005444679006835435,0.02050945755459078
f101_days_trm-m-ldue,0.017927086471828863,0.002538256831260881,0.020465343303089745
f101_DAYS_TERMINATION-d-app_DAYS_REGISTRATION,0.01687255197348599,0.003308321657466769,0.020180873630952757
f301_notdelay_DAYS_ENTRY_PAYMENT-m-app_DAYS_LAST_PHONE_CHANGE_max,0.016269960831575777,0.0038666309378276448,0.020136591769403422
f101_DAYS_TERMINATION-d-app_DAYS_LAST_PHONE_CHANGE,0.017475143115396205,0.0026325248618212487,0.020107667977217455
f101_DAYS_LAST_DUE-m-app_DAYS_LAST_PHONE_CHANGE,0.017173847544441095,0.002856865211252556,0.020030712755693653
f101_AMT_ANNUITY-m-app_AMT_INCOME_TOTAL_pctchange,0.017023199758963544,0.002874969968790903,0.019898169727754447
f101_AMT_CREDIT-d-app_AMT_GOODS_PRICE,0.01642060861705333,0.0034419493613388344,0.019862557978392162
f101_DAYS_FIRST_DUE,0.015215426333232902,0.004594048663758947,0.01980947499699185
f101_AMT_CREDIT-m-app_AMT_ANNUITY-d-app_AMT_INCOME_TOTAL,0.016721904188008438,0.0030814617455737687,0.019803365933582208
f101_DAYS_FIRST_DUE-m-app_DAYS_EMPLOYED,0.015818017475143116,0.003608819196445169,0.019426836671588284
f301_AMT_PAYMENT-d-AMT_ANNUITY_max,0.01566736968966556,0.003747379379572736,0.019414749069238298
f301_DAYS_ENTRY_PAYMENT_max,0.01642060861705333,0.002921709930849477,0.019342318547902804
f301_notdelay_DAYS_ENTRY_PAYMENT-m-app_DAYS_EMPLOYED_max,0.014010244049412474,0.0049570599942516495,0.018967304043664125
f301_DAYS_ENTRY_PAYMENT-m-app_DAYS_BIRTH_var,0.015818017475143116,0.00300668644445137,0.018824703919594486
f101_amt_paid,0.014914130762277794,0.0038754022695472044,0.018789533031824998
f401_CNT_DRAWINGS_ATM_CURRENT_var,0.013558300692979813,0.00521989267599531,0.018778193368975123
f301_notdelay_AMT_PAYMENT-d-app_AMT_INCOME_TOTAL_mean,0.01566736968966556,0.0029850004681694904,0.018652370157835052
f101_DAYS_TERMINATION-m-app_DAYS_ID_PUBLISH,0.015968665260620667,0.0024916683869619927,0.01846033364758266
f101_DAYS_FIRST_DRAWING-d-app_DAYS_REGISTRATION,0.014914130762277794,0.003507639372090069,0.018421770134367865
f201_CNT_INSTALMENT_FUTURE-d-CNT_INSTALMENT_var,0.015968665260620667,0.0023331415668147062,0.018301806827435374
f301_DAYS_ENTRY_PAYMENT-m-app_DAYS_REGISTRATION_max,0.015366074118710455,0.00288434360649268,0.018250417725203135
f301_notdelay_DAYS_ENTRY_PAYMENT_max,0.015064778547755347,0.0031262505630716047,0.018191029110826953
f301_notdelay_INS_COUNT,0.012051822838204279,0.005946846611661715,0.017998669449865994
f201_CNT_INSTALMENT_FUTURE_diff_var,0.01385959626393492,0.004118257811104223,0.017977854075039143
f101_DAYS_LAST_DUE-m-app_DAYS_REGISTRATION,0.015215426333232902,0.002703375320960082,0.017918801654192983
f101_days_trm-m-fdue,0.015366074118710455,0.0025433912942730463,0.0179094654129835
f101_AMT_CREDIT,0.014763482976800241,0.003031264189655123,0.017794747166455363
f301_DAYS_ENTRY_PAYMENT-m-app_DAYS_LAST_PHONE_CHANGE_max,0.014612835191322688,0.0031539002575454197,0.017766735448868108
f301_AMT_PAYMENT-d-app_AMT_ANNUITY_mean,0.014010244049412474,0.0037484523789813495,0.017758696428393825
f301_notdelay_AMT_PAYMENT-d-app_AMT_ANNUITY_max,0.014763482976800241,0.002962164461644498,0.01772564743844474
f101_DAYS_TERMINATION-m-app_DAYS_LAST_PHONE_CHANGE,0.015215426333232902,0.0024924154436744756,0.017707841776907377
f101_days_trm-m-ldue1,0.01431153962036758,0.0033565585169964044,0.017668098137363985
f101_DAYS_LAST_DUE-d-app_DAYS_BIRTH,0.014612835191322688,0.0028126622772545735,0.017425497468577262
f301_delay_AMT_PAYMENT_sum,0.014763482976800241,0.0025117727650609454,0.017275255741861187
f201_CNT_INSTALMENT_FUTURE_diff_mean,0.013106357336547152,0.004154959806455136,0.01726131714300229
f301_notdelay_amt_delta_mean,0.012503766194636938,0.004749389062108202,0.017253155256745138
f301_notdelay_AMT_INSTALMENT_sum,0.01431153962036758,0.00283201807669068,0.01714355769705826
f101_DAYS_TERMINATION-m-app_DAYS_EMPLOYED,0.014612835191322688,0.0024066165052853685,0.017019451696608057
f101_AMT_GOODS_PRICE-m-app_AMT_ANNUITY-d-app_AMT_INCOME_TOTAL,0.014010244049412474,0.00290198249105567,0.016912226540468145
f401_CNT_DRAWINGS_ATM_CURRENT_mean,0.010545344983428743,0.00634240827850249,0.016887753261931232
f402_AMT_DRAWINGS_ATM_CURRENT_-1,0.012202470623681832,0.004528193638943968,0.0167306642626258
f301_delay_NUM_INSTALMENT_ratio_min,0.014462187405845135,0.0022298628255947943,0.01669205023143993
f101_DAYS_FIRST_DUE-m-app_DAYS_REGISTRATION,0.01385959626393492,0.0026635135522266084,0.01652310981616153
f402_AMT_CREDIT_LIMIT_ACTUAL_-3,0.011449231696294065,0.005043265275950108,0.016492496972244173
f301_notdelay_AMT_PAYMENT-d-app_AMT_ANNUITY_mean,0.013708948478457366,0.0027590051557203127,0.01646795363417768
f402_AMT_BALANCE-d-AMT_CREDIT_LIMIT_ACTUAL_-4,0.009792106056040976,0.006643518545931559,0.016435624601972534
f101_DAYS_LAST_DUE,0.01340765290750226,0.0029836211627097707,0.01639127407021203
f301_DPD_max,0.011599879481771618,0.004732894109155942,0.01633277359092756
f101_AMT_CREDIT-m-app_AMT_ANNUITY,0.013708948478457366,0.002539164076711419,0.016248112555168785
f101_past_payment_12m,0.014010244049412474,0.002075001092631407,0.01608524514204388
f301_delay_DAYS_ENTRY_PAYMENT_sum,0.013558300692979813,0.0023599876763786523,0.015918288369358467
f101_DAYS_LAST_DUE_1ST_VERSION-d-app_DAYS_BIRTH,0.013257005122024707,0.0026574468672582196,0.015914451989282926
f101_AMT_ANNUITY-d-app_AMT_INCOME_TOTAL_diff,0.013257005122024707,0.0026353032589358687,0.015892308380960576
f101_DAYS_TERMINATION-d-app_DAYS_ID_PUBLISH,0.013708948478457366,0.002180210476089202,0.015889158954546567
f301_notdelay_AMT_PAYMENT_mean,0.013106357336547152,0.0026593448748538674,0.01576570221140102
f301_AMT_PAYMENT-d-app_AMT_INCOME_TOTAL_mean,0.013106357336547152,0.0026279351176694827,0.015734292454216633
f301_AMT_INSTALMENT_min,0.012353118409159385,0.0033720476323944168,0.0157251660415538
f301_delay_DAYS_ENTRY_PAYMENT-m-app_DAYS_BIRTH_var,0.013257005122024707,0.002458227061615328,0.015715232183640036
f101_DAYS_FIRST_DUE-m-app_DAYS_BIRTH,0.013257005122024707,0.0024380931495714764,0.015695098271596184
f301_delay_NUM_INSTALMENT_ratio_var,0.013257005122024707,0.002418692795195431,0.01567569791722014
f301_delay_DAYS_ENTRY_PAYMENT-m-app_DAYS_BIRTH_min,0.013106357336547152,0.0025216136508423664,0.01562797098738952
f301_AMT_PAYMENT_mean,0.013106357336547152,0.002483469144404933,0.015589826480952085
f101_CNT_PAYMENT,0.011147936125338957,0.004417607303083733,0.01556554342842269
f301_delay_DAYS_ENTRY_PAYMENT-m-app_DAYS_EMPLOYED_min,0.012805061765592046,0.0026716624781687533,0.015476724243760799
f101_AMT_ANNUITY-d-app_AMT_CREDIT_diff,0.012051822838204279,0.0033368753645703192,0.015388698202774598
f101_DAYS_FIRST_DRAWING-d-app_DAYS_BIRTH,0.009641458270563423,0.005714122613976013,0.015355580884539435
f301_notdelay_AMT_PAYMENT-d-AMT_ANNUITY_mean,0.013106357336547152,0.0022313891223037976,0.01533774645885095
f401_AMT_BALANCE-d-AMT_CREDIT_LIMIT_ACTUAL_diff_min,0.011599879481771618,0.0037042829010990584,0.015304162382870676
f301_notdelay_DAYS_ENTRY_PAYMENT-m-app_DAYS_BIRTH_max,0.012202470623681832,0.003073860220470119,0.015276330844151951
f301_AMT_PAYMENT_sum,0.011750527267249171,0.0034914854064129293,0.015242012673662101
f301_delay_AMT_PAYMENT-d-app_AMT_INCOME_TOTAL_min,0.012805061765592046,0.002393995137354822,0.015199056902946867
f301_notdelay_NUM_INSTALMENT_ratio_max,0.007984332630310334,0.0071507254472805825,0.015135058077590916
f301_delay_DAYS_ENTRY_PAYMENT-m-app_DAYS_EMPLOYED_mean,0.012051822838204279,0.0028836204905580585,0.014935443328762336
f301_DAYS_ENTRY_PAYMENT-m-app_DAYS_LAST_PHONE_CHANGE_min,0.012202470623681832,0.002700886656117361,0.014903357279799193
f101_DAYS_TERMINATION-d-app_DAYS_BIRTH,0.012654413980114493,0.002246920601051936,0.01490133458116643
f301_notdelay_DAYS_ENTRY_PAYMENT-m-app_DAYS_ID_PUBLISH_max,0.012051822838204279,0.0028229001163744406,0.01487472295457872
f101_AMT_CREDIT-d-app_AMT_ANNUITY_pctchange,0.012805061765592046,0.002022394994387063,0.014827456759979108
f301_AMT_PAYMENT-d-app_AMT_ANNUITY_var,0.012654413980114493,0.0021249232655216397,0.014779337245636133
f301_DAYS_ENTRY_PAYMENT-m-app_DAYS_ID_PUBLISH_max,0.012202470623681832,0.002553902890261626,0.014756373513943457
f301_AMT_PAYMENT-d-app_AMT_INCOME_TOTAL_var,0.012654413980114493,0.0021017919940925275,0.01475620597420702
f301_delay_DAYS_ENTRY_PAYMENT-m-app_DAYS_BIRTH_max,0.012503766194636938,0.002203329988226557,0.014707096182863495
f402_AMT_BALANCE-d-AMT_CREDIT_LIMIT_ACTUAL_-3,0.009038867128653209,0.005567994842601787,0.014606861971254995
f301_notdelay_DBD_max,0.012202470623681832,0.0024008326793768754,0.014603303303058708
f101_days_ldue-m-fdue,0.011901175052726726,0.002445534359627374,0.0143467094123541
f101_AMT_APPLICATION-d-app_AMT_GOODS_PRICE,0.011901175052726726,0.002441197030324713,0.01434237208305144
