SK_ID_PREV,SK_ID_CURR,MONTHS_BALANCE,CNT_INSTALMENT,CNT_INSTALMENT_FUTURE,NAME_CONTRACT_STATUS,SK_DPD,SK_DPD_DEF,CNT_INSTALMENT_diff,CNT_INSTALMENT_ratio,SK_DPD_diff,SK_DPD_diff_over0,SK_DPD_diff_over5,SK_DPD_diff_over10,SK_DPD_diff_over15,SK_DPD_diff_over20,SK_DPD_diff_over25
2251207,100229,-2,6.0,4.0,Active,0,0,2.0,0.6666666666666666,0,0,0,0,0,0,0
2251207,100229,-3,6.0,5.0,Active,0,0,1.0,0.8333333333333334,0,0,0,0,0,0,0
2251207,100229,-4,6.0,6.0,Active,0,0,0.0,1.0,0,0,0,0,0,0,0
2200725,100229,-66,5.0,1.0,Active,0,0,4.0,0.2,0,0,0,0,0,0,0
2200725,100229,-67,5.0,2.0,Active,0,0,3.0,0.4,0,0,0,0,0,0,0
2200725,100229,-68,5.0,3.0,Active,0,0,2.0,0.6,0,0,0,0,0,0,0
2200725,100229,-69,5.0,4.0,Active,0,0,1.0,0.8,0,0,0,0,0,0,0
2200725,100229,-70,5.0,5.0,Active,0,0,0.0,1.0,0,0,0,0,0,0,0
2314053,100229,-93,12.0,0.0,Completed,21,0,12.0,0.0,21,1,1,1,1,1,0
2314053,100229,-94,12.0,1.0,Active,0,0,11.0,0.08333333333333333,0,0,0,0,0,0,0
2314053,100229,-95,12.0,2.0,Active,0,0,10.0,0.16666666666666666,0,0,0,0,0,0,0
2314053,100229,-96,12.0,3.0,Active,0,0,9.0,0.25,0,0,0,0,0,0,0
1437235,122374,-7,9.0,0.0,Completed,0,0,9.0,0.0,0,0,0,0,0,0,0
1437235,122374,-8,10.0,2.0,Active,0,0,8.0,0.2,0,0,0,0,0,0,0
1437235,122374,-9,10.0,3.0,Active,0,0,7.0,0.3,0,0,0,0,0,0,0
1437235,122374,-10,10.0,4.0,Active,0,0,6.0,0.4,0,0,0,0,0,0,0
1437235,122374,-11,10.0,5.0,Active,0,0,5.0,0.5,0,0,0,0,0,0,0
1437235,122374,-12,10.0,6.0,Active,0,0,4.0,0.6,0,0,0,0,0,0,0
1437235,122374,-13,10.0,8.0,Active,0,0,2.0,0.8,0,0,0,0,0,0,0
1437235,122374,-14,10.0,9.0,Active,0,0,1.0,0.9,0,0,0,0,0,0,0
1437235,122374,-15,10.0,10.0,Active,0,0,0.0,1.0,0,0,0,0,0,0,0
1132348,126059,-4,24.0,0.0,Completed,0,0,24.0,0.0,0,0,0,0,0,0,0
1132348,126059,-5,24.0,1.0,Active,0,0,23.0,0.041666666666666664,0,0,0,0,0,0,0
1132348,126059,-6,24.0,2.0,Active,0,0,22.0,0.08333333333333333,0,0,0,0,0,0,0
1132348,126059,-7,24.0,3.0,Active,0,0,21.0,0.125,0,0,0,0,0,0,0
1132348,126059,-8,24.0,4.0,Active,0,0,20.0,0.16666666666666666,0,0,0,0,0,0,0
1132348,126059,-9,24.0,5.0,Active,0,0,19.0,0.20833333333333334,0,0,0,0,0,0,0
1132348,126059,-10,24.0,6.0,Active,0,0,18.0,0.25,0,0,0,0,0,0,0
1592531,126059,-11,10.0,0.0,Completed,0,0,10.0,0.0,0,0,0,0,0,0,0
1132348,126059,-11,24.0,7.0,Active,0,0,17.0,0.2916666666666667,0,0,0,0,0,0,0
1132348,126059,-12,24.0,8.0,Active,0,0,16.0,0.3333333333333333,0,0,0,0,0,0,0
1592531,126059,-12,10.0,2.0,Active,0,0,8.0,0.2,0,0,0,0,0,0,0
1132348,126059,-13,24.0,9.0,Active,0,0,15.0,0.375,0,0,0,0,0,0,0
1592531,126059,-13,10.0,3.0,Active,0,0,7.0,0.3,0,0,0,0,0,0,0
1132348,126059,-14,24.0,10.0,Active,0,0,14.0,0.4166666666666667,0,0,0,0,0,0,0
1592531,126059,-14,10.0,4.0,Active,0,0,6.0,0.4,0,0,0,0,0,0,0
1132348,126059,-15,24.0,11.0,Active,0,0,13.0,0.4583333333333333,0,0,0,0,0,0,0
1592531,126059,-15,10.0,5.0,Active,0,0,5.0,0.5,0,0,0,0,0,0,0
1592531,126059,-16,10.0,6.0,Active,0,0,4.0,0.6,0,0,0,0,0,0,0
1132348,126059,-16,24.0,12.0,Active,0,0,12.0,0.5,0,0,0,0,0,0,0
1592531,126059,-17,10.0,7.0,Active,0,0,3.0,0.7,0,0,0,0,0,0,0
1132348,126059,-17,24.0,13.0,Active,0,0,11.0,0.5416666666666666,0,0,0,0,0,0,0
1592531,126059,-18,10.0,8.0,Active,0,0,2.0,0.8,0,0,0,0,0,0,0
1132348,126059,-18,24.0,14.0,Active,0,0,10.0,0.5833333333333334,0,0,0,0,0,0,0
1132348,126059,-19,24.0,15.0,Active,0,0,9.0,0.625,0,0,0,0,0,0,0
1592531,126059,-19,10.0,9.0,Active,0,0,1.0,0.9,0,0,0,0,0,0,0
1592531,126059,-20,10.0,10.0,Active,0,0,0.0,1.0,0,0,0,0,0,0,0
1132348,126059,-20,24.0,16.0,Active,0,0,8.0,0.6666666666666666,0,0,0,0,0,0,0
1132348,126059,-21,24.0,17.0,Active,0,0,7.0,0.7083333333333334,0,0,0,0,0,0,0
1132348,126059,-22,24.0,18.0,Active,0,0,6.0,0.75,0,0,0,0,0,0,0
1132348,126059,-23,24.0,19.0,Active,0,0,5.0,0.7916666666666666,0,0,0,0,0,0,0
1132348,126059,-24,24.0,20.0,Active,0,0,4.0,0.8333333333333334,0,0,0,0,0,0,0
1132348,126059,-25,24.0,21.0,Active,0,0,3.0,0.875,0,0,0,0,0,0,0
1132348,126059,-26,24.0,22.0,Active,0,0,2.0,0.9166666666666666,0,0,0,0,0,0,0
1132348,126059,-27,24.0,23.0,Active,0,0,1.0,0.9583333333333334,0,0,0,0,0,0,0
1132348,126059,-28,24.0,24.0,Active,0,0,0.0,1.0,0,0,0,0,0,0,0
2428445,126059,-71,10.0,0.0,Completed,0,0,10.0,0.0,0,0,0,0,0,0,0
2428445,126059,-72,10.0,1.0,Active,0,0,9.0,0.1,0,0,0,0,0,0,0
2428445,126059,-73,10.0,2.0,Active,0,0,8.0,0.2,0,0,0,0,0,0,0
2428445,126059,-74,10.0,3.0,Active,0,0,7.0,0.3,0,0,0,0,0,0,0
2428445,126059,-75,10.0,4.0,Active,0,0,6.0,0.4,0,0,0,0,0,0,0
