SK_ID_CURR,SK_ID_BUREAU,CREDIT_ACTIVE,CREDIT_CURRENCY,DAYS_CREDIT,CREDIT_DAY_OVERDUE,DAYS_CREDIT_ENDDATE,DAYS_ENDDATE_FACT,CNT_CREDIT_PROLONG,AMT_CREDIT_MAX_OVERDUE,AMT_CREDIT_SUM,AMT_CREDIT_SUM_DEBT,,,AMT_CREDIT_SUM_LIMIT,AMT_CREDIT_SUM_OVERDUE,CREDIT_TYPE,DAYS_CREDIT_UPDATE,AMT_ANNUITY,,days_end-cre,days_fact-cre,days_fact-end,days_update-cre,days_update-end,days_update-fact,ant_cre-debt,ant_cre-debt-by-limit,ant_debt-p-limit,ant_cre-by-debt-p-limit,AMT_CREDIT_SUM-by-days_end-cre,AMT_CREDIT_SUM-by-days_fact-cre,AMT_CREDIT_SUM-by-days_fact-end,AMT_CREDIT_SUM-by-days_update-cre,AMT_CREDIT_SUM-by-days_update-end
102086,5498643,Closed,currency 1,-145,0,-22,-22,0,12553.83,79248.69,0,,,0,0,Consumer credit,-22,,,123,123,0,123,0,0,79248.69,inf,0,inf,644.2982927,644.2982927,inf,644.2982927,inf
102086,5498642,Closed,currency 1,-396,0,-215,-302,0,0,44955,0,,,0,0,Consumer credit,-300,,,181,94,-87,96,-85,2,44955,inf,0,inf,248.3701657,478.2446809,-516.7241379,468.28125,-528.8823529
102086,5498641,Closed,currency 1,-851,0,-547,-578,0,0,77368.5,0,,,0,0,Consumer credit,-574,,,304,273,-31,277,-27,4,77368.5,inf,0,inf,254.5016447,283.4010989,-2495.758065,279.3086643,-2865.5
102086,5498624,Active,currency 1,-944,0,897,,0,,549000,93757.5,TRUE,455242.5,0,0,Credit card,-6,,,1841,,,938,-903,,455242.5,inf,93757.5,5.855531557,298.2074959,,,585.2878465,-607.9734219
102086,5498631,Closed,currency 1,-1054,0,-1034,-1034,0,,90000,,,,,0,Consumer credit,-1034,,,20,20,0,20,0,0,,,,,4500,4500,inf,4500,inf
102086,5498640,Closed,currency 1,-1096,0,4445,-449,0,0,7920000,,,,,0,Mortgage,-449,,,5541,647,-4894,647,-4894,0,,,,,1429.344884,12241.11283,-1618.308132,12241.11283,-1618.308132
102086,5498632,Closed,currency 1,-1102,0,-1034,-1034,0,,225000,,,,,0,Consumer credit,-1034,,,68,68,0,68,0,0,,,,,3308.823529,3308.823529,inf,3308.823529,inf
102086,5498630,Closed,currency 1,-1118,0,-1103,-1103,0,,90000,,,,,0,Consumer credit,-1102,,,15,15,0,16,1,1,,,,,6000,6000,inf,5625,90000
102086,5498629,Closed,currency 1,-1490,0,-1194,-1194,0,,585000,,,,,0,Consumer credit,-1194,,,296,296,0,296,0,0,,,,,1976.351351,1976.351351,inf,1976.351351,inf
102086,5498628,Closed,currency 1,-1715,0,-1310,-1310,0,,450000,,,,,0,Consumer credit,-1310,,,405,405,0,405,0,0,,,,,1111.111111,1111.111111,inf,1111.111111,inf
