SK_ID_CURR,SK_ID_BUREAU,CREDIT_ACTIVE,CREDIT_CURRENCY,DAYS_CREDIT,CREDIT_DAY_OVERDUE,DAYS_CREDIT_ENDDATE,DAYS_ENDDATE_FACT,AMT_CREDIT_MAX_OVERDUE,CNT_CREDIT_PROLONG,AMT_CREDIT_SUM,AMT_CREDIT_SUM_DEBT,AMT_CREDIT_SUM_LIMIT,AMT_CREDIT_SUM_OVERDUE,CREDIT_TYPE,DAYS_CREDIT_UPDATE,AMT_ANNUITY,app_AMT_INCOME_TOTAL,app_AMT_CREDIT,app_AMT_ANNUITY,app_AMT_GOODS_PRICE,credit-dby-income,AMT_CREDIT_SUM_DEBT-dby-income,AMT_CREDIT_SUM_LIMIT-dby-income,AMT_CREDIT_SUM_OVERDUE-dby-income,credit-dby-annuity,AMT_CREDIT_SUM_DEBT-dby-annuity,AMT_CREDIT_SUM_LIMIT-dby-annuity,AMT_CREDIT_SUM_OVERDUE-dby-annuity,DAYS_CREDIT_ENDDATE-m-DAYS_CREDIT,DAYS_ENDDATE_FACT-m-DAYS_CREDIT,DAYS_ENDDATE_FACT-m-DAYS_CREDIT_ENDDATE,DAYS_CREDIT_UPDATE-m-DAYS_CREDIT,DAYS_CREDIT_UPDATE-m-DAYS_CREDIT_ENDDATE,DAYS_CREDIT_UPDATE-m-DAYS_ENDDATE_FACT,AMT_CREDIT_SUM-m-AMT_CREDIT_SUM_DEBT,AMT_CREDIT_SUM_DEBT-dby-AMT_CREDIT_SUM,AMT_CREDIT_SUM-m-AMT_CREDIT_SUM_DEBT-dby-AMT_CREDIT_SUM_LIMIT,AMT_CREDIT_SUM_DEBT-dby-AMT_CREDIT_SUM_LIMIT,AMT_CREDIT_SUM_DEBT-p-AMT_CREDIT_SUM_LIMIT,AMT_CREDIT_SUM-dby-debt-p-AMT_CREDIT_SUM_DEBT-p-AMT_CREDIT_SUM_LIMIT
100229,5309713,Active,currency 1,-110,0,1716.0,,,0,981000.0,953550.0,0.0,0.0,Consumer credit,-7,,157500.0,544491.0,16047.0,454500.0,6.228571428571429,6.054285714285714,0.0,0.0,61.132922041503086,59.42232192933258,0.0,0.0,1826.0,,,103,-1723.0,,27450.0,0.9720183486238532,inf,inf,953550.0,1.028787163756489
100229,5309712,Closed,currency 1,-401,0,-279.0,-278.0,,0,19219.5,0.0,0.0,0.0,Consumer credit,-277,,157500.0,544491.0,16047.0,454500.0,0.12202857142857143,0.0,0.0,0.0,1.1977005047672462,0.0,0.0,0.0,122.0,123.0,1.0,124,2.0,1.0,19219.5,0.0,inf,,0.0,inf
100229,5309715,Closed,currency 1,-2346,0,-2038.0,-2031.0,0.0,0,58590.0,,,0.0,Consumer credit,-2029,,157500.0,544491.0,16047.0,454500.0,0.372,,,0.0,3.651149747616377,,,0.0,308.0,315.0,7.0,317,9.0,2.0,,,,,,
100229,5309714,Active,currency 1,-2416,0,-2028.0,,,0,33655.5,,,0.0,Consumer credit,-2016,,157500.0,544491.0,16047.0,454500.0,0.21368571428571428,,,0.0,2.097307908020191,,,0.0,388.0,,,400,12.0,,,,,,,
112976,5556731,Active,currency 1,-38,0,510.0,,,0,585000.0,585387.0,0.0,0.0,Consumer credit,-21,,323968.5,450000.0,27193.5,450000.0,1.8057311127470725,1.8069256733293515,0.0,0.0,21.512493794472945,21.526725136521595,0.0,0.0,548.0,,,17,-531.0,,-387.0,1.0006615384615385,-inf,inf,585387.0,0.9993388988822779
112976,5556730,Active,currency 1,-1034,0,236.0,,,0,180000.0,0.0,0.0,0.0,Credit card,-88,,323968.5,450000.0,27193.5,450000.0,0.5556095731529455,0.0,0.0,0.0,6.619228859837829,0.0,0.0,0.0,1270.0,,,946,-324.0,,180000.0,0.0,inf,,0.0,inf
125830,6649779,Active,currency 1,-125,0,1701.0,,,0,1435500.0,1390495.5,0.0,0.0,Consumer credit,-7,,315000.0,2250000.0,62005.5,2250000.0,4.557142857142857,4.414271428571428,0.0,0.0,23.151172073445096,22.4253574279701,0.0,0.0,1826.0,,,118,-1708.0,,45004.5,0.9686489028213167,inf,inf,1390495.5,1.0323658005365712
125830,6649778,Active,currency 1,-1293,0,-217.0,,,0,45000.0,0.0,0.0,0.0,Credit card,-7,,315000.0,2250000.0,62005.5,2250000.0,0.14285714285714285,0.0,0.0,0.0,0.7257420712678714,0.0,0.0,0.0,1076.0,,,1286,210.0,,45000.0,0.0,inf,,0.0,inf
125830,6649777,Closed,currency 1,-1337,0,489.0,-823.0,,0,765000.0,0.0,0.0,0.0,Consumer credit,-455,,315000.0,2250000.0,62005.5,2250000.0,2.4285714285714284,0.0,0.0,0.0,12.337615211553814,0.0,0.0,0.0,1826.0,514.0,-1312.0,882,-944.0,368.0,765000.0,0.0,inf,,0.0,inf
126059,5335842,Active,currency 1,-126,0,-1.0,,,0,274500.0,277308.0,0.0,0.0,Credit card,-2,,315000.0,450000.0,21888.0,450000.0,0.8714285714285714,0.8803428571428571,0.0,0.0,12.541118421052632,12.669407894736842,0.0,0.0,125.0,,,124,-1.0,,-2808.0,1.0102295081967214,-inf,inf,277308.0,0.9898740750357004
126059,5335845,Active,currency 1,-162,0,937.0,,,0,67500.0,63252.0,,0.0,Credit card,-10,,315000.0,450000.0,21888.0,450000.0,0.21428571428571427,0.2008,,0.0,3.0838815789473686,2.8898026315789473,,0.0,1099.0,,,152,-947.0,,4248.0,0.9370666666666667,,,,
126059,5335846,Active,currency 1,-240,0,1586.0,,,0,3526582.5,3248878.5,,0.0,Car loan,-9,,315000.0,450000.0,21888.0,450000.0,11.1955,10.3139,,0.0,161.1194490131579,148.4319490131579,,0.0,1826.0,,,231,-1595.0,,277704.0,0.9212540752981109,,,,
126059,5335848,Active,currency 1,-338,0,396.0,,0.0,0,199831.5,120359.655,0.0,0.0,Consumer credit,-8,1008.0,315000.0,450000.0,21888.0,450000.0,0.6343857142857143,0.3820941428571428,0.0,0.0,9.129728618421053,5.498887746710526,0.0,0.0,734.0,,,330,-404.0,,79471.845,0.6023057175670502,inf,inf,120359.655,1.6602864140811968
126059,5335847,Closed,currency 1,-618,0,-315.0,-315.0,7594.875,0,76410.0,0.0,0.0,0.0,Consumer credit,-312,0.0,315000.0,450000.0,21888.0,450000.0,0.24257142857142858,0.0,0.0,0.0,3.4909539473684212,0.0,0.0,0.0,303.0,303.0,0.0,306,3.0,3.0,76410.0,0.0,inf,,0.0,inf
126059,5335844,Closed,currency 1,-968,0,-238.0,-238.0,,0,900000.0,0.0,,0.0,Consumer credit,-228,8176.5,315000.0,450000.0,21888.0,450000.0,2.857142857142857,0.0,,0.0,41.11842105263158,0.0,,0.0,730.0,730.0,0.0,740,10.0,10.0,900000.0,0.0,,,,
126059,5335840,Active,currency 1,-1137,0,664.0,,0.0,0,148500.0,0.0,22500.0,0.0,Credit card,-681,,315000.0,450000.0,21888.0,450000.0,0.4714285714285714,0.0,0.07142857142857142,0.0,6.784539473684211,0.0,1.0279605263157894,0.0,1801.0,,,456,-1345.0,,148500.0,0.0,6.6,0.0,22500.0,6.6
126059,5335843,Active,currency 1,-1245,0,5.0,,,0,360000.0,366795.0,0.0,0.0,Credit card,-2,,315000.0,450000.0,21888.0,450000.0,1.1428571428571428,1.1644285714285714,0.0,0.0,16.44736842105263,16.7578125,0.0,0.0,1250.0,,,1243,-7.0,,-6795.0,1.018875,-inf,inf,366795.0,0.981474665685192
126059,5335839,Closed,currency 1,-1255,0,-1041.0,-1067.0,5715.0,0,29210.22,0.0,0.0,0.0,Consumer credit,-1039,8176.5,315000.0,450000.0,21888.0,450000.0,0.09273085714285714,0.0,0.0,0.0,1.33453125,0.0,0.0,0.0,214.0,188.0,-26.0,216,2.0,28.0,29210.22,0.0,inf,,0.0,inf
126059,5335841,Closed,currency 1,-1305,0,-351.0,-360.0,,0,0.0,0.0,0.0,0.0,Credit card,-354,,315000.0,450000.0,21888.0,450000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,954.0,945.0,-9.0,951,-3.0,6.0,0.0,,,,0.0,
126059,5335838,Closed,currency 1,-1429,0,-310.0,-860.0,14258.745,0,135000.0,-83.745,247583.745,0.0,Credit card,-856,0.0,315000.0,450000.0,21888.0,450000.0,0.42857142857142855,-0.0002658571428571429,0.7859801428571428,0.0,6.167763157894737,-0.0038260690789473687,11.311391858552632,0.0,1119.0,569.0,-550.0,573,-546.0,4.0,135083.745,-0.0006203333333333334,0.5456082950841542,-0.0003382491851393556,247500.0,0.5454545454545454
126059,5335836,Closed,currency 1,-1594,0,-1199.0,-1227.0,5895.0,0,53221.32,0.0,0.0,0.0,Consumer credit,-1227,,315000.0,450000.0,21888.0,450000.0,0.16895657142857143,0.0,0.0,0.0,2.431529605263158,0.0,0.0,0.0,395.0,367.0,-28.0,367,-28.0,0.0,53221.32,0.0,inf,,0.0,inf
126059,5335837,Active,currency 1,-1594,0,232.0,,0.0,0,4500.0,0.0,0.0,0.0,Credit card,-681,1008.0,315000.0,450000.0,21888.0,450000.0,0.014285714285714285,0.0,0.0,0.0,0.20559210526315788,0.0,0.0,0.0,1826.0,,,913,-913.0,,4500.0,0.0,inf,,0.0,inf
