SK_ID_CURR,SK_ID_BUREAU,CREDIT_ACTIVE,CREDIT_CURRENCY,DAYS_CREDIT,CREDIT_DAY_OVERDUE,DAYS_CREDIT_ENDDATE,DAYS_ENDDATE_FACT,AMT_CREDIT_MAX_OVERDUE,CNT_CREDIT_PROLONG,AMT_CREDIT_SUM,AMT_CREDIT_SUM_DEBT,AMT_CREDIT_SUM_LIMIT,AMT_CREDIT_SUM_OVERDUE,CREDIT_TYPE,DAYS_CREDIT_UPDATE,AMT_ANNUITY,DAYS_CREDIT_ENDDATE-m-DAYS_CREDIT,DAYS_ENDDATE_FACT-m-DAYS_CREDIT,DAYS_ENDDATE_FACT-m-DAYS_CREDIT_ENDDATE,DAYS_CREDIT_UPDATE-m-DAYS_CREDIT,DAYS_CREDIT_UPDATE-m-DAYS_CREDIT_ENDDATE,DAYS_CREDIT_UPDATE-m-DAYS_ENDDATE_FACT,AMT_CREDIT_SUM-m-AMT_CREDIT_SUM_DEBT,AMT_CREDIT_SUM_DEBT-dby-AMT_CREDIT_SUM,AMT_CREDIT_SUM-m-AMT_CREDIT_SUM_DEBT-dby-AMT_CREDIT_SUM_LIMIT,AMT_CREDIT_SUM_DEBT-dby-AMT_CREDIT_SUM_LIMIT,AMT_CREDIT_SUM_DEBT-p-AMT_CREDIT_SUM_LIMIT,AMT_CREDIT_SUM-dby-debt-p-AMT_CREDIT_SUM_DEBT-p-AMT_CREDIT_SUM_LIMIT
106437,6743378,Active,currency 1,-308,0,1518.0,,69677.73,0,5400000.0,4919159.88,0.0,0.0,Consumer credit,-28,0.0,1826.0,,,280,-1546.0,,480840.1200000001,0.9109555333333333,inf,inf,4919159.88,1.097748422846545
106437,6743369,Active,currency 1,-328,0,782.0,,,0,229500.0,230809.5,0.0,0.0,Credit card,-13,0.0,1110.0,,,315,-795.0,,-1309.5,1.0057058823529412,-inf,inf,230809.5,0.9943264900274902
106437,6743374,Closed,currency 1,-442,0,1384.0,-301.0,,0,1350000.0,,,0.0,Consumer credit,-297,0.0,1826.0,141.0,-1685.0,145,-1681.0,4.0,,,,,,
106437,6743376,Active,currency 1,-442,0,,,,0,225000.0,,,0.0,Credit card,-10,,,,,432,,,,,,,,
106437,6743362,Closed,currency 1,-546,0,1280.0,-303.0,,0,1264500.0,0.0,0.0,0.0,Consumer credit,-278,22540.5,1826.0,243.0,-1583.0,268,-1558.0,25.0,1264500.0,0.0,inf,,0.0,inf
106437,6743364,Closed,currency 1,-755,0,1801.0,-295.0,,0,540000.0,0.0,0.0,0.0,Consumer credit,-292,,2556.0,460.0,-2096.0,463,-2093.0,3.0,540000.0,0.0,inf,,0.0,inf
106437,6743372,Closed,currency 1,-777,0,-777.0,-777.0,,0,1350000.0,,,0.0,Consumer credit,-777,22950.0,0.0,0.0,0.0,0,0.0,0.0,,,,,,
106437,6743375,Active,currency 1,-777,0,1042.0,,,0,1350000.0,0.0,,0.0,Consumer credit,-21,0.0,1819.0,,,756,-1063.0,,1350000.0,0.0,,,,
106437,6744343,Closed,currency 1,-777,0,-748.0,-748.0,,0,1350000.0,,,0.0,Consumer credit,-748,,29.0,29.0,0.0,29,0.0,0.0,,,,,,
106437,6743363,Closed,currency 1,-806,0,657.0,-775.0,,0,1333161.0,0.0,0.0,0.0,Consumer credit,-506,22801.5,1463.0,31.0,-1432.0,300,-1163.0,269.0,1333161.0,0.0,inf,,0.0,inf
106437,6743366,Closed,currency 1,-1191,0,636.0,-1008.0,,0,1350000.0,0.0,0.0,0.0,Consumer credit,-805,,1827.0,183.0,-1644.0,386,-1441.0,203.0,1350000.0,0.0,inf,,0.0,inf
106437,6743367,Closed,currency 1,-1229,0,-924.0,-1173.0,,0,72441.0,0.0,0.0,0.0,Consumer credit,-1172,,305.0,56.0,-249.0,57,-248.0,1.0,72441.0,0.0,inf,,0.0,inf
106437,6743377,Active,currency 1,-1411,0,416.0,,,0,958455.0,314608.5,,0.0,Consumer credit,-10,,1827.0,,,1401,-426.0,,643846.5,0.32824545753321754,,,,
106437,6743368,Closed,currency 1,-1623,0,-253.0,-1411.0,,0,675000.0,0.0,0.0,0.0,Consumer credit,-1066,0.0,1370.0,212.0,-1158.0,557,-813.0,345.0,675000.0,0.0,inf,,0.0,inf
106437,6743373,Closed,currency 1,-1803,0,-709.0,-981.0,,0,0.0,0.0,,0.0,Credit card,-552,,1094.0,822.0,-272.0,1251,157.0,429.0,0.0,,,,,
106437,6743365,Closed,currency 1,-1833,0,-709.0,-981.0,,0,0.0,0.0,0.0,0.0,Credit card,-539,13860.0,1124.0,852.0,-272.0,1294,170.0,442.0,0.0,,,,0.0,
106437,6743361,Closed,currency 1,-1834,0,-736.0,-1618.0,,0,485266.5,0.0,0.0,0.0,Consumer credit,-1066,15974.235,1098.0,216.0,-882.0,768,-330.0,552.0,485266.5,0.0,inf,,0.0,inf
