SK_ID_PREV,SK_ID_CURR,NUM_INSTALMENT_VERSION,NUM_INSTALMENT_NUMBER,DAYS_INSTALMENT,DAYS_ENTRY_PAYMENT,AMT_INSTALMENT,AMT_PAYMENT,days_delayed_payment,amt_ratio,amt_delta,days_weighted_delay,days_weighted_delay_tsw3
1896316,101477,0.0,23,-12.0,-12.0,369.045,369.045,0.0,1.0,0.0,0.0,0.0
1896316,101477,0.0,21,-27.0,-27.0,261.765,261.765,0.0,1.0,0.0,0.0,0.0
1896316,101477,0.0,20,-28.0,-27.0,17738.235,17738.235,-1.0,1.0,0.0,-1.0,-0.9919
1053844,101477,1.0,12,-36.0,-46.0,117127.08,117127.08,10.0,1.0,0.0,10.0,9.862
1896316,101477,0.0,18,-58.0,-72.0,16865.865,16865.865,14.0,1.0,0.0,14.0,13.697600000000001
1053844,101477,1.0,11,-66.0,-72.0,117291.24,117291.24,6.0,1.0,0.0,6.0,5.8704
1896316,101477,0.0,19,-72.0,-72.0,9.135,9.135,0.0,1.0,0.0,0.0,0.0
1896316,101477,0.0,16,-89.0,-90.0,17003.205,17003.205,1.0,1.0,0.0,1.0,0.973
1896316,101477,0.0,17,-90.0,-90.0,996.795,996.795,0.0,1.0,0.0,0.0,0.0
1053844,101477,1.0,10,-96.0,-130.0,117291.24,731.835,34.0,0.006239468522968979,116559.405,0.21214192978094526,0.20386839451948838
1053844,101477,1.0,10,-96.0,-94.0,117291.24,116559.405,-2.0,0.9937605314770309,731.8350000000064,-1.9875210629540618,-1.9314729689787573
1896316,101477,0.0,14,-120.0,-130.0,17357.49,17357.49,10.0,1.0,0.0,10.0,9.61
1053844,101477,1.0,9,-126.0,-130.0,117291.24,117291.24,4.0,1.0,0.0,4.0,3.844
1896316,101477,0.0,15,-130.0,-130.0,5142.51,5142.51,0.0,1.0,0.0,0.0,0.0
1896316,101477,0.0,12,-150.0,-161.0,17717.355,17717.355,11.0,1.0,0.0,11.0,10.4687
1053844,101477,1.0,8,-156.0,-161.0,117291.24,117291.24,5.0,1.0,0.0,5.0,4.7585
1896316,101477,0.0,13,-161.0,-161.0,4782.645,4782.645,0.0,1.0,0.0,0.0,0.0
1896316,101477,0.0,10,-181.0,-189.0,14705.91,14705.91,8.0,1.0,0.0,8.0,7.5464
