SK_ID_PREV,SK_ID_CURR,NAME_CONTRACT_TYPE,AMT_ANNUITY,AMT_APPLICATION,AMT_CREDIT,AMT_DOWN_PAYMENT,AMT_GOODS_PRICE,WEEKDAY_APPR_PROCESS_START,HOUR_APPR_PROCESS_START,FLAG_LAST_APPL_PER_CONTRACT,NFLAG_LAST_APPL_IN_DAY,RATE_DOWN_PAYMENT,RATE_INTEREST_PRIMARY,RATE_INTEREST_PRIVILEGED,NAME_CASH_LOAN_PURPOSE,NAME_CONTRACT_STATUS,DAYS_DECISION,NAME_PAYMENT_TYPE,CODE_REJECT_REASON,NAME_TYPE_SUITE,NAME_CLIENT_TYPE,NAME_GOODS_CATEGORY,NAME_PORTFOLIO,NAME_PRODUCT_TYPE,CHANNEL_TYPE,SELLERPLACE_AREA,NAME_SELLER_INDUSTRY,CNT_PAYMENT,NAME_YIELD_GROUP,PRODUCT_COMBINATION,DAYS_FIRST_DRAWING,DAYS_FIRST_DUE,DAYS_LAST_DUE_1ST_VERSION,DAYS_LAST_DUE,DAYS_TERMINATION,NFLAG_INSURED_ON_APPROVAL,app_AMT_INCOME_TOTAL,app_AMT_CREDIT,app_AMT_ANNUITY,app_AMT_GOODS_PRICE,days_fdue-m-fdrw,days_ldue1-m-fdrw,days_ldue-m-fdrw,days_trm-m-fdrw,days_ldue1-m-fdue,days_ldue-m-fdue,days_trm-m-fdue,days_ldue-m-ldue1,days_trm-m-ldue1,days_trm-m-ldue,total_debt,AMT_CREDIT-dby-total_debt,AMT_GOODS_PRICE-dby-total_debt,AMT_GOODS_PRICE-dby-AMT_CREDIT,AMT_ANNUITY-dby-app_AMT_INCOME_TOTAL,AMT_APPLICATION-dby-app_AMT_INCOME_TOTAL,AMT_CREDIT-dby-app_AMT_INCOME_TOTAL,AMT_GOODS_PRICE-dby-app_AMT_INCOME_TOTAL,AMT_ANNUITY-m-app_AMT_INCOME_TOTAL,AMT_APPLICATION-m-app_AMT_INCOME_TOTAL,AMT_CREDIT-m-app_AMT_INCOME_TOTAL,AMT_GOODS_PRICE-m-app_AMT_INCOME_TOTAL,AMT_ANNUITY-dby-app_AMT_CREDIT,AMT_APPLICATION-dby-app_AMT_CREDIT,AMT_CREDIT-dby-app_AMT_CREDIT,AMT_GOODS_PRICE-dby-app_AMT_CREDIT,AMT_ANNUITY-m-app_AMT_CREDIT,AMT_APPLICATION-m-app_AMT_CREDIT,AMT_CREDIT-m-app_AMT_CREDIT,AMT_GOODS_PRICE-m-app_AMT_CREDIT,AMT_ANNUITY-m-app_AMT_CREDIT-dby-app_AMT_INCOME_TOTAL,AMT_APPLICATION-m-app_AMT_CREDIT-dby-app_AMT_INCOME_TOTAL,AMT_CREDIT-m-app_AMT_CREDIT-dby-app_AMT_INCOME_TOTAL,AMT_GOODS_PRICE-m-app_AMT_CREDIT-dby-app_AMT_INCOME_TOTAL,AMT_ANNUITY-dby-app_AMT_ANNUITY,AMT_APPLICATION-dby-app_AMT_ANNUITY,AMT_CREDIT-dby-app_AMT_ANNUITY,AMT_GOODS_PRICE-dby-app_AMT_ANNUITY,AMT_ANNUITY-m-app_AMT_ANNUITY,AMT_APPLICATION-m-app_AMT_ANNUITY,AMT_CREDIT-m-app_AMT_ANNUITY,AMT_GOODS_PRICE-m-app_AMT_ANNUITY,AMT_ANNUITY-m-app_AMT_ANNUITY-dby-app_AMT_INCOME_TOTAL,AMT_APPLICATION-m-app_AMT_ANNUITY-dby-app_AMT_INCOME_TOTAL,AMT_CREDIT-m-app_AMT_ANNUITY-dby-app_AMT_INCOME_TOTAL,AMT_GOODS_PRICE-m-app_AMT_ANNUITY-dby-app_AMT_INCOME_TOTAL,AMT_ANNUITY-dby-app_AMT_GOODS_PRICE,AMT_APPLICATION-dby-app_AMT_GOODS_PRICE,AMT_CREDIT-dby-app_AMT_GOODS_PRICE,AMT_GOODS_PRICE-dby-app_AMT_GOODS_PRICE,AMT_ANNUITY-m-app_AMT_GOODS_PRICE,AMT_APPLICATION-m-app_AMT_GOODS_PRICE,AMT_CREDIT-m-app_AMT_GOODS_PRICE,AMT_GOODS_PRICE-m-app_AMT_GOODS_PRICE,AMT_ANNUITY-m-app_AMT_GOODS_PRICE-dby-app_AMT_INCOME_TOTAL,AMT_APPLICATION-m-app_AMT_GOODS_PRICE-dby-app_AMT_INCOME_TOTAL,AMT_CREDIT-m-app_AMT_GOODS_PRICE-dby-app_AMT_INCOME_TOTAL,AMT_GOODS_PRICE-m-app_AMT_GOODS_PRICE-dby-app_AMT_INCOME_TOTAL,cnt_paid,cnt_paid_ratio,cnt_unpaid,amt_paid,amt_unpaid,active,completed,future_payment_1m,future_payment_2m,future_payment_3m,future_payment_4m,future_payment_5m,future_payment_6m,future_payment_7m,future_payment_8m,future_payment_9m,future_payment_10m,future_payment_11m,future_payment_12m,future_payment_13m,future_payment_14m,future_payment_15m,future_payment_16m,future_payment_17m,future_payment_18m,future_payment_19m,future_payment_20m,future_payment_21m,future_payment_22m,future_payment_23m,future_payment_24m,future_payment_25m,future_payment_26m,future_payment_27m,future_payment_28m,future_payment_29m,future_payment_30m,future_payment_31m,future_payment_32m,future_payment_33m,future_payment_34m,future_payment_35m,future_payment_36m,future_payment_37m,future_payment_38m,future_payment_39m,future_payment_40m,future_payment_41m,future_payment_42m,future_payment_43m,future_payment_44m,future_payment_45m,future_payment_46m,future_payment_47m,future_payment_48m,future_payment_49m,future_payment_50m,future_payment_51m,future_payment_52m,future_payment_53m,future_payment_54m,future_payment_55m,future_payment_56m,future_payment_57m,future_payment_58m,future_payment_59m,future_payment_60m,future_payment_61m,future_payment_62m,future_payment_63m,future_payment_64m,future_payment_65m,future_payment_66m,future_payment_67m,future_payment_68m,future_payment_69m,future_payment_70m,future_payment_71m,future_payment_72m,future_payment_73m,future_payment_74m,future_payment_75m,future_payment_76m,future_payment_77m,future_payment_78m,future_payment_79m,future_payment_80m,past_payment_1m,past_payment_2m,past_payment_3m,past_payment_4m,past_payment_5m,past_payment_6m,past_payment_7m,past_payment_8m,past_payment_9m,past_payment_10m,past_payment_11m,past_payment_12m,past_payment_13m,past_payment_14m,past_payment_15m,past_payment_16m,past_payment_17m,past_payment_18m,past_payment_19m,past_payment_20m,past_payment_21m,past_payment_22m,past_payment_23m,past_payment_24m,past_payment_25m,past_payment_26m,past_payment_27m,past_payment_28m,past_payment_29m,past_payment_30m,past_payment_31m,past_payment_32m,past_payment_33m,past_payment_34m,past_payment_35m,past_payment_36m,past_payment_37m,past_payment_38m,past_payment_39m,past_payment_40m,past_payment_41m,past_payment_42m,past_payment_43m,past_payment_44m,past_payment_45m,past_payment_46m,past_payment_47m,past_payment_48m,past_payment_49m,past_payment_50m,past_payment_51m,past_payment_52m,past_payment_53m,past_payment_54m,past_payment_55m,past_payment_56m,past_payment_57m,past_payment_58m,past_payment_59m,past_payment_60m,past_payment_61m,past_payment_62m,past_payment_63m,past_payment_64m,past_payment_65m,past_payment_66m,past_payment_67m,past_payment_68m,past_payment_69m,past_payment_70m,past_payment_71m,past_payment_72m,APP_CREDIT_PERC
2797006,100229,Revolving loans,2250.0,45000.0,45000.0,,45000.0,SATURDAY,12,1,1,,,,XAP,Approved,-122,XNA,XAP,Unaccompanied,Refreshed,XNA,Cards,walk-in,Stone,30,Consumer electronics,0.0,XNA,Card Street,,,,,,0.0,157500.0,544491.0,16047.0,454500.0,,,,,,,,,,,0.0,inf,inf,1.0,0.014285714285714285,0.2857142857142857,0.2857142857142857,0.2857142857142857,-155250.0,-112500.0,-112500.0,-112500.0,0.0041322997074331805,0.08264599414866361,0.08264599414866361,0.08264599414866361,-542241.0,-499491.0,-499491.0,-499491.0,-3.4428,-3.1713714285714287,-3.1713714285714287,-3.1713714285714287,0.14021312394840157,2.8042624789680315,2.8042624789680315,2.8042624789680315,-13797.0,28953.0,28953.0,28953.0,-0.0876,0.18382857142857142,0.18382857142857142,0.18382857142857142,0.0049504950495049506,0.09900990099009901,0.09900990099009901,0.09900990099009901,-452250.0,-409500.0,-409500.0,-409500.0,-2.8714285714285714,-2.6,-2.6,-2.6,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
2251207,100229,Consumer loans,4003.335,18189.0,20349.0,0.0,18189.0,SATURDAY,12,1,1,0.0,,,XAP,Approved,-122,XNA,XAP,Unaccompanied,Refreshed,Consumer Electronics,POS,XNA,Stone,30,Consumer electronics,6.0,middle,POS household with interest,,-92.0,58.0,,,1.0,157500.0,544491.0,16047.0,454500.0,,,,,150.0,,,,,,24020.010000000002,0.8471686731187872,0.7572436481083895,0.8938522777532065,0.025418,0.11548571428571429,0.1292,0.11548571428571429,-153496.665,-139311.0,-137151.0,-139311.0,0.007352435577447561,0.03340551083488983,0.03737251855402569,0.03340551083488983,-540487.665,-526302.0,-524142.0,-526302.0,-3.4316677142857146,-3.3416,-3.3278857142857143,-3.3416,0.24947560291643298,1.1334828939988784,1.2680874929893438,1.1334828939988784,-12043.665,2142.0,4302.0,2142.0,-0.07646771428571429,0.0136,0.027314285714285715,0.0136,0.008808217821782179,0.04001980198019802,0.04477227722772277,0.04001980198019802,-450496.665,-436311.0,-434151.0,-436311.0,-2.8602962857142855,-2.7702285714285715,-2.7565142857142857,-2.7702285714285715,4.0,0.6666666666666666,2.0,16013.34,8006.670000000002,1,0,4003.335,4003.335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4003.335,4003.335,4003.335,4003.335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8938522777532065
1302834,100229,Consumer loans,3486.78,31860.0,28674.0,3186.0,31860.0,SATURDAY,12,1,1,0.1089090909090909,,,XAP,Approved,-2110,Cash through the bank,XAP,Unaccompanied,Repeater,Consumer Electronics,POS,XNA,Country-wide,358,Consumer electronics,12.0,high,POS household with interest,,,,,,,157500.0,544491.0,16047.0,454500.0,,,,,,,,,,,41841.36,0.6853027721852253,0.7614475246502503,1.1111111111111112,0.022138285714285715,0.2022857142857143,0.18205714285714286,0.2022857142857143,-154013.22,-125640.0,-128826.0,-125640.0,0.006403742210615052,0.058513363857253836,0.052662027471528455,0.058513363857253836,-541004.22,-512631.0,-515817.0,-512631.0,-3.4349474285714283,-3.2548,-3.2750285714285714,-3.2548,0.21728547392035896,1.9854178351093663,1.7868760515984297,1.9854178351093663,-12560.22,15813.0,12627.0,15813.0,-0.07974742857142857,0.1004,0.08017142857142857,0.1004,0.007671683168316832,0.0700990099009901,0.06308910891089109,0.0700990099009901,-451013.22,-422640.0,-425826.0,-422640.0,-2.8635759999999997,-2.6834285714285713,-2.7036571428571428,-2.6834285714285713,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1111111111111112
2200725,100229,Consumer loans,3350.52,27855.0,27553.5,2785.5,27855.0,SATURDAY,14,1,1,0.09999217928319083,,,XAP,Approved,-2110,Cash through the bank,XAP,Unaccompanied,Repeater,Consumer Electronics,POS,XNA,Country-wide,358,Consumer electronics,12.0,high,POS household with interest,,-2078.0,-1748.0,-1958.0,-1955.0,0.0,157500.0,544491.0,16047.0,454500.0,,,,,330.0,120.0,123.0,-210.0,-207.0,3.0,40206.24,0.6853040722037177,0.6928029082052936,1.0109423485219664,0.02127314285714286,0.17685714285714285,0.17494285714285715,0.17685714285714285,-154149.48,-129645.0,-129946.5,-129645.0,0.006153490140332898,0.051157870378022774,0.050604142217226734,0.051157870378022774,-541140.48,-516636.0,-516937.5,-516636.0,-3.4358125714285714,-3.2802285714285713,-3.282142857142857,-3.2802285714285713,0.20879416713404375,1.7358384744812114,1.7170499158721255,1.7358384744812114,-12696.48,11808.0,11506.5,11808.0,-0.08061257142857142,0.07497142857142858,0.07305714285714286,0.07497142857142858,0.007371881188118812,0.061287128712871286,0.06062376237623762,0.061287128712871286,-451149.48,-426645.0,-426946.5,-426645.0,-2.864441142857143,-2.708857142857143,-2.7107714285714284,-2.708857142857143,12.0,1.0,0.0,40206.24,0.0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3350.52,3350.52,3350.52,3350.52,3350.52,3350.52,3350.52,3350.52,3350.52,3350.52,3350.52,3350.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0109423485219664
2267649,112976,Cash loans,,0.0,0.0,,,THURSDAY,18,1,1,,,,XNA,Canceled,-274,XNA,XAP,,New,XNA,XNA,XNA,Credit and cash offices,-1,XNA,,XNA,Cash,,,,,,,323968.5,450000.0,27193.5,450000.0,,,,,,,,,,,,,,,,0.0,0.0,,,-323968.5,-323968.5,,,0.0,0.0,,,-450000.0,-450000.0,,,-1.3890239328823635,-1.3890239328823635,,,0.0,0.0,,,-27193.5,-27193.5,,,-0.08393871626408123,-0.08393871626408123,,,0.0,0.0,,,-450000.0,-450000.0,,,-1.3890239328823635,-1.3890239328823635,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1826455,112976,Revolving loans,,0.0,0.0,,,THURSDAY,18,1,1,,,,XAP,Canceled,-274,XNA,XAP,,New,XNA,XNA,XNA,Credit and cash offices,-1,XNA,,XNA,Card Street,,,,,,,323968.5,450000.0,27193.5,450000.0,,,,,,,,,,,,,,,,0.0,0.0,,,-323968.5,-323968.5,,,0.0,0.0,,,-450000.0,-450000.0,,,-1.3890239328823635,-1.3890239328823635,,,0.0,0.0,,,-27193.5,-27193.5,,,-0.08393871626408123,-0.08393871626408123,,,0.0,0.0,,,-450000.0,-450000.0,,,-1.3890239328823635,-1.3890239328823635,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1621047,112976,Revolving loans,2250.0,45000.0,45000.0,,45000.0,THURSDAY,18,1,1,,,,XAP,Approved,-274,XNA,XAP,,New,XNA,Cards,walk-in,Credit and cash offices,-1,XNA,0.0,XNA,Card Street,-272.0,-227.0,,-197.0,,0.0,323968.5,450000.0,27193.5,450000.0,45.0,,75.0,,,30.0,,,,,0.0,inf,inf,1.0,0.006945119664411818,0.13890239328823636,0.13890239328823636,0.13890239328823636,-321718.5,-278968.5,-278968.5,-278968.5,0.005,0.1,0.1,0.1,-447750.0,-405000.0,-405000.0,-405000.0,-1.3820788132179518,-1.2501215395941272,-1.2501215395941272,-1.2501215395941272,0.08274036074797286,1.6548072149594573,1.6548072149594573,1.6548072149594573,-24943.5,17806.5,17806.5,17806.5,-0.07699359659966941,0.054963677024155125,0.054963677024155125,0.054963677024155125,0.005,0.1,0.1,0.1,-447750.0,-405000.0,-405000.0,-405000.0,-1.3820788132179518,-1.2501215395941272,-1.2501215395941272,-1.2501215395941272,0.0,,0.0,0.0,0.0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
2689043,112976,Cash loans,,0.0,0.0,,,THURSDAY,18,1,1,,,,XNA,Canceled,-274,XNA,XAP,,New,XNA,XNA,XNA,Credit and cash offices,-1,XNA,,XNA,Cash,,,,,,,323968.5,450000.0,27193.5,450000.0,,,,,,,,,,,,,,,,0.0,0.0,,,-323968.5,-323968.5,,,0.0,0.0,,,-450000.0,-450000.0,,,-1.3890239328823635,-1.3890239328823635,,,0.0,0.0,,,-27193.5,-27193.5,,,-0.08393871626408123,-0.08393871626408123,,,0.0,0.0,,,-450000.0,-450000.0,,,-1.3890239328823635,-1.3890239328823635,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1437235,122374,Consumer loans,4868.685,38070.0,41418.0,0.0,38070.0,FRIDAY,11,1,1,0.0,,,XAP,Approved,-473,Cash through the bank,XAP,,New,Audio/Video,POS,XNA,Regional / Local,1,Connectivity,10.0,middle,POS mobile with interest,,-438.0,-168.0,-198.0,-191.0,0.0,67500.0,180000.0,9000.0,,,,,,270.0,240.0,247.0,-30.0,-23.0,7.0,48686.850000000006,0.850701986265285,0.7819359847679609,0.9191655801825294,0.07212866666666667,0.564,0.6136,0.564,-62631.315,-29430.0,-26082.0,-29430.0,0.027048250000000003,0.2115,0.2301,0.2115,-175131.315,-141930.0,-138582.0,-141930.0,-2.594538,-2.1026666666666665,-2.0530666666666666,-2.1026666666666665,0.540965,4.23,4.602,4.23,-4131.315,29070.0,32418.0,29070.0,-0.061204666666666664,0.43066666666666664,0.4802666666666667,0.43066666666666664,,,,,,,,,,,,,10.0,1.0,0.0,48686.850000000006,0.0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4868.685,4868.685,4868.685,4868.685,4868.685,4868.685,4868.685,4868.685,4868.685,4868.685,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9191655801825294
1595373,126059,Revolving loans,22500.0,0.0,450000.0,,,SATURDAY,18,1,1,,,,XAP,Approved,-502,XNA,XAP,,Repeater,XNA,Cards,x-sell,AP+ (Cash loan),399,XNA,0.0,XNA,Card X-Sell,-502.0,-460.0,,,,0.0,315000.0,450000.0,21888.0,450000.0,42.0,,,,,,,,,,0.0,inf,,,0.07142857142857142,0.0,1.4285714285714286,,-292500.0,-315000.0,135000.0,,0.05,0.0,1.0,,-427500.0,-450000.0,0.0,,-1.3571428571428572,-1.4285714285714286,0.0,,1.0279605263157894,0.0,20.55921052631579,,612.0,-21888.0,428112.0,,0.0019428571428571429,-0.06948571428571429,1.3590857142857142,,0.05,0.0,1.0,,-427500.0,-450000.0,0.0,,-1.3571428571428572,-1.4285714285714286,0.0,,0.0,,0.0,0.0,0.0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
