SK_ID_CURR,TARGET,NAME_CONTRACT_TYPE,CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,CNT_CHILDREN,AMT_INCOME_TOTAL,AMT_CREDIT,AMT_ANNUITY,AMT_GOODS_PRICE,NAME_TYPE_SUITE,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,REGION_POPULATION_RELATIVE,DAYS_BIRTH,DAYS_EMPLOYED,DAYS_REGISTRATION,DAYS_ID_PUBLISH,OWN_CAR_AGE,FLAG_MOBIL,FLAG_EMP_PHONE,FLAG_WORK_PHONE,FLAG_CONT_MOBILE,FLAG_PHONE,FLAG_EMAIL,OCCUPATION_TYPE,CNT_FAM_MEMBERS,REGION_RATING_CLIENT,REGION_RATING_CLIENT_W_CITY,WEEKDAY_APPR_PROCESS_START,HOUR_APPR_PROCESS_START,REG_REGION_NOT_LIVE_REGION,REG_REGION_NOT_WORK_REGION,LIVE_REGION_NOT_WORK_REGION,REG_CITY_NOT_LIVE_CITY,REG_CITY_NOT_WORK_CITY,LIVE_CITY_NOT_WORK_CITY,ORGANIZATION_TYPE,EXT_SOURCE_1,EXT_SOURCE_2,EXT_SOURCE_3,APARTMENTS_AVG,BASEMENTAREA_AVG,YEARS_BEGINEXPLUATATION_AVG,YEARS_BUILD_AVG,COMMONAREA_AVG,ELEVATORS_AVG,ENTRANCES_AVG,FLOORSMAX_AVG,FLOORSMIN_AVG,LANDAREA_AVG,LIVINGAPARTMENTS_AVG,LIVINGAREA_AVG,NONLIVINGAPARTMENTS_AVG,NONLIVINGAREA_AVG,APARTMENTS_MODE,BASEMENTAREA_MODE,YEARS_BEGINEXPLUATATION_MODE,YEARS_BUILD_MODE,COMMONAREA_MODE,ELEVATORS_MODE,ENTRANCES_MODE,FLOORSMAX_MODE,FLOORSMIN_MODE,LANDAREA_MODE,LIVINGAPARTMENTS_MODE,LIVINGAREA_MODE,NONLIVINGAPARTMENTS_MODE,NONLIVINGAREA_MODE,APARTMENTS_MEDI,BASEMENTAREA_MEDI,YEARS_BEGINEXPLUATATION_MEDI,YEARS_BUILD_MEDI,COMMONAREA_MEDI,ELEVATORS_MEDI,ENTRANCES_MEDI,FLOORSMAX_MEDI,FLOORSMIN_MEDI,LANDAREA_MEDI,LIVINGAPARTMENTS_MEDI,LIVINGAREA_MEDI,NONLIVINGAPARTMENTS_MEDI,NONLIVINGAREA_MEDI,FONDKAPREMONT_MODE,HOUSETYPE_MODE,TOTALAREA_MODE,WALLSMATERIAL_MODE,EMERGENCYSTATE_MODE,OBS_30_CNT_SOCIAL_CIRCLE,DEF_30_CNT_SOCIAL_CIRCLE,OBS_60_CNT_SOCIAL_CIRCLE,DEF_60_CNT_SOCIAL_CIRCLE,DAYS_LAST_PHONE_CHANGE,FLAG_DOCUMENT_2,FLAG_DOCUMENT_3,FLAG_DOCUMENT_4,FLAG_DOCUMENT_5,FLAG_DOCUMENT_6,FLAG_DOCUMENT_7,FLAG_DOCUMENT_8,FLAG_DOCUMENT_9,FLAG_DOCUMENT_10,FLAG_DOCUMENT_11,FLAG_DOCUMENT_12,FLAG_DOCUMENT_13,FLAG_DOCUMENT_14,FLAG_DOCUMENT_15,FLAG_DOCUMENT_16,FLAG_DOCUMENT_17,FLAG_DOCUMENT_18,FLAG_DOCUMENT_19,FLAG_DOCUMENT_20,FLAG_DOCUMENT_21,AMT_REQ_CREDIT_BUREAU_HOUR,AMT_REQ_CREDIT_BUREAU_DAY,AMT_REQ_CREDIT_BUREAU_WEEK,AMT_REQ_CREDIT_BUREAU_MON,AMT_REQ_CREDIT_BUREAU_QRT,AMT_REQ_CREDIT_BUREAU_YEAR,AMT_CREDIT-dby-AMT_INCOME_TOTAL,AMT_ANNUITY-dby-AMT_INCOME_TOTAL,AMT_GOODS_PRICE-dby-AMT_INCOME_TOTAL,AMT_CREDIT-dby-AMT_ANNUITY,AMT_GOODS_PRICE-dby-AMT_ANNUITY,AMT_GOODS_PRICE-dby-AMT_CREDIT,AMT_GOODS_PRICE-m-AMT_CREDIT,AMT_GOODS_PRICE-m-AMT_CREDIT-dby-AMT_INCOME_TOTAL,age,AMT_CREDIT-dby-AMT_ANNUITY-p-age,DAYS_EMPLOYED-m-DAYS_BIRTH,DAYS_REGISTRATION-m-DAYS_BIRTH,DAYS_ID_PUBLISH-m-DAYS_BIRTH,DAYS_LAST_PHONE_CHANGE-m-DAYS_BIRTH,DAYS_REGISTRATION-m-DAYS_EMPLOYED,DAYS_ID_PUBLISH-m-DAYS_EMPLOYED,DAYS_LAST_PHONE_CHANGE-m-DAYS_EMPLOYED,DAYS_ID_PUBLISH-m-DAYS_REGISTRATION,DAYS_LAST_PHONE_CHANGE-m-DAYS_REGISTRATION,DAYS_LAST_PHONE_CHANGE-m-DAYS_ID_PUBLISH,cnt_adults,AMT_INCOME_TOTAL-by-CNT_CHILDREN,AMT_CREDIT-by-CNT_CHILDREN,AMT_ANNUITY-by-CNT_CHILDREN,AMT_GOODS_PRICE-by-CNT_CHILDREN
101477,0,Cash loans,0,1,1,,180000.0,1506816.0,49927.5,1350000.0,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.019101,-15944,-183.0,-8174.0,-2294,11.0,1,1,0,1,0,0,,2.0,2,2,MONDAY,14,0,0,0,0,0,0,Self-employed,,0.6992076607083753,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,0.0,0.0,0.0,-701.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,8.3712,0.277375,7.5,30.18008111762055,27.039206849932402,0.8959288990825688,-156816.0,-0.8712,43.68219178082192,73.86227289844247,15761.0,7770.0,13650,15243.0,-7991.0,-2111.0,-518.0,5880.0,7473.0,1593.0,2.0,,,,
102086,0,Cash loans,0,1,1,,225000.0,1350000.0,51421.5,1350000.0,Unaccompanied,Commercial associate,Higher education,Civil marriage,Municipal apartment,0.002506,-11855,-1049.0,-446.0,-3778,11.0,1,1,1,1,0,1,Core staff,2.0,2,2,TUESDAY,2,0,0,0,0,0,0,Bank,0.5515347202705636,0.6836930761690583,,0.0495,,0.9796,0.7212,0.0,0.0,0.1034,0.125,0.0417,,0.0403,0.044000000000000004,0.0,0.0041,0.0504,,0.9796,0.7321,0.0,0.0,0.1034,0.125,0.0417,,0.0441,0.0459,0.0,0.0044,0.05,,0.9796,0.7249,0.0,0.0,0.1034,0.125,0.0417,,0.040999999999999995,0.0448,0.0,0.0042,reg oper account,block of flats,0.0355,Block,0,0.0,0.0,0.0,0.0,-1242.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,1.0,6.0,0.22854,6.0,26.253609871357312,26.253609871357312,1.0,0.0,0.0,32.47945205479452,58.733061926151834,10806.0,11409.0,8077,10613.0,603.0,-2729.0,-193.0,-3332.0,-796.0,2536.0,2.0,,,,
103760,0,Revolving loans,1,0,1,1.0,67500.0,270000.0,13500.0,270000.0,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.02461,-16210,-502.0,-1878.0,-3899,,1,1,0,1,0,0,Security staff,3.0,2,2,THURSDAY,10,0,0,0,0,1,1,Security,,0.629995821129552,0.8106180215523969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,0.0,0.0,0.0,-793.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,0.2,4.0,20.0,20.0,1.0,0.0,0.0,44.41095890410959,64.41095890410959,15708.0,14332.0,12311,15417.0,-1376.0,-3397.0,-291.0,-2021.0,1085.0,3106.0,2.0,67500.0,270000.0,13500.0,270000.0
108652,0,Revolving loans,1,0,1,,202500.0,180000.0,9000.0,180000.0,Unaccompanied,Commercial associate,Higher education,Separated,House / apartment,0.008575,-10830,-553.0,-6886.0,-3501,,1,1,0,1,1,0,Laborers,1.0,2,2,WEDNESDAY,10,0,0,0,0,0,0,Industry: type 1,,0.11040205051563473,0.5989262182569273,0.1103,0.0718,0.9821,0.7552,0.0568,0.11199999999999999,0.1241,0.2667,0.3083,0.0768,0.0898,0.1118,0.0008,0.0018,0.0735,0.067,0.9821,0.7648,0.0284,0.1611,0.1379,0.3333,0.375,0.0502,0.0643,0.0715,0.0,0.0,0.0739,0.0646,0.9821,0.7585,0.0416,0.16,0.1379,0.3333,0.375,0.0563,0.0599,0.0766,0.0,0.0,reg oper account,block of flats,0.054000000000000006,Panel,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.8888888888888888,0.044444444444444446,0.8888888888888888,20.0,20.0,1.0,0.0,0.0,29.671232876712327,49.671232876712324,10277.0,3944.0,7329,10830.0,-6333.0,-2948.0,553.0,3385.0,6886.0,3501.0,1.0,,,,
112229,0,Cash loans,1,1,1,,540000.0,1350000.0,51421.5,1350000.0,Unaccompanied,Commercial associate,Higher education,Civil marriage,Municipal apartment,0.072508,-16201,-558.0,-8154.0,-2699,2.0,1,1,1,1,1,0,Managers,2.0,1,1,MONDAY,9,0,0,0,0,0,0,Trade: type 3,0.35062809987181753,0.4435356568828284,0.14111510044661266,0.0849,0.0852,0.9727,0.626,0.0117,0.0,0.1386,0.1667,0.2083,0.0148,0.0677,0.0703,0.006999999999999999,0.0036,0.0861,0.0879,0.9727,0.6406,0.0115,0.0,0.1379,0.1667,0.2083,0.015,0.0735,0.0725,0.0078,0.0035,0.0854,0.0847,0.9727,0.631,0.0115,0.0,0.1379,0.1667,0.2083,0.015,0.0684,0.0711,0.0078,0.0038,reg oper account,block of flats,0.0555,Panel,0,0.0,0.0,0.0,0.0,-2522.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,2.5,0.095225,2.5,26.253609871357312,26.253609871357312,1.0,0.0,0.0,44.38630136986301,70.63991124122032,15643.0,8047.0,13502,13679.0,-7596.0,-2141.0,-1964.0,5455.0,5632.0,177.0,2.0,,,,
113070,0,Cash loans,1,1,1,1.0,337500.0,2517300.0,66532.5,2250000.0,Unaccompanied,Working,Higher education,Married,House / apartment,0.018029,-11489,-3109.0,-1603.0,-3642,5.0,1,1,0,1,0,0,Managers,3.0,3,2,FRIDAY,8,0,0,0,0,0,0,Security Ministries,0.2079979810120816,0.3191686763424829,0.7180328113294772,0.1237,0.1109,0.9767,0.6804,0.0506,0.0,0.2759,0.1667,0.2083,0.0965,0.1009,0.1149,0.0,0.0,0.1261,0.1151,0.9767,0.6929,0.0511,0.0,0.2759,0.1667,0.2083,0.0988,0.1102,0.1197,0.0,0.0,0.1249,0.1109,0.9767,0.6847,0.051,0.0,0.2759,0.1667,0.2083,0.0982,0.1026,0.1169,0.0,0.0,reg oper account,block of flats,0.11800000000000001,Panel,0,0.0,0.0,0.0,0.0,-1888.0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,7.458666666666667,0.19713333333333333,6.666666666666667,37.83564423402097,33.818058843422385,0.8938148015731141,-267300.0,-0.792,31.476712328767125,69.3123565627881,8380.0,9886.0,7847,9601.0,1506.0,-533.0,1221.0,-2039.0,-285.0,1754.0,2.0,337500.0,2517300.0,66532.5,2250000.0
113904,0,Cash loans,1,0,0,,135000.0,677664.0,36760.5,585000.0,Unaccompanied,Working,Secondary / secondary special,Single / not married,House / apartment,0.008019,-15251,-4465.0,-5578.0,-4592,,1,1,0,1,0,0,Laborers,1.0,2,2,FRIDAY,15,0,1,1,0,1,1,Business Entity Type 3,,0.4849615240399399,0.656158373001177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3.0,1.0,3.0,1.0,-1070.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,3.0,5.019733333333333,0.2723,4.333333333333333,18.43456971477537,15.913820541069898,0.8632596685082873,-92664.0,-0.6864,41.78356164383562,60.21813135861099,10786.0,9673.0,10659,14181.0,-1113.0,-127.0,3395.0,986.0,4508.0,3522.0,1.0,,,,
115113,0,Cash loans,0,0,1,2.0,81000.0,142200.0,11362.5,112500.0,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.020713,-10276,-770.0,-3871.0,-1160,,1,1,0,1,0,0,Laborers,4.0,3,3,TUESDAY,6,0,0,0,0,0,0,Trade: type 6,,0.34997949859993993,,0.0041,,0.9712,,,0.0,,0.0,,0.0021,,0.0021,,0.0,0.0042,,0.9712,,,0.0,,0.0,,0.0021,,0.0022,,0.0,0.0042,,0.9712,,,0.0,,0.0,,0.0021,,0.0021,,0.0,,terraced house,0.0017,Mixed,1,2.0,1.0,2.0,1.0,-646.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.0,1.7555555555555555,0.14027777777777778,1.3888888888888888,12.514851485148515,9.900990099009901,0.7911392405063291,-29700.0,-0.36666666666666664,28.153424657534245,40.66827614268276,9506.0,6405.0,9116,9630.0,-3101.0,-390.0,124.0,2711.0,3225.0,514.0,2.0,40500.0,71100.0,5681.25,56250.0
115177,0,Cash loans,0,0,1,1.0,135000.0,900000.0,29875.5,900000.0,Unaccompanied,Commercial associate,Higher education,Married,House / apartment,0.030755,-14841,-3079.0,-3857.0,-1751,,1,1,0,1,0,0,Sales staff,3.0,2,2,FRIDAY,18,0,0,0,0,0,0,Self-employed,0.4577163849528528,0.6914204108977959,0.2793353208976285,0.0371,0.0552,0.9727,0.626,0.0053,0.0,0.1034,0.125,0.1667,0.033,0.0294,0.0331,0.0039,0.005,0.0378,0.0573,0.9727,0.6406,0.0054,0.0,0.1034,0.125,0.1667,0.0337,0.0321,0.0345,0.0039,0.0053,0.0375,0.0552,0.9727,0.631,0.0054,0.0,0.1034,0.125,0.1667,0.0335,0.0299,0.0337,0.0039,0.0051,reg oper account,block of flats,0.0396,Monolithic,0,0.0,0.0,0.0,0.0,-1466.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,3.0,6.666666666666667,0.2213,6.666666666666667,30.125018828136767,30.125018828136767,1.0,0.0,0.0,40.66027397260274,70.78529280073951,11762.0,10984.0,13090,13375.0,-778.0,1328.0,1613.0,2106.0,2391.0,285.0,2.0,135000.0,900000.0,29875.5,900000.0
123342,0,Cash loans,0,1,1,,112500.0,816660.0,24007.5,585000.0,Children,Pensioner,Secondary / secondary special,Married,House / apartment,0.035792000000000004,-21938,,-10850.0,-4804,14.0,1,0,0,1,0,0,,2.0,2,2,THURSDAY,17,0,0,0,0,0,0,XNA,,0.3573422337147276,0.6212263380626669,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,7.2592,0.2134,5.2,34.01686972820993,24.36738519212746,0.7163323782234957,-231660.0,-2.0592,60.104109589041094,94.12097931725103,,11088.0,17134,21938.0,,,,6046.0,10850.0,4804.0,2.0,,,,
