SK_ID_CURR,TARGET,NAME_CONTRACT_TYPE,CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,CNT_CHILDREN,AMT_INCOME_TOTAL,AMT_CREDIT,AMT_ANNUITY,AMT_GOODS_PRICE,NAME_TYPE_SUITE,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,REGION_POPULATION_RELATIVE,DAYS_BIRTH,DAYS_EMPLOYED,DAYS_REGISTRATION,DAYS_ID_PUBLISH,OWN_CAR_AGE,FLAG_MOBIL,FLAG_EMP_PHONE,FLAG_WORK_PHONE,FLAG_CONT_MOBILE,FLAG_PHONE,FLAG_EMAIL,OCCUPATION_TYPE,CNT_FAM_MEMBERS,REGION_RATING_CLIENT,REGION_RATING_CLIENT_W_CITY,WEEKDAY_APPR_PROCESS_START,HOUR_APPR_PROCESS_START,REG_REGION_NOT_LIVE_REGION,REG_REGION_NOT_WORK_REGION,LIVE_REGION_NOT_WORK_REGION,REG_CITY_NOT_LIVE_CITY,REG_CITY_NOT_WORK_CITY,LIVE_CITY_NOT_WORK_CITY,ORGANIZATION_TYPE,EXT_SOURCE_1,EXT_SOURCE_2,EXT_SOURCE_3,APARTMENTS_AVG,BASEMENTAREA_AVG,YEARS_BEGINEXPLUATATION_AVG,YEARS_BUILD_AVG,COMMONAREA_AVG,ELEVATORS_AVG,ENTRANCES_AVG,FLOORSMAX_AVG,FLOORSMIN_AVG,LANDAREA_AVG,LIVINGAPARTMENTS_AVG,LIVINGAREA_AVG,NONLIVINGAPARTMENTS_AVG,NONLIVINGAREA_AVG,APARTMENTS_MODE,BASEMENTAREA_MODE,YEARS_BEGINEXPLUATATION_MODE,YEARS_BUILD_MODE,COMMONAREA_MODE,ELEVATORS_MODE,ENTRANCES_MODE,FLOORSMAX_MODE,FLOORSMIN_MODE,LANDAREA_MODE,LIVINGAPARTMENTS_MODE,LIVINGAREA_MODE,NONLIVINGAPARTMENTS_MODE,NONLIVINGAREA_MODE,APARTMENTS_MEDI,BASEMENTAREA_MEDI,YEARS_BEGINEXPLUATATION_MEDI,YEARS_BUILD_MEDI,COMMONAREA_MEDI,ELEVATORS_MEDI,ENTRANCES_MEDI,FLOORSMAX_MEDI,FLOORSMIN_MEDI,LANDAREA_MEDI,LIVINGAPARTMENTS_MEDI,LIVINGAREA_MEDI,NONLIVINGAPARTMENTS_MEDI,NONLIVINGAREA_MEDI,FONDKAPREMONT_MODE,HOUSETYPE_MODE,TOTALAREA_MODE,WALLSMATERIAL_MODE,EMERGENCYSTATE_MODE,OBS_30_CNT_SOCIAL_CIRCLE,DEF_30_CNT_SOCIAL_CIRCLE,OBS_60_CNT_SOCIAL_CIRCLE,DEF_60_CNT_SOCIAL_CIRCLE,DAYS_LAST_PHONE_CHANGE,FLAG_DOCUMENT_2,FLAG_DOCUMENT_3,FLAG_DOCUMENT_4,FLAG_DOCUMENT_5,FLAG_DOCUMENT_6,FLAG_DOCUMENT_7,FLAG_DOCUMENT_8,FLAG_DOCUMENT_9,FLAG_DOCUMENT_10,FLAG_DOCUMENT_11,FLAG_DOCUMENT_12,FLAG_DOCUMENT_13,FLAG_DOCUMENT_14,FLAG_DOCUMENT_15,FLAG_DOCUMENT_16,FLAG_DOCUMENT_17,FLAG_DOCUMENT_18,FLAG_DOCUMENT_19,FLAG_DOCUMENT_20,FLAG_DOCUMENT_21,AMT_REQ_CREDIT_BUREAU_HOUR,AMT_REQ_CREDIT_BUREAU_DAY,AMT_REQ_CREDIT_BUREAU_WEEK,AMT_REQ_CREDIT_BUREAU_MON,AMT_REQ_CREDIT_BUREAU_QRT,AMT_REQ_CREDIT_BUREAU_YEAR,credit-dby-income,annuity-dby-income,goods_price-dby-income,credit-dby-annuity,goods_price-dby-annuity,goods_price-dby-credit,goods_price-m-credit,goods_price-m-credit-dby-income,age_finish_payment,DAYS_EMPLOYED-m-DAYS_BIRTH,DAYS_REGISTRATION-m-DAYS_BIRTH,DAYS_ID_PUBLISH-m-DAYS_BIRTH,DAYS_LAST_PHONE_CHANGE-m-DAYS_BIRTH,DAYS_REGISTRATION-m-DAYS_EMPLOYED,DAYS_ID_PUBLISH-m-DAYS_EMPLOYED,DAYS_LAST_PHONE_CHANGE-m-DAYS_EMPLOYED,DAYS_ID_PUBLISH-m-DAYS_REGISTRATION,DAYS_LAST_PHONE_CHANGE-m-DAYS_REGISTRATION,DAYS_LAST_PHONE_CHANGE-m-DAYS_ID_PUBLISH,cnt_adults,income_per_adult,income-by-CNT_CHILDREN,credit-by-CNT_CHILDREN,annuity-by-CNT_CHILDREN,goods_price-by-CNT_CHILDREN,EXT_SOURCES_prod,EXT_SOURCES_sum,EXT_SOURCES_mean,EXT_SOURCES_std,EXT_SOURCES_1-2-3,EXT_SOURCES_2-1-3,EXT_SOURCES_1-2,EXT_SOURCES_2-3,EXT_SOURCES_1-3,DAYS_EMPLOYED_PERC,INCOME_PER_PERSON,PAYMENT_RATE,NEW_DOC_IND_KURT,NEW_LIVE_IND_SUM,NEW_INC_PER_CHLD,NEW_INC_BY_ORG,NEW_ANNUITY_TO_INCOME_RATIO,NEW_CAR_TO_BIRTH_RATIO,NEW_CAR_TO_EMPLOY_RATIO,NEW_PHONE_TO_BIRTH_RATIO,NEW_PHONE_TO_EMPLOYED_RATIO
103310,1,Cash loans,0,0,1,,270000.0,225000.0,17905.5,225000.0,Unaccompanied,Working,Secondary / secondary special,Separated,House / apartment,0.010032,-17833,-3099.0,-5628.0,-1042,,1,1,0,1,0,0,Managers,1.0,2,2,MONDAY,6,0,0,0,0,0,0,Business Entity Type 3,,0.08658439407626298,0.11247434965561487,0.0928,0.0804,0.9856,0.8028,0.0125,0.0,0.2069,0.1667,0.2083,0.0936,0.0756,0.0792,0.0,0.0,0.0945,0.0834,0.9856,0.8105,0.0126,0.0,0.2069,0.1667,0.2083,0.0957,0.0826,0.0825,0.0,0.0,0.0937,0.0804,0.9856,0.8054,0.0126,0.0,0.2069,0.1667,0.2083,0.0952,0.077,0.0806,0.0,0.0,reg oper account,block of flats,0.0691,Panel,0,0.0,0.0,0.0,0.0,-345.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,5.0,0.8333333333333334,0.06631666666666666,0.8333333333333334,12.565971349585324,12.565971349585324,1.0,0.0,0.0,18209.97914048756,14734.0,12205.0,16791,17488.0,-2529.0,2057.0,2754.0,4586.0,5283.0,697.0,1.0,270000.0,,,,,,0.19905874373187785,0.09952937186593892,0.018306963154778214,,,,-0.025889955579351892,,0.17377894913923625,270000.0,0.07958,20.00000000000001,4,,157500.0,0.06631642105029241,,,0.01934615600291594,0.11132623426911907
107178,1,Cash loans,1,0,0,,202500.0,808650.0,26086.5,675000.0,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.00733,-13598,-1131.0,-9774.0,-3718,,1,1,1,1,1,0,High skill tech staff,2.0,2,2,SATURDAY,18,0,0,0,0,0,0,Construction,,0.09304042367760308,0.2636468134452008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,0.0,0.0,0.0,-25.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.0,3.993333333333333,0.12882222222222223,3.3333333333333335,30.99879247886838,25.875452820424357,0.8347245409015025,-133650.0,-0.66,14527.963774366051,12467.0,3824.0,9880,13573.0,-8643.0,-2587.0,1106.0,6056.0,9749.0,3693.0,2.0,101250.0,,,,,,0.35668723712280387,0.17834361856140193,0.12063693511842355,,,,-0.17060638976759773,,0.08317399617590822,101250.0,0.032259321090706734,20.00000000000001,5,,180000.0,0.12882158606624164,,,0.0018385056625974407,0.022104332449160036
108000,1,Cash loans,0,0,0,,225000.0,746280.0,54306.0,675000.0,Unaccompanied,State servant,Secondary / secondary special,Married,House / apartment,0.010147,-10957,-667.0,-3703.0,-1054,,1,1,1,1,0,0,High skill tech staff,2.0,2,2,MONDAY,18,1,1,0,1,1,0,School,0.12263526156229547,0.6514602562549161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2.0,0.0,2.0,0.0,-296.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,3.3168,0.24136,3.0,13.742127941663904,12.429565793834936,0.9044862518089725,-71280.0,-0.3168,11369.263838249917,10290.0,7254.0,9903,10661.0,-3036.0,-387.0,371.0,2649.0,3407.0,758.0,2.0,112500.0,,,,,,0.7740955178172115,0.38704775890860577,0.373935739808092,,,-0.5288249946926207,,,0.06087432691430136,112500.0,0.07276893391220453,20.00000000000001,4,,135000.0,0.24135892729365646,,,0.02701469380304828,0.44377811094452774
108752,1,Cash loans,1,1,0,2.0,157500.0,497520.0,36202.5,450000.0,Unaccompanied,Working,Secondary / secondary special,Married,Rented apartment,0.020246,-10785,-463.0,-2733.0,-2733,18.0,1,1,1,1,0,0,Drivers,4.0,3,3,MONDAY,10,0,0,0,0,0,0,Business Entity Type 3,0.18694672044597016,0.2355971920996109,0.3201633668633456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2.0,1.0,2.0,0.0,-1193.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,2.0,3.158857142857143,0.22985714285714287,2.857142857142857,13.742697327532628,12.430080795525171,0.9044862518089725,-47520.0,-0.3017142857142857,11197.280919825978,10322.0,8052.0,8052,9592.0,-2270.0,-2270.0,-730.0,0.0,1540.0,1540.0,2.0,78750.0,78750.0,248760.0,18101.25,225000.0,0.014101314521103296,0.7427072794089267,0.2475690931363089,0.06741041115063293,-0.36881383851698635,-0.2715128952097049,-0.04865047165364075,-0.08456617476373471,-0.13321664641737546,0.042929995363931384,39375.0,0.07276591895803183,20.00000000000001,5,52500.0,157500.0,0.22985568345597807,-0.0016689847009735744,-0.038876889848812095,0.11061659712563746,2.576673866090713
110552,1,Cash loans,1,0,0,1.0,135000.0,480060.0,22509.0,337500.0,Unaccompanied,Pensioner,Secondary / secondary special,Civil marriage,With parents,0.030755,-11560,,-5514.0,-384,,1,0,0,1,0,0,,3.0,2,2,TUESDAY,17,0,0,0,0,0,0,XNA,,0.15967923350263774,0.6195277080511546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1.0,0.0,1.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,6.0,3.556,0.16673333333333334,2.5,21.327469012395042,14.994002399040383,0.703037120359955,-142560.0,-1.056,12199.824070371851,,6046.0,11176,11560.0,,,,5130.0,5514.0,384.0,2.0,67500.0,135000.0,480060.0,22509.0,337500.0,,0.7792069415537923,0.38960347077689617,0.3251619746715458,,,,-0.4598484745485169,,,45000.0,0.046887889013873266,20.00000000000001,2,67500.0,117000.0,0.16673209828075347,,,-0.0,
117044,1,Cash loans,1,0,0,,112500.0,450000.0,17095.5,450000.0,Unaccompanied,Commercial associate,Secondary / secondary special,Married,House / apartment,0.030755,-11352,-1312.0,-4856.0,-3521,,1,1,1,1,0,0,,2.0,2,2,TUESDAY,11,0,0,0,0,1,1,Industry: type 9,0.2626380094543469,0.007899940707781173,0.4956658291397297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3.0,1.0,3.0,1.0,-1803.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,0.15196,4.0,26.322716504343248,26.322716504343248,1.0,0.0,0.0,12141.681495130297,10040.0,6496.0,7831,9549.0,-3544.0,-2209.0,-491.0,1335.0,3053.0,1718.0,2.0,56250.0,,,,,0.0010284197063846325,0.7662037793018577,0.2554012597672859,0.24396345707703213,-0.24092776039316394,-0.7504038978862955,0.25473806874656574,-0.4877658884319485,-0.23302781968538278,0.11557434813248767,56250.0,0.03799,20.00000000000001,4,,180000.0,0.15195864925645106,,,0.15882663847780126,1.3742378048780488
118041,1,Cash loans,1,0,0,,202500.0,397881.0,22972.5,328500.0,Other_A,Working,Secondary / secondary special,Civil marriage,House / apartment,0.008019,-12260,-1440.0,-6048.0,-4410,,1,1,0,1,0,0,,2.0,2,2,THURSDAY,11,0,1,1,0,1,1,Business Entity Type 3,,0.7123743311734254,0.5370699579791587,0.0124,,0.9697,,,0.0,0.069,0.0417,,,,,,,0.0126,,0.9697,,,0.0,0.069,0.0417,,,,,,,0.0125,,0.9697,,,0.0,0.069,0.0417,,,,,,,,block of flats,0.0091,Wooden,0,0.0,0.0,0.0,0.0,-2525.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,3.0,1.9648444444444444,0.11344444444444444,1.6222222222222222,17.319882468168462,14.299706170421155,0.8256237417720373,-69381.0,-0.3426222222222222,12779.596474045054,10820.0,6212.0,7850,9735.0,-4608.0,-2970.0,-1085.0,1638.0,3523.0,1885.0,2.0,101250.0,,,,,,1.249444289152584,0.624722144576292,0.12395891105732323,,,,0.17530437319426673,,0.11745513866231648,101250.0,0.057737112352688365,20.00000000000001,3,,157500.0,0.1134438842277322,,,0.20595432300163133,1.7534722222222223
119575,1,Cash loans,1,1,1,,157500.0,545040.0,26640.0,450000.0,Unaccompanied,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,0.035792000000000004,-15571,-1146.0,-8584.0,-4032,18.0,1,1,0,1,0,0,Drivers,2.0,2,2,THURSDAY,13,0,0,0,0,0,0,Trade: type 7,,0.6132146062019619,0.20092608771597087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,0.0,0.0,0.0,-2729.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,3.4605714285714284,0.16914285714285715,2.857142857142857,20.45945945945946,16.89189189189189,0.8256274768824307,-95040.0,-0.6034285714285714,16184.783783783783,14425.0,6987.0,11539,12842.0,-7438.0,-2886.0,-1583.0,4552.0,5855.0,1303.0,2.0,78750.0,,,,,,0.8141406939179328,0.4070703469589664,0.2915320072267995,,,,0.412288518485991,,0.07359835591805279,78750.0,0.0488771466314399,20.00000000000001,5,,144000.0,0.16914178322677317,-0.0011559951191317192,-0.015706806282722512,0.1752617044505812,2.381326352530541
123238,1,Cash loans,0,1,1,,135000.0,170640.0,11533.5,135000.0,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.008625,-13740,-1548.0,-7885.0,-269,0.0,1,1,0,1,0,0,Laborers,2.0,2,2,MONDAY,13,0,0,0,0,0,0,Business Entity Type 3,0.2440964955454885,0.6348200256531474,0.4848514754962666,0.1113,0.0629,0.9841,,,0.12,0.1034,0.3333,,0.0365,,0.1135,,0.0,0.1134,0.0652,0.9841,,,0.1208,0.1034,0.3333,,0.0374,,0.1183,,0.0,0.1124,0.0629,0.9841,,,0.12,0.1034,0.3333,,0.0372,,0.1155,,0.0,,block of flats,0.0891,Panel,0,1.0,0.0,1.0,0.0,-495.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0,0.0,0.0,4.0,1.264,0.08543333333333333,1.0,14.79516191962544,11.705033164260632,0.7911392405063291,-35640.0,-0.264,14183.854857588763,12192.0,5855.0,13471,13245.0,-6337.0,1279.0,1053.0,7616.0,7390.0,-226.0,2.0,67500.0,,,,,0.07513129666600206,1.3637679966949026,0.45458933223163417,0.19711181403247885,-0.8755750056039255,-0.09412794538860769,-0.3907235301076589,0.14996855015688082,-0.2407549799507781,0.11266375545851529,67500.0,0.06758966244725738,20.00000000000001,5,,157500.0,0.08543270049851483,-0.0,-0.0,0.036026200873362446,0.31976744186046513
131417,1,Cash loans,0,0,0,,90000.0,284400.0,18306.0,225000.0,Unaccompanied,Working,Secondary / secondary special,Civil marriage,House / apartment,0.035792000000000004,-16731,-711.0,-5475.0,-152,,1,1,1,1,0,0,,2.0,2,2,TUESDAY,12,0,0,0,0,1,1,Self-employed,,0.40849540937449547,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,0.0,0.0,0.0,-11.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,3.16,0.2034,2.5,15.535889872173058,12.291052114060964,0.7911392405063291,-59400.0,-0.66,17197.076696165193,16020.0,11256.0,16579,16720.0,-4764.0,559.0,700.0,5323.0,5464.0,141.0,2.0,45000.0,,,,,,0.40849540937449547,0.40849540937449547,0.151245641298076,,,,,,0.04249596557288865,45000.0,0.06436708860759494,20.00000000000001,4,,148500.0,0.20339774002511082,,,0.0006574621959237344,0.015471167369901548
